baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.002125978469848633,0.005818367004394531,1748,1760.0,1,1,1026,193,193,193,94,39,35,25,0,12.0,0.0002654221317820884,0.006864988558352402,1413
0.001422882080078125,0.000743865966796875,9549,9550.0,1,1,10,10,10,10,5,2,2,1,0,1.0,2.2118510981840703e-05,0.00010472300764477956,31
0.001390695571899414,0.0063228607177734375,2329,2356.0,1,1,1341,505,505,505,144,247,98,16,0,27.0,0.000597199796509699,0.011592958351223702,2352
0.0026438236236572266,0.0036253929138183594,41,41.0,1,1,1026,264,264,30,7,4,7,12,0,0.0,0.0,0.0,1321
0.002289295196533203,0.0003986358642578125,10905,10905.0,1,1,4,4,4,4,2,1,1,0,0,0.0,0.0,0.0,13
0.0019040107727050781,0.003135204315185547,106,141.0,1,1,60,46,46,46,0,0,0,46,0,35.0,0.0007741478843644246,0.330188679245283,153
0.0016453266143798828,0.00156402587890625,1614,1616.0,1,1,104,81,81,81,9,20,52,0,0,2.0,4.4237021963681406e-05,0.0012391573729863693,267
0.002798318862915039,0.09438419342041016,2294,2380.0,288,274,299,235,64390,1494,173,527,505,289,0,86.0,0.0019021919444383005,0.037489102005231034,66471
0.0016443729400634766,0.005887746810913086,3896,4001.0,1,1,1553,801,801,801,631,144,26,0,0,105.0,0.002322443653093274,0.026950718685831623,3156
0.003995180130004883,0.0005326271057128906,101,101.0,6,6,17,17,102,20,0,0,0,0,20,0.0,0.0,0.0,145
0.0016069412231445312,0.006537914276123047,1906,1922.0,1,1,4148,234,234,234,78,89,62,5,0,16.0,0.00035389617570945125,0.008394543546694649,4617
0.002991914749145508,0.0005249977111816406,2207,2207.0,1,1,4,4,4,4,2,1,1,0,0,0.0,0.0,0.0,13
0.0014886856079101562,0.0050356388092041016,2350,2376.0,1,1,1697,328,328,328,27,240,56,5,0,26.0,0.0005750812855278583,0.011063829787234043,2354
0.002262592315673828,0.00045108795166015625,1278,1278.0,1,1,5,5,5,5,1,0,1,1,2,0.0,0.0,0.0,16
0.0015716552734375,0.0027246475219726562,58,63.0,1,1,50,32,32,32,0,0,0,32,0,5.0,0.00011059255490920351,0.08620689655172414,115
0.001306295394897461,0.005737781524658203,3728,3769.0,1,1,1716,472,472,472,48,344,76,4,0,41.0,0.0009068589502554688,0.010997854077253219,2661
0.0011990070343017578,0.0004229545593261719,7494,7494.0,1,1,5,5,5,5,1,0,1,1,2,0.0,0.0,0.0,16
0.002015352249145508,0.0005218982696533203,6483,6483.0,1,1,10,10,10,10,1,3,6,0,0,0.0,0.0,0.0,31
0.0019025802612304688,0.0007739067077636719,8965,8966.0,1,1,19,19,19,19,4,5,6,4,0,1.0,2.2118510981840703e-05,0.00011154489682097045,58
0.0020644664764404297,0.001804351806640625,3880,3889.0,1,1,250,124,124,123,33,59,26,5,0,9.0,0.00019906659883656632,0.0023195876288659794,498
0.0019342899322509766,0.0002777576446533203,8008,8008.0,1,1,1,1,1,1,0,0,0,1,0,0.0,0.0,0.0,4
0.0029621124267578125,0.0012209415435791016,5870,5881.0,12,12,19,19,228,176,15,47,66,48,0,11.0,0.00024330362080024774,0.0018739352640545145,435
0.001682281494140625,0.002079486846923828,107,122.0,1,1,60,46,46,46,0,0,0,46,0,15.0,0.0003317776647276105,0.14018691588785046,153
0.0017821788787841797,0.0013668537139892578,6851,6851.0,48,47,17,17,799,181,0,0,0,0,181,0.0,0.0,0.0,1045
0.0024013519287109375,0.004815101623535156,7,7.0,1,1,1305,334,334,6,0,3,0,3,0,0.0,0.0,0.0,1646
0.001810312271118164,0.0005660057067871094,11117,11117.0,1,1,10,10,10,10,5,2,2,1,0,0.0,0.0,0.0,31
0.002443075180053711,0.00040912628173828125,1638,1638.0,1,1,5,5,5,5,1,0,1,1,2,0.0,0.0,0.0,16
0.0031495094299316406,0.0006496906280517578,1029,1029.0,1,1,4,4,4,4,2,1,1,0,0,0.0,0.0,0.0,13
0.0017025470733642578,0.00200653076171875,85,77.0,1,1,60,39,39,39,0,0,0,39,0,8.0,0.00017694808785472562,0.09411764705882353,139
0.002059459686279297,0.03907489776611328,525,554.0,1,1,38210,473,473,398,29,252,117,0,0,29.0,0.0006414368184733803,0.05523809523809524,39082
0.0018460750579833984,0.0056400299072265625,192,194.0,1,1,1341,280,280,95,0,45,34,16,0,2.0,4.4237021963681406e-05,0.010416666666666666,1717
0.0019752979278564453,0.04833555221557617,1457,1509.0,48,48,4775,691,33168,763,85,343,234,101,0,52.0,0.0011501625710557165,0.03568977350720659,38754
0.0015418529510498047,0.0069658756256103516,747,685.0,1,1,222,186,186,186,0,0,182,4,0,62.0,0.0013713476808741235,0.08299866131191433,595
0.0018253326416015625,0.00030231475830078125,351,351.0,1,1,1,1,1,1,0,0,0,1,0,0.0,0.0,0.0,4
0.0024566650390625,0.00406646728515625,93,95.0,1,1,1071,310,310,47,5,4,18,20,0,2.0,4.4237021963681406e-05,0.021505376344086023,1429
0.002749919891357422,0.002875089645385742,406,414.0,1,1,327,164,164,115,4,57,54,0,0,8.0,0.00017694808785472562,0.019704433497536946,607
0.0023245811462402344,0.00036597251892089844,1439,1440.0,1,1,4,4,4,4,2,1,1,0,0,1.0,2.2118510981840703e-05,0.0006949270326615705,13
0.0028481483459472656,0.00031495094299316406,2860,2860.0,1,1,17,17,17,10,0,0,0,0,10,0.0,0.0,0.0,45
0.00124359130859375,0.0006966590881347656,9272,9274.0,1,1,19,19,19,19,4,5,6,4,0,2.0,4.4237021963681406e-05,0.00021570319240724764,58
0.0014052391052246094,0.0006668567657470703,2185,2186.0,1,1,25,24,24,24,7,12,4,1,0,1.0,2.2118510981840703e-05,0.0004576659038901602,74
0.0018339157104492188,0.008131980895996094,211,218.0,1,1,4281,292,292,77,8,23,42,4,0,7.0,0.00015482957687288493,0.03317535545023697,4651
0.0024046897888183594,0.0004017353057861328,74,74.0,1,1,1,1,1,1,0,0,0,1,0,0.0,0.0,0.0,4
0.003568887710571289,0.0003151893615722656,64,64.0,1,1,17,17,17,6,0,0,0,0,6,0.0,0.0,0.0,41
0.0017886161804199219,0.0019330978393554688,58,65.0,1,1,60,39,39,39,0,0,0,39,0,7.0,0.00015482957687288493,0.1206896551724138,139
0.001537322998046875,0.03369855880737305,1016,1038.0,1,1,32360,423,423,423,51,92,280,0,0,22.0,0.0004866072416004955,0.021653543307086614,33207
0.0028755664825439453,0.0007083415985107422,874,875.0,1,1,10,10,10,10,5,2,2,1,0,1.0,2.2118510981840703e-05,0.0011441647597254005,31
0.00193023681640625,0.0004904270172119141,8934,8936.0,1,1,10,10,10,10,5,2,2,1,0,2.0,4.4237021963681406e-05,0.00022386389075442132,31
0.0013718605041503906,0.0008521080017089844,2180,2182.0,1,1,59,38,38,38,11,20,2,5,0,2.0,4.4237021963681406e-05,0.0009174311926605505,136
0.0023882389068603516,0.0012655258178710938,5775,5784.0,12,12,19,19,228,174,16,44,66,48,0,9.0,0.00019906659883656632,0.0015584415584415584,433
0.00366973876953125,0.0005245208740234375,33,33.0,1,1,7,7,7,5,0,2,2,1,0,0.0,0.0,0.0,20
0.0017237663269042969,0.0026624202728271484,1478,1496.0,1,1,453,198,198,198,84,82,28,4,0,18.0,0.00039813319767313264,0.012178619756427604,850
0.0013723373413085938,0.00081634521484375,6546,6546.0,1,1,19,19,19,19,4,5,6,4,0,0.0,0.0,0.0,58
0.0016388893127441406,0.0005118846893310547,36959,36959.0,1,1,17,17,17,17,0,0,0,0,17,0.0,0.0,0.0,52
0.0027871131896972656,0.0005338191986083984,2420,2420.0,4,4,17,17,68,28,0,0,0,0,28,0.0,0.0,0.0,117
0.0026955604553222656,0.0010101795196533203,136,138.0,12,12,19,19,228,40,0,6,12,22,0,2.0,4.4237021963681406e-05,0.014705882352941176,299
0.00272369384765625,0.006813526153564453,780,815.0,12,12,338,305,3660,504,6,353,145,0,0,35.0,0.0007741478843644246,0.04487179487179487,4514
0.0014789104461669922,0.0053174495697021484,1807,1815.0,1,1,1071,184,184,184,29,53,82,20,0,8.0,0.00017694808785472562,0.004427227448810182,1440
0.0029892921447753906,0.0006737709045410156,9,9.0,24,7,5,5,35,6,0,0,0,2,4,0.0,0.0,0.0,70
0.001374959945678711,0.0004711151123046875,10834,10834.0,1,1,4,4,4,4,2,1,1,0,0,0.0,0.0,0.0,13
0.0014739036560058594,0.002407073974609375,2433,2448.0,1,1,285,226,226,226,107,53,66,0,0,15.0,0.0003317776647276105,0.006165228113440197,738
0.0021283626556396484,0.0012750625610351562,2902,2907.0,1,1,74,74,74,70,36,24,10,0,0,5.0,0.00011059255490920351,0.0017229496898690559,219
0.0026023387908935547,0.002285003662109375,414,425.0,1,1,338,311,311,170,1,143,26,0,0,11.0,0.00024330362080024774,0.026570048309178744,820
0.0015022754669189453,0.004523754119873047,1941,1974.0,1,1,1697,302,302,302,26,215,56,5,0,33.0,0.0007299108624007432,0.017001545595054096,2302
0.0017025470733642578,0.0017294883728027344,95,51.0,1,1,30,21,21,21,0,0,0,21,0,44.0,0.000973214483200991,0.4631578947368421,73
0.003453493118286133,0.0007119178771972656,2586,2586.0,12,12,17,17,204,61,0,0,0,0,61,0.0,0.0,0.0,294
0.0018913745880126953,0.022580862045288086,909,963.0,1,1,17384,671,671,671,10,532,129,0,0,54.0,0.001194399593019398,0.0594059405940594,18727
0.002920389175415039,0.00691676139831543,464,475.0,1,1,4262,432,432,119,26,37,51,5,0,11.0,0.00024330362080024774,0.023706896551724137,4814
0.002813100814819336,0.0003952980041503906,992,992.0,1,1,4,4,4,4,2,1,1,0,0,0.0,0.0,0.0,13
0.0015285015106201172,0.0010416507720947266,3209,3212.0,1,1,74,73,73,73,7,60,6,0,0,3.0,6.63555329455221e-05,0.0009348706762231225,221
0.0020101070404052734,0.0003685951232910156,9925,9925.0,1,1,4,4,4,4,2,1,1,0,0,0.0,0.0,0.0,13
0.0015535354614257812,0.0012996196746826172,2034,2042.0,1,1,102,101,101,101,39,56,6,0,0,8.0,0.00017694808785472562,0.003933136676499509,305
0.0030241012573242188,0.04873013496398926,1265,1353.0,192,157,263,259,40663,821,326,294,201,0,0,88.0,0.001946428966401982,0.06956521739130435,41939
0.0015914440155029297,0.0024940967559814453,3041,3077.0,1,1,284,274,274,274,238,30,6,0,0,36.0,0.0007962663953462653,0.01183821111476488,833
0.003229856491088867,0.0005321502685546875,5,5.0,4,4,6,6,24,3,0,0,0,1,2,0.0,0.0,0.0,37
0.0015282630920410156,0.0027010440826416016,2186,2203.0,1,1,338,301,301,301,7,268,26,0,0,17.0,0.0003760146866912919,0.00777676120768527,941
0.001505136489868164,0.0021419525146484375,2882,2896.0,1,1,250,122,122,122,37,54,26,5,0,14.0,0.00030965915374576986,0.004857737682165163,495
0.0027256011962890625,0.0008578300476074219,481,481.0,1,1,19,19,19,19,4,5,6,4,0,0.0,0.0,0.0,58
0.0022978782653808594,0.005360126495361328,385,367.0,1,1,222,150,150,134,0,0,130,4,0,18.0,0.00039813319767313264,0.046753246753246755,507
0.0017061233520507812,0.0011620521545410156,706,443.0,1,1,5,5,5,5,0,0,0,5,0,263.0,0.005817168388224105,0.37252124645892354,16
