baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.001726388931274414,0.002076864242553711,984,1000.0,1,1,194,143,143,143,73,60,10,0,0,16.0,0.00035389617570945125,0.016260162601626018,481
0.0014386177062988281,0.0008144378662109375,320,320.0,1,1,37,19,19,19,3,3,13,0,0,0.0,0.0,0.0,76
0.0013484954833984375,0.0008161067962646484,1211,1214.0,1,1,38,38,38,38,12,26,0,0,0,3.0,6.63555329455221e-05,0.002477291494632535,115
0.0013723373413085938,0.00146484375,407,419.0,1,1,159,83,83,83,47,21,15,0,0,12.0,0.0002654221317820884,0.029484029484029485,326
0.0012805461883544922,0.0029077529907226562,766,802.0,1,1,757,354,354,354,287,67,0,0,0,36.0,0.0007962663953462653,0.04699738903394256,1466
0.001322031021118164,0.002231597900390625,303,309.0,1,1,566,63,63,63,6,28,25,4,0,6.0,0.0001327110658910442,0.019801980198019802,693
0.001398324966430664,0.0013747215270996094,395,411.0,1,1,129,109,109,109,96,13,0,0,0,16.0,0.00035389617570945125,0.04050632911392405,348
0.0014145374298095703,0.0011606216430664062,422,423.0,1,1,46,28,28,28,3,13,12,0,0,1.0,2.2118510981840703e-05,0.002369668246445498,103
0.0014269351959228516,0.001790761947631836,506,517.0,1,1,194,110,110,110,48,52,10,0,0,11.0,0.00024330362080024774,0.021739130434782608,415
0.0014834403991699219,0.0021791458129882812,334,342.0,1,1,566,107,107,107,38,41,24,4,0,8.0,0.00017694808785472562,0.023952095808383235,781
0.0016946792602539062,0.002275705337524414,386,390.0,1,1,485,97,97,97,6,45,44,2,0,4.0,8.847404392736281e-05,0.010362694300518135,680
0.0014181137084960938,0.0023474693298339844,1941,1948.0,1,1,566,129,129,129,18,82,25,4,0,7.0,0.00015482957687288493,0.0036063884595569293,825
0.0013184547424316406,0.0066030025482177734,355,370.0,1,1,1695,173,173,173,28,121,24,0,0,15.0,0.0003317776647276105,0.04225352112676056,2042
0.0013077259063720703,0.0014812946319580078,251,255.0,1,1,159,56,56,56,29,12,15,0,0,4.0,8.847404392736281e-05,0.01593625498007968,272
0.0013308525085449219,0.0027039051055908203,853,905.0,1,1,757,384,384,384,318,66,0,0,0,52.0,0.0011501625710557165,0.06096131301289566,1526
0.001302480697631836,0.0005581378936767578,730,730.0,1,1,19,19,19,19,0,6,13,0,0,0.0,0.0,0.0,58
0.0012979507446289062,0.002618074417114258,609,616.0,1,1,1163,150,150,150,50,61,39,0,0,7.0,0.00015482957687288493,0.011494252873563218,1464
