baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.001997709274291992,0.0010309219360351562,997,998.0,1,1,19,19,19,16,0,4,3,7,2,1.0,2.2118510981840703e-05,0.0010030090270812437,55
0.0018393993377685547,0.0012860298156738281,860,861.0,48,47,10,10,470,136,14,31,19,72,0,1.0,2.2118510981840703e-05,0.0011627906976744186,664
0.0013020038604736328,0.0003192424774169922,1183,1183.0,1,1,3,3,3,3,0,1,1,1,0,0.0,0.0,0.0,10
0.0012624263763427734,0.00045490264892578125,910,910.0,1,1,11,11,11,11,4,2,4,1,0,0.0,0.0,0.0,34
0.0013704299926757812,0.00027823448181152344,1013,1013.0,1,1,4,4,4,4,2,2,0,0,0,0.0,0.0,0.0,13
0.0014388561248779297,0.00048351287841796875,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.0017032623291015625,0.0007266998291015625,1138,1139.0,1,1,21,21,21,19,2,0,1,6,10,1.0,2.2118510981840703e-05,0.0008787346221441124,62
0.0024640560150146484,0.0002970695495605469,793,794.0,12,12,1,1,12,11,11,0,0,0,0,1.0,2.2118510981840703e-05,0.0012610340479192938,36
0.0013103485107421875,0.0003097057342529297,997,998.0,1,1,6,6,6,6,4,2,0,0,0,1.0,2.2118510981840703e-05,0.0010030090270812437,19
0.0018148422241210938,0.0009961128234863281,970,972.0,1,1,13,13,13,13,3,4,3,3,0,2.0,4.4237021963681406e-05,0.002061855670103093,40
0.001409292221069336,0.001962900161743164,839,876.0,1,1,252,233,233,233,233,0,0,0,0,37.0,0.000818384906328106,0.04410011918951132,719
0.0020291805267333984,0.00031304359436035156,506,506.0,4,4,1,1,4,4,0,4,0,0,0,0.0,0.0,0.0,13
0.0016262531280517578,0.00040984153747558594,812,812.0,1,1,7,7,7,6,0,2,1,3,0,0.0,0.0,0.0,21
0.0012085437774658203,0.0003724098205566406,1139,1139.0,1,1,4,4,4,4,3,1,0,0,0,0.0,0.0,0.0,13
0.0014414787292480469,0.0004017353057861328,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.0012731552124023438,0.00017309188842773438,1038,1039.0,1,1,1,1,1,1,1,0,0,0,0,1.0,2.2118510981840703e-05,0.0009633911368015414,4
0.0016448497772216797,0.0037941932678222656,1195,1232.0,1152,433,4,4,1732,427,138,106,183,0,0,37.0,0.000818384906328106,0.03096234309623431,3315
0.0016732215881347656,0.0005831718444824219,819,819.0,1,1,15,15,15,11,0,4,3,3,1,0.0,0.0,0.0,42
0.0012254714965820312,0.0002818107604980469,1077,1078.0,1,1,4,4,4,4,2,2,0,0,0,1.0,2.2118510981840703e-05,0.0009285051067780873,13
0.0019452571868896484,0.0003662109375,756,756.0,1,1,7,7,7,5,0,1,1,3,0,0.0,0.0,0.0,20
0.0013315677642822266,0.0004286766052246094,980,982.0,1,1,8,8,8,8,6,1,1,0,0,2.0,4.4237021963681406e-05,0.0020408163265306124,25
0.0016932487487792969,0.0006875991821289062,722,726.0,1,1,18,18,18,10,0,2,5,2,1,4.0,8.847404392736281e-05,0.00554016620498615,47
0.0021431446075439453,0.0032541751861572266,977,1004.0,192,178,13,13,2314,381,54,147,180,0,0,27.0,0.000597199796509699,0.027635619242579325,2900
0.0014498233795166016,0.00045180320739746094,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.0014274120330810547,0.0004315376281738281,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.0011963844299316406,0.0003247261047363281,1066,1067.0,1,1,6,6,6,6,5,1,0,0,0,1.0,2.2118510981840703e-05,0.0009380863039399625,19
0.0012328624725341797,0.0004315376281738281,913,914.0,1,1,10,10,10,10,4,3,3,0,0,1.0,2.2118510981840703e-05,0.001095290251916758,31
0.0021224021911621094,0.0006566047668457031,675,675.0,12,12,17,17,204,51,0,0,0,0,51,0.0,0.0,0.0,284
0.0013933181762695312,0.00029730796813964844,1110,1110.0,1,1,4,4,4,4,3,1,0,0,0,0.0,0.0,0.0,13
0.0013995170593261719,0.0003142356872558594,931,931.0,1,1,3,3,3,3,2,1,0,0,0,0.0,0.0,0.0,10
0.001421213150024414,0.00042366981506347656,935,936.0,1,1,8,8,8,8,4,4,0,0,0,1.0,2.2118510981840703e-05,0.0010695187165775401,25
0.0013761520385742188,0.0005850791931152344,907,907.0,1,1,16,16,16,16,5,8,3,0,0,0.0,0.0,0.0,49
0.0013937950134277344,0.00043082237243652344,928,931.0,1,1,10,10,10,10,6,3,1,0,0,3.0,6.63555329455221e-05,0.003232758620689655,31
0.0016219615936279297,0.001718282699584961,921,948.0,1,1,274,235,235,235,0,235,0,0,0,27.0,0.000597199796509699,0.029315960912052116,745
0.001543283462524414,0.014708995819091797,573,15548.0,1,1,15552,877,877,877,0,0,0,0,877,14975.0,0.3312247019530645,26.134380453752183,17307
0.0017206668853759766,0.0011827945709228516,891,891.0,48,47,9,9,423,74,0,14,20,0,40,0.0,0.0,0.0,554
0.0013408660888671875,0.0005321502685546875,913,913.0,1,1,12,12,12,12,4,4,4,0,0,0.0,0.0,0.0,37
0.0018453598022460938,0.0005061626434326172,1137,1138.0,1,1,10,10,10,9,1,2,3,2,1,1.0,2.2118510981840703e-05,0.0008795074758135445,30
0.0014421939849853516,0.0004405975341796875,953,953.0,1,1,5,5,5,5,3,2,0,0,0,0.0,0.0,0.0,16
0.0018329620361328125,0.00061798095703125,726,726.0,1,1,13,13,13,12,1,5,4,2,0,0.0,0.0,0.0,39
0.0014929771423339844,0.0003571510314941406,952,953.0,1,1,6,6,6,6,3,2,1,0,0,1.0,2.2118510981840703e-05,0.0010504201680672268,19
0.0014920234680175781,0.0004551410675048828,920,920.0,1,1,8,8,8,8,4,3,1,0,0,0.0,0.0,0.0,25
0.002075672149658203,0.00031065940856933594,760,760.0,1,1,3,3,3,3,1,0,1,0,1,0.0,0.0,0.0,10
0.0015993118286132812,0.0004305839538574219,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.0014481544494628906,0.0004258155822753906,923,923.0,1,1,10,10,10,10,6,3,1,0,0,0.0,0.0,0.0,31
0.0018010139465332031,0.0005643367767333984,1075,1076.0,1,1,15,15,15,12,0,4,4,4,0,1.0,2.2118510981840703e-05,0.0009302325581395349,43
0.0018372535705566406,0.0006022453308105469,1183,1183.0,1,1,15,15,15,12,2,3,4,1,2,0.0,0.0,0.0,43
0.0013799667358398438,0.0004425048828125,920,920.0,1,1,9,9,9,9,4,4,1,0,0,0.0,0.0,0.0,28
0.0017702579498291016,0.0011899471282958984,898,901.0,48,47,10,10,470,136,11,4,0,121,0,3.0,6.63555329455221e-05,0.0033407572383073497,664
0.0024344921112060547,0.001226186752319336,641,641.0,48,42,17,17,714,110,0,0,0,0,110,0.0,0.0,0.0,889
0.0013592243194580078,0.0005559921264648438,907,907.0,1,1,13,13,13,13,4,3,3,3,0,0.0,0.0,0.0,40
0.0021572113037109375,0.00026106834411621094,616,616.0,4,4,1,1,4,4,4,0,0,0,0,0.0,0.0,0.0,13
0.0016200542449951172,0.0004162788391113281,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.0013971328735351562,0.0003266334533691406,962,962.0,1,1,5,5,5,5,4,1,0,0,0,0.0,0.0,0.0,16
0.0023572444915771484,0.0005705356597900391,675,675.0,12,12,17,17,204,51,0,0,0,0,51,0.0,0.0,0.0,284
0.0023849010467529297,0.0011529922485351562,641,641.0,48,42,17,17,714,110,0,0,0,0,110,0.0,0.0,0.0,889
0.001684427261352539,0.0004127025604248047,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.001687765121459961,0.0004203319549560547,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.0014705657958984375,0.0007205009460449219,904,905.0,1,1,20,20,20,20,2,2,4,5,7,1.0,2.2118510981840703e-05,0.0011061946902654867,61
0.0016927719116210938,0.0004367828369140625,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.0015132427215576172,0.00039386749267578125,939,940.0,1,1,6,6,6,6,1,4,1,0,0,1.0,2.2118510981840703e-05,0.0010649627263045794,19
0.0013427734375,0.0008080005645751953,914,915.0,1,1,18,18,18,18,6,8,4,0,0,1.0,2.2118510981840703e-05,0.0010940919037199124,55
0.0018966197967529297,0.0009224414825439453,1115,1116.0,1,1,25,25,25,21,0,5,4,6,6,1.0,2.2118510981840703e-05,0.0008968609865470852,72
0.002393960952758789,0.0006692409515380859,675,675.0,12,12,17,17,204,51,0,0,0,0,51,0.0,0.0,0.0,284
0.001432657241821289,0.0003781318664550781,1066,1067.0,1,1,6,6,6,6,5,1,0,0,0,1.0,2.2118510981840703e-05,0.0009380863039399625,19
0.001979827880859375,0.0005066394805908203,937,937.0,1,1,9,9,9,7,0,0,4,1,2,0.0,0.0,0.0,26
0.001878976821899414,0.00030922889709472656,738,738.0,1,1,2,2,2,2,0,0,1,0,1,0.0,0.0,0.0,7
0.0015399456024169922,0.002549409866333008,973,1069.0,1,1,870,537,537,537,537,0,0,0,0,96.0,0.0021233770542567073,0.0986639260020555,1945
0.002214193344116211,0.00046539306640625,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.0015053749084472656,0.0003151893615722656,975,975.0,1,1,4,4,4,4,2,2,0,0,0,0.0,0.0,0.0,13
0.0014123916625976562,0.0003311634063720703,1231,1231.0,1,1,5,5,5,5,2,1,2,0,0,0.0,0.0,0.0,16
0.0013911724090576172,0.000423431396484375,963,963.0,1,1,8,8,8,8,5,3,0,0,0,0.0,0.0,0.0,25
0.0014123916625976562,0.00027942657470703125,1003,1003.0,1,1,4,4,4,4,3,1,0,0,0,0.0,0.0,0.0,13
0.0019073486328125,0.0006117820739746094,868,871.0,1,1,15,15,15,14,3,4,5,2,0,3.0,6.63555329455221e-05,0.0034562211981566822,45
0.001968860626220703,0.0004703998565673828,572,572.0,1,1,10,10,10,9,1,0,1,1,6,0.0,0.0,0.0,30
0.0014607906341552734,0.0002734661102294922,1038,1038.0,1,1,4,4,4,4,3,1,0,0,0,0.0,0.0,0.0,13
0.0014524459838867188,0.000385284423828125,934,934.0,1,1,5,5,5,5,1,4,0,0,0,0.0,0.0,0.0,16
0.0016796588897705078,0.0004062652587890625,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.001678466796875,0.0004124641418457031,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.002112865447998047,0.004105091094970703,1280,1314.0,1152,802,2,2,1604,359,171,188,0,0,0,34.0,0.0007520293733825838,0.0265625,3117
0.0014913082122802734,0.0005099773406982422,928,929.0,1,1,8,8,8,8,3,5,0,0,0,1.0,2.2118510981840703e-05,0.0010775862068965517,25
0.0014643669128417969,0.0003695487976074219,974,975.0,1,1,6,6,6,6,4,2,0,0,0,1.0,2.2118510981840703e-05,0.001026694045174538,19
0.001863241195678711,0.0007071495056152344,1182,1182.0,1,1,19,19,19,15,0,5,5,4,1,0.0,0.0,0.0,54
0.001407623291015625,0.0003561973571777344,928,928.0,1,1,6,6,6,6,3,1,2,0,0,0.0,0.0,0.0,19
0.0014157295227050781,0.00033211708068847656,1132,1132.0,1,1,4,4,4,4,3,1,0,0,0,0.0,0.0,0.0,13
0.0018513202667236328,0.006437063217163086,972,1003.0,1152,433,9,9,3897,399,102,41,256,0,0,31.0,0.0006856738404370618,0.03189300411522634,5457
0.001443624496459961,0.0004086494445800781,1028,1029.0,1,1,4,4,4,4,3,1,0,0,0,1.0,2.2118510981840703e-05,0.0009727626459143969,13
0.0014195442199707031,0.00033855438232421875,921,921.0,1,1,5,5,5,5,3,2,0,0,0,0.0,0.0,0.0,16
0.0027666091918945312,0.0011565685272216797,471,471.0,48,34,17,17,578,87,0,0,0,0,87,0.0,0.0,0.0,730
0.001554727554321289,0.00048470497131347656,938,938.0,4,4,17,17,68,22,0,0,0,0,22,0.0,0.0,0.0,111
0.0022325515747070312,0.002368927001953125,1024,1024.0,288,91,17,17,1547,186,0,0,0,0,186,0.0,0.0,0.0,2038
0.0018398761749267578,0.0005831718444824219,831,831.0,1,1,10,10,10,9,1,3,0,4,1,0.0,0.0,0.0,30
0.0016052722930908203,0.0003719329833984375,1043,1044.0,1,1,6,6,6,6,4,2,0,0,0,1.0,2.2118510981840703e-05,0.0009587727708533077,19
0.0015177726745605469,0.00046825408935546875,907,908.0,1,1,7,7,7,7,2,2,2,1,0,1.0,2.2118510981840703e-05,0.0011025358324145535,22
0.0019495487213134766,0.0008237361907958984,1054,1055.0,1,1,18,18,18,16,2,2,3,6,3,1.0,2.2118510981840703e-05,0.0009487666034155598,53
0.0014543533325195312,0.000392913818359375,917,917.0,1,1,6,6,6,6,2,1,3,0,0,0.0,0.0,0.0,19
0.0013659000396728516,0.00039577484130859375,937,937.0,1,1,8,8,8,8,5,2,1,0,0,0.0,0.0,0.0,25
0.0021941661834716797,0.0006515979766845703,1047,1048.0,1,1,14,14,14,14,4,4,2,4,0,1.0,2.2118510981840703e-05,0.0009551098376313276,43
0.0019488334655761719,0.00041222572326660156,778,778.0,1,1,6,6,6,6,2,2,1,1,0,0.0,0.0,0.0,19
0.0013632774353027344,0.0004138946533203125,922,923.0,1,1,9,9,9,9,6,3,0,0,0,1.0,2.2118510981840703e-05,0.0010845986984815619,28
0.0020630359649658203,0.0007119178771972656,962,964.0,1,1,53,53,53,53,4,49,0,0,0,2.0,4.4237021963681406e-05,0.002079002079002079,160
0.0013163089752197266,0.00039005279541015625,986,988.0,1,1,4,4,4,4,1,3,0,0,0,2.0,4.4237021963681406e-05,0.002028397565922921,13
0.0016789436340332031,0.00066375732421875,1109,1110.0,1,1,17,17,17,17,4,5,3,5,0,1.0,2.2118510981840703e-05,0.0009017132551848512,52
0.0013532638549804688,0.00030350685119628906,975,975.0,1,1,4,4,4,4,2,2,0,0,0,0.0,0.0,0.0,13
0.0012362003326416016,0.00034999847412109375,977,977.0,1,1,7,7,7,7,6,1,0,0,0,0.0,0.0,0.0,22
0.0013186931610107422,0.0003371238708496094,1009,1009.0,1,1,4,4,4,4,2,2,0,0,0,0.0,0.0,0.0,13
0.0014445781707763672,0.003260374069213867,851,898.0,1,1,1404,376,376,376,376,0,0,0,0,47.0,0.001039570016146513,0.055229142185663924,2157
0.0012483596801757812,0.0005373954772949219,913,913.0,1,1,12,12,12,12,4,4,4,0,0,0.0,0.0,0.0,37
0.0013353824615478516,0.00030875205993652344,967,967.0,1,1,4,4,4,4,2,2,0,0,0,0.0,0.0,0.0,13
0.0018944740295410156,0.0022020339965820312,924,951.0,192,178,7,7,1246,246,95,151,0,0,0,27.0,0.000597199796509699,0.02922077922077922,1691
0.0012929439544677734,0.00048089027404785156,944,945.0,1,1,10,10,10,10,6,4,0,0,0,1.0,2.2118510981840703e-05,0.001059322033898305,31
0.0012784004211425781,0.0003039836883544922,1023,1023.0,1,1,5,5,5,5,4,1,0,0,0,0.0,0.0,0.0,16
0.001233816146850586,0.00041866302490234375,923,923.0,1,1,10,10,10,10,6,3,1,0,0,0.0,0.0,0.0,31
0.0016984939575195312,0.000530242919921875,686,687.0,1,1,12,12,12,11,3,1,5,2,0,1.0,2.2118510981840703e-05,0.0014577259475218659,36
