baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.018183469772338867,0.001859903335571289,26001,26092.0,1,1,43,29,29,27,0,4,9,13,1,91.0,0.000241011719525922,0.0034998653897927003,100
0.01744389533996582,0.05522656440734863,1677,3447.0,9,9,50753,824,7416,482,110,129,21,222,0,1770.0,0.0046878103688009,1.0554561717352415,58660
0.013294696807861328,0.00024080276489257812,191121,191121.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.016930103302001953,0.0008389949798583984,9992,10039.0,9,9,3,3,27,22,0,6,0,0,16,47.0,0.0001244785804144872,0.004703763010408327,61
0.014545202255249023,0.0004611015319824219,50846,50870.0,1,1,5,5,5,5,2,1,0,2,0,24.0,6.356353042441899e-05,0.0004720135310545569,16
0.011701345443725586,0.0003943443298339844,97618,97641.0,1,1,6,6,6,6,2,1,2,1,0,23.0,6.09150499900682e-05,0.00023561228461963982,19
0.01752185821533203,0.001165151596069336,446,508.0,1,1,34,27,27,19,0,1,4,13,1,62.0,0.00016420578692974907,0.13901345291479822,81
0.012298583984375,0.008713006973266602,19449,21109.0,1,1,3062,412,412,412,0,272,67,72,1,1660.0,0.004396477521022313,0.0853514319502288,3887
0.011718273162841797,0.010179758071899414,19803,23122.0,1,1,3480,841,841,841,0,300,510,29,2,3319.0,0.008790306561610277,0.1676008685552694,5163
0.014425516128540039,0.0005629062652587891,50253,50264.0,1,1,4,4,4,4,0,2,0,2,0,11.0,2.9133284777858705e-05,0.00021889240443356616,13
0.013005495071411133,0.10992312431335449,4197,9123.0,1,1,111656,1226,1226,1226,0,704,384,138,0,4926.0,0.013046414619611998,1.1736954967834168,114109
0.012632608413696289,0.051169633865356445,30313,36323.0,1,1,53602,1311,1311,1311,422,575,283,29,2,6010.0,0.015917367410448257,0.19826477089037706,56225
0.01264643669128418,0.0460662841796875,24391,27927.0,1,1,50734,735,735,735,393,280,35,26,1,3536.0,0.009365026815864397,0.14497150588331761,52205
0.012451648712158203,0.010694265365600586,20314,23608.0,1,1,3480,844,844,844,0,302,511,29,2,3294.0,0.008724094550751507,0.1621541793836763,5169
0.016121625900268555,0.0004851818084716797,7691,7700.0,1,1,4,4,4,4,0,1,0,2,1,9.0,2.3836323909157122e-05,0.0011701989338187492,13
0.013128995895385742,0.02017521858215332,5333,8280.0,1,1,8,8,8,8,0,0,0,0,8,2947.0,0.007805071840031781,0.5525970373148322,25
0.014553546905517578,0.04242229461669922,18461,22053.0,2,2,48624,601,1202,771,526,14,123,104,4,3592.0,0.009513341720188043,0.1945723416932994,50599
0.012679815292358398,0.027416706085205078,4523,5327.0,1,1,8,8,8,8,0,0,0,0,8,804.0,0.0021293782692180362,0.17775812513818262,25
0.018447160720825195,0.0006954669952392578,6531,6772.0,25,25,3,3,75,67,0,44,0,0,23,241.0,0.0006382837846785407,0.036900934007043334,170
0.015952348709106445,0.0072934627532958984,22,54.0,2,2,3043,285,570,13,0,1,1,7,4,32.0,8.475137389922532e-05,1.4545454545454546,3628
0.016683340072631836,0.0005323886871337891,6614,6673.0,9,9,3,3,27,23,0,7,0,0,16,59.0,0.0001562603456266967,0.008920471726640459,62
0.014061927795410156,0.035758256912231445,5829,4204.0,1,1,6,6,6,6,0,0,0,0,6,1625.0,0.004303780705820035,0.2787785211871676,19
0.011665821075439453,0.00924062728881836,24787,27483.0,1,1,5172,630,630,630,0,549,35,46,0,2696.0,0.007140303251009734,0.10876669221769476,6433
0.01694512367248535,0.001188039779663086,5561,5937.0,1,1,77,77,77,77,40,32,0,4,1,376.0,0.0009958286433158975,0.0676137385362345,232
0.01624917984008789,0.04691195487976074,14612,18123.0,1,1,50753,861,861,720,370,268,36,46,0,3511.0,0.009298814805005629,0.2402819600328497,52335
0.012435674667358398,0.0012450218200683594,76300,76378.0,1,1,34,21,21,21,0,7,9,3,2,78.0,0.00020658147387936173,0.0010222804718217561,77
0.01719522476196289,0.0075342655181884766,5235,6020.0,1,1,3043,344,344,201,4,101,42,52,2,785.0,0.002079057140965371,0.14995224450811842,3589
0.015478849411010742,0.0002734661102294922,5635,5647.0,9,9,1,1,9,9,0,0,0,0,9,12.0,3.1781765212209494e-05,0.002129547471162378,28
0.01895737648010254,0.0004982948303222656,2750,2780.0,1,1,6,6,6,6,2,1,2,1,0,30.0,7.945441303052374e-05,0.01090909090909091,19
0.01304936408996582,0.00022149085998535156,18682,18685.0,2,2,1,1,2,2,0,0,0,0,2,3.0,7.945441303052374e-06,0.00016058237876030403,7
0.014050483703613281,0.042756080627441406,15274,17153.0,1,1,48586,385,385,385,286,13,70,12,4,1879.0,0.004976494736145137,0.12301951027890533,49357
0.014883756637573242,0.0015826225280761719,9013,9541.0,1,1,104,104,104,104,68,25,8,2,1,528.0,0.0013983976693372178,0.05858204815266837,313
0.018226146697998047,0.010699987411499023,3056,4430.0,9,9,3043,402,3618,439,0,109,70,245,15,1374.0,0.003639012116797987,0.44960732984293195,7109
0.016904354095458984,0.0007245540618896484,4141,4337.0,9,9,6,6,54,43,14,7,15,7,0,196.0,0.000519102165132755,0.04733156242453514,112
