baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.014850378036499023,0.0006463527679443359,62696,62713.0,1,1,5,5,5,5,1,0,2,2,0,17.0,4.502416738396345e-05,0.00027114967462039046,16
0.012845039367675781,0.0003256797790527344,61113,61141.0,18,18,1,1,18,18,0,0,0,0,18,28.0,7.415745216182216e-05,0.0004581676566360676,55
0.012229681015014648,0.003574848175048828,58951,62100.0,1,1,678,676,676,676,388,196,92,0,0,3149.0,0.008340064887770641,0.05341724483045241,2031
0.01301264762878418,0.0001964569091796875,58466,58468.0,2,2,1,1,2,2,0,0,0,0,2,2.0,5.296960868701582e-06,3.4207915711695686e-05,7
0.011365413665771484,0.0004832744598388672,61135,61155.0,1,1,10,10,10,10,1,0,0,8,1,20.0,5.2969608687015823e-05,0.0003271448433794062,31
0.01141500473022461,0.0003001689910888672,62236,62255.0,1,1,4,4,4,4,2,1,0,0,1,19.0,5.0321128252665034e-05,0.0003052895430297577,13
0.012866973876953125,0.00015783309936523438,58466,58468.0,2,2,1,1,2,2,0,0,0,0,2,2.0,5.296960868701582e-06,3.4207915711695686e-05,7
0.011553764343261719,0.000286102294921875,60930,60948.0,1,1,4,4,4,4,0,2,1,1,0,18.0,4.7672647818314245e-05,0.0002954209748892171,13
0.012584447860717773,0.0008661746978759766,42101,42878.0,2,2,73,73,146,146,146,0,0,0,0,777.0,0.0020578692974905647,0.01845561863138643,367
0.013202190399169922,0.00036978721618652344,65514,65524.0,1,1,3,3,3,3,0,1,0,1,1,10.0,2.6484804343507912e-05,0.0001526391305675123,10
0.011836051940917969,0.000164031982421875,58466,58468.0,2,2,1,1,2,2,0,0,0,0,2,2.0,5.296960868701582e-06,3.4207915711695686e-05,7
0.011979341506958008,0.000614166259765625,62099,62126.0,1,1,15,15,15,15,1,0,0,8,6,27.0,7.150897172747136e-05,0.00043478961013864955,46
0.010752439498901367,0.006452798843383789,59357,60235.0,1,1,6102,185,185,185,137,0,30,18,0,878.0,0.0023253658213599946,0.014791852687972775,6473
0.010422706604003906,0.0003883838653564453,62843,62872.0,1,1,6,6,6,6,2,1,1,1,1,29.0,7.680593259617294e-05,0.00046146746654360867,19
0.012255430221557617,0.000240325927734375,61113,61141.0,18,18,1,1,18,18,0,0,0,0,18,28.0,7.415745216182216e-05,0.0004581676566360676,55
0.011283636093139648,0.0023276805877685547,64576,79664.0,1,1,21,21,21,21,0,0,0,0,21,15088.0,0.03996027279348474,0.2336471754212091,64
0.01370549201965332,0.00036334991455078125,65282,65298.0,1,1,4,4,4,4,2,0,0,1,1,16.0,4.237568694961266e-05,0.000245090530314635,13
0.011812925338745117,0.00029397010803222656,60677,60700.0,1,1,5,5,5,5,1,2,1,1,0,23.0,6.09150499900682e-05,0.00037905631458377966,16
0.014108657836914062,0.000370025634765625,63072,63092.0,1,1,6,6,6,6,1,2,1,2,0,20.0,5.2969608687015823e-05,0.00031709791983764585,19
0.017016172409057617,0.0008740425109863281,60889,0.0,0,0,0,0,0,0,0,0,0,0,0,60889.0,0.16126332516718533,1.0,0
0.012948274612426758,0.00023746490478515625,61113,61141.0,18,18,1,1,18,18,0,0,0,0,18,28.0,7.415745216182216e-05,0.0004581676566360676,55
0.012754440307617188,0.0001437664031982422,58466,58468.0,2,2,1,1,2,2,0,0,0,0,2,2.0,5.296960868701582e-06,3.4207915711695686e-05,7
0.012139320373535156,0.0002949237823486328,62499,62514.0,1,1,5,5,5,5,1,0,1,0,3,15.0,3.972720651526187e-05,0.00024000384006144098,16
0.012043952941894531,0.0002391338348388672,63422,63437.0,1,1,3,3,3,3,0,1,1,1,0,15.0,3.972720651526187e-05,0.00023651098987732962,10
0.012299776077270508,0.0004677772521972656,61241,61273.0,1,1,14,14,14,14,1,1,2,1,9,32.0,8.475137389922532e-05,0.0005225257588870201,43
0.012336015701293945,0.00016450881958007812,58466,58468.0,2,2,1,1,2,2,0,0,0,0,2,2.0,5.296960868701582e-06,3.4207915711695686e-05,7
0.011423826217651367,0.0004668235778808594,61000,61021.0,1,1,10,10,10,10,1,0,0,7,2,21.0,5.561808912136661e-05,0.00034426229508196723,31
0.010558366775512695,0.0005826950073242188,61048,61087.0,1,1,17,17,17,17,1,0,8,7,1,39.0,0.00010329073693968086,0.0006388415672913117,52
0.010951995849609375,0.00042629241943359375,62551,62569.0,1,1,10,10,10,10,1,0,0,7,2,18.0,4.7672647818314245e-05,0.0002877651836101741,31
0.010743141174316406,0.0002636909484863281,63158,63170.0,1,1,3,3,3,3,1,0,1,1,0,12.0,3.1781765212209494e-05,0.00018999968333386112,10
0.014728546142578125,0.0005245208740234375,61414,61434.0,1,1,6,6,6,6,1,2,1,2,0,20.0,5.2969608687015823e-05,0.00032565864460872116,19
0.012041091918945312,0.0005717277526855469,62896,62914.0,1,1,5,5,5,5,1,2,2,0,0,18.0,4.7672647818314245e-05,0.0002861867209361486,16
0.011083364486694336,0.0001862049102783203,58466,58468.0,2,2,1,1,2,2,0,0,0,0,2,2.0,5.296960868701582e-06,3.4207915711695686e-05,7
0.011260986328125,0.0001556873321533203,58466,58468.0,2,2,1,1,2,2,0,0,0,0,2,2.0,5.296960868701582e-06,3.4207915711695686e-05,7
0.012691020965576172,0.00034499168395996094,65282,65298.0,1,1,4,4,4,4,2,0,0,1,1,16.0,4.237568694961266e-05,0.000245090530314635,13
0.011727571487426758,0.036669254302978516,62981,64823.0,1,1,42995,446,446,446,58,0,354,18,16,1842.0,0.004878500960074157,0.02924691573649196,43888
0.011225223541259766,0.0008273124694824219,61011,61065.0,1,1,16,16,16,16,1,0,9,5,1,54.0,0.00014301794345494273,0.0008850862959138516,49
0.011437416076660156,0.00029397010803222656,63498,63506.0,1,1,2,2,2,2,0,0,0,1,1,8.0,2.118784347480633e-05,0.00012598822010142052,7
0.0109405517578125,0.0005702972412109375,62355,62384.0,1,1,12,12,12,12,1,0,0,8,3,29.0,7.680593259617294e-05,0.0004650789832411194,37
0.013415336608886719,0.0005297660827636719,63988,63996.0,1,1,3,3,3,3,0,1,0,1,1,8.0,2.118784347480633e-05,0.0001250234418953554,10
0.010405302047729492,0.0006425380706787109,61229,61251.0,1,1,11,11,11,11,1,0,0,8,2,22.0,5.826656955571741e-05,0.00035930686439432293,34
0.010771989822387695,0.0002372264862060547,61899,61908.0,1,1,2,2,2,2,0,0,1,1,0,9.0,2.3836323909157122e-05,0.00014539814859690787,7
0.012105226516723633,0.00019168853759765625,58466,58468.0,2,2,1,1,2,2,0,0,0,0,2,2.0,5.296960868701582e-06,3.4207915711695686e-05,7
0.010874509811401367,0.00043392181396484375,62643,62661.0,1,1,8,8,8,8,1,0,0,6,1,18.0,4.7672647818314245e-05,0.00028734256022221156,25
0.013695716857910156,0.00037860870361328125,61767,61778.0,1,1,5,5,5,5,1,1,0,0,3,11.0,2.9133284777858705e-05,0.0001780886233749413,16
0.012019872665405273,0.0001850128173828125,58466,58468.0,2,2,1,1,2,2,0,0,0,0,2,2.0,5.296960868701582e-06,3.4207915711695686e-05,7
