true_counts,estimates,absolute_error,normalized_error,relative_error
122074,119751,2323,0.004329964547599787,0.01902944115864148
6933,3818,3115,0.005806215912945905,0.44930044713688155
2748,0,2748,0.005122144888852438,1.0
454,0,454,0.0008462349998322442,1.0
4729,12999,8270,0.015414897463904535,1.7487840981179954
5387,10343,4956,0.009237754755877977,0.9199925747169111
6241,9721,3480,0.006486559029551123,0.5576029482454735
122527,126395,3868,0.007209773082271191,0.031568552237466026
119674,121022,1348,0.002512609647078998,0.011263933686515033
373,6533,6160,0.011481955063803137,16.514745308310992
6933,4700,2233,0.004162208710628637,0.3220827924419443
48691,38044,10647,0.01984551551368701,0.21866464028259844
6487,3547,2940,0.005480024007724224,0.4532141205487899
5970,3208,2762,0.005148240241270172,0.4626465661641541
9877,11566,1689,0.003148217873825243,0.17100334109547433
1174,0,1174,0.002188281695601442,1.0
2097,3141,1044,0.0019459677088653367,0.4978540772532189
10194,11662,1468,0.0027362840963738645,0.14400627820286444
9369,8773,596,0.001110916431497836,0.06361404632298004
123955,124578,623,0.001161243182589181,0.005026017506353112
2597,11187,8590,0.01601136266202418,3.307662687716596
3635,0,3635,0.006775471859890325,1.0
3771,0,3771,0.007028969569091174,1.0
6741,10633,3892,0.007254507972130164,0.5773624091381101
114847,116926,2079,0.0038751598340335588,0.01810234485881216
1987,2624,637,0.0011873385350069153,0.3205837946653246
216243,213591,2652,0.004943205329416545,0.012263980799378477
2814,0,2814,0.005245165835964615,1.0
83310,84154,844,0.0015731769600405596,0.010130836634257592
1019,0,1019,0.0018993688652622397,1.0
123898,127134,3236,0.006031754315984895,0.026118258567531357
2413,0,2413,0.004497720384570937,1.0
4811,3076,1735,0.003233959746054942,0.3606318852629391
11358,11237,121,0.00022553840303899018,0.010653284028878324
6570,6664,94,0.00017521165194764527,0.014307458143074582
1538,10942,9404,0.01752862100974102,6.11443433029909
2997,0,2997,0.005586269371139286,1.0
218507,223607,5100,0.009506164095031818,0.023340213357009157
216243,222250,6007,0.011196770140952182,0.02777893388456505
49377,47034,2343,0.004367243622482264,0.04745124248131721
3024,4978,1954,0.003642165616018073,0.6461640211640212
9853,2353,7500,0.013979653080929143,0.7611894854359078
121831,134023,12192,0.022725324048358416,0.10007305201467606
6733,2899,3834,0.0071463986549709785,0.5694341304024951
5046,0,5046,0.009405510592849128,1.0
4752,0,4752,0.008857508192076705,1.0
4838,8774,3936,0.0073365219368716145,0.8135593220338984
119049,122665,3616,0.006740056738751971,0.03037404766104713
5740,2432,3308,0.0061659589855618145,0.5763066202090592
5139,4264,875,0.0016309595261084,0.17026658883051177
2879,9628,6749,0.012579823819092105,2.344216741924279
3137,7512,4375,0.008154797630542,1.3946445648708958
5478,1663,3815,0.007110983533832624,0.6964220518437386
3810,11539,7729,0.014406498488333513,2.0286089238845144
6620,2259,4361,0.008128702278124266,0.658761329305136
135494,119625,15869,0.029579081965501942,0.11711957725065317
123948,130187,6239,0.011629207409588924,0.05033562461677478
121500,123547,2047,0.0038155133142215945,0.016847736625514403
2142,0,2142,0.003992588919913363,1.0
80500,83814,3314,0.006177142708026558,0.041167701863354035
121025,118594,2431,0.004531271551965166,0.020086758934104523
124767,117551,7216,0.01345029021759796,0.0578358059422764
79597,81565,1968,0.0036682609684358073,0.024724549920223125
119538,122498,2960,0.005517303082606702,0.02476200036808379
123624,132023,8399,0.015655347496896517,0.06793988222351648
5045,934,4111,0.007662713842093294,0.8148662041625372
118038,114907,3131,0.005836039172851887,0.026525356241210458
1796,0,1796,0.003347660924446499,1.0
184124,181630,2494,0.004648700637844971,0.013545219525971628
5389,0,5389,0.01004484672708362,1.0
1996,3170,1174,0.002188281695601442,0.5881763527054108
6588,5103,1485,0.0027679713100239706,0.22540983606557377
495,0,495,0.0009226571033413235,1.0
83453,79792,3661,0.006823934657237546,0.0438690041100979
5207,4917,290,0.0005405465857959269,0.05569425772997887
123863,126705,2842,0.005297356540800083,0.022944705037016705
120740,106959,13781,0.02568714654777127,0.11413781679642207
7304,2139,5165,0.00962732108839987,0.7071467688937568
77066,83399,6333,0.01180441906153657,0.08217631640412114
184124,185918,1794,0.003343933016958251,0.009743433772892182
11398,9064,2334,0.004350468038785149,0.20477276715213194
80556,77257,3299,0.006149183401864699,0.04095287750136551
1691,14704,13013,0.024255630072284127,7.695446481371969
5763,16074,10311,0.019219227055661387,1.7891723060905778
182814,188159,5345,0.00996283276234217,0.029237366941262704
2693,10911,8218,0.015317971869210094,3.051615298923134
9965,13117,3152,0.005875182201478488,0.3163070747616658
122955,139145,16190,0.030177411117365712,0.13167418974421535
83511,86731,3220,0.006001931056078913,0.03855779478152579
122543,114757,7786,0.014512743851748574,0.06353688093159136
10149,12539,2390,0.004454849448456087,0.23549118139718198
184922,189594,4672,0.008708391892546795,0.025264706200452083
9369,19387,10018,0.01867308860863309,1.069271000106735
2898,9573,6675,0.012441891242026938,2.303312629399586
7009,6563,446,0.0008313233698792531,0.06363247253531175
5871,8666,2795,0.005209750714826261,0.4760688128087208
