true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
122074,116520.0,125,123,1396,947,116481,15659,539,2008,3154,9958,0,0,5554.0,0.010352399094864061,0.04549699362681652,133661
6933,6832.0,1,1,33606,3001,3001,676,106,307,118,133,0,12,101.0,0.00018825932815651246,0.01456800807731141,37284
2748,2669.0,1,1,12246,1902,1902,277,0,75,111,81,0,10,79.0,0.00014725234578578697,0.028748180494905386,14426
454,415.0,1,1,12246,2070,2070,101,0,18,32,44,0,7,39.0,7.269419602083154e-05,0.08590308370044053,14418
4729,4585.0,1,1,33648,3203,3203,575,71,275,73,117,33,6,144.0,0.00026840933915383956,0.030450412349333898,37427
5387,5249.0,1,1,33648,2845,2845,447,60,162,72,123,24,6,138.0,0.00025722561668909625,0.02561722665676629,36941
6241,5860.0,1,1,90037,15915,15915,2578,431,2147,0,0,0,0,381.0,0.0007101663765112005,0.06104790898894408,108531
122527,117845.0,125,123,34656,3633,446859,19623,3143,5689,6390,2633,1409,359,4682.0,0.008727031429988033,0.038211985929631834,501263
119674,108998.0,125,123,9908,6594,811062,58334,504,39351,18479,0,0,0,10676.0,0.019899570172266606,0.08920901783177633,879429
373,344.0,1,1,34656,3399,3399,97,14,19,26,24,11,3,29.0,5.405465857959269e-05,0.0777479892761394,38153
6933,6766.0,1,1,33648,3407,3407,767,206,276,108,134,37,6,167.0,0.0003112802752686889,0.02408769652387134,37823
48691,43935.0,4750,1383,12246,1953,2700999,14778,9,3759,3952,5355,0,1703,4756.0,0.008864964007053201,0.09767718880285885,2732773
6487,6363.0,1,1,29238,2056,2056,479,72,90,183,122,0,12,124.0,0.00023113026427136184,0.019115153383690457,31774
5970,5824.0,1,1,12288,1992,1992,547,0,199,184,126,32,6,146.0,0.00027213724664208733,0.024455611390284758,14828
9877,9528.0,1,1,64501,8076,8076,1593,562,0,1031,0,0,0,349.0,0.0006505198566992362,0.03533461577402045,74171
1174,1080.0,1,1,90037,15915,15915,791,115,676,0,0,0,0,94.0,0.00017521165194764527,0.08006814310051108,106744
2097,1549.0,125,95,33648,2845,270275,1439,87,292,47,802,147,64,548.0,0.0010214466517798895,0.2613257033857892,305487
10194,9872.0,1,1,64501,8483,8483,1698,776,0,922,0,0,0,322.0,0.0006001931056078912,0.03158720816166372,74683
9369,9034.0,1,1,36812,12449,12449,3001,1516,955,530,0,0,0,335.0,0.0006244245042815017,0.035756217312413276,52263
