true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
122074,13384.0,125,123,1396,947,116481,15635,527,2010,3141,9957,0,0,108690.0,0.20259313244882515,0.8903615839572718,133637
6933,2300.0,1,1,33606,3001,3001,678,106,308,119,133,0,12,4633.0,0.008635697696525963,0.66825328140776,37286
2748,791.0,1,1,12246,1902,1902,280,0,76,111,83,0,10,1957.0,0.0036477574772504446,0.7121542940320232,14429
454,-264.0,1,1,12246,2070,2070,102,0,19,32,44,0,7,718.0,0.00133831878828095,1.5814977973568283,14419
4729,661.0,1,1,33648,3203,3203,575,74,272,73,117,33,6,4068.0,0.007582563831095968,0.8602241488686826,37427
5387,2568.0,1,1,33648,2845,2845,449,61,163,72,123,24,6,2819.0,0.005254485604685234,0.5232968256914795,36943
6241,-10874.0,1,1,90037,15915,15915,2578,430,2148,0,0,0,0,17115.0,0.03190156833068031,2.74234898253485,108531
122527,-10064.0,125,123,34656,3633,446859,19620,3145,5714,6374,2616,1412,359,132591.0,0.24714349088713014,1.0821369983758682,501260
119674,-266565.0,125,123,9908,6594,811062,58275,495,39316,18464,0,0,0,386239.0,0.7199316301766655,3.2274261744405637,879370
373,-299.0,1,1,34656,3399,3399,97,13,19,27,24,11,3,672.0,0.0012525769160512512,1.801608579088472,38153
6933,1811.0,1,1,33648,3407,3407,768,204,278,109,134,37,6,5122.0,0.009547171077402543,0.7387855185345449,37824
48691,-52541.0,4750,1383,12246,1953,2700999,14746,7,3690,3934,5410,0,1705,101232.0,0.1886917654251492,2.079070054014089,2732741
6487,3212.0,1,1,29238,2056,2056,480,73,89,184,122,0,12,3275.0,0.006104448512005726,0.5048558655773084,31775
5970,2334.0,1,1,12288,1992,1992,547,0,201,182,126,32,6,3636.0,0.006777335813634449,0.6090452261306533,14828
9877,-756.0,1,1,64501,8076,8076,1595,564,0,1031,0,0,0,10633.0,0.019819420161269276,1.076541459957477,74173
1174,-3848.0,1,1,90037,15915,15915,791,113,678,0,0,0,0,5022.0,0.009360775702990154,4.277683134582624,106744
2097,-8409.0,125,95,33648,2845,270275,1482,88,314,48,820,149,63,10506.0,0.019582698035765546,5.010014306151645,305530
10194,-928.0,1,1,64501,8483,8483,1697,775,0,922,0,0,0,11122.0,0.02073089354214586,1.0910339415342358,74682
9369,-10061.0,1,1,36812,12449,12449,2997,1509,959,529,0,0,0,19430.0,0.0362166212483271,2.0738606041199703,52259
123955,26236.0,125,123,12246,2101,258423,14318,0,4323,5032,4233,0,730,97719.0,0.182143695922042,0.7883425436650398,285112
2597,546.0,1,1,33606,2804,2804,322,57,101,60,94,0,10,2051.0,0.00382296912919809,0.7897574123989218,36733
3635,1778.0,1,1,12246,1953,1953,283,0,65,115,91,0,12,1857.0,0.003461362102838056,0.510866574965612,14483
3771,161.0,1,1,34824,3822,3822,536,59,181,166,113,12,5,3610.0,0.0067288730162872274,0.9573057544417927,39183
6741,3278.0,1,1,29280,2079,2079,500,38,81,204,134,37,6,3463.0,0.006454871815901017,0.5137219997033081,31860
114847,-281652.0,125,123,36812,12126,1491498,60332,22656,19212,18464,0,0,0,396499.0,0.7390557955913766,3.4524105984483704,1588767
1987,520.0,1,1,12246,1814,1814,222,1,70,66,74,0,11,1467.0,0.0027344201426297405,0.7382989431303473,14283
216243,-364292.0,125,123,90037,15247,1875381,89666,12577,77089,0,0,0,0,580535.0,1.08209038684496,2.6846418149951674,2055209
2814,761.0,1,1,12288,1905,1905,314,0,74,123,89,23,5,2053.0,0.0038266970366863376,0.7295664534470505,14508
83310,-32490.0,4750,1226,33648,2845,3487970,16854,2275,5524,2256,4277,1812,710,115800.0,0.21584584356954598,1.389989196975153,3543222
1019,-577.0,1,1,12288,2178,2178,227,0,55,81,62,23,6,1596.0,0.0029748701756217217,1.5662414131501472,14694
123898,29585.0,125,123,12288,1964,241572,13766,2,3176,4598,4216,1403,371,94313.0,0.17579506946955603,0.7612148702965342,267751
