true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
122074,105743.0,125,123,1396,947,116481,15659,539,2008,3154,9958,0,0,16331.0,0.03044022859528718,0.1337795107885381,133661
6933,6411.0,1,1,33606,3001,3001,676,106,307,118,133,0,12,522.0,0.0009729838544326684,0.0752920813500649,37284
2748,2536.0,1,1,12246,1902,1902,277,0,75,111,81,0,10,212.0,0.00039515819375426377,0.07714701601164484,14426
454,320.0,1,1,12246,2070,2070,101,0,18,32,44,0,7,134.0,0.0002497698017126007,0.29515418502202645,14418
4729,4248.0,1,1,33648,3203,3203,575,71,275,73,117,33,6,481.0,0.0008965617509235891,0.10171283569465003,37427
5387,5014.0,1,1,33648,2845,2845,447,60,162,72,123,24,6,373.0,0.0006952547465582094,0.06924076480415815,36941
6241,4548.0,1,1,90037,15915,15915,2578,431,2147,0,0,0,0,1693.0,0.0031556736888017386,0.27127062970677773,108531
122527,104842.0,125,123,34656,3633,446859,19623,3143,5689,6390,2633,1409,359,17685.0,0.03296402196483092,0.14433553420878664,501263
119674,72937.0,125,123,9908,6594,811062,58334,504,39351,18479,0,0,0,46737.0,0.08711560613911805,0.3905359560138376,879429
373,284.0,1,1,34656,3399,3399,97,14,19,26,24,11,3,89.0,0.00016589188322702585,0.2386058981233244,38153
6933,6237.0,1,1,33648,3407,3407,767,206,276,108,134,37,6,696.0,0.0012973118059102246,0.10038944180008655,37823
48691,33746.0,4750,1383,12246,1953,2700999,14778,9,3759,3952,5355,0,1703,14945.0,0.027856788705931473,0.3069355733092358,2732773
6487,6048.0,1,1,29238,2056,2056,479,72,90,183,122,0,12,439.0,0.0008182756936703859,0.0676738091567751,31774
5970,5428.0,1,1,12288,1992,1992,547,0,199,184,126,32,6,542.0,0.0010102629293151462,0.09078726968174204,14828
9877,8594.0,1,1,64501,8076,8076,1593,562,0,1031,0,0,0,1283.0,0.0023914526537109457,0.12989774222942188,74171
1174,688.0,1,1,90037,15915,15915,791,115,676,0,0,0,0,486.0,0.0009058815196442085,0.41396933560477,106744
2097,711.0,125,95,33648,2845,270275,1439,87,292,47,802,147,64,1386.0,0.0025834398893557057,0.6609442060085837,305487
