true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
122074,143349.66666666666,125,123,1396,947,116481,15659,539,2008,3154,9958,0,0,21275.666666666657,0.03965685854206507,0.174284996532158,133661
6933,7939.666666666666,1,1,33606,3001,3001,676,106,307,118,133,0,12,1006.6666666666661,0.0018763801024180439,0.14519928842732815,37284
2748,3207.0,1,1,12246,1902,1902,277,0,75,111,81,0,10,459.0,0.0008555547685528636,0.16703056768558952,14426
454,537.3333333333333,1,1,12246,2070,2070,101,0,18,32,44,0,7,83.33333333333326,0.00015532947867699036,0.1835535976505138,14418
4729,5652.333333333334,1,1,33648,3203,3203,575,71,275,73,117,33,6,923.3333333333339,0.0017210506237410558,0.19524917177697906,37427
5387,5881.666666666666,1,1,33648,2845,2845,447,60,162,72,123,24,6,494.66666666666606,0.0009220357854266143,0.09182600086628291,36941
6241,9922.666666666666,1,1,90037,15915,15915,2578,431,2147,0,0,0,0,3681.666666666666,0.0068624563679494386,0.5899161459167868,108531
122527,150833.6666666667,125,123,34656,3633,446859,19623,3143,5689,6390,2633,1409,359,28306.666666666686,0.052762317317000165,0.23102391037621656,501263
119674,206352.0,125,123,9908,6594,811062,58334,504,39351,18479,0,0,0,86678.0,0.16156378263317017,0.7242843056971439,879429
373,494.0,1,1,34656,3399,3399,97,14,19,26,24,11,3,121.0,0.00022553840303899018,0.32439678284182305,38153
6933,7943.333333333333,1,1,33648,3407,3407,767,206,276,108,134,37,6,1010.333333333333,0.0018832145994798321,0.14572816000769265,37823
48691,69717.33333333333,4750,1383,12246,1953,2700999,14778,9,3759,3952,5355,0,1703,21026.33333333333,0.03919211274186352,0.4318320291908839,2732773
6487,7078.0,1,1,29238,2056,2056,479,72,90,183,122,0,12,591.0,0.0011015966627772166,0.09110528749807308,31774
5970,6691.0,1,1,12288,1992,1992,547,0,199,184,126,32,6,721.0,0.0013439106495133216,0.12077051926298157,14828
9877,12183.0,1,1,64501,8076,8076,1593,562,0,1031,0,0,0,2306.0,0.004298277333949681,0.23347170193378555,74171
1174,2232.3333333333335,1,1,90037,15915,15915,791,115,676,0,0,0,0,1058.3333333333335,0.0019726843791977792,0.9014764338444067,106744
2097,3994.333333333333,125,95,33648,2845,270275,1439,87,292,47,802,147,64,1897.333333333333,0.003536541570517719,0.9047846129391193,305487
10194,12567.333333333334,1,1,64501,8483,8483,1698,776,0,922,0,0,0,2373.333333333334,0.00442378355272069,0.232816689555948,74683
9369,13762.666666666666,1,1,36812,12449,12449,3001,1516,955,530,0,0,0,4393.666666666666,0.008189591433765644,0.46895791084071575,52263
123955,146614.3333333333,125,123,12246,2101,258423,14315,0,4309,5036,4239,0,731,22659.333333333314,0.0422359492060178,0.1828028989014829,285109
2597,2960.6666666666665,1,1,33606,2804,2804,319,55,100,60,94,0,10,363.6666666666665,0.0006778578449463862,0.1400333718393017,36730
3635,4103.333333333334,1,1,12246,1953,1953,281,0,63,115,91,0,12,468.33333333333394,0.0008729516701646877,0.12883998165978924,14481
3771,4436.666666666666,1,1,34824,3822,3822,534,58,179,167,113,12,5,665.6666666666661,0.0012407718756717988,0.17652258463714296,39181
6741,7297.0,1,1,29280,2079,2079,498,37,80,204,134,37,6,556.0,0.0010363582817328805,0.08248034416258715,31858
114847,205310.6666666667,125,123,36812,12126,1491498,60439,22715,19245,18479,0,0,0,90463.66666666669,0.16862009019050853,0.7876885479522032,1588874
1987,2337.3333333333335,1,1,12246,1814,1814,224,0,72,68,73,0,11,350.3333333333335,0.0006530051283580683,0.17631269921154177,14285
216243,347892.0,125,123,90037,15247,1875381,89643,12498,77145,0,0,0,0,131649.0,0.24538764646016545,0.6088012097501422,2055186
2814,3357.333333333333,1,1,12288,1905,1905,309,0,72,122,87,23,5,543.333333333333,0.0010127482009739774,0.19308220800758102,14503
83310,107033.33333333333,4750,1226,33648,2845,3487970,16820,2293,5469,2252,4298,1803,705,23723.33333333333,0.04421919598976564,0.284759732725163,3543188
1019,1352.6666666666665,1,1,12288,2178,2178,227,0,56,81,61,23,6,333.6666666666665,0.0006219392326226697,0.32744520771998675,14694
123898,145064.0,125,123,12288,1964,241572,13808,2,3167,4628,4233,1406,372,21166.0,0.039452444948126164,0.1708340731892363,267793
2413,2991.3333333333335,1,1,29280,2600,2600,332,63,40,109,89,25,6,578.3333333333335,0.0010779865820183141,0.23967398811990612,32213
4811,6680.999999999999,1,1,34824,3217,3217,513,46,164,174,110,13,6,1869.999999999999,0.0034855935015116646,0.3886925795053002,38555
11358,13690.000000000002,1,1,64501,8076,8076,1649,649,0,1000,0,0,0,2332.000000000002,0.004346740131296905,0.2053178376474733,74227
6570,9298.0,1,1,9908,6222,6222,1803,26,1167,610,0,0,0,2728.0,0.005084865813969961,0.415220700152207,17934
1538,1822.3333333333333,1,1,29238,2491,2491,210,22,26,84,69,0,9,284.33333333333326,0.0005299841812458914,0.18487212830515817,31940
2997,5254.0,1,1,9908,6222,6222,1279,14,813,452,0,0,0,2257.0,0.0042069436004876105,0.7530864197530864,17410
218507,353522.3333333334,125,123,90037,15915,1957545,92135,14990,77145,0,0,0,0,135015.33333333337,0.25166233608080124,0.6178993502877865,2139842
216243,347892.0,125,123,90037,15247,1875381,89643,12498,77145,0,0,0,0,131649.0,0.24538764646016545,0.6088012097501422,2055186
