true_counts,estimates,absolute_error,normalized_error,relative_error
183,640,457,0.0008518268610646158,2.4972677595628414
27,810,783,0.0014594757816490027,29.0
1750,1280,470,0.0008760582597382263,0.26857142857142857
2250,2785,535,0.0009972152531062789,0.23777777777777778
858,972,114,0.000212490726830123,0.13286713286713286
240,824,584,0.0010885489865683493,2.433333333333333
639,393,246,0.0004585326210544759,0.38497652582159625
1373,747,626,0.0011668350438215525,0.4559359067734887
614,193,421,0.0007847245262761559,0.6856677524429967
2707,2764,57,0.0001062453634150615,0.02105652013298855
1294,995,299,0.0005573221694930418,0.23106646058732613
363,144,219,0.000408205869963131,0.6033057851239669
2070,1838,232,0.0004324372686367415,0.11207729468599034
549,0,549,0.0010233106055240132,1.0
776,546,230,0.00042870936114849375,0.2963917525773196
63,309,246,0.0004585326210544759,3.9047619047619047
937,1141,204,0.0003802465638012727,0.21771611526147278
2218,2186,32,5.9646519811964344e-05,0.014427412082957619
38866,38897,31,5.778256606784046e-05,0.0007976123089589873
410,435,25,4.6598843603097145e-05,0.06097560975609756
1182,1236,54,0.00010065350218268983,0.04568527918781726
838,1181,343,0.0006393361342344929,0.40930787589498807
180,454,274,0.0005107233258899447,1.5222222222222221
132,0,132,0.00024604189422435294,1.0
647,917,270,0.0005032675109134492,0.41731066460587324
677,640,37,6.896628853258377e-05,0.05465288035450517
27,167,140,0.000260953524177344,5.185185185185185
368,415,47,8.760582597382263e-05,0.12771739130434784
1347,836,511,0.0009524803632473056,0.3793615441722346
1317,1369,52,9.692559469444206e-05,0.039483675018982534
1287,1639,352,0.0006561117179316078,0.27350427350427353
1112,71,1041,0.0019403758476329652,0.9361510791366906
2979,2825,154,0.0002870488765950784,0.051695199731453506
2102,1647,455,0.0008480989535763681,0.2164605137963844
775,1231,456,0.000849962907320492,0.5883870967741935
804,774,30,5.5918612323716575e-05,0.03731343283582089
1281,1344,63,0.0001174290858798048,0.04918032786885246
469,304,165,0.00030755236778044114,0.35181236673773986
506,914,408,0.0007604931276025454,0.8063241106719368
1483,1373,110,0.00020503491185362745,0.07417397167902899
1557,1536,21,3.91430286266016e-05,0.01348747591522158
