estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
8387.0,81.0041,-1,1,1,50753,719,719,425,206,140,33,46,0,6683,1704.0,0.0045130106601337485,0.2549753104893012
115931.0,0.2009,-1,1,1,1,1,1,1,0,0,0,0,1,115928,3.0,7.945441303052374e-06,2.587813125388172e-05
24.0,0.1745,-1,1,1,1,1,1,1,0,0,0,0,1,22,2.0,5.296960868701582e-06,0.09090909090909091
2880.0,2.0282,-1,18,16,43,32,512,188,3,1,38,130,16,2425,455.0,0.00120505859762961,0.18762886597938144
21033.0,2.0115,-1,2,2,146,146,292,292,208,64,8,12,0,19797,1236.0,0.003273521816857578,0.062433702076072135
12656.0,8.4281,-1,1,1,5172,631,631,475,7,393,29,46,0,10967,1689.0,0.004473283453618486,0.1540074769763837
34935.0,0.3048,-1,1,1,5,5,5,5,2,0,0,2,1,34923,12.0,3.1781765212209494e-05,0.0003436130916587922
29639.0,0.2108,-1,1,1,7,7,7,7,2,2,1,1,1,29615,24.0,6.356353042441899e-05,0.0008104001350666891
4132.0,0.1702,-1,1,1,5,5,5,5,0,2,2,1,0,4112,20.0,5.2969608687015823e-05,0.0048638132295719845
12263.0,0.8776,-1,1,1,98,98,98,98,40,48,4,6,0,11858,405.0,0.0010726345759120705,0.03415415753078091
9106.0,3.3848,-1,1,1,3062,331,331,256,0,137,46,72,1,8299,807.0,0.0021373237105210886,0.09724063140137366
58719.0,0.2021,-1,2,2,3,3,6,6,0,0,2,4,0,58701,18.0,4.7672647818314245e-05,0.00030663872847140595
10373.0,4.4529,-1,1,1,3005,355,355,273,0,202,55,12,4,9377,996.0,0.0026378865126133882,0.10621734030073585
8552.0,0.4976,-1,2,2,43,28,56,48,2,0,18,26,2,8425,127.0,0.0003363570151625505,0.015074183976261127
45169.0,0.1112,-1,1,1,5,5,5,5,0,1,2,1,1,45154,15.0,3.972720651526187e-05,0.00033219648314656506
7756.0,6.0695,-1,1,1,3480,621,621,501,0,102,368,29,2,6155,1601.0,0.0042402171753956166,0.2601137286758733
18614.0,41.8362,-1,1,1,51019,1234,1234,1054,321,235,475,23,0,14749,3865.0,0.010236376878765809,0.26205166451962847
18655.0,44.6164,-1,2,2,49061,950,1900,1311,416,5,828,58,4,13954,4701.0,0.01245050652188307,0.3368926472696001
24973.0,0.2604,-1,18,17,1,1,17,17,0,0,0,0,17,24951,22.0,5.826656955571741e-05,0.0008817281872470042
32294.0,0.4222,-1,1,1,43,26,26,26,0,3,9,13,1,32231,63.0,0.00016685426736409985,0.001954639942912103
11280.0,37.6963,-1,1,1,49061,920,920,680,219,0,430,29,2,8838,2442.0,0.006467589220684632,0.27630685675492195
11445.0,0.3366,-1,1,1,26,26,26,26,0,10,8,8,0,11369,76.0,0.00020128451301066014,0.006684844753276454
6298.0,0.1148,-1,1,1,4,4,4,4,0,1,0,2,1,6287,11.0,2.9133284777858705e-05,0.0017496421186575474
17332.0,0.0393,-1,1,1,1,1,1,1,0,0,0,0,1,17331,1.0,2.648480434350791e-06,5.770007501009751e-05
16198.0,41.0629,-1,2,2,50753,608,1216,654,289,231,42,92,0,13685,2513.0,0.006655631331523538,0.18363171355498722
13496.0,4.5898,-1,1,1,3043,367,367,312,8,182,68,52,2,12448,1048.0,0.0027756074951996294,0.08419023136246787
1774.0,0.891,-1,25,25,43,31,775,160,1,0,19,123,17,1421,353.0,0.0009349135933258293,0.24841660802251936
10438.0,0.2193,-1,1,1,32,32,32,32,0,10,16,6,0,10343,95.0,0.00025160564126332517,0.009184956008894905
1329.0,50.8836,-1,18,16,50943,1119,17904,279,60,17,139,63,0,448,881.0,0.002333311262663047,1.9665178571428572
2237.0,0.1927,-1,25,23,1,1,23,23,0,0,0,0,23,2205,32.0,8.475137389922532e-05,0.014512471655328799
3.0,0.2537,-1,1,1,43,32,32,1,0,0,0,1,0,1,2.0,5.296960868701582e-06,2.0
13969.0,0.0646,-1,2,2,2,2,4,4,0,0,2,0,2,13960,9.0,2.3836323909157122e-05,0.0006446991404011461
12.0,0.0544,-1,1,1,3,3,3,2,0,0,0,2,0,9,3.0,7.945441303052374e-06,0.3333333333333333
49163.0,0.0757,-1,1,1,6,6,6,6,2,1,2,1,0,49149,14.0,3.707872608091108e-05,0.0002848481149158681
17310.0,38.2901,-1,27875,3175,25,15,47625,2661,0,10,208,633,1810,13007,4303.0,0.011396411309011454,0.3308218651495349
18925.0,22.3895,-1,2,2,51190,1113,2226,1362,327,296,693,46,0,13994,4931.0,0.01305965702178375,0.3523652994140346
2251.0,75.0209,4,1,1,6,6,6,6,0,0,0,0,6,2383,132.0,0.00034959941733430446,0.055392362568191356
4914.0,20.2589,-1,2,2,53621,1171,2342,582,107,179,197,97,2,2865,2049.0,0.0054267364099847715,0.7151832460732984
