estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
3520.0,283.4656,-1,20070,1277,50582,749,956473,914,119,108,10,677,0,1032,2488.0,0.006589419320664768,2.4108527131782944
6377.0,1.7264,-1,18,18,107,107,1926,609,250,183,90,86,0,4105,2272.0,0.006017347546844997,0.5534713763702801
6082.0,0.9336,-1,90,74,34,19,1406,272,0,8,61,92,111,5504,578.0,0.0015308216910547574,0.10501453488372094
0.0,162.4529,-1,0,0,0,0,0,0,0,0,0,0,0,1177,1177.0,0.003117261471230881,1.0
0.0,1592.15,-1,0,0,0,0,0,0,0,0,0,0,0,375,375.0,0.0009931801628815468,1.0
9980.0,15.5586,-1,1,1,51190,1218,1218,751,211,135,382,23,0,7243,2737.0,0.007248890948818115,0.3778820930553638
18066.0,1.5783,-1,1125,413,1,1,413,413,0,0,0,0,413,17564,502.0,0.0013295371780440973,0.028581188795263036
2184.0,3.2241,-1,18,17,441,328,5576,424,0,0,149,275,0,1139,1045.0,0.002767662053896577,0.9174714661984197
29254.0,1.6967,-1,450,407,3,3,1221,638,0,366,0,0,272,27553,1701.0,0.004505065218830696,0.06173556418538816
3325.0,17.7572,-1,18,18,37010,1326,23868,726,0,84,446,173,23,1185,2140.0,0.005667748129510693,1.8059071729957805
0.0,119.4376,-1,0,0,0,0,0,0,0,0,0,0,0,3089,3089.0,0.008181156061709594,1.0
1404.0,0.1915,-1,1,1,43,32,32,24,0,1,9,13,1,1346,58.0,0.00015361186519234588,0.04309063893016345
658.0,1218.568,-1,5017500,885,77,77,68145,166,13,22,51,80,0,171,487.0,0.0012898099715288353,2.847953216374269
623.0,1267.7652,4,5017500,15927,6,6,95562,255,0,0,0,0,255,290,333.0,0.0008819439846388135,1.1482758620689655
4603.0,22.8888,-1,55750,1503,7,7,10521,780,94,154,122,141,269,2517,2086.0,0.005524730186055751,0.8287644020659515
1340.0,111.6143,-1,2250,456,48643,575,262200,396,33,0,19,300,44,440,900.0,0.0023836323909157122,2.0454545454545454
83.0,0.6481,-1,18,16,56,56,896,20,0,5,3,12,0,22,61.0,0.00016155730649539826,2.772727272727273
127730.0,1.3122,-1,450,403,1,1,403,403,0,0,0,0,403,127278,452.0,0.0011971131563265577,0.003551281446911485
496.0,263.9338,4,18,17,8,8,136,59,0,0,0,0,59,398,98.0,0.0002595510825663775,0.24623115577889448
14781.0,25.8258,-1,2,2,50753,730,1460,828,367,313,56,92,0,11496,3285.0,0.00870025822684235,0.28575156576200417
14809.0,586.989,-1,2508750,8774,5,5,43870,2548,0,644,1019,885,0,7269,7540.0,0.019969542475004966,1.0372816068234971
176323.0,1546.7224,-1,5017500,15927,1,1,15927,15927,0,0,0,0,15927,156803,19520.0,0.051698338078527445,0.12448741414386204
8586.0,14.5955,-1,2250,847,53,53,44891,1753,0,705,478,297,273,3469,5117.0,0.013552274382572999,1.4750648601902565
21511.0,15.9921,-1,450,407,95,95,38665,3402,487,1070,1464,381,0,9813,11698.0,0.030981924121035558,1.192092122694385
6015.0,36.5423,4,450,350,12,12,4200,1137,0,0,0,0,1137,2878,3137.0,0.008308283122558432,1.0899930507296733
2197.0,1272.8787,-1,5017500,727,3,3,2181,509,0,145,0,0,364,1194,1003.0,0.0026564258756538437,0.8400335008375209
9587.0,106.4817,-1,501750,2408,4,4,9632,1499,286,293,0,0,920,6067,3520.0,0.009322651128914785,0.5801879017636393
12829.0,0.7641,-1,18,18,34,28,504,272,0,3,72,180,17,12164,665.0,0.0017612394888432761,0.05466951660637948
8360.0,5.1436,-1,18,18,3062,414,7452,999,0,201,91,691,16,5724,2636.0,0.006981394424948686,0.4605171208944794
106.0,1410.0786,-1,5017500,334,53298,957,319638,24,6,7,6,3,2,10,96.0,0.00025425412169767595,9.6
15061.0,0.4824,-1,1,1,155,155,155,155,104,32,16,3,0,14413,648.0,0.0017162153214593126,0.0449594116422674
1201.0,22.6242,-1,50,39,50753,807,31473,317,42,39,6,230,0,385,816.0,0.0021611600344302456,2.1194805194805193
23099.0,363.4688,-1,501750,15927,6,6,95562,3941,591,426,1557,1367,0,10874,12225.0,0.032377673309938425,1.1242413095457053
253.0,9.7205,-1,40140,206,5,5,1030,79,0,2,24,20,33,104,149.0,0.00039462358471826787,1.4326923076923077
24.0,2.4355,-1,9,8,3005,354,2832,9,0,0,1,1,7,13,11.0,2.9133284777858705e-05,0.8461538461538461
3577.0,245.6214,-1,55750,7880,101,101,795880,827,146,169,0,512,0,1109,2468.0,0.0065364497119777525,2.225428313796213
37.0,0.5425,-1,450,30,43,28,840,11,0,0,1,4,6,15,22.0,5.826656955571741e-05,1.4666666666666666
2.0,0.0382,-1,2,1,1,1,1,1,0,0,0,0,1,1,1.0,2.648480434350791e-06,1.0
23.0,36.2079,4,2250,208,9,9,1872,10,0,0,0,0,10,8,15.0,3.972720651526187e-05,1.875
3.0,38.6775,-1,200700,3,23,23,69,1,0,0,0,1,0,1,2.0,5.296960868701582e-06,2.0
171853.0,1.1855,-1,450,407,1,1,407,407,0,0,0,0,407,171333,520.0,0.0013772098258624113,0.0030350253599715177
3660.0,38.7438,4,2250,1282,6,6,7692,915,0,0,0,0,915,3887,227.0,0.0006012050585976296,0.05839979418574736
7400.0,1452.1336,-1,5017500,1968,1,1,1968,1968,0,0,0,0,1968,4978,2422.0,0.0064146196119976165,0.48654077942948976
2220.0,144.5153,-1,100350,6266,56,56,350896,542,0,199,96,247,0,598,1622.0,0.004295835264516983,2.7123745819397995
11722.0,75.2865,-1,225,206,49080,1019,209914,2399,228,0,951,1135,85,5086,6636.0,0.01757531616235185,1.304758159653952
16767.0,0.5706,-1,2,2,107,107,214,214,136,50,16,12,0,15901,866.0,0.002293584056147785,0.05446198352304887
4670.0,0.1725,-1,25,25,4,4,100,77,0,35,0,42,0,4440,230.0,0.000609150499900682,0.0518018018018018
0.0,2.7784,-1,11250,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
0.0,1597.4239,-1,0,0,0,0,0,0,0,0,0,0,0,6291,6291.0,0.01666159041250083,1.0
0.0,1423.2701,-1,0,0,0,0,0,0,0,0,0,0,0,260,260.0,0.0006886049129312057,1.0
3652.0,0.8305,-1,18,17,43,30,510,219,0,0,53,150,16,3165,487.0,0.0012898099715288353,0.15387045813586098
305.0,1467.7889,-1,5017500,866,29,29,25114,92,0,6,36,13,37,94,211.0,0.000558829371648017,2.24468085106383
0.0,312.4215,-1,0,0,0,0,0,0,0,0,0,0,0,2178,2178.0,0.005768390386016023,1.0
4784.0,2.1125,-1,450,240,6,6,1440,612,125,102,235,150,0,2686,2098.0,0.00555651195126796,0.7810871183916605
38143.0,31.8969,-1,55750,7880,3,3,23640,5975,0,855,0,0,5120,28441,9702.0,0.025695557174071376,0.3411272458774305
65.0,4.2685,-1,450,116,98,98,11368,17,0,9,0,8,0,17,48.0,0.00012712706084883798,2.823529411764706
10488.0,5.1646,-1,450,303,34,28,8484,1371,0,6,167,1028,170,7439,3049.0,0.008075216844335563,0.40986691759645116
1010.0,6.6608,-1,10035,393,43,28,11004,268,0,1,22,175,70,452,558.0,0.0014778520823677415,1.2345132743362832
6174.0,1.8103,-1,18,18,113,113,2034,661,239,199,169,54,0,3605,2569.0,0.006803946235847183,0.7126213592233009
