estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
9315.0,84.0967,-1,1,1,112199,2357,2357,768,51,200,449,68,0,5384,3931.0,0.006552387429283888,0.7301263001485884
24624.0,10.1115,-1,7,7,919,916,6412,1724,635,907,182,0,0,10070,14554.0,0.024259335193537956,1.4452830188679244
15012.0,5.6417,-1,1,1,5401,572,572,273,94,136,37,6,0,12708,2304.0,0.0038404224464691117,0.1813031161473088
148136.0,0.1439,-1,7,7,1,1,7,7,0,0,0,0,7,148136,0.0,0.0,0.0
22953.0,35.5016,-1,1,1,18838,2516,2516,1686,232,1422,16,16,0,9546,13407.0,0.022347458220404244,1.4044626021370208
22293.0,0.3273,-1,1,1,3,3,3,3,1,0,1,1,0,22280,13.0,2.1669050262195507e-05,0.0005834829443447037
14628.0,13.7826,-1,7,7,8257,642,4494,961,239,635,80,7,0,6860,7768.0,0.0129480909566719,1.1323615160349854
18461.0,5.2108,-1,7,7,5401,132,924,216,97,98,0,21,0,16625,1836.0,0.003060336637030073,0.11043609022556392
5519.0,0.2528,-1,1,1,5,5,5,5,1,2,2,0,0,5480,39.0,6.500715078658653e-05,0.007116788321167883
79444.0,0.1796,-1,7,7,4,4,28,28,7,14,0,7,0,79257,187.0,0.00031170095377158156,0.002359413048689706
85615.0,0.0923,-1,1,1,1,1,1,1,0,0,0,0,1,85615,0.0,0.0,0.0
14673.0,6.7466,-1,1,1,5401,575,575,349,62,271,10,6,0,11908,2765.0,0.004608840305766968,0.2321968424588512
28286.0,0.696,-1,7,7,9,9,63,49,7,0,28,14,0,28079,207.0,0.00034503795417495923,0.007372057409451903
21936.0,7.9719,-1,1,1,5401,752,752,372,128,201,34,9,0,18877,3059.0,0.00509889421169662,0.16204905440483128
