estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
78733.0,0.1482,-1,21,7,3,3,21,21,7,0,7,7,0,78610,123.0,0.00020502255248077287,0.0015646864266632744
9473.0,51.7716,-1,1,1,107563,2518,2518,759,50,206,435,68,0,5497,3976.0,0.006627395680191488,0.723303620156449
13016.0,2.7108,-1,1,1,5401,183,183,131,98,21,9,3,0,11753,1263.0,0.002105231575473302,0.10746192461499192
81429.0,6.9993,-1,21,21,4849,442,9282,762,309,108,254,91,0,76109,5320.0,0.008867642107298469,0.06989974904413407
66055.0,59.714,-1,7,7,105745,2543,17801,5471,324,1612,3059,476,0,37145,28910.0,0.04818863408308247,0.7783012518508547
19120.0,3.1711,-1,462,308,9,9,2772,918,26,0,445,447,0,16656,2464.0,0.0041071184496961335,0.14793467819404418
17426.0,26.8117,-1,378,251,1969,249,62499,2206,22,229,1218,737,0,9973,7453.0,0.012423033200318703,0.7473177579464554
23323.0,112.7649,-1,462,308,946,942,290136,3070,355,1483,772,460,0,4550,18773.0,0.031291775428630486,4.125934065934066
26612.0,80.5804,-1,462,308,5401,663,204204,3333,117,407,1913,896,0,13811,12801.0,0.0213373471081819,0.9268698863224966
18665.0,4.1537,-1,378,251,17,17,4267,1278,110,238,375,555,0,13739,4926.0,0.00821090319935193,0.3585413785573914
22407.0,0.0632,-1,1,1,4,4,4,4,1,2,0,1,0,22380,27.0,4.5004950544559904e-05,0.0012064343163538875
101733.0,0.3387,-1,21,7,17,17,119,70,28,7,14,21,0,101300,433.0,0.0007217460587331273,0.0042744323790720636
27709.0,101.1672,-1,462,308,901,899,276892,3876,362,1329,2185,0,0,4431,23278.0,0.03880093476949131,5.253441661024599
3443.0,0.9319,-1,66,44,17,17,748,235,19,50,78,88,0,2390,1053.0,0.001755193071237836,0.4405857740585774
16621.0,58.3197,-1,7,7,109751,3174,22218,2694,66,475,2038,115,0,3638,12983.0,0.021640713811852636,3.568719076415613
6121.0,2.015,-1,154,77,17,17,1309,621,53,195,224,149,0,3007,3114.0,0.005190570962805909,1.0355836381775856
18527.0,93.7281,-1,462,308,8257,830,255640,2175,156,268,483,1268,0,12199,6328.0,0.010547826927628706,0.518731043528158
27183.0,10.9631,-1,21,21,5401,686,14406,1116,897,0,184,35,0,16464,10719.0,0.01786696536619028,0.6510568513119533
9376.0,45.1138,-1,1,1,110251,2441,2441,756,59,204,425,68,0,5336,4040.0,0.006734074081482296,0.7571214392803598
4910.0,1.1183,-1,126,63,13,13,819,300,12,43,0,245,0,4311,599.0,0.0009984431620811622,0.13894688007422873
60596.0,56.5007,-1,21,21,31323,3513,73773,8136,7,1469,5773,887,0,24640,35956.0,0.05993325932519244,1.4592532467532469
21604.0,0.159,-1,1,1,17,17,17,17,6,4,3,4,0,21503,101.0,0.0001683518520370574,0.0046970190206017766
9603.0,2.4587,-1,189,189,13,13,2457,780,0,243,124,413,0,7007,2596.0,0.004327142652358426,0.3704866562009419
43345.0,0.0603,-1,1,1,1,1,1,1,0,0,0,0,1,43345,0.0,0.0,0.0
78335.0,12.4245,-1,7,7,973,970,6790,4357,2263,1772,322,0,0,38711,39624.0,0.06604726519917191,1.02358502751156
21102.0,2.8518,-1,378,252,5,5,1260,1035,196,407,432,0,0,14194,6908.0,0.011514599939326658,0.4866845145836269
5991.0,1.4097,-1,126,63,13,13,819,447,0,73,125,249,0,4797,1194.0,0.001990218924081649,0.2489055659787367
19270.0,2.4955,-1,378,251,4,4,1004,820,195,400,0,225,0,14021,5249.0,0.00874929575586648,0.37436702089722557
15142.0,6.5802,-1,1,1,8257,1020,1020,337,235,68,28,6,0,11859,3283.0,0.00547226861621445,0.2768361581920904
25814.0,6.1542,-1,462,308,21,21,6468,2086,155,304,1179,448,0,16568,9246.0,0.015411695286481513,0.5580637373249638
79487.0,0.0859,-1,7,7,3,3,21,21,7,0,7,7,0,79368,119.0,0.00019835515240009734,0.0014993448241104727
9049.0,262.5073,-1,378,252,30951,2670,672840,3120,14,179,635,2292,0,3465,5584.0,0.009307690512623056,1.6115440115440116
16336.0,81.788,-1,378,252,883,879,221508,1933,238,1180,229,286,0,3597,12739.0,0.021234002406931428,3.5415624131220462
61723.0,0.5087,-1,7,7,17,17,119,77,0,21,35,21,0,61423,300.0,0.0005000550060506656,0.004884163912540905
38812.0,0.0948,-1,7,7,3,3,21,21,7,0,7,7,0,38699,113.0,0.00018835405227908404,0.0029199720923021267
38647.0,0.0645,-1,7,7,3,3,21,21,7,0,7,7,0,38539,108.0,0.00018001980217823962,0.0028023560549054207
10795.0,1.7581,-1,189,189,4,4,756,577,129,278,0,170,0,7108,3687.0,0.0061456760243626795,0.5187113111986494
71833.0,0.2504,-1,7,7,17,17,119,49,14,7,7,21,0,71567,266.0,0.00044338210536492347,0.0037167968477091395
32003.0,4.2055,-1,21,7,4849,126,882,604,597,0,0,7,0,25466,6537.0,0.010896198581844003,0.256695201445064
21642.0,54.9344,-1,21,7,107633,2648,18536,2013,178,1241,370,224,0,8651,12991.0,0.021654048612013987,1.5016761068084614
24451.0,5.6325,-1,462,308,17,17,5236,1860,26,400,917,517,0,16973,7478.0,0.012464704450822924,0.44058210098391565
18421.0,13.3908,-1,378,251,1393,60,15060,2928,0,0,2142,786,0,9102,9319.0,0.015533375337953842,1.0238409140848166
23065.0,5.4538,-1,462,308,17,17,5236,1613,136,279,523,675,0,16739,6326.0,0.010544493227588369,0.37791982794671125
21893.0,0.2216,-1,1,1,33,33,33,32,5,5,15,6,1,21744,149.0,0.0002483606530051639,0.006852465047829286
11950.0,1.3179,-1,154,154,5,5,770,475,83,179,213,0,0,8822,3128.0,0.005213906863088273,0.3545681251416912
3529.0,0.9211,-1,66,44,21,21,924,264,17,52,141,54,0,2347,1182.0,0.0019702167238396222,0.5036216446527482
24933.0,15.3129,-1,462,308,57,57,17556,4905,12,136,1098,3659,0,16977,7956.0,0.01326145876046365,0.4686340342816752
46163.0,30.9054,-1,7,7,30359,2612,18284,3821,11,1392,1970,448,0,26849,19314.0,0.03219354128954185,0.7193564006108235
27799.0,112.7126,-1,462,307,973,971,298097,3900,360,1390,2150,0,0,4400,23399.0,0.03900262362193174,5.317954545454546
14946.0,78.7995,-1,462,308,730,726,223608,2076,372,143,1197,364,0,4408,10538.0,0.017565265512539712,2.3906533575317606
12980.0,5.5303,-1,7,7,5497,480,3360,521,365,0,149,7,0,8305,4675.0,0.0077925238442895384,0.5629139072847682
22491.0,0.0577,-1,1,1,3,3,3,3,1,0,1,1,0,22470,21.0,3.500385042354659e-05,0.0009345794392523365
21634.0,0.1374,-1,1,1,17,17,17,17,6,4,3,4,0,21528,106.0,0.00017668610213790182,0.004923820141211446
148136.0,0.0397,-1,7,7,1,1,7,7,0,0,0,0,7,148136,0.0,0.0,0.0
45556.0,10.7281,-1,21,21,739,736,15456,2190,1714,84,336,56,0,24424,21132.0,0.035223874626208886,0.8652145430723878
19783.0,4.0669,-1,462,308,9,9,2772,1386,20,0,532,834,0,16819,2964.0,0.004940543459780576,0.17622926452226648
12168.0,84.8302,-1,462,308,5401,697,214676,1770,116,678,704,272,0,2696,9472.0,0.015788403391039683,3.513353115727003
9347.0,49.3371,-1,1,1,106358,2318,2318,737,49,192,428,68,0,5479,3868.0,0.006447375878013248,0.7059682423799963
2685.0,58.4901,3,462,308,450,108,33264,1519,0,0,0,1519,0,1162,1523.0,0.002538612580717212,1.310671256454389
26338.0,108.7803,-1,462,307,919,915,280905,3624,329,1377,1918,0,0,4170,22168.0,0.036950731247103845,5.316067146282974
26918.0,76.2427,-1,462,308,5401,648,199584,3498,98,838,1116,1446,0,13924,12994.0,0.021659049162074496,0.9332088480321746
12556.0,1.9255,-1,189,63,13,13,819,606,0,166,189,251,0,10339,2217.0,0.0036954064947144188,0.2144307960150885
2333.0,55.78,3,378,252,425,102,25704,1356,0,0,0,1356,0,1328,1005.0,0.0016751842702697297,0.7567771084337349
19068.0,4.1124,-1,378,252,17,17,4284,1283,122,297,314,550,0,13885,5183.0,0.008639283654535332,0.3732805185451927
18822.0,4.0675,-1,378,252,17,17,4284,1327,107,293,312,615,0,13781,5041.0,0.00840259095167135,0.3657934837820187
6091.0,0.1188,-1,42,28,1,1,28,28,0,0,0,0,28,6091,0.0,0.0,0.0
12244.0,68.167,-1,378,251,730,727,182477,1781,303,120,994,364,0,3560,8684.0,0.0144749255751466,2.439325842696629
4270.0,42.2886,3,1,1,340,187,187,187,0,0,0,187,0,4570,300.0,0.0005000550060506656,0.06564551422319474
48931.0,0.2356,-1,7,7,17,17,119,56,14,14,0,28,0,48633,298.0,0.0004967213060103279,0.0061275265766043635
40875.0,0.2097,-1,21,7,13,13,91,42,0,21,14,7,0,40673,202.0,0.0003367037040741148,0.004966439652840951
78548.0,0.2307,-1,21,21,4,4,84,84,21,42,0,21,0,77971,577.0,0.0009617724616374468,0.007400187249105437
2977.0,57.9977,3,378,252,340,153,38556,1756,0,0,0,1756,0,2013,964.0,0.0016068434194428053,0.47888723298559366
77530.0,35.8613,-1,7,7,20072,3815,26705,8231,915,4910,2406,0,0,19926,57604.0,0.09601722856180847,2.890896316370571
21211.0,12.1372,-1,462,308,31,31,9548,4313,3,45,374,3891,0,16964,4247.0,0.007079112035657256,0.2503536901674133
24616.0,6.4948,-1,462,308,21,21,6468,1874,136,309,919,510,0,16648,7968.0,0.013281460960705678,0.47861604997597307
16335.0,80.6231,-1,378,252,8257,818,206136,2175,143,130,1245,657,0,7994,8341.0,0.013903196018228672,1.0434075556667501
69725.0,9.7869,-1,21,21,5401,449,9429,1798,499,837,364,98,0,56265,13460.0,0.022435801271473196,0.23922509553008087
26028.0,6.9529,-1,21,7,5497,510,3570,1255,433,740,75,7,0,15367,10661.0,0.017770288065020484,0.6937593544608577
19846.0,4.0611,-1,1,1,5497,569,569,269,83,133,45,8,0,17632,2214.0,0.003690405944653912,0.1255671506352087
12045.0,19.0315,-1,378,252,8257,150,37800,1162,94,333,271,464,0,6953,5092.0,0.008487600302699964,0.7323457500359557
21059.0,0.0503,-1,1,1,1,1,1,1,0,0,0,0,1,21059,0.0,0.0,0.0
22218.0,0.0337,-1,1,1,3,3,3,3,1,0,1,1,0,22204,14.0,2.3335900282364394e-05,0.0006305170239596469
10278.0,294.2644,-1,462,308,103579,2557,787556,3700,54,175,579,2892,0,4205,6073.0,0.01012278017248564,1.4442330558858503
11503.0,3.093,-1,1,1,973,970,970,636,336,254,46,0,0,5717,5786.0,0.00964439421669717,1.0120692670981284
42949.0,0.138,-1,3,1,1,1,1,1,0,0,0,0,1,42949,0.0,0.0,0.0
13551.0,0.2037,-1,126,63,1,1,63,63,0,0,0,0,63,13551,0.0,0.0,0.0
71512.0,0.1783,-1,7,7,13,13,91,56,7,28,7,14,0,71167,345.0,0.0005750632569582654,0.004847752469543468
9469.0,131.614,-1,462,307,22166,1218,373926,3684,10,30,757,2887,0,4147,5322.0,0.008870975807338807,1.2833373523028695
13773.0,48.1249,-1,7,7,104126,2381,16667,2151,100,484,1451,116,0,2871,10902.0,0.018171998919881187,3.7972831765935213
18809.0,3.647,-1,378,252,17,17,4284,1280,99,269,479,433,0,13366,5443.0,0.009072664659779243,0.40722729313182704
21761.0,0.0959,-1,1,1,17,17,17,17,1,5,8,3,0,21687,74.0,0.00012334690149249752,0.003412182413427399
2189.0,0.4401,-1,42,28,17,17,476,136,16,34,48,38,0,1544,645.0,0.001075118263008931,0.4177461139896373
23501.0,4.3428,-1,462,307,17,17,5219,1671,151,381,382,757,0,16821,6680.0,0.011134558134728153,0.39712264431365557
25858.0,25.8588,-1,462,308,5401,196,60368,2959,104,1010,1060,785,0,12098,13760.0,0.022935856277523863,1.137378079021326
9309.0,16.7124,-1,1,1,30472,2461,2461,768,12,242,446,68,0,5399,3910.0,0.0065173835788603415,0.724208186701241
78799.0,2.0466,-1,21,21,51,51,1071,807,18,208,245,336,0,75782,3017.0,0.0050288865108495265,0.03981156475152411
44279.0,16.2671,-1,7,7,16226,1548,10836,2709,1310,20,1260,119,0,24107,20172.0,0.033623698606846754,0.8367694030779441
28912.0,95.2704,-1,462,308,973,970,298760,4039,390,1423,2226,0,0,4492,24420.0,0.04070447749252418,5.43633125556545
9163.0,0.8473,-1,189,63,5,5,315,315,63,126,126,0,0,7063,2100.0,0.003500385042354659,0.29732408325074333
61106.0,19.5363,-1,21,21,15498,929,19509,4154,1058,184,2633,279,0,36772,24334.0,0.04056112839078965,0.6617535081039921
95660.0,5.19,-1,21,7,8353,272,1904,801,591,98,84,28,0,87953,7707.0,0.012846413105441599,0.08762634588928178
21540.0,0.1119,-1,1,1,21,21,21,21,6,4,8,3,0,21410,130.0,0.00021669050262195508,0.006071929005137786
85879.0,0.0094,-1,1,1,1,1,1,1,0,0,0,0,1,85879,0.0,0.0,0.0
4067.0,0.8576,-1,126,63,17,17,1071,280,32,0,61,187,0,3331,736.0,0.0012268016148442996,0.22095466826778745
22831.0,4.0193,-1,462,308,17,17,5236,1490,162,269,459,600,0,16691,6140.0,0.010234459123836956,0.36786292013660055
68560.0,0.1979,-1,7,7,13,13,91,70,0,28,14,28,0,68250,310.0,0.0005167235062523545,0.004542124542124542
21293.0,1.6063,-1,462,308,3,3,924,783,238,0,263,282,0,17451,3842.0,0.006404037777488857,0.22015930319179416
43473.0,0.0159,-1,1,1,1,1,1,1,0,0,0,0,1,43473,0.0,0.0,0.0
5541.0,0.9599,-1,126,126,9,9,1134,364,0,0,189,175,0,4655,886.0,0.0014768291178696323,0.19033297529538132
17060.0,76.2413,-1,378,252,8257,1051,264852,2420,143,498,1424,355,0,5717,11343.0,0.018907079778775666,1.9840825607836279
11850.0,38.4985,3,7,7,425,221,1547,1108,0,0,0,1108,0,11981,131.0,0.00021835735264212397,0.010933978799766297
75393.0,2.9393,-1,21,7,2521,174,1218,723,0,481,207,35,0,70815,4578.0,0.007630839392333157,0.06464732048294852
16955.0,8.4854,-1,378,252,1969,68,17136,1545,30,429,133,953,0,12273,4682.0,0.007804191794430721,0.3814878187892121
9318.0,184.0408,-1,378,252,36151,2666,671832,3134,8,200,674,2252,0,3526,5792.0,0.009654395316818184,1.6426545660805445
74027.0,8.1535,-1,7,7,8257,1147,8029,1135,600,359,106,70,0,64179,9848.0,0.016415138998623183,0.15344583119088798
3076.0,0.0861,-1,21,7,1,1,7,7,0,0,0,0,7,3076,0.0,0.0,0.0
