estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
9390.0,65.9226,-1,5,5,50753,719,3595,854,333,218,81,222,0,6683,2707.0,0.007169436535787592,0.40505760885829717
115933.0,0.2431,-1,5,5,1,1,5,5,0,0,0,0,5,115928,5.0,1.3242402171753956e-05,4.313021875646953e-05
24.0,0.0871,-1,10,3,1,1,3,3,0,0,0,0,3,22,2.0,5.296960868701582e-06,0.09090909090909091
3687.0,7.7632,-1,900,367,43,32,11744,751,3,1,62,513,172,2425,1262.0,0.0033423823081506986,0.5204123711340206
23680.0,3.8378,-1,10,10,146,146,1460,1011,653,263,36,59,0,19797,3883.0,0.010284049526584122,0.19614082941859878
12531.0,5.6558,-1,1,1,5172,631,631,475,7,393,29,46,0,10967,1564.0,0.004142223399324637,0.14260964712318774
34932.0,0.292,-1,1,1,5,5,5,5,2,0,0,2,1,34923,9.0,2.3836323909157122e-05,0.0002577098187440941
29700.0,0.2427,-1,5,5,7,7,35,35,10,10,5,5,5,29615,85.0,0.00022512083691981726,0.0028701671450278576
4629.0,0.8173,-1,50,48,5,5,240,180,0,63,76,41,0,4112,517.0,0.001369264384559359,0.1257295719844358
12214.0,1.0333,-1,1,1,98,98,98,98,40,48,4,6,0,11858,356.0,0.0009428590346288817,0.03002192612582223
9045.0,3.1875,-1,1,1,3062,331,331,256,0,137,46,72,1,8299,746.0,0.0019757664040256904,0.08989034823472708
58752.0,0.2515,-1,10,10,3,3,30,30,0,0,10,20,0,58701,51.0,0.00013507250215189035,0.0008688097306689834
10248.0,3.0995,-1,1,1,3005,355,355,273,0,202,55,12,4,9377,871.0,0.002306826458319539,0.09288685080516157
8840.0,1.0367,-1,10,10,43,28,280,185,6,0,46,123,10,8425,415.0,0.0010991193802555783,0.04925816023738872
45168.0,0.2115,-1,1,1,5,5,5,5,0,1,2,1,1,45154,14.0,3.707872608091108e-05,0.0003100500509367941
7625.0,4.3293,-1,1,1,3480,621,621,501,0,102,368,29,2,6155,1470.0,0.003893266238495663,0.2388302193338749
18344.0,29.6911,-1,1,1,51019,1234,1234,1054,321,235,475,23,0,14749,3595.0,0.009521287161491095,0.24374533866702827
21388.0,37.4063,-1,10,10,49061,950,9500,2496,581,5,1625,265,20,13954,7434.0,0.019688803548963782,0.5327504658162534
25348.0,2.9427,-1,900,427,1,1,427,427,0,0,0,0,427,24951,397.0,0.0010514467324372642,0.015911185924411847
32294.0,0.5671,-1,1,1,43,26,26,26,0,3,9,13,1,32231,63.0,0.00016685426736409985,0.001954639942912103
11031.0,22.4196,-1,1,1,49061,920,920,680,219,0,430,29,2,8838,2193.0,0.005808117592531285,0.24813306177868297
11441.0,0.7685,-1,1,1,26,26,26,26,0,10,8,8,0,11369,72.0,0.00019069059127325698,0.0063330108188934826
6321.0,0.1671,-1,5,5,4,4,20,20,0,5,0,10,5,6287,34.0,9.00483347679269e-05,0.0054079847303960555
17375.0,0.1908,-1,50,48,1,1,48,48,0,0,0,0,48,17331,44.0,0.00011653313911143482,0.0025388033004442906
17615.0,45.1586,-1,10,10,50753,608,6080,1235,426,380,62,367,0,13685,3930.0,0.01040852810699861,0.28717573986116185
13392.0,3.7499,-1,1,1,3043,367,367,312,8,182,68,52,2,12448,944.0,0.002500165530027147,0.07583547557840617
1476.0,0.3781,-1,1,1,43,31,31,24,1,0,9,13,1,1421,55.0,0.0001456664238892935,0.03870513722730472
10430.0,0.2187,-1,1,1,32,32,32,32,0,10,16,6,0,10343,87.0,0.00023041779778851883,0.008411486029198492
1483.0,75.2937,-1,180,105,50943,1119,117495,374,68,17,196,93,0,448,1035.0,0.0027411772495530688,2.310267857142857
2207.0,0.1545,-1,1,1,1,1,1,1,0,0,0,0,1,2205,2.0,5.296960868701582e-06,0.0009070294784580499
3.0,0.3041,-1,50,3,43,32,96,1,0,0,0,1,0,1,2.0,5.296960868701582e-06,2.0
