estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
2623.0,32.3829,-1,90,73,50582,749,54677,671,103,89,8,471,0,1032,1591.0,0.004213732371052109,1.5416666666666667
9704.0,19.3643,-1,900,576,107,107,61632,1962,403,464,420,675,0,4105,5599.0,0.01482884195193008,1.3639464068209501
6572.0,3.8363,-1,900,441,34,19,8379,760,0,9,93,236,422,5504,1068.0,0.002828577103886645,0.19404069767441862
2580.0,16.8981,-1,90,76,3480,727,55252,581,0,51,282,179,69,1177,1403.0,0.0037158180493941603,1.1920135938827527
0.0,1503.8094,-1,0,0,0,0,0,0,0,0,0,0,0,375,375.0,0.0009931801628815468,1.0
11179.0,19.5003,-1,5,5,51190,1218,6090,1261,304,235,630,92,0,7243,3936.0,0.010424418989604714,0.5434212342951815
18768.0,5.7581,-1,11250,1258,1,1,1258,1258,0,0,0,0,1258,17564,1204.0,0.0031887704429583528,0.06854930539740378
2897.0,36.5713,-1,900,427,441,328,140056,846,0,0,197,649,0,1139,1758.0,0.004656028603588691,1.543459174714662
27566.0,0.1054,-1,2,2,3,3,6,6,0,4,0,0,2,27553,13.0,3.4430245646560284e-05,0.00047181795085834575
3461.0,219.2357,-1,900,576,37010,1326,763776,927,0,92,482,234,119,1185,2276.0,0.0060279414685824005,1.920675105485232
8046.0,45.2698,-1,90,85,53621,1161,98685,1799,234,413,538,575,39,3089,4957.0,0.013128517513076872,1.6047264486888961
1798.0,0.8342,-1,50,45,43,32,1440,233,0,1,33,166,33,1346,452.0,0.0011971131563265577,0.33580980683506684
566.0,1231.6736,-1,5017500,885,77,77,68145,165,13,21,51,80,0,171,395.0,0.0010461497715685626,2.309941520467836
550.0,1755.2812,4,5017500,15927,6,6,95562,257,0,0,0,0,257,290,260.0,0.0006886049129312057,0.896551724137931
2682.0,0.1973,-1,10,10,7,7,70,56,11,17,8,10,10,2517,165.0,0.00043699927166788056,0.06555423122765197
1246.0,193.6054,-1,22500,1122,48643,575,645150,425,36,0,19,309,61,440,806.0,0.002134675230086738,1.8318181818181818
75.0,2.1714,-1,900,124,56,56,6944,22,0,5,3,14,0,22,53.0,0.00014036946302059194,2.409090909090909
128792.0,4.2031,-1,4500,1579,1,1,1579,1579,0,0,0,0,1579,127278,1514.0,0.004009799377607098,0.011895221483681391
701.0,47.6966,4,900,427,8,8,3416,259,0,0,0,0,259,398,303.0,0.0008024895716082898,0.7613065326633166
16310.0,20.8205,-1,10,10,50753,730,7300,1520,531,475,103,411,0,11496,4814.0,0.012749784810964709,0.4187543493389005
13904.0,598.8405,-1,2508750,8774,5,5,43870,2546,0,643,1018,885,0,7269,6635.0,0.0175726676819175,0.9127802999037007
171852.0,1648.763,-1,5017500,15927,1,1,15927,15927,0,0,0,0,15927,156803,15049.0,0.03985698205654506,0.09597392907023462
8974.0,48.8848,-1,22500,2735,53,53,144955,2261,0,743,575,461,482,3469,5505.0,0.014579884791101106,1.5869126549437877
10499.0,0.5597,-1,2,2,95,95,190,190,80,64,40,6,0,9813,686.0,0.0018168575779646428,0.06990726587180271
4603.0,39.326,4,2,2,12,12,24,24,0,0,0,0,24,2878,1725.0,0.0045686287492551145,0.5993745656706045
2029.0,1278.932,-1,5017500,727,3,3,2181,509,0,145,0,0,364,1194,835.0,0.0022114811626829105,0.6993299832495813
9004.0,99.2189,-1,501750,2408,4,4,9632,1500,287,293,0,0,920,6067,2937.0,0.0077785870356882735,0.4840942805340366
16006.0,7.75,-1,900,562,34,28,15736,2120,0,5,221,1572,322,12164,3842.0,0.01017546182877574,0.3158500493258796
11158.0,80.4084,-1,900,576,3062,414,238464,2831,0,233,114,2287,197,5724,5434.0,0.0143918426802622,0.9493361285814116
54.0,1467.7371,-1,5017500,334,53298,957,319638,18,1,5,7,3,2,10,44.0,0.00011653313911143482,4.4
15010.0,0.8957,-1,1,1,155,155,155,155,104,32,16,3,0,14413,597.0,0.0015811428193074223,0.04142093942968154
818.0,17.2821,-1,2,2,50753,807,1614,161,38,32,6,85,0,385,433.0,0.0011467920280738926,1.1246753246753247
11753.0,0.785,-1,90,85,6,6,510,295,71,44,115,65,0,10874,879.0,0.0023280143017943454,0.08083501931212066
234.0,9.6183,-1,40140,206,5,5,1030,79,0,2,24,20,33,104,130.0,0.00034430245646560284,1.25
28.0,4.8947,-1,450,30,3005,354,10620,11,0,0,1,1,9,13,15.0,3.972720651526187e-05,1.1538461538461537
1816.0,0.8069,-1,10,10,101,101,1010,217,100,61,0,56,0,1109,707.0,0.0018724756670860094,0.6375112714156899
26.0,1.6979,-1,4500,41,43,28,1148,12,0,0,1,4,7,15,11.0,2.9133284777858705e-05,0.7333333333333333
5.0,0.0263,-1,20,1,1,1,1,1,0,0,0,0,1,1,4.0,1.0593921737403165e-05,4.0
18.0,199.8194,4,22500,374,9,9,3366,11,0,0,0,0,11,8,10.0,2.6484804343507912e-05,1.25
5.0,58.3499,-1,200700,3,23,23,69,1,0,0,0,1,0,1,4.0,1.0593921737403165e-05,4.0
171337.0,0.0623,-1,2,2,1,1,2,2,0,0,0,0,2,171333,4.0,1.0593921737403165e-05,2.3346348922857827e-05
3997.0,71.5106,4,22500,4849,6,6,29094,1453,0,0,0,0,1453,3887,110.0,0.000291332847778587,0.028299459737586827
6798.0,1410.7169,-1,5017500,1968,1,1,1968,1968,0,0,0,0,1968,4978,1820.0,0.00482023439051844,0.36560867818400966
1244.0,0.8871,-1,18,18,56,56,1008,235,0,130,47,58,0,598,646.0,0.001710918360590611,1.080267558528428
6550.0,14.991,-1,1,1,49080,1019,1019,488,118,0,320,49,1,5086,1464.0,0.0038773753558895585,0.28784899724734564
17882.0,1.5652,-1,10,10,107,107,1070,541,291,125,69,56,0,15901,1981.0,0.0052466397404489174,0.12458335953713603
