estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
9201.0,58.2802,-1,6,4,112199,2357,9428,822,51,200,454,117,0,5384,3817.0,0.006362366526984635,0.7089524517087668
14400.0,3.6981,-1,2,1,919,916,916,459,296,137,26,0,0,10070,4330.0,0.007217460587331273,0.4299900695134062
15356.0,6.549,-1,6,4,5401,572,2288,372,94,191,75,12,0,12708,2648.0,0.0044138188534072085,0.20837267862763614
148136.0,0.3172,-1,2,1,1,1,1,1,0,0,0,0,1,148136,0.0,0.0,0.0
28779.0,22.1214,-1,6,4,18838,2516,10064,2666,261,2294,49,62,0,9546,19233.0,0.03205852643790817,2.0147705845380264
22339.0,0.1827,-1,6,4,3,3,12,12,4,0,4,4,0,22280,59.0,9.834415118996423e-05,0.0026481149012567325
9611.0,7.3597,-1,2,1,8257,642,642,304,172,119,12,1,0,6860,2751.0,0.004585504405484603,0.4010204081632653
17052.0,3.9221,-1,2,1,5401,132,132,47,30,14,0,3,0,16625,427.0,0.000711744958612114,0.02568421052631579
5520.0,0.0977,-1,2,1,5,5,5,5,1,2,2,0,0,5480,40.0,6.667400080675541e-05,0.0072992700729927005
79303.0,0.0506,-1,2,2,4,4,8,8,2,4,0,2,0,79257,46.0,7.667510092776873e-05,0.0005803903756135105
85615.0,0.0422,-1,6,4,1,1,4,4,0,0,0,0,4,85615,0.0,0.0,0.0
15339.0,6.346,-1,6,4,5401,575,2300,461,62,374,10,15,0,11908,3431.0,0.005718962419199445,0.2881256298286866
28103.0,0.1278,-1,2,1,9,9,9,7,1,0,4,2,0,28079,24.0,4.000440048405325e-05,0.000854731293849496
22264.0,7.3285,-1,6,4,5401,752,3008,444,135,246,42,21,0,18877,3387.0,0.005645621018312014,0.17942469672087727
18084.0,0.1743,-1,3,3,17,17,51,33,0,6,20,7,0,17960,124.0,0.00020668940250094178,0.0069042316258351895
1972.0,0.0557,-1,18,9,1,1,9,9,0,0,0,0,9,1972,0.0,0.0,0.0
11231.0,0.0579,-1,2,2,5,5,10,10,2,4,4,0,0,11163,68.0,0.00011334580137148419,0.006091552450058228
42241.0,31.9043,-1,6,4,19873,4384,17536,4334,1057,2291,986,0,0,10787,31454.0,0.05242910053439211,2.915917307870585
5471.0,0.3355,-1,2,1,42,42,42,38,2,5,15,16,0,5363,108.0,0.00018001980217823962,0.02013798247249674
12824.0,4.9808,-1,6,4,892,891,3564,859,361,461,30,7,0,5580,7244.0,0.012074661546103404,1.2982078853046595
23536.0,10.0184,-1,6,4,8353,930,3720,452,209,165,70,8,0,19852,3684.0,0.006140675474302173,0.1855732419907314
22002.0,0.4423,-1,6,4,51,51,204,128,9,41,50,24,4,21442,560.0,0.0009334360112945758,0.026116966700867456
5827.0,43.0508,3,2,2,340,51,102,51,0,0,0,51,0,9672,3845.0,0.006409038327549364,0.39753928866832094
21995.0,0.2595,-1,6,4,17,17,68,34,9,8,6,11,0,21805,190.0,0.0003167015038320882,0.00871359779867003
22695.0,0.0981,-1,6,4,5,5,20,20,4,8,8,0,0,22563,132.0,0.00022002420266229285,0.005850285866241191
21963.0,0.5272,-1,6,4,49,49,196,130,12,41,49,24,4,21322,641.0,0.0010684508629282554,0.030062845886877403
11717.0,5.9547,-1,6,4,901,900,3600,732,325,333,74,0,0,5549,6168.0,0.010281130924401685,1.1115516309244908
78078.0,0.1406,-1,1,1,3,3,3,3,1,0,1,1,0,78058,20.0,3.3337000403377706e-05,0.00025621973404391606
47866.0,89.5619,-1,2,2,108930,2504,5008,1875,195,987,608,85,0,36351,11515.0,0.019193777982244715,0.3167725784710187
12505.0,0.2618,-1,2,2,21,21,42,12,4,1,4,3,0,12441,64.0,0.00010667840129080866,0.0051442810063499714
21434.0,0.1097,-1,6,4,9,9,36,16,1,0,8,7,0,21392,42.0,7.000770084709318e-05,0.001963350785340314
38577.0,0.0484,-1,2,1,3,3,3,3,1,0,1,1,0,38569,8.0,1.3334800161351082e-05,0.0002074204672146024
10196.0,86.5232,-1,6,4,107418,2515,10060,1101,57,190,666,188,0,5430,4766.0,0.007944207196124906,0.8777163904235727
18276.0,5.8767,-1,6,4,5497,430,1720,276,69,129,72,6,0,16384,1892.0,0.003153680238159531,0.115478515625
9460.0,3.7907,-1,6,4,685,681,2724,387,309,36,39,3,0,5721,3739.0,0.006232352225411462,0.6535570704422303
22825.0,3.2374,-1,6,4,5569,186,744,214,102,65,36,11,0,21102,1723.0,0.0028719825847509893,0.08165102833854611
18048.0,21.1856,-1,42,28,973,972,27216,1965,359,1069,537,0,0,4427,13621.0,0.022704164124720386,3.0768014456742714
17385.0,13.563,-1,6,4,19915,1313,5252,1646,5,1536,56,49,0,6156,11229.0,0.018717058876476414,1.8240740740740742
