estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
78622.0,0.0567,-1,1,1,3,3,3,3,1,0,1,1,0,78610,12.0,2.0002200242026623e-05,0.00015265233430861213
9412.0,45.5486,-1,6,4,107563,2518,10072,891,50,206,449,186,0,5497,3915.0,0.006525717828961186,0.7122066581771875
13286.0,2.7499,-1,6,4,5401,183,732,165,123,21,12,9,0,11753,1533.0,0.002555281080918901,0.13043478260869565
78069.0,2.612,-1,1,1,4849,442,442,211,169,15,21,6,0,76109,1960.0,0.003267026039531015,0.025752539121523078
53439.0,46.0134,-1,2,2,105745,2543,5086,2499,323,1481,610,85,0,37145,16294.0,0.027159654228631817,0.4386593081168394
17012.0,0.3755,-1,42,28,9,9,252,105,14,0,42,49,0,16656,356.0,0.0005933986071801231,0.021373679154658983
17209.0,44.3852,-1,378,251,1969,249,62499,2205,22,228,1218,737,0,9973,7236.0,0.012061326745942054,0.725559009325178
17806.0,19.9474,-1,42,28,946,942,26376,1806,350,1210,198,48,0,4550,13256.0,0.02209576386735874,2.9134065934065934
19150.0,16.2863,-1,42,28,5401,663,18564,967,116,348,399,104,0,13811,5339.0,0.008899312257681678,0.3865759177467236
18516.0,3.9018,-1,378,251,17,17,4267,1278,110,238,375,555,0,13739,4777.0,0.007962542546346764,0.34769633888929324
22483.0,0.0668,-1,6,4,4,4,16,16,4,8,0,4,0,22380,103.0,0.00017168555207739517,0.004602323503127793
101353.0,0.0725,-1,1,1,17,17,17,10,4,1,2,3,0,101300,53.0,8.834305106895091e-05,0.0005231984205330701
17910.0,19.9949,-1,42,28,901,899,25172,1986,352,1061,573,0,0,4431,13479.0,0.022467471421856403,3.041976980365606
2584.0,0.1982,-1,6,4,17,17,68,32,8,8,8,8,0,2390,194.0,0.00032336890391276374,0.08117154811715481
10427.0,45.2181,-1,2,1,109751,3174,3174,1235,66,460,692,17,0,3638,6789.0,0.011316244786926562,1.866135239142386
3569.0,0.2307,-1,14,7,17,17,119,89,26,28,21,14,0,3007,562.0,0.0009367697113349136,0.186897239773861
15937.0,18.9944,-1,42,28,8257,830,23240,612,155,229,102,126,0,12199,3738.0,0.006230685375391293,0.30641855889827035
