estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_avgs,absolute_error,normalized_error,relative_error
-1339700585.0,29.83,-1,1,1,8257,289,289,289,240,28,18,3,0,25,1339700610.0,2233.0799887987678,53588024.4
1430825601.0,2.016,-1,7,7,17,17,119,70,21,21,7,21,0,25,1430825576.0,2384.971640213757,57233023.04
-785891715.0,11.833,-1,1,1,8257,233,233,233,209,7,12,5,0,25,785891740.0,1309.9636626695603,31435669.6
196002338.0,75.1914,-1,1,1,108065,2749,2749,874,53,196,561,64,0,26,196002312.0,326.70645771034816,7538550.461538462
796813642.0,0.8823,-1,1,1,17,17,17,17,6,4,3,4,0,25,796813617.0,1328.1687935672924,31872544.68
429572264.0,25.2512,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0,19,429572245.0,716.0325052422434,22609065.52631579
1613679842.0,64.1977,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0,31,1613679811.0,2689.762225511473,52054187.451612905
501484590.0,2.8816,-1,7,7,2065,37,259,182,0,98,77,7,0,25,501484565.0,835.8995572846346,20059382.6
653107123.0,8.0932,-1,1,1,5401,774,774,774,580,142,43,9,0,25,653107098.0,1088.631579473742,26124283.92
1258930327.0,0.3297,-1,1,1,17,17,17,17,6,4,3,4,0,25,1258930302.0,2098.4479992799206,50357212.08
-165675264.0,0.557,-1,1,1,41,41,41,41,15,4,15,6,1,20,165675284.0,276.1558504768858,8283764.2
145219826.0,0.1704,-1,27,9,1,1,9,9,0,0,0,0,9,25,145219801.0,242.0596282257715,5808792.04
1599150949.0,5.5505,-1,1,1,937,932,932,932,668,254,6,4,0,27,1599150922.0,2665.5447465887914,59227811.925925925
1278750727.0,0.5948,-1,1,1,17,17,17,17,1,5,8,3,0,25,1278750702.0,2131.485633419676,51150028.08
328014891.0,2.0129,-1,1,1,2065,41,41,41,0,21,15,5,0,25,328014866.0,546.7515860077942,13120594.64
689680474.0,70.4524,-1,7,7,114678,2341,16387,1452,86,180,710,476,0,32,689680442.0,1149.5938586577856,21552513.8125
-940594837.0,4.2751,-1,1,1,5401,140,140,140,90,35,12,3,0,25,940594862.0,1567.8305646954498,37623794.48
2060763091.0,26.4526,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0,22,2060763069.0,3434.982963125944,93671048.5909091
310004473.0,0.4747,-1,3,1,4,4,4,4,1,2,0,1,0,19,310004454.0,516.7309304023443,16316023.894736841
813492443.0,0.3349,-1,1,1,32,32,32,28,11,4,5,7,1,28,813492415.0,1355.969848349985,29053300.535714287
443345305.0,91.608,3,1,1,450,108,108,108,0,0,0,108,0,21,443345284.0,738.9900955771801,21111680.19047619
127618333.0,8.3583,-1,1,1,4945,511,511,511,385,41,79,6,0,25,127618308.0,212.720579263719,5104732.32
-767338170.0,24.7341,-1,1,1,16513,2216,2216,2216,2003,48,148,17,0,26,767338196.0,1279.037687478956,29513007.53846154
422636196.0,7.2562,-1,1,1,5401,756,756,281,159,99,17,6,0,25,422636171.0,704.4711101554504,16905446.84
-1412352404.0,3.1108,-1,1,1,1969,172,172,172,0,156,10,6,0,25,1412352429.0,2354.1796747642243,56494097.16
1193098346.0,89.1518,-1,1,1,104478,2634,2634,2634,409,1336,825,64,0,23,1193098323.0,1988.7159637560133,51873840.13043478
1606269349.0,0.4722,-1,1,1,1,1,1,1,0,0,0,0,1,25,1606269324.0,2677.4100551060615,64250772.96
1375154334.0,21.5503,-1,1,1,20853,1030,1030,1030,63,99,800,68,0,26,1375154308.0,2292.1759860251295,52890550.307692304
797674872.0,0.4555,-1,1,1,9,9,9,9,1,0,4,4,0,25,797674847.0,1329.6043348101625,31906993.88
1502760123.0,174.3629,3,1,1,425,221,221,221,0,0,0,221,0,30,1502760093.0,2504.875691326046,50092003.1
1295563866.0,0.3074,-1,1,1,13,13,13,13,1,5,3,4,0,25,1295563841.0,2159.5106145009286,51822553.64
1297317524.0,0.1434,-1,1,1,13,13,13,13,1,5,3,4,0,25,1297317499.0,2162.433699373598,51892699.96
580827444.0,73.7459,3,1,1,360,108,108,108,0,0,0,108,0,24,580827420.0,968.1521967416415,24201142.5
-1863561380.0,6.4869,-1,1,1,2521,330,330,330,128,159,40,3,0,25,1863561405.0,3106.277365510206,74542456.2
1543031247.0,0.9592,-1,7,7,13,13,91,63,7,14,21,21,0,25,1543031222.0,2572.0016235119197,61721248.88
