estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_sums,absolute_error,normalized_error,relative_error
-16737.888368315842,9.1567,-1,1,1,8257,289,289,289,240,28,18,3,0,2038657,2055394.8883683158,3.426035011131751,1.0082102523221492
37047.86517697626,0.5195,-1,7,7,17,17,119,70,21,21,7,21,0,986683,949635.1348230237,1.5828993436328391,0.9624521095661156
-8275.070442556149,7.7031,-1,1,1,8257,233,233,233,209,7,12,5,0,2420632,2428907.070442556,4.048623799355522,1.0034185578157093
35950.538884812915,50.2054,-1,1,1,108065,2749,2749,874,53,196,561,64,0,147094,111143.46111518709,0.18525948040148932,0.7555947973077562
36680.64457027114,0.5997,-1,1,1,17,17,17,17,6,4,3,4,0,551645,514964.35542972886,0.8583683462343006,0.9335067940971619
27903.36239038649,16.689,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0,297468,269564.63760961354,0.44932382163640255,0.9061970955182189
42368.257988289966,53.7862,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0,1206615,1164246.74201171,1.940624705403778,0.9648866805167432
36928.17304860088,1.7523,-1,7,7,2065,37,259,182,0,98,77,7,0,345858,308929.8269513991,0.5149396882847098,0.8932273561733403
4886.587828181934,5.2758,-1,1,1,5401,774,774,774,580,142,43,9,0,3414689,3409802.412171818,5.683629219500508,0.9985689508391007
8392.42125086662,0.1304,-1,1,1,17,17,17,17,6,4,3,4,0,3831863,3823470.5787491333,6.373152011303132,0.9978098326451477
-1090.5571689990652,0.2239,-1,1,1,41,41,41,41,15,4,15,6,1,3105070,3106160.557168999,5.177503787364942,1.0003512182234215
36979.83855360326,0.1622,-1,27,9,1,1,9,9,0,0,0,0,9,100189,63209.16144639674,0.10536019203178473,0.6308992149477163
40555.678248078926,4.2418,-1,1,1,937,932,932,932,668,254,6,4,0,1104343,1063787.321751921,1.7731739187175939,0.9632761938563662
8487.828159328807,0.1275,-1,1,1,17,17,17,17,1,5,8,3,0,3844356,3835868.171840671,6.393816939597808,0.9977921326330524
2625.946786963727,1.2255,-1,1,1,2065,41,41,41,0,21,15,5,0,3189712,3187086.053213036,5.312394452078122,0.9991767448638109
43551.43180095984,53.9344,-1,7,7,114678,2341,16387,1452,86,180,710,476,0,514493,470941.56819904014,0.7849889624509365,0.9153507787259304
-10345.301770787506,4.0655,-1,1,1,5401,140,140,140,90,35,12,3,0,2313757,2324102.3017707877,3.87392996858119,1.0044712136022873
37736.00239882805,28.1044,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0,1240564,1202827.997601172,2.0049338720612133,0.9695815754779051
27600.11333689459,0.2012,-1,3,1,4,4,4,4,1,2,0,1,0,213690,186089.8866631054,0.3101839313376228,0.8708404074271393
37557.36117266851,0.2566,-1,1,1,32,32,32,28,11,4,5,7,1,611040,573482.6388273315,0.955909548095843,0.9385353476488143
28984.394939853555,69.771,3,1,1,450,108,108,108,0,0,0,108,0,381993,353008.6050601464,0.5884124004642951,0.9241232301642869
1066.3920266058342,10.045,-1,1,1,4945,511,511,511,385,41,79,6,0,3049623,3048556.607973394,5.08148664348644,0.9996503200472301
-8625.55692944099,19.9721,-1,1,1,16513,2216,2216,2216,2003,48,148,17,0,2340503,2349128.556929441,3.915644982497143,1.003685343248627
36972.8104277841,5.1571,-1,1,1,5401,756,756,281,159,99,17,6,0,291167,254194.1895722159,0.4237035900152615,0.8730185411541002
-18076.72247891362,2.0697,-1,1,1,1969,172,172,172,0,156,10,6,0,1989452,2007528.7224789136,3.3462492915535935,1.0090862822922662
30864.50605339404,52.5176,-1,1,1,104478,2634,2634,2634,409,1336,825,64,0,895750,864885.493946606,1.4416344030286763,0.9655433926280836
37013.37302117658,0.0906,-1,1,1,1,1,1,1,0,0,0,0,1,1107470,1070456.6269788234,1.7842906502695688,0.9665784418348339
35639.609537385,13.2147,-1,1,1,20853,1030,1030,1030,63,99,800,68,0,1033441,997801.3904626151,1.6631852678171517,0.965513648541731
37173.77537515146,0.1361,-1,1,1,9,9,9,9,1,0,4,4,0,548862,511688.2246248485,0.8529075275361099,0.9322711804148375
41466.89081125828,80.2052,3,1,1,425,221,221,221,0,0,0,221,0,1053181,1011714.1091887418,1.6863756833064,0.9606270044643245
8563.560004759134,0.6537,-1,1,1,13,13,13,13,1,5,3,4,0,3856390,3847826.439995241,6.413749579112437,0.9977793843452661
8572.99818933957,0.239,-1,1,1,13,13,13,13,1,5,3,4,0,3857267,3848694.0018106606,6.415195674541967,0.9977774423732297
32992.18653791537,79.0286,3,1,1,360,108,108,108,0,0,0,108,0,473749,440756.8134620846,0.7346755034088494,0.9303593537127987
-28312.99574597387,5.557,-1,1,1,2521,330,330,330,128,159,40,3,0,1677500,1705812.995745974,2.843334426363523,1.0168780898634717
36900.49854122824,0.7305,-1,7,7,13,13,91,63,7,14,21,21,0,1064770,1027869.5014587718,1.7133042992375358,0.9653441602024585
41591.52849781694,49.6893,-1,21,21,16597,2277,47817,6555,3604,72,2695,184,0,625910,584318.471502183,0.9739712560084659,0.933550305159181
28000.29613906259,76.078,3,1,1,450,108,108,108,0,0,0,108,0,309199,281198.7038609374,0.4687160652020679,0.9094424751080611
79.98719688628275,0.4753,-1,1,1,4,4,4,4,1,2,0,1,0,2970711,2970631.0128031136,4.951596363605185,0.9999730747296232
-8179.5136086591,7.6201,-1,1,1,4849,507,507,507,498,0,0,9,0,2425701,2433880.513608659,4.05691378319725,1.0033720205452605
-12870.00736838441,5.0771,-1,1,1,2521,349,349,349,125,198,20,6,0,2197742,2210612.0073683844,3.6847586690675715,1.0058560137488315
27602.61853301351,6.0954,-1,1,1,937,937,937,937,673,254,6,4,0,751755,724152.3814669865,1.2070534116535927,0.963282427741733
29452.651437195585,74.1645,3,1,1,425,102,102,102,0,0,0,102,0,285485,256032.3485628044,0.4267675253657976,0.8968329283948523
39142.629830244914,0.3251,-1,7,7,4,4,28,28,7,14,0,7,0,1040886,1001743.3701697551,1.6697559567715032,0.9623948925912684
40497.63665446728,10.3781,-1,1,1,937,932,932,932,668,254,6,4,0,1093700,1053202.3633455327,1.7555303805844187,0.9629718966311902
37142.50626217645,0.2779,-1,1,1,13,13,13,13,1,5,3,4,0,551808,514665.49373782356,0.8578701886171205,0.9326894386051372
34017.02620383662,59.3314,-1,1,1,107198,3454,3454,3454,392,1412,1602,48,0,980678,946660.9737961633,1.5779418632652313,0.9653127466876623
8427.092012826313,0.2012,-1,1,1,17,17,17,17,6,4,3,4,0,3836926,3828498.9079871736,6.381533481994976,0.9978036865936882
2932.084953032679,2.8943,-1,1,1,4849,101,101,101,60,21,15,5,0,3217172,3214239.915046967,5.357655867223673,0.9990886141763534
-8103.233387171204,5.9018,-1,1,1,4849,799,799,799,623,121,49,6,0,2429565,2437668.2333871713,4.0632273439864575,1.0033352609982327
37497.040565953255,75.4845,3,1,1,340,153,153,153,0,0,0,153,0,731777,694279.9594340468,1.1572605643854936,0.9487589244182951
37010.03697834126,10.2699,-1,462,308,13,13,4004,1408,24,404,377,603,0,433927,396916.9630216587,0.6616010478180245,0.9147090709304991
-10426.3340059321,10.4774,-1,1,1,8353,1077,1077,1077,875,156,40,6,0,2309959,2320385.3340059323,3.867734340787374,1.0045136446170397
44936.2637343136,4.8904,-1,1,1,973,972,972,972,672,254,46,0,0,1222842,1177905.7362656863,1.963392200251505,0.9632526003078782
42621.67737624292,21.0732,-1,1,1,26570,1049,1049,1049,87,94,800,68,0,1192201,1149579.3226237572,1.916176317101143,0.9642495876314121
8368.352820847687,0.3034,-1,1,1,17,17,17,17,6,4,3,4,0,3829889,3821520.6471791524,6.369901767826382,0.9978149881573989
-1816.537899477311,4.5682,-1,1,1,8257,247,247,247,209,28,3,7,0,2823940,2825756.5378994774,4.710112342190103,1.0006432636314786
36931.16299595142,5.8114,-1,1,1,5497,818,818,818,506,276,35,1,0,943766,906834.8370040486,1.5115576663500463,0.9608683052833527
35993.826822991134,64.2251,3,1,1,288,108,108,108,0,0,0,108,0,617986,581992.1731770089,0.9700936655982306,0.9417562423372194
-18547.302013335924,0.3268,-1,7,7,13,13,91,42,0,7,14,21,0,1972400,1990947.302013336,3.3186105505161168,1.0094034181775178
37114.34054054054,1.3481,-1,54,36,17,17,612,163,15,45,27,76,0,47748,10633.659459459457,0.017724715484469054,0.22270376684802415
37143.37795909882,34.924,-1,1,1,34960,2724,2724,2724,99,1759,802,64,0,1075272,1038128.6220409012,1.7304047145867731,0.9654567607460264
37268.82129885224,4.5174,-1,1,1,5401,657,657,193,152,32,0,9,0,353585,316316.1787011478,0.5272516288477529,0.8945972784511441
36167.953848903184,0.0949,-1,1,1,3,3,3,3,1,0,1,1,0,558632,522464.0461510968,0.8708692058644731,0.9352562082929313
33338.92470876443,22.8686,-1,1,1,29233,2326,2326,2326,72,1561,625,68,0,961688,928349.0752912356,1.547418674872962,0.965332909728764
36834.58719615602,0.459,-1,7,7,17,17,119,70,21,28,7,14,0,540867,504032.41280384397,0.8401464374478592,0.9318971444067469
8443.518346795621,0.1207,-1,1,1,13,13,13,13,1,5,3,4,0,3839956,3831512.481653204,6.386556657320979,0.9978011419019396
36715.29302863755,4.1237,-1,378,252,9,9,2268,1005,22,0,376,607,0,351026,314310.70697136247,0.5239088082545121,0.895405773279935
29063.53272121703,0.1104,-1,1,1,4,4,4,4,1,2,0,1,0,445213,416149.467278783,0.6936587479269103,0.9347199369263318
-12942.575044260157,0.0281,-1,1,1,1,1,1,1,0,0,0,0,1,2194623,2207565.5750442604,3.679680723286662,1.0058974024441831
34769.28004483163,4.69,-1,1,1,919,916,916,916,610,260,46,0,0,941903,907133.7199551684,1.5120558594031484,0.963086135148915
30477.912466240945,3.3687,-1,1,1,676,674,674,674,611,30,29,4,0,831973,801495.0875337591,1.3359721028209088,0.9633667048495073
319.5909976437757,0.2679,-1,1,1,41,41,41,41,15,14,4,7,1,3265939,3265619.409002356,5.44329777775948,0.999902144223256
36793.14717125383,0.1449,-1,3,1,17,17,17,8,4,1,1,2,0,132438,95644.85282874617,0.1594256248666456,0.7221858743619367
37317.31505546751,0.0947,-1,1,1,13,13,13,6,0,3,1,2,0,81246,43928.68494453249,0.07322252938578659,0.5406873562333222
10757.225638123564,0.2452,-1,1,1,42,42,42,42,6,5,15,16,0,4455981,4445223.774361877,7.409521337950302,0.9975858905955561
40651.209627739154,12.3262,-1,7,7,16585,223,1561,1366,0,63,1226,77,0,273274,232622.79037226085,0.38774730282374537,0.8512437713513208
4962.501283294785,3.3091,-1,1,1,2617,397,397,397,129,198,62,8,0,3420673,3415710.498716705,5.693477113677013,0.9985492617144945
8419.319542758116,0.1705,-1,1,1,17,17,17,17,6,4,3,4,0,3833390,3824970.680457242,6.3756524558655485,0.9978036882386717
-13187.959770114943,0.0451,-1,1,1,1,1,1,1,0,0,0,0,1,2182661,2195848.959770115,3.660150882880642,1.0060421475300632
