estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_avgs,absolute_error,normalized_error,relative_error
1840.2158322790528,9.429599,-1,1,1,8257,289,289,289,240,28,18,3,0,1848.159052009545,7.943219730492046,1.3240155967976554e-05,0.004297909166343235
1853.761774272031,0.554201,-1,7,7,17,17,119,70,21,21,7,21,0,1856.5762966415496,2.8145223695184995,4.69138666839769e-06,0.0015159745250490513
1841.658874716524,7.8247,-1,1,1,8257,233,233,233,209,7,12,5,0,1847.5426805513146,5.883805834790564,9.807421874390457e-06,0.00318466571664521
1684.6489767255216,50.1305,-1,1,1,108065,2749,2749,874,53,196,561,64,0,1785.5474011713031,100.89842444578153,0.0001681825408224597,0.05650839870148116
1815.53736948159,0.592301,-1,1,1,17,17,17,17,6,4,3,4,0,1816.946975973488,1.4096064918978755,2.3496026094501654e-06,0.0007758104724782259
1521.6106872586872,16.4639,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0,1396.7486880466472,124.86199921204002,0.00020812622590491624,0.08939474959282726
1932.7738416787863,51.8733,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0,2107.641147571132,174.8673058923457,0.00029147757235353506,0.08296825391450753
1826.810879233664,1.542499,-1,7,7,2065,37,259,182,0,98,77,7,0,1849.0026505669268,22.19177133326275,3.6990354494432306e-05,0.012002022455975647
1839.121762995763,5.748,-1,1,1,5401,774,774,774,580,142,43,9,0,1851.0686616293858,11.946898633622823,1.991368822840983e-05,0.006454054828580307
1851.6220704816467,0.123699,-1,1,1,17,17,17,17,6,4,3,4,0,1851.4242478784606,0.1978226031860686,3.297406101105598e-07,0.00010684887778301094
1356.1931219364758,0.204501,-1,1,1,41,41,41,41,15,4,15,6,1,1355.6854199578725,0.5077019786033361,8.462630532747537e-07,0.0003744983689646178
3697.5301757066463,0.0801,-1,27,9,1,1,9,9,0,0,0,0,9,3697.5301757066463,0.0,0.0,0.0
1951.413142257952,3.5795,-1,1,1,937,932,932,932,668,254,6,4,0,2022.6772411696143,71.26409891166236,0.00011878656470822183,0.03523256081650172
1850.181835068097,0.1004,-1,1,1,17,17,17,17,1,5,8,3,0,1850.4373585381556,0.25552347005873344,4.259193012210234e-07,0.00013808814920414104
1848.3802057109976,1.195,-1,1,1,2065,41,41,41,0,21,15,5,0,1848.6077318432176,0.22752613221996398,3.7925193807979543e-07,0.0001230797255148886
2000.2192513368984,51.3512,-1,7,7,114678,2341,16387,1452,86,180,710,476,0,2169.4218828874305,169.20263155053203,0.00028203540981263276,0.07799434166549883
1839.398692314365,3.1024,-1,1,1,5401,140,140,140,90,35,12,3,0,1843.5454515451215,4.1467592307565155,6.912025707422009e-06,0.002249339297428774
1790.7829073391897,22.513799,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0,1886.6537242907639,95.87081695157417,0.00015980227316933891,0.05081526923421742
1384.830078125,0.1673,-1,3,1,4,4,4,4,1,2,0,1,0,1383.7000267117799,1.1300514132201442,1.8836262209178746e-06,0.000816688148735239
1886.828964252979,0.236199,-1,1,1,32,32,32,28,11,4,5,7,1,1888.8870171228134,2.058052869834455,3.4304654675921936e-06,0.0010895584813586775
1440.7852676826883,58.122401,3,1,1,450,108,108,108,0,0,0,108,0,1460.2297840569722,19.44451637428392,3.2411092510649374e-05,0.013316066133277333
1837.247562288156,7.843299,-1,1,1,4945,511,511,511,385,41,79,6,0,1846.067695882579,8.820133594423169,1.4701839859756521e-05,0.004777795318175689
1910.7686998394863,16.1091,-1,1,1,16513,2216,2216,2216,2003,48,148,17,0,1986.068582728478,75.29988288899176,0.0001255136113122306,0.03791403959753703
1810.4326170485272,4.121101,-1,1,1,5401,756,756,281,159,99,17,6,0,1847.7551609517145,37.32254390318735,6.221108305778194e-05,0.020198857885459134
1835.897974087458,1.7267,-1,1,1,1969,172,172,172,0,156,10,6,0,1841.161052954877,5.2630788674191535,8.77276311630805e-06,0.0028585651749326573
1568.422347414524,43.872701,-1,1,1,104478,2634,2634,2634,409,1336,825,64,0,1545.7464450074979,22.675902407026115,3.7797328384499156e-05,0.0146698719445647
1852.390119132659,0.0576,-1,1,1,1,1,1,1,0,0,0,0,1,1852.390119132659,0.0,0.0,0.0
1752.4579368188206,11.7817,-1,1,1,20853,1030,1030,1030,63,99,800,68,0,1779.6373321582248,27.17939533940421,4.5303975669664015e-05,0.015272434921581951
1872.659345772649,0.101,-1,1,1,9,9,9,9,1,0,4,4,0,1873.4512325830653,0.7918868104163721,1.3199565459140041e-06,0.0004226887770783013
2068.440908715861,64.7558,3,1,1,425,221,221,221,0,0,0,221,0,2059.9825668417807,8.45834187408036,1.4098787323406175e-05,0.004106025949068147
1846.0457059045048,0.2497,-1,1,1,13,13,13,13,1,5,3,4,0,1846.1843900375443,0.13868413303953275,2.3116564995404954e-07,7.511932924354997e-05
1848.119417674529,0.124701,-1,1,1,13,13,13,13,1,5,3,4,0,1848.1517330249462,0.03231535041732059,5.3864842494875415e-08,1.748522582852476e-05
1647.2974626189398,62.4735,3,1,1,360,108,108,108,0,0,0,108,0,1646.8284218790893,0.46904073985047035,7.818205666797854e-07,0.00028481457668509165
1836.346191961293,3.4602,-1,1,1,2521,330,330,330,128,159,40,3,0,1845.5214034981082,9.17521153681514,1.5293701535194107e-05,0.004971609388774312
1838.991617591185,0.4716,-1,7,7,13,13,91,63,7,14,21,21,0,1842.3888463745934,3.397228783408309,5.662670866142457e-06,0.0018439260474754234
1762.4499442239344,46.0026,-1,21,21,16597,2277,47817,6555,3604,72,2695,184,0,2084.5316105579263,322.08166633399196,0.0005368618320248427,0.15451032965999809
1389.7270180654014,60.1495,3,1,1,450,108,108,108,0,0,0,108,0,1391.6238983398237,1.8968802744223012,3.1618149236787732e-06,0.001363069631590286
1377.7393817204302,0.312,-1,1,1,4,4,4,4,1,2,0,1,0,1377.710423721761,0.02895799866928428,4.8268640665947055e-08,2.101892979154273e-05
1835.4668187906143,6.198301,-1,1,1,4849,507,507,507,498,0,0,9,0,1846.1676229508196,10.70080416020528,1.783663563026146e-05,0.005796225666173077
1844.3644888116205,4.8165,-1,1,1,2521,349,349,349,125,198,20,6,0,1852.169779799058,7.805290987437502,1.3010249439834218e-05,0.004214133646152189
1433.4330161576231,6.2439,-1,1,1,937,937,937,937,673,254,6,4,0,1381.537219526986,51.89579663063705,8.650250966045774e-05,0.037563806386921125
1472.340329527586,64.8202,3,1,1,425,102,102,102,0,0,0,102,0,1465.4064784180964,6.933851109489524,1.155768986170066e-05,0.004731691316783725
1957.8936872791064,0.251801,-1,7,7,4,4,28,28,7,14,0,7,0,1959.5512621157934,1.6575748366869902,2.7629286499631462e-06,0.0008458951131991571
1947.221041313428,5.467599,-1,1,1,937,932,932,932,668,254,6,4,0,2023.620288816059,76.39924750263094,0.00012734608724064805,0.037753746552585295
1868.2603607770584,0.294699,-1,1,1,13,13,13,13,1,5,3,4,0,1868.60868355135,0.348322774291546,5.806018233531456e-07,0.00018640755411108737
1655.327342192691,53.340101,-1,1,1,107198,3454,3454,3454,392,1412,1602,48,0,1693.8033265550862,38.47598436239514,6.413369531047606e-05,0.02271573314278989
1849.3031418867272,0.1355,-1,1,1,17,17,17,17,6,4,3,4,0,1849.1998509815921,0.10329090513505435,1.7217044730762775e-07,5.585708060717476e-05
1840.8544271939345,2.4351,-1,1,1,4849,101,101,101,60,21,15,5,0,1842.2807039776958,1.4262767837612955,2.3773894857789283e-06,0.0007741908063639814
1829.651551474142,5.2598,-1,1,1,4849,799,799,799,623,121,49,6,0,1846.808062265952,17.15651079180998,2.859733035935616e-05,0.0092898180067287
1874.081144946275,61.0156,3,1,1,340,153,153,153,0,0,0,153,0,1881.6615859540807,7.580441007805803,1.2635458246750147e-05,0.004028588915451661
1794.366555575572,9.884801,-1,462,308,13,13,4004,1408,24,404,377,603,0,1861.7034770841913,67.3369215086193,0.00011224054897475272,0.03616952019345353
1823.434916796902,11.064401,-1,1,1,8353,1077,1077,1077,875,156,40,6,0,1848.393006021306,24.958089224404148,4.160139152707489e-05,0.013502588001091182
2121.252499642178,4.681199,-1,1,1,973,972,972,972,672,254,46,0,0,2240.8284613239357,119.57596168175769,0.00019931519414095164,0.05336238973469184
2052.7690242983613,18.9773,-1,1,1,26570,1049,1049,1049,87,94,800,68,0,2123.7983959363723,71.02937163801107,0.000118395309547402,0.03344449820374526
1848.32886799739,0.1294,-1,1,1,17,17,17,17,6,4,3,4,0,1848.4782481226555,0.14938012526545208,2.489942648115494e-07,8.081248747025558e-05
1847.8595953077624,5.6825,-1,1,1,8257,247,247,247,209,28,3,7,0,1852.7880695280987,4.928474220336284,8.215027353569366e-06,0.002660031280097543
1809.1487748868528,6.5775,-1,1,1,5497,818,818,818,506,276,35,1,0,1850.0279967602592,40.87922187340632,6.813953180417567e-05,0.022096542292869833
1785.2119329838158,61.5454,3,1,1,288,108,108,108,0,0,0,108,0,1781.5277886582235,3.6841443255923423,6.14091604341868e-06,0.002067969048277992
