estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_maxs,absolute_error,normalized_error,relative_error
9134.0,9.577,-1,1,1,8257,289,289,289,240,28,18,3,0,9764,630.0,0.0010501155127063976,0.06452273658336748
7724.0,0.5768,-1,7,7,17,17,119,70,21,21,7,21,0,9545,1821.0,0.0030353338867275402,0.19078051335777893
9134.0,8.1454,-1,1,1,8257,233,233,233,209,7,12,5,0,9764,630.0,0.0010501155127063976,0.06452273658336748
2891.0,51.5685,-1,1,1,108065,2749,2749,874,53,196,561,64,0,4459,1568.0,0.002613620831624812,0.3516483516483517
9134.0,0.5735,-1,1,1,17,17,17,17,6,4,3,4,0,9759,625.0,0.0010417812626055533,0.06404344707449534
2198.0,14.9886,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0,3778,1580.0,0.002633623031866839,0.41821069348861833
3495.0,48.7564,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0,5122,1627.0,0.0027119649828147765,0.3176493557204217
4071.0,1.5643,-1,7,7,2065,37,259,182,0,98,77,7,0,9374,5303.0,0.008839305656955598,0.5657136761254534
8927.0,5.1434,-1,1,1,5401,774,774,774,580,142,43,9,0,9950,1023.0,0.0017051875706327697,0.1028140703517588
9734.0,0.1333,-1,1,1,17,17,17,17,6,4,3,4,0,9950,216.0,0.00036003960435647924,0.021708542713567838
3592.0,0.2009,-1,1,1,41,41,41,41,15,4,15,6,1,3594,2.0,3.3337000403377706e-06,0.0005564830272676684
9119.0,0.0948,-1,27,9,1,1,9,9,0,0,0,0,9,9809,690.0,0.0011501265139165309,0.07034356203486594
6048.0,3.473,-1,1,1,937,932,932,932,668,254,6,4,0,6752,704.0,0.0011734624141988951,0.10426540284360189
9599.0,0.1153,-1,1,1,17,17,17,17,1,5,8,3,0,9950,351.0,0.0005850643570792787,0.03527638190954774
9234.0,1.5002,-1,1,1,2065,41,41,41,0,21,15,5,0,9950,716.0,0.0011934646144409217,0.07195979899497487
2878.0,63.6131,-1,7,7,114678,2341,16387,1452,86,180,710,476,0,5243,2365.0,0.003942100297699413,0.4510776273126073
9369.0,3.8441,-1,1,1,5401,140,140,140,90,35,12,3,0,9764,395.0,0.0006584057579667097,0.04045473166734945
3299.0,25.4226,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0,4900,1601.0,0.002668626882290385,0.326734693877551
6283.0,0.2127,-1,3,1,4,4,4,4,1,2,0,1,0,4907,1376.0,0.002293585627752386,0.2804157326268596
3999.0,0.3052,-1,1,1,32,32,32,28,11,4,5,7,1,4633,634.0,0.0010567829127870732,0.13684437729333046
2051.0,76.882,3,1,1,450,108,108,108,0,0,0,108,0,3802,1751.0,0.0029186543853157183,0.4605470804839558
9117.0,7.4444,-1,1,1,4945,511,511,511,385,41,79,6,0,9764,647.0,0.0010784519630492688,0.06626382630069644
3299.0,16.724,-1,1,1,16513,2216,2216,2216,2003,48,148,17,0,4945,1646.0,0.002743635133197985,0.3328614762386249
8928.0,5.5647,-1,1,1,5401,756,756,281,159,99,17,6,0,9599,671.0,0.001118456363533322,0.06990311490780289
9336.0,2.0368,-1,1,1,1969,172,172,172,0,156,10,6,0,9764,428.0,0.0007134118086322829,0.04383449405981155
2396.0,58.1675,-1,1,1,104478,2634,2634,2634,409,1336,825,64,0,3963,1567.0,0.0026119539816046432,0.395407519555892
9870.0,0.0961,-1,1,1,1,1,1,1,0,0,0,0,1,9870,0.0,0.0,0.0
2796.0,14.1204,-1,1,1,20853,1030,1030,1030,63,99,800,68,0,4443,1647.0,0.002745301983218154,0.37069547602970965
9191.0,0.1717,-1,1,1,9,9,9,9,1,0,4,4,0,9764,573.0,0.0009551050615567712,0.05868496517820565
3149.0,72.3929,3,1,1,425,221,221,221,0,0,0,221,0,5006,1857.0,0.00309534048745362,0.37095485417499
9599.0,0.6723,-1,1,1,13,13,13,13,1,5,3,4,0,9810,211.0,0.00035170535425563476,0.021508664627930683
9599.0,0.1578,-1,1,1,13,13,13,13,1,5,3,4,0,9810,211.0,0.00035170535425563476,0.021508664627930683
2469.0,80.523,3,1,1,360,108,108,108,0,0,0,108,0,4182,1713.0,0.0028553140845493006,0.4096126255380201
9336.0,6.2644,-1,1,1,2521,330,330,330,128,159,40,3,0,9764,428.0,0.0007134118086322829,0.04383449405981155
8017.0,0.7651,-1,7,7,13,13,91,63,7,14,21,21,0,9759,1742.0,0.002903652735134198,0.17850189568603342
882.0,54.7342,-1,21,21,16597,2277,47817,6555,3604,72,2695,184,0,5289,4407.0,0.007345808038884277,0.8332387975042541
1904.0,64.1453,3,1,1,450,108,108,108,0,0,0,108,0,3686,1782.0,0.0029703267359409537,0.4834508952794357
4967.0,0.1132,-1,1,1,4,4,4,4,1,2,0,1,0,4967,0.0,0.0,0.0
9117.0,9.204,-1,1,1,4849,507,507,507,498,0,0,9,0,9810,693.0,0.0011551270639770376,0.07064220183486239
9117.0,7.1929,-1,1,1,2521,349,349,349,125,198,20,6,0,9764,647.0,0.0010784519630492688,0.06626382630069644
4418.0,6.742,-1,1,1,937,937,937,937,673,254,6,4,0,4940,522.0,0.0008700957105281581,0.10566801619433198
2051.0,78.201,3,1,1,425,102,102,102,0,0,0,102,0,3811,1760.0,0.002933656035497238,0.4618210443453162
5892.0,0.2175,-1,7,7,4,4,28,28,7,14,0,7,0,6570,678.0,0.0011301243136745043,0.10319634703196347
6048.0,10.1121,-1,1,1,937,932,932,932,668,254,6,4,0,6752,704.0,0.0011734624141988951,0.10426540284360189
9172.0,0.31,-1,1,1,13,13,13,13,1,5,3,4,0,9704,532.0,0.0008867642107298469,0.05482275350370981
2698.0,64.9175,-1,1,1,107198,3454,3454,3454,392,1412,1602,48,0,4278,1580.0,0.002633623031866839,0.3693314633006078
9599.0,0.231,-1,1,1,17,17,17,17,6,4,3,4,0,9950,351.0,0.0005850643570792787,0.03527638190954774
9134.0,3.021,-1,1,1,4849,101,101,101,60,21,15,5,0,9764,630.0,0.0010501155127063976,0.06452273658336748
9117.0,6.6979,-1,1,1,4849,799,799,799,623,121,49,6,0,9764,647.0,0.0010784519630492688,0.06626382630069644
2753.0,79.8541,3,1,1,340,153,153,153,0,0,0,153,0,4638,1885.0,0.0031420122880183488,0.4064251832686503
1967.0,5.004,-1,462,308,13,13,4004,1408,24,404,377,603,0,9764,7797.0,0.012996429607256799,0.7985456780008193
9117.0,12.4926,-1,1,1,8353,1077,1077,1077,875,156,40,6,0,9764,647.0,0.0010784519630492688,0.06626382630069644
5582.0,5.2502,-1,1,1,973,972,972,972,672,254,46,0,0,7303,1721.0,0.0028686488847106516,0.23565657948788168
3495.0,15.7085,-1,1,1,26570,1049,1049,1049,87,94,800,68,0,5150,1655.0,0.002758636783379505,0.3213592233009709
9599.0,0.3494,-1,1,1,17,17,17,17,6,4,3,4,0,9950,351.0,0.0005850643570792787,0.03527638190954774
9234.0,5.1123,-1,1,1,8257,247,247,247,209,28,3,7,0,9950,716.0,0.0011934646144409217,0.07195979899497487
9599.0,6.7355,-1,1,1,5497,818,818,818,506,276,35,1,0,9764,165.0,0.00027503025332786606,0.01689881196231053
2759.0,71.087,3,1,1,288,108,108,108,0,0,0,108,0,4454,1695.0,0.0028253107841862603,0.38055680287382126
8279.0,0.4957,-1,7,7,13,13,91,42,0,7,14,21,0,9810,1531.0,0.0025519473808785632,0.15606523955147808
1925.0,1.1417,-1,54,36,17,17,612,163,15,45,27,76,0,0,1925.0,0.003208686288825104,0.0
2996.0,34.9653,-1,1,1,34960,2724,2724,2724,99,1759,802,64,0,4589,1593.0,0.002655292082129034,0.34713445195031595
7992.0,5.4819,-1,1,1,5401,657,657,193,152,32,0,9,0,9734,1742.0,0.002903652735134198,0.17896034518183687
6128.0,0.1432,-1,1,1,3,3,3,3,1,0,1,1,0,6128,0.0,0.0,0.0
2597.0,24.0694,-1,1,1,29233,2326,2326,2326,72,1561,625,68,0,4212,1615.0,0.0026919627825727497,0.38342830009496676
8289.0,0.6023,-1,7,7,17,17,119,70,21,28,7,14,0,9599,1310.0,0.00218357352642124,0.1364725492238775
9599.0,0.1966,-1,1,1,13,13,13,13,1,5,3,4,0,9764,165.0,0.00027503025332786606,0.01689881196231053
2049.0,4.4901,-1,378,252,9,9,2268,1005,22,0,376,607,0,2967,918.0,0.0015301683185150365,0.30940343781597573
5004.0,0.1981,-1,1,1,4,4,4,4,1,2,0,1,0,5004,0.0,0.0,0.0
9824.0,0.0777,-1,1,1,1,1,1,1,0,0,0,0,1,9824,0.0,0.0,0.0
3946.0,5.5368,-1,1,1,919,916,916,916,610,260,46,0,0,5897,1951.0,0.003252024389349495,0.3308461929794811
4418.0,4.5996,-1,1,1,676,674,674,674,611,30,29,4,0,5397,979.0,0.0016318461697453386,0.1813970724476561
3099.0,0.5452,-1,1,1,41,41,41,41,15,14,4,7,1,3735,636.0,0.001060116612827411,0.17028112449799196
9025.0,0.3121,-1,3,1,17,17,17,8,4,1,1,2,0,9495,470.0,0.000783419509479376,0.049499736703528176
9117.0,0.215,-1,1,1,13,13,13,6,0,3,1,2,0,9191,74.0,0.00012334690149249752,0.008051354586008051
4302.0,0.4837,-1,1,1,42,42,42,42,6,5,15,16,0,4781,479.0,0.000798421159660896,0.10018824513700063
2264.0,17.0074,-1,7,7,16585,223,1561,1366,0,63,1226,77,0,5216,2952.0,0.004920541259538549,0.5659509202453987
9103.0,6.3909,-1,1,1,2617,397,397,397,129,198,62,8,0,9810,707.0,0.0011784629642594018,0.07206931702344546
9764.0,0.3317,-1,1,1,17,17,17,17,6,4,3,4,0,9950,186.0,0.0003100341037514127,0.018693467336683416
9950.0,0.1527,-1,1,1,1,1,1,1,0,0,0,0,1,9950,0.0,0.0,0.0
9599.0,0.1526,-1,1,1,9,9,9,9,1,0,4,4,0,9764,165.0,0.00027503025332786606,0.01689881196231053
9103.0,7.2084,-1,1,1,5497,450,450,450,259,120,68,3,0,9810,707.0,0.0011784629642594018,0.07206931702344546
3149.0,78.3938,3,1,1,425,221,221,221,0,0,0,221,0,5148,1999.0,0.0033320331903176014,0.3883061383061383
9870.0,0.0821,-1,1,1,1,1,1,1,0,0,0,0,1,9870,0.0,0.0,0.0
