estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_mins,absolute_error,normalized_error,relative_error
0.0,34.0491,-1,1,1,8257,289,289,289,240,28,18,3,0,0,0.0,0.0,0.0
0.0,2.0615,-1,7,7,17,17,119,70,21,21,7,21,0,0,0.0,0.0,0.0
0.0,12.4981,-1,1,1,8257,233,233,233,209,7,12,5,0,0,0.0,0.0,0.0
0.0,64.1722,-1,1,1,108065,2749,2749,874,53,196,561,64,0,0,0.0,0.0,0.0
0.0,0.8249,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
0.0,20.3982,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0,0,0.0,0.0,0.0
0.0,56.3975,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0,0,0.0,0.0,0.0
0.0,2.0523,-1,7,7,2065,37,259,182,0,98,77,7,0,0,0.0,0.0,0.0
0.0,5.3293,-1,1,1,5401,774,774,774,580,142,43,9,0,0,0.0,0.0,0.0
0.0,0.2354,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
0.0,0.3006,-1,1,1,41,41,41,41,15,4,15,6,1,0,0.0,0.0,0.0
120.0,0.1125,-1,27,9,1,1,9,9,0,0,0,0,9,93,27.0,4.5004950544559904e-05,0.2903225806451613
0.0,4.0447,-1,1,1,937,932,932,932,668,254,6,4,0,0,0.0,0.0,0.0
0.0,0.4273,-1,1,1,17,17,17,17,1,5,8,3,0,0,0.0,0.0,0.0
0.0,1.8161,-1,1,1,2065,41,41,41,0,21,15,5,0,0,0.0,0.0,0.0
511.0,60.0986,-1,7,7,114678,2341,16387,1452,86,180,710,476,0,0,511.0,0.0008517603603063003,0.0
0.0,3.5296,-1,1,1,5401,140,140,140,90,35,12,3,0,0,0.0,0.0,0.0
0.0,21.3958,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0,0,0.0,0.0,0.0
0.0,0.3684,-1,3,1,4,4,4,4,1,2,0,1,0,0,0.0,0.0,0.0
0.0,0.2576,-1,1,1,32,32,32,28,11,4,5,7,1,0,0.0,0.0,0.0
378.0,65.1115,3,1,1,450,108,108,108,0,0,0,108,0,0,378.0,0.0006300693076238386,0.0
0.0,6.4436,-1,1,1,4945,511,511,511,385,41,79,6,0,0,0.0,0.0,0.0
0.0,19.0273,-1,1,1,16513,2216,2216,2216,2003,48,148,17,0,0,0.0,0.0,0.0
0.0,5.8921,-1,1,1,5401,756,756,281,159,99,17,6,0,0,0.0,0.0,0.0
0.0,2.4218,-1,1,1,1969,172,172,172,0,156,10,6,0,0,0.0,0.0,0.0
0.0,70.7647,-1,1,1,104478,2634,2634,2634,409,1336,825,64,0,0,0.0,0.0,0.0
0.0,0.2083,-1,1,1,1,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0
0.0,16.3852,-1,1,1,20853,1030,1030,1030,63,99,800,68,0,0,0.0,0.0,0.0
0.0,0.2725,-1,1,1,9,9,9,9,1,0,4,4,0,0,0.0,0.0,0.0
432.0,130.5915,3,1,1,425,221,221,221,0,0,0,221,0,0,432.0,0.0007200792087129585,0.0
0.0,0.1896,-1,1,1,13,13,13,13,1,5,3,4,0,0,0.0,0.0,0.0
0.0,0.1089,-1,1,1,13,13,13,13,1,5,3,4,0,0,0.0,0.0,0.0
378.0,113.3316,3,1,1,360,108,108,108,0,0,0,108,0,0,378.0,0.0006300693076238386,0.0
0.0,3.5925,-1,1,1,2521,330,330,330,128,159,40,3,0,0,0.0,0.0,0.0
0.0,0.5481,-1,7,7,13,13,91,63,7,14,21,21,0,0,0.0,0.0,0.0
3182.0,37.7624,-1,21,21,16597,2277,47817,6555,3604,72,2695,184,0,0,3182.0,0.005303916764177393,0.0
0.0,49.4311,3,1,1,450,108,108,108,0,0,0,108,0,0,0.0,0.0,0.0
0.0,0.1128,-1,1,1,4,4,4,4,1,2,0,1,0,0,0.0,0.0,0.0
