estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_sums,absolute_error,normalized_error,relative_error
152728713.0,26.394901,-1,1,1,8257,289,289,289,240,28,18,3,0,147932195,4796518.0,7.995076125040421,0.03242376008819446
72383836.0,1.6557,-1,7,7,17,17,119,70,21,21,7,21,0,71699120,684716.0,1.1413188784099584,0.009549852215759413
179471499.0,11.663801,-1,1,1,8257,233,233,233,209,7,12,5,0,175466671,4004828.0,6.675447632572916,0.02282386721749568
16792581.0,64.2234,-1,1,1,108065,2749,2749,874,53,196,561,64,0,9756231,7036350.0,11.728540139415335,0.7212160105680154
39644074.0,0.957101,-1,1,1,17,17,17,17,6,4,3,4,0,39474990,169084.0,0.2818376688102358,0.004283319641119605
49262146.0,21.1388,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0,21558816,27703330.0,46.17729616924528,1.2850116629781525
111629286.0,64.3276,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0,80223145,31406141.0,52.349326759276856,0.39148478908424744
26698841.0,2.4835,-1,7,7,2065,37,259,182,0,98,77,7,0,25113154,1585687.0,2.643102407931539,0.06314169060564834
260002161.0,6.855299,-1,1,1,5401,774,774,774,580,142,43,9,0,247432348,12569813.0,20.951993052569115,0.050801009252031994
277946989.0,0.2803,-1,1,1,17,17,17,17,6,4,3,4,0,277730300,216689.0,0.36118806402037557,0.0007802137541348568
206404456.0,0.3313,-1,1,1,41,41,41,41,15,4,15,6,1,205955729,448727.0,0.7479606090003234,0.0021787546390612906
14520201.0,0.1656,-1,27,9,1,1,9,9,0,0,0,0,9,14520201,0.0,0.0,0.0
94910881.0,4.458699,-1,1,1,937,932,932,932,668,254,6,4,0,79826980,15083901.0,25.14260068607547,0.1889574301821264
278898260.0,0.4992,-1,1,1,17,17,17,17,1,5,8,3,0,278785042,113218.0,0.18871742558348084,0.0004061121758462206
231282270.0,2.0971,-1,1,1,2065,41,41,41,0,21,15,5,0,230913289,368981.0,0.6150359872919354,0.0015979201612775088
43014715.0,71.193199,-1,7,7,114678,2341,16387,1452,86,180,710,476,0,34380998,8633717.0,14.391111355582447,0.25111885931874345
169636705.0,3.8961,-1,1,1,5401,140,140,140,90,35,12,3,0,167576438,2060267.0,3.4341560905032886,0.012294490947468402
157991822.0,24.2042,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0,103013180,54978642.0,91.64115052655792,0.533704929796362
15598726.0,0.274399,-1,3,1,4,4,4,4,1,2,0,1,0,15540335,58391.0,0.09732903952768138,0.0037573836085258135
41170608.0,0.300599,-1,1,1,32,32,32,28,11,4,5,7,1,40926515,244093.0,0.4068664219730837,0.00596417750204238
22121817.0,82.420699,3,1,1,450,108,108,108,0,0,0,108,0,25425521,3303704.0,5.506779079032027,0.12993653109409242
228740996.0,8.728199,-1,1,1,4945,511,511,511,385,41,79,6,0,220859847,7881149.0,13.13669336960399,0.0356839376059153
214273602.0,22.116,-1,1,1,16513,2216,2216,2216,2003,48,148,17,0,176764076,37509526.0,62.52275416962532,0.2122010696336285
25443820.0,7.0571,-1,1,1,5401,756,756,281,159,99,17,6,0,21123537,4320283.0,7.201263805685292,0.2045246021061719
145808853.0,2.980199,-1,1,1,1969,172,172,172,0,156,10,6,0,143872007,1936846.0,3.228431794164025,0.01346228526581964
88810347.0,85.452,-1,1,1,104478,2634,2634,2634,409,1336,825,64,0,59786381,29023966.0,48.37859831248104,0.485461162133229
80388174.0,0.1276,-1,1,1,1,1,1,1,0,0,0,0,1,80388174,0.0,0.0,0.0
76054922.0,20.836401,-1,1,1,20853,1030,1030,1030,63,99,800,68,0,68654849,7400073.0,12.334811829301223,0.10778660368184627
40245322.0,0.4006,-1,1,1,9,9,9,9,1,0,4,4,0,40202390,42932.0,0.07156120506589059,0.0010678967096234826
