estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
86924,4.923451,-1,1,1,8257,289,289,289,240,28,18,3,0,80043,6881,0.0114695949887821,0.08596629311744937
39655,0.227703,-1,7,7,17,17,119,70,21,21,7,21,0,38619,1036,0.0017268566208949651,0.026826173645096974
100640,4.417448,-1,1,1,8257,233,233,233,209,7,12,5,0,94973,5667,0.009446039064297073,0.05966959030461289
17012,52.627705,-1,1,1,108065,2749,2749,874,53,196,561,64,0,5464,11548,0.019248784032910287,2.1134699853587118
21995,0.104121,-1,1,1,17,17,17,17,6,4,3,4,0,21726,269,0.0004483826554254301,0.012381478412961429
57296,15.368116,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0,15435,41861,0.06977600869428971,2.712082928409459
87289,56.391315,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0,38063,49226,0.08205235909283355,1.2932769356067573
16169,1.570046,-1,7,7,2065,37,259,182,0,98,77,7,0,13582,2587,0.0043121410021769065,0.19047268443528198
152085,5.035766,-1,1,1,5401,774,774,774,580,142,43,9,0,133670,18415,0.030695043121410023,0.13776464427321014
150266,0.089254,-1,1,1,17,17,17,17,6,4,3,4,0,150009,257,0.0004283804551834035,0.0017132305395009633
152572,0.178493,-1,1,1,41,41,41,41,15,4,15,6,1,151920,652,0.0010867862131501132,0.004291732490784623
3927,0.067686,-1,27,9,1,1,9,9,0,0,0,0,9,3927,0,0.0,0.0
61181,3.052258,-1,1,1,937,932,932,932,668,254,6,4,0,39466,21715,0.03619564818796734,0.5502204429128871
150863,0.086408,-1,1,1,17,17,17,17,1,5,8,3,0,150659,204,0.0003400374041144526,0.0013540512017204416
125464,1.181531,-1,1,1,2065,41,41,41,0,21,15,5,0,124912,552,0.0009201012111332246,0.004419111054182144
30982,60.904892,-1,7,7,114678,2341,16387,1452,86,180,710,476,0,15848,15134,0.02522610820523591,0.9549469964664311
94107,3.118116,-1,1,1,5401,140,140,140,90,35,12,3,0,90899,3208,0.005347254864701784,0.03529191740283171
134194,18.201843,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0,54601,79593,0.1326695936553021,1.4577205545685976
11309,0.050926,-1,3,1,4,4,4,4,1,2,0,1,0,11231,78,0.00013001430157317306,0.006945062772682753
