estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
98316.0,0.1419,3,1,1,25,7,7,7,0,0,0,7,0,80043,18273.0,0.03045835041854604,0.22828979423559836
39047.0,0.2387,-1,7,7,17,17,119,70,21,21,7,21,0,38619,428.0,0.0007134118086322829,0.0110826277221057
66741.0,0.1754,3,1,1,16,5,5,5,0,0,0,5,0,94973,28232.0,0.047058509769407966,0.29726343276510164
3164.0,0.1224,4,1,1,1,1,1,1,0,0,0,0,1,5464,2300.0,0.003833755046388436,0.42093704245973645
21836.0,0.0882,-1,1,1,17,17,17,17,6,4,3,4,0,21726,110.0,0.00018335350221857738,0.005063058087084599
11159.0,0.1796,3,1,1,18,18,18,18,0,0,0,18,0,15435,4276.0,0.007127450686242153,0.2770327178490444
45079.0,0.0656,4,1,1,2,2,2,2,0,0,0,0,2,38063,7016.0,0.011694619741504899,0.18432598586553872
15373.0,0.1657,3,7,7,20,7,49,21,0,0,0,21,0,13582,1791.0,0.0029853283861224736,0.13186570460904137
147147.0,0.1441,3,1,1,25,13,13,13,0,0,0,13,0,133670,13477.0,0.022464137721816067,0.10082292212164286
150110.0,0.0806,-1,1,1,17,17,17,17,6,4,3,4,0,150009,101.0,0.0001683518520370574,0.0006732929357571879
152194.0,0.1941,-1,1,1,41,41,41,41,15,4,15,6,1,151920,274.0,0.00045671690552627454,0.001803580832016851
3927.0,0.0482,-1,27,9,1,1,9,9,0,0,0,0,9,3927,0.0,0.0,0.0
48637.0,3.4652,-1,1,1,937,932,932,932,668,254,6,4,0,39466,9171.0,0.015286681534968847,0.23237723610196118
150741.0,0.0945,-1,1,1,17,17,17,17,1,5,8,3,0,150659,82.0,0.0001366817016538486,0.0005442754830444912
121194.0,0.1269,3,1,1,25,7,7,7,0,0,0,7,0,124912,3718.0,0.006197348374987915,0.029764954527987702
21931.0,0.1217,4,7,7,2,2,14,14,0,0,0,0,14,15848,6083.0,0.010139448672687328,0.3838339222614841
90207.0,0.1317,3,1,1,20,5,5,5,0,0,0,5,0,90899,692.0,0.0011534602139568685,0.007612845025797864
32466.0,0.1712,3,1,1,18,15,15,15,0,0,0,15,0,54601,22135.0,0.03689572519643827,0.4053955055768209
11264.0,0.0349,-1,3,1,4,4,4,4,1,2,0,1,0,11231,33.0,5.500605066557321e-05,0.002938295788442703
21820.0,0.1369,-1,1,1,32,32,32,28,11,4,5,7,1,21667,153.0,0.00025502805308583946,0.007061429824156551
15354.0,0.8036,3,1,1,450,108,108,108,0,0,0,108,0,17412,2058.0,0.003430377341507566,0.11819434872501723
130217.0,0.1623,3,1,1,25,12,12,12,0,0,0,12,0,119638,10579.0,0.01763360636336664,0.08842508233170063
58638.0,0.1699,3,1,1,17,17,17,17,0,0,0,17,0,89002,30364.0,0.05061223401240803,0.3411608727893755
13416.0,0.129,3,1,1,25,9,9,9,0,0,0,9,0,11432,1984.0,0.0033070304400150685,0.1735479356193142
67033.0,0.1133,3,1,1,25,6,6,6,0,0,0,6,0,78142,11109.0,0.018517036874056148,0.14216426505592383
