estimates,runtime,case,true_counts,absolute_error,normalized_error,relative_error
377960,16676.512584,2,306758,71202,0.030957391304347825,0.2321113059806101
227098,5333.377761,2,147402,79696,0.034650434782608694,0.5406710899445055
319784,13217.238932,2,362889,43105,0.018741304347826088,0.11878287851105986
58126,18729.745575,2,20196,37930,0.016491304347826086,1.8780946722123193
68369,5581.562881,2,82247,13878,0.006033913043478261,0.16873563777402215
63005,12739.16339,2,59614,3391,0.0014743478260869564,0.05688261146710504
679363,18221.49147,2,140080,539283,0.2344708695652174,3.849821530553969
15112,13943.478179,2,52420,37308,0.016220869565217393,0.7117130866081648
507897,21587.307385,2,514161,6264,0.002723478260869565,0.01218295436643386
891819,8473.104691,2,577121,314698,0.13682521739130435,0.5452894626949981
1287878,11456.617604,2,561163,726715,0.3159630434782609,1.29501588664969
12974,142.929582,1,15130,2156,0.0009373913043478261,0.1424983476536682
173604,10158.712451,2,150540,23064,0.010027826086956522,0.1532084495815066
606102,5888.04235,2,577375,28727,0.01249,0.049754492314353756
517838,14789.506745,2,480283,37555,0.016328260869565216,0.0781934817597125
35645,19747.010755,2,58580,22935,0.009971739130434783,0.39151587572550356
416351,14467.518916,2,349986,66365,0.028854347826086958,0.1896218705891093
400705,14051.695204,2,228801,171904,0.07474086956521739,0.7513253875638656
55311,2652.600621,2,42858,12453,0.0054143478260869566,0.2905641887162257
175312,10656.296332,2,80092,95220,0.0414,1.188882784797483
198480,24045.566,2,64039,134441,0.05845260869565217,2.099361326691547
365624,11668.98805,2,455976,90352,0.039283478260869566,0.19815077986560697
244842,13303.908663,2,350353,105511,0.04587434782608696,0.3011562623982098
45880,16194.719373,2,44125,1755,0.0007630434782608695,0.039773371104815866
513292,16235.796805,2,300741,212551,0.09241347826086957,0.7067576419576979
568016,17018.109594,2,141353,426663,0.18550565217391304,3.018421964868096
166811,166.492774,2,166502,309,0.0001343478260869565,0.0018558335635607982
441410,14987.195368,2,140749,300661,0.13072217391304347,2.136150168029613
123700,7216.848235,2,82478,41222,0.017922608695652174,0.49979388442978734
209821,27322.77842,2,125338,84483,0.03673173913043478,0.6740413920758269
756491,8320.060099,2,577761,178730,0.0777086956521739,0.3093493676450989
919380,8277.236698,2,577451,341929,0.14866478260869564,0.5921350902500818
142757,16135.868232,2,69704,73053,0.03176217391304348,1.0480460231837485
326715,13088.886963,2,253176,73539,0.03197347826086957,0.2904659209403735
50731,8319.509731,2,159931,109200,0.04747826086956522,0.6827944551087657
44415,16952.875463,2,106520,62105,0.02700217391304348,0.5830360495681562
252380,24847.418615,2,53845,198535,0.0863195652173913,3.6871575819481848
710235,3309.624508,2,599325,110910,0.04822173913043478,0.1850581904642723
586354,18837.138801,2,364660,221694,0.09638869565217391,0.6079471288323369
262608,11292.387811,2,329595,66987,0.02912478260869565,0.20324034041778546
315333,14305.189171,2,150294,165039,0.07175608695652173,1.0981077088905744
206518,25655.081612,2,47470,159048,0.06915130434782608,3.3504950495049504
158047,2636.935234,2,147873,10174,0.004423478260869565,0.06880228304017637
211096,11856.926559,2,149796,61300,0.02665217391304348,0.40922321023258296
103486,8357.555054,2,82794,20692,0.008996521739130434,0.249921491895548
511524,18968.211256,2,140960,370564,0.16111478260869566,2.6288592508513053
931370,8312.265673,2,577838,353532,0.1537095652173913,0.6118185373755274
366677,11764.352837,2,481782,115105,0.05004565217391305,0.23891511098380597
444675,14697.770814,2,364061,80614,0.035049565217391304,0.22142992520484203
260099,23934.296036,2,94553,165546,0.07197652173913044,1.7508275781836642
1873,9556.196616,1,64130,62257,0.02706826086956522,0.9707937002962732
346263,14190.261975,2,346675,412,0.0001791304347826087,0.0011884329703612895
148713,7921.474194,2,150213,1500,0.0006521739130434783,0.009985820135407721
438231,16194.488207,2,139873,298358,0.1297208695652174,2.1330635648052163
775708,6912.350067,2,577610,198098,0.0861295652173913,0.34296151382420664
442447,14898.508063,2,424324,18123,0.007879565217391304,0.042710287421875735
380788,15300.706602,2,141746,239042,0.10393130434782609,1.6864109040114006
307519,24298.269626,2,84917,222602,0.09678347826086957,2.621406785449321
422119,5412.413318,2,295029,127090,0.05525652173913043,0.4307712123215006
1961,6823.579439,1,7350,5389,0.0023430434782608697,0.7331972789115646
473079,17125.325934,2,140667,332412,0.14452695652173914,2.363112883618759
49330,14178.658047,2,52762,3432,0.0014921739130434783,0.06504681399492059
78832,2236.094054,2,85387,6555,0.00285,0.07676812629557192
546334,15289.272348,2,140998,405336,0.17623304347826088,2.8747641810522135
35528,6833.098381,2,82208,46680,0.020295652173913045,0.5678279486181393
616847,6643.94184,2,576399,40448,0.017586086956521738,0.07017361237614916
2015,4899.949608,1,52918,50903,0.022131739130434782,0.9619222192826637
73415,3461.32784,2,85321,11906,0.005176521739130435,0.13954360591179193
328376,230.615936,2,328444,68,2.956521739130435e-05,0.0002070368160173424
221939,8997.313058,2,149694,72245,0.031410869565217395,0.4826178737958769
129776,8569.271968,2,150435,20659,0.008982173913043479,0.1373284142652973
1299664,12796.4481,2,561626,738038,0.32088608695652177,1.3141093895225648
5886,4506.503377,2,20209,14323,0.006227391304347826,0.7087436290761542
4348,6068.12869,2,12259,7911,0.0034395652173913045,0.6453218043886124
1407515,13435.69632,2,561116,846399,0.3679995652173913,1.5084207187105696
17826,13100.617016,2,48661,30835,0.013406521739130435,0.6336696738661352
396963,12002.145144,2,513794,116831,0.05079608695652174,0.22738879784505073
724669,6279.135273,2,576973,147696,0.06421565217391305,0.2559842488296679
329308,271.367692,2,329260,48,2.0869565217391306e-05,0.00014578144931057523
878304,7210.760961,2,577447,300857,0.13080739130434782,0.5210123180136013
422992,16087.221404,2,289516,133476,0.05803304347826087,0.4610315146658561
351057,28013.386602,2,120331,230726,0.10031565217391304,1.9174277617571531
166727,155.755622,2,166371,356,0.0001547826086956522,0.0021397959981006307
1150006,204.284946,2,1151206,1200,0.0005217391304347826,0.0010423851161303886
14291,6342.148918,2,56966,42675,0.018554347826086958,0.7491310606326581
781910,6803.888774,2,577932,203978,0.08868608695652173,0.35294463708533186
8612,5888.850634,2,33480,24868,0.010812173913043479,0.7427718040621266
38623,11671.268945,2,53531,14908,0.006481739130434783,0.27849283592684615
299664,15633.569984,2,300360,696,0.0003026086956521739,0.002317219336795845
161359,12233.119192,2,150135,11224,0.00488,0.07475938322176708
32207,9563.958707,2,50694,18487,0.008037826086956521,0.3646782656724662
388457,28198.992335,2,131773,256684,0.11160173913043478,1.9479255993261138
51215,13547.372366,2,179388,128173,0.055727391304347826,0.7145015274154347
20840,3845.930226,2,7821,13019,0.0056604347826086955,1.6646208924689938
4470,6486.413274,2,17207,12737,0.005537826086956522,0.7402220026733306
880050,9030.684142,2,577623,302427,0.13149,0.5235716029313238
2046,6944.68295,1,6305,4259,0.0018517391304347826,0.6754956383822364
65228,14725.50685,2,316964,251736,0.1094504347826087,0.794210068020343
64709,4891.310623,2,82159,17450,0.007586956521739131,0.21239304275855353
233357,11675.845288,2,338960,105603,0.04591434782608696,0.3115500354024074
14565,6546.673625,2,54062,39497,0.017172608695652174,0.7305871036957567
75001,6592.766106,2,82230,7229,0.0031430434782608696,0.08791195427459565
69510,6195.158668,2,82274,12764,0.005549565217391304,0.15514014147847435
441398,16212.185384,2,99799,341599,0.1485213043478261,3.4228699686369604
344963,11995.899505,2,370409,25446,0.011063478260869565,0.06869703489926
164585,224.694755,2,164231,354,0.00015391304347826086,0.0021555004840742614
441263,15240.991049,2,289933,151330,0.06579565217391305,0.5219481742333574
417219,11617.128507,2,410031,7188,0.003125217391304348,0.017530381849177257
1428338,15441.144686,2,561236,867102,0.3770008695652174,1.54498642282391
2841,3911.77236,1,66504,63663,0.027679565217391306,0.9572807650667629
244619,11715.229426,2,349626,105007,0.04565521739130435,0.3003409357427651
28113,10736.649247,2,21356,6757,0.0029378260869565216,0.31639820191047013
11762,7884.058678,2,20671,8909,0.003873478260869565,0.4309902762324029
371315,13125.300274,2,384026,12711,0.005526521739130435,0.033099321400113534
190620,10481.434273,2,150142,40478,0.01759913043478261,0.26959811378561627
22811,10881.491024,2,21327,1484,0.0006452173913043479,0.06958315749988278
710235,3317.922185,2,599325,110910,0.04822173913043478,0.1850581904642723
872520,7179.617876,2,577767,294753,0.12815347826086956,0.5101589395032946
767143,6879.719857,2,577636,189507,0.08239434782608696,0.32807338877770775
166727,153.665206,2,166371,356,0.0001547826086956522,0.0021397959981006307
80865,124.567253,2,81152,287,0.00012478260869565216,0.0035365733438485806
329308,275.340841,2,329260,48,2.0869565217391306e-05,0.00014578144931057523
2543,3423.798132,1,7699,5156,0.0022417391304347827,0.6696973632939343
28546,10981.323222,2,172065,143519,0.0623995652173913,0.8340975794031326
89834,7589.299793,2,82298,7536,0.003276521739130435,0.0915696614741549
353819,10887.797034,2,526796,172977,0.07520739130434782,0.32835670734022276
583361,20834.350895,2,140738,442623,0.19244478260869566,3.1450141397490374
14901,8567.929202,2,69415,54514,0.023701739130434784,0.7853345818627098
412042,15832.618997,2,139447,272595,0.1185195652173913,1.9548287162864744
197548,10248.265177,2,149995,47553,0.02067521739130435,0.3170305676855895
544246,17417.997313,2,560957,16711,0.007265652173913044,0.029790162169292835
55324,6112.636544,2,160373,105049,0.045673478260869566,0.6550292131468514
38191,16539.245196,2,45715,7524,0.003271304347826087,0.16458492836049438
1876,7691.310386,1,52392,50516,0.021963478260869564,0.9641930065658879
571218,5999.455251,2,577706,6488,0.0028208695652173913,0.01123062595853254
158179,9620.173721,2,102550,55629,0.024186521739130436,0.542457337883959
58824,14577.161817,2,69318,10494,0.004562608695652174,0.1513892495455726
18517,9654.405231,2,21388,2871,0.0012482608695652173,0.13423414999064895
28794,12259.252692,2,21429,7365,0.003202173913043478,0.34369312613747727
19687,14059.377999,2,87645,67958,0.02954695652173913,0.7753779451195162
162914,157.940949,2,164366,1452,0.000631304347826087,0.008833943759658323
220873,12489.01984,2,150394,70479,0.03064304347826087,0.4686290676489754
401712,15043.094436,2,354171,47541,0.02067,0.13423176939952736
217029,11589.47684,2,264624,47595,0.020693478260869567,0.179858969707963
188382,11649.081235,2,149959,38423,0.016705652173913045,0.2562233677205103
47991,13066.834197,2,74688,26697,0.011607391304347826,0.3574469794344473
74974,12871.537411,2,138231,63257,0.02750304347826087,0.45761804515629634
30964,10845.755787,2,18338,12626,0.005489565217391305,0.6885156505616752
382794,11793.205172,2,506300,123506,0.053698260869565216,0.24393837645664626
92643,9310.137171,2,82271,10372,0.004509565217391305,0.1260711550850239
540148,31102.247267,2,104958,435190,0.18921304347826087,4.146325196745365
279094,13181.764921,2,235533,43561,0.018939565217391305,0.18494648308304992
15353,7787.071485,2,76092,60739,0.026408260869565218,0.7982310886821217
729392,8003.779741,2,576915,152477,0.06629434782608695,0.2642971668270023
493760,3643.046177,2,598228,104468,0.04542086956521739,0.17462907119024854
546819,21168.436441,2,140991,405828,0.17644695652173914,2.878396493393195
195152,22941.772167,2,98125,97027,0.04218565217391304,0.9888101910828025
328909,14230.021511,2,346100,17191,0.007474347826086957,0.04967061542906674
428638,16464.529632,2,386564,42074,0.01829304347826087,0.10884096811912128
58262,14426.327514,2,38322,19940,0.008669565217391305,0.5203277490736392
1074318,10544.522182,2,576639,497679,0.21638217391304349,0.8630685749663134
106286,7208.090155,2,150549,44263,0.01924478260869565,0.29401058791489815
1445552,12414.183031,2,561712,883840,0.38427826086956524,1.573475375281283
7288,5278.909366,2,20607,13319,0.005790869565217392,0.6463337700781288
14296,6029.444918,2,21495,7199,0.00313,0.3349150965340777
68719,6373.807625,2,82257,13538,0.005886086956521739,0.16458173772444898
1310704,13084.856717,2,561174,749530,0.32588260869565217,1.3356463414199518
6256,7026.670755,2,19705,13449,0.005847391304347826,0.6825171276325805
2103,5584.102953,1,0,2103,0.0009143478260869565,0.0
41208,13039.636635,2,117497,76289,0.03316913043478261,0.6492846625871299
593125,18491.079634,2,140679,452446,0.19671565217391304,3.216158772809019
580358,4459.966775,2,576724,3634,0.00158,0.006301107635541437
328376,200.956826,2,328444,68,2.956521739130435e-05,0.0002070368160173424
548613,17679.217029,2,524744,23869,0.010377826086956522,0.04548694220419862
474406,17853.409407,2,527801,53395,0.023215217391304346,0.10116502242322391
274262,11787.659016,2,228898,45364,0.019723478260869565,0.19818434411834093
343885,26864.184545,2,88760,255125,0.11092391304347826,2.8743240198287516
2101,5595.224122,1,7583,5482,0.002383478260869565,0.7229328761703812
13537,4939.93538,2,60674,47137,0.020494347826086955,0.7768896067508323
32848,13961.579751,2,46261,13413,0.005831739130434783,0.28994185166771147
272287,9549.325922,2,249217,23070,0.010030434782608696,0.09256992901768338
66900,5016.284804,2,82335,15435,0.0067108695652173915,0.187465840772454
14053,10829.339382,2,46319,32266,0.014028695652173913,0.6966039854055571
437585,18569.433976,2,288345,149240,0.06488695652173913,0.5175744334044288
241542,27719.080242,2,48344,193198,0.0839991304347826,3.996318053946715
445107,29456.61258,2,111840,333267,0.14489869565217392,2.9798551502145925
1150006,204.304398,2,1151206,1200,0.0005217391304347826,0.0010423851161303886
72673,15110.640256,2,70585,2088,0.0009078260869565218,0.02958135581214139
431006,18219.217613,2,369426,61580,0.026773913043478263,0.16669102878519648
204339,9439.656027,2,347044,142705,0.06204565217391304,0.4112014614861516
54404,15606.304925,2,76714,22310,0.0097,0.29082044998305395
26039,9683.140207,2,21221,4818,0.0020947826086956524,0.2270392535695773
59172,19569.267265,2,20029,39143,0.017018695652173912,1.9543162414498976
539186,16486.628303,2,544554,5368,0.002333913043478261,0.009857608244545077
347729,13277.239696,2,445542,97813,0.04252739130434783,0.21953710312383568
52600,3426.452453,2,82241,29641,0.012887391304347826,0.3604163373499836
325754,26694.852586,2,107055,218699,0.09508652173913043,2.0428658166363083
58842,4443.893505,2,82703,23861,0.010374347826086957,0.2885143223341354
312017,25791.437768,2,131833,180184,0.0783408695652174,1.3667594608330236
14359,8028.126512,2,49384,35025,0.015228260869565217,0.7092378098169447
