estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
355255,4.564248,-1,1,1,8257,290,290,289,240,28,18,3,0,346241,9014,0.003466923076923077,0.026033889689551497
167637,0.161322,-1,7,7,17,17,119,70,21,21,7,21,0,166400,1237,0.0004757692307692308,0.007433894230769231
417031,4.424813,-1,1,1,8257,234,234,234,210,7,12,5,0,409622,7409,0.0028496153846153845,0.018087407414640815
59426,63.763671,-1,1,1,118151,6963,6963,1956,211,885,796,64,0,22766,36660,0.0141,1.6102960555213917
93336,0.08049,-1,1,1,17,17,17,17,6,4,3,4,0,93008,328,0.00012615384615384615,0.0035265783588508516
163452,16.881421,-1,1,1,21058,4487,4487,3671,1384,2241,30,16,0,67420,96032,0.03693538461538461,1.424384455651142
316965,65.621188,-1,1,1,117925,7098,7098,7079,1632,3921,1475,51,0,158301,158664,0.061024615384615385,1.0022930998540756
62340,1.499678,-1,7,7,2065,38,266,182,0,98,77,7,0,59227,3113,0.0011973076923076924,0.052560487615445656
611381,4.338822,-1,1,1,5401,998,998,998,800,145,44,9,0,580528,30853,0.011866538461538461,0.053146445993991674
652139,0.061909,-1,1,1,17,17,17,17,6,4,3,4,0,651781,358,0.0001376923076923077,0.0005492642467331819
635105,0.125284,-1,1,1,42,42,42,42,16,4,15,6,1,634297,808,0.0003107692307692308,0.001273851208503272
17144,0.031812,-1,27,9,1,1,9,9,0,0,0,0,9,17144,0,0.0,0.0
198053,2.05858,-1,1,1,937,937,937,937,673,254,6,4,0,169962,28091,0.010804230769230769,0.1652781209917511
652136,0.060735,-1,1,1,17,17,17,17,1,5,8,3,0,651888,248,9.538461538461538e-05,0.0003804334486905726
542978,1.149787,-1,1,1,2065,41,41,41,0,21,15,5,0,542330,648,0.0002492307692307692,0.001194844467390703
120689,89.917584,-1,7,7,122899,6284,43988,3632,372,753,2031,476,0,66033,54656,0.021021538461538463,0.8277073584419912
399056,2.944798,-1,1,1,5401,141,141,140,90,35,12,3,0,395120,3936,0.0015138461538461538,0.009961530674225552
455380,19.868669,-1,1,1,21164,6387,6387,6384,4820,1537,10,17,0,258571,196809,0.07569576923076923,0.7611410405652606
48573,0.034092,-1,3,1,4,4,4,4,1,2,0,1,0,48492,81,3.115384615384615e-05,0.0016703786191536749
91280,0.1063,-1,1,1,33,33,33,33,16,4,5,7,1,90544,736,0.00028307692307692306,0.008128644636861637
63815,65.900794,3,1,1,450,108,108,108,0,0,0,108,0,72251,8436,0.0032446153846153844,0.11675962962450347
535417,3.789453,-1,1,1,4945,669,669,669,541,42,80,6,0,514886,20531,0.007896538461538462,0.03987484608243378
551304,16.736612,-1,1,1,17897,4784,4784,4779,4522,69,171,17,0,395857,155447,0.059787307692307695,0.3926847321128589
68906,4.248876,-1,1,1,5401,969,969,618,487,107,18,6,0,49978,18928,0.00728,0.37872663972147746
343110,1.400399,-1,1,1,1969,181,181,181,0,165,10,6,0,339539,3571,0.0013734615384615385,0.010517201264066868
311123,65.629921,-1,1,1,116688,6491,6491,6486,1635,3962,825,64,0,159437,151686,0.05834076923076923,0.9513851866254383
188237,0.017917,-1,1,1,1,1,1,1,0,0,0,0,1,188237,0,0.0,0.0
