estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
2279,140.205707,1,0.0020160675048828,1748,531,0.011744929331357413,0.3037757437070938
11601,50.953096,2,0.0013272762298583,9549,2052,0.04538718453473712,0.21489161168708765
7110,110.908986,2,0.0014386177062988,2329,4781,0.1057486010041804,2.0528123658222412
3692,62.382041,1,0.0024466514587402,41,3651,0.08075468359470041,89.04878048780488
12968,25.278936,1,0.0020301342010498,10905,2063,0.04563048815553737,0.18917927556166897
2841,159.281701,1,0.0023002624511718,106,2735,0.06049412753533432,25.80188679245283
2526,76.206189,1,0.0016908645629882,1614,912,0.02017208201543872,0.5650557620817844
3075,80.821985,1,0.0044403076171875,2294,781,0.01727455707681759,0.34045335658238884
4196,77.275635,2,0.0015134811401367,3896,300,0.0066355532945522105,0.07700205338809035
13883,2.434351,1,0.0038237571716308,101,13782,0.30483731835172856,136.45544554455446
8527,117.893264,2,0.0019731521606445,1906,6621,0.1464466612107673,3.473767051416579
3784,21.832142,1,0.0028812885284423,2207,1577,0.034880891818362784,0.714544630720435
4881,91.697405,2,0.0018715858459472,2350,2531,0.055981951295038815,1.0770212765957448
3075,26.133552,1,0.0025844573974609,1278,1797,0.03974696423436774,1.4061032863849765
2546,157.74406,1,0.0017125606536865,58,2488,0.05503085532281967,42.89655172413793
5172,106.833616,2,0.0014841556549072,3728,1444,0.03193912985777798,0.3873390557939914
9743,27.236159,2,0.0013158321380615,7494,2249,0.04974453119815974,0.3001067520683213
2804,44.006239,1,0.0018842220306396,6483,3679,0.08137400190219195,0.5674841894184791
2249,64.311896,1,0.0018336772918701,8965,6716,0.14854791975404216,0.7491355270496375
3427,65.055393,1,0.0019416809082031,3880,453,0.010019685474773839,0.11675257731958763
12968,4.429692,1,0.0018143653869628,8008,4960,0.10970781446992989,0.6193806193806194
2771,60.730358,1,0.0028920173645019,5870,3099,0.06854526553272433,0.5279386712095401
2983,140.540344,1,0.001636266708374,107,2876,0.06361283758377385,26.878504672897197
9415,1.046789,1,0.0015246868133544,6851,2564,0.05671186215743956,0.37425193402423
3075,92.676717,1,0.0022721290588378,7,3068,0.06785959169228728,438.2857142857143
3531,44.048067,1,0.0022306442260742,11117,7586,0.16779102430824358,0.6823783394800755
4116,20.85268,1,0.0026516914367675,1638,2478,0.05480967021300126,1.5128205128205128
13883,24.108614,1,0.0034422874450683,1029,12854,0.2843113401605804,12.491739552964043
3841,154.519811,1,0.0021100044250488,85,3756,0.08307712724779368,44.188235294117646
3452,89.048686,1,0.0026400089263916,525,2927,0.06474088164384774,5.575238095238095
3378,87.119489,1,0.0022001266479492,192,3186,0.07046957598814448,16.59375
3003,107.620797,1,0.0023701190948486,1457,1546,0.034195217977925726,1.0610844200411804
2544,152.383571,1,0.0015075206756591,747,1797,0.03974696423436774,2.4056224899598395
8090,2.686149,1,0.0017447471618652,351,7739,0.1711751564884652,22.048433048433047
2996,68.234805,1,0.0035827159881591,93,2903,0.06421003738028357,31.21505376344086
3158,84.877248,1,0.0034592151641845,406,2752,0.060870142222025615,6.778325123152709
3613,23.274778,1,0.0024802684783935,1439,2174,0.04808564287452169,1.5107713690062543
13503,1.391446,1,0.0029959678649902,2860,10643,0.2354073123797306,3.7213286713286715
16739,52.49586,2,0.0012118816375732,9272,7467,0.16515892150140452,0.805327868852459
3492,38.403855,1,0.0016083717346191,2185,1307,0.0289088938532658,0.5981693363844394
2687,103.313309,1,0.0021595954895019,211,2476,0.05476543319103758,11.734597156398104
13503,3.286024,1,0.0026159286499023,74,13429,0.2970294839751388,181.47297297297297
13883,2.20772,1,0.0038156509399414,64,13819,0.3056557032580567,215.921875
2364,163.383764,1,0.0020585060119628,58,2306,0.05100528632412466,39.758620689655174
3498,90.097195,1,0.0017845630645751,1016,2482,0.05489814425692862,2.4429133858267718
3296,35.887085,1,0.0035061836242675,874,2422,0.05357103359801818,2.7711670480549198
3309,33.280814,1,0.0020711421966552,8934,5625,0.12441662427285395,0.6296171927468099
2560,44.568498,1,0.0016202926635742,2180,380,0.008405034173099468,0.1743119266055046
2848,65.640428,1,0.0028929710388183,5775,2927,0.06474088164384774,0.5068398268398269
3606,35.852418,1,0.0033924579620361,33,3573,0.07902943973811682,108.27272727272727
4984,83.992712,2,0.0015928745269775,1478,3506,0.0775474995023335,2.3721244925575102
14817,60.209295,2,0.0015158653259277,6546,8271,0.18294220433080444,1.263519706691109
36865,2.114188,2,0.0018887519836425,36959,94,0.002079140032293026,0.0025433588571119347
13503,2.361879,1,0.0029423236846923,2420,11083,0.24513945721174052,4.579752066115702
2545,58.60359,1,0.0035176277160644,136,2409,0.05328349295525425,17.71323529411765
2358,66.329944,1,0.0042943954467773,780,1578,0.034903010329344626,2.023076923076923
2474,82.286701,1,0.0026884078979492,1807,667,0.014753046824887749,0.369120088544549
13883,22.676178,1,0.0102343559265136,9,13874,0.3068722213620579,1541.5555555555557
11627,24.607388,2,0.0012729167938232,10834,793,0.017539979208599676,0.07319549566180543
4876,73.006788,2,0.0032765865325927,2433,2443,0.054035522328636836,1.0041101520756268
2984,63.288886,1,0.0022008419036865,2902,82,0.0018137179005109376,0.028256374913852515
2589,64.075909,1,0.0025873184204101,414,2175,0.04810776138550353,5.253623188405797
4333,94.398025,2,0.0015122890472412,1941,2392,0.05290747826856296,1.2323544564657394
2597,182.692707,1,0.0019557476043701,95,2502,0.05534051447656544,26.33684210526316
13883,2.930488,1,0.0041284561157226,2586,11297,0.24987281856185442,4.3685228151585465
3160,91.189244,1,0.0016586780548095,909,2251,0.049788768220123424,2.4763476347634765
2589,81.339854,1,0.00266695022583,464,2125,0.047001835836411494,4.579741379310345
3713,22.774123,1,0.0023434162139892,992,2721,0.06018446838158855,2.742943548387097
3644,48.593592,1,0.0014071464538574,3209,435,0.009621552277100705,0.13555624805235275
3643,19.722416,1,0.0017650127410888,9925,6282,0.13894848598792328,0.6329471032745592
3096,54.510201,1,0.001368761062622,2034,1062,0.023489858662714826,0.5221238938053098
