estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
2837,36.599946,1,0.0060703754425048,0,2837,0.06275021565548207,0.0
2733,59.954543,1,0.0060830116271972,2,2731,0.06040565349140696,1365.5
3138,40.59786,1,0.0063784122467041,0,3138,0.06940788746101613,0.0
2838,55.437288,1,0.0055365562438964,0,2838,0.06277233416646391,0.0
2753,38.9146,1,0.0055994987487792,0,2753,0.06089226073300746,0.0
2994,41.684247,1,0.005732774734497,0,2994,0.06622282187963106,0.0
3075,32.488831,1,0.0057606697082519,0,3075,0.06801442126916016,0.0
2619,43.542877,1,0.0057070255279541,0,2619,0.0579283802614408,0.0
2564,47.01068,1,0.0059068202972412,0,2564,0.05671186215743956,0.0
2823,52.518033,1,0.00569748878479,0,2823,0.062440556501736307,0.0
3230,46.971105,1,0.0056562423706054,0,3230,0.07144279047134547,0.0
2586,52.572057,1,0.0065305233001708,1,2585,0.05717635088805822,2585.0
2865,50.910203,1,0.006601333618164,0,2865,0.06336953396297361,0.0
2642,53.96619,1,0.0058012008666992,0,2642,0.05843710601402314,0.0
3125,51.109227,1,0.0057823657989501,0,3125,0.0691203468182522,0.0
3040,43.700602,1,0.0056324005126953,0,3040,0.06724027338479574,0.0
2778,48.305249,1,0.0054876804351806,0,2778,0.06144522350755347,0.0
2968,44.304845,1,0.0060656070709228,0,2968,0.06564774059410321,0.0
2813,45.630652,1,0.0058445930480957,0,2813,0.062219371391917896,0.0
2447,42.309786,1,0.0057313442230224,0,2447,0.0541239963725642,0.0
2942,57.361021,1,0.0071508884429931,1,2941,0.06505054079759351,2941.0
3075,41.434858,1,0.0062878131866455,0,3075,0.06801442126916016,0.0
3189,39.776278,1,0.0059907436370849,0,3189,0.07053593152109,0.0
2956,44.803286,1,0.0056586265563964,0,2956,0.06538231846232112,0.0
3691,43.337336,1,0.0060241222381591,0,3691,0.08163942403397403,0.0
2723,52.184187,1,0.0059330463409423,2,2721,0.06018446838158855,1360.5
2752,42.410949,1,0.0054142475128173,0,2752,0.060870142222025615,0.0
3405,39.737535,1,0.005742073059082,0,3405,0.07531352989316759,0.0
3023,57.797414,1,0.0059981346130371,0,3023,0.06686425869810445,0.0
3307,37.714403,1,0.0059850215911865,0,3307,0.0731459158169472,0.0
2981,42.018734,1,0.0074284076690673,1,2980,0.0659131627258853,2980.0
3080,49.860776,1,0.0055110454559326,0,3080,0.06812501382406937,0.0
2826,36.641327,1,0.0057513713836669,0,2826,0.06250691203468182,0.0
15696,32.087362,1,0.0055916309356689,0,15696,0.34717214837097166,0.0
2966,50.274712,1,0.0057859420776367,0,2966,0.06560350357213952,0.0
2549,52.586161,1,0.0058350563049316,0,2549,0.05638008449271195,0.0
2418,52.298024,1,0.0057635307312011,0,2418,0.05348255955409082,0.0
2956,37.418273,1,0.0054852962493896,0,2956,0.06538231846232112,0.0
2917,48.801177,1,0.0055763721466064,0,2917,0.06451969653402934,0.0
3460,42.246776,1,0.005728006362915,0,3460,0.07653004799716884,0.0
3106,36.819105,1,0.0055294036865234,0,3106,0.06870009510959722,0.0
2749,48.944015,1,0.0055365562438964,0,2749,0.06080378668908009,0.0
2616,39.33963,1,0.0055477619171142,0,2616,0.057862024728495276,0.0
2805,47.292043,1,0.0049796104431152,0,2805,0.06204242330406317,0.0
3138,38.851747,1,0.0056140422821044,0,3138,0.06940788746101613,0.0
2939,33.450811,1,0.0053076744079589,0,2939,0.06500630377562983,0.0
2941,43.719137,1,0.0055544376373291,0,2941,0.06505054079759351,0.0
2754,62.176828,1,0.005944013595581,1,2753,0.06089226073300746,2753.0
2803,52.727365,1,0.005540132522583,0,2803,0.061998186282099486,0.0
15696,35.314035,1,0.0053308010101318,0,15696,0.34717214837097166,0.0
3023,57.928943,1,0.0053110122680664,0,3023,0.06686425869810445,0.0
2556,50.932992,1,0.0055153369903564,0,2556,0.056534914069584837,0.0
2673,44.526471,1,0.0058989524841308,0,2673,0.0591227798544602,0.0
