estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
56779,13.436146,1,0.0181834697723388,26001,30778,0.08151493080844865,1.1837237029345025
83657,24.64224,1,0.0174438953399658,1677,81980,0.21712242600807788,48.884913536076326
326722,0.246036,1,0.0132946968078613,191121,135601,0.35913659537840165,0.709503403602953
368537,1.639642,1,0.0169301033020019,9992,358545,0.9495994173343044,35.8832065652522
353104,4.968018,1,0.014545202255249,50846,302258,0.8005243991260015,5.944577744562011
129311,8.039884,2,0.0117013454437255,97618,31693,0.08393829040587962,0.3246634841934889
91420,19.250495,1,0.017521858215332,446,90974,0.2409428590346289,203.97757847533632
63590,24.166946,1,0.012298583984375,19449,44141,0.11690657485267827,2.2695768419970177
90410,22.929399,1,0.0117182731628417,19803,70607,0.18700125802820633,3.5654698783012675
353104,4.100421,1,0.01442551612854,50253,302851,0.8020949480235715,6.026525779555449
67512,26.579871,1,0.0130054950714111,4197,63315,0.16768853870092035,15.08577555396712
75267,29.339622,1,0.0126326084136962,30313,44954,0.11905978944580548,1.4829940949427638
89069,24.348038,1,0.0126464366912841,24391,64678,0.17129841753294048,2.651715796810299
73439,30.372446,1,0.0124516487121582,20314,53125,0.14070052307488579,2.6151914935512455
368537,3.694476,1,0.0161216259002685,7691,360846,0.9556935708137456,46.91795605252893
74854,35.117005,1,0.0131289958953857,5333,69521,0.18412500827650136,13.036002250140633
70747,18.88501,1,0.0145535469055175,18461,52286,0.13847844799046546,2.8322409403607605
59974,29.354574,1,0.0126798152923583,4523,55451,0.14686088856518573,12.259783329648464
379487,3.210946,1,0.0184471607208251,6531,372956,0.9877666688737337,57.10549686112387
69283,18.539903,1,0.0159523487091064,22,69261,0.18343640336357014,3148.2272727272725
368537,2.610049,1,0.0166833400726318,6614,361923,0.9585459842415415,54.72074387662534
59587,33.489274,1,0.0140619277954101,5829,53758,0.14237701118982984,9.222508148910618
84220,21.74075,1,0.0116658210754394,24787,59433,0.15740713765477057,2.3977488199459396
379487,8.127907,1,0.0169451236724853,5561,373926,0.9903356948950539,67.24078403164899
72786,24.87019,1,0.0162491798400878,14612,58174,0.15407270078792293,3.9812482890774707
450994,23.703857,2,0.0124356746673583,76300,374694,0.9923697278686354,4.910799475753604
63641,24.485651,1,0.0171952247619628,5235,58406,0.1546871482486923,11.156829035339063
353104,0.141843,1,0.0154788494110107,5635,347469,0.9202648480434351,61.66264418811003
75039,6.637806,1,0.0189573764801025,2750,72289,0.19145600211878436,26.28690909090909
326722,0.059247,1,0.0130493640899658,18682,308040,0.8158379129974177,16.488598651108017
86598,18.677516,1,0.0140504837036132,15274,71324,0.18890021849963584,4.669634673301035
368537,9.185958,1,0.0148837566375732,9013,359524,0.9521922796795339,39.889492954621105
83145,21.184557,1,0.018226146697998,3056,80089,0.21211414950672053,26.207133507853403
70288,6.363582,1,0.0169043540954589,4141,66147,0.1751890352910018,15.973677855590438
328553,16.818096,2,0.0131008625030517,104648,223905,0.593008011653314,2.139601330173534
368537,9.117451,1,0.0152957439422607,9140,359397,0.9518559226643714,39.321334792122535
60799,30.010586,1,0.0141353607177734,4429,56370,0.1492948420843541,12.727477986001354
105609,17.152447,1,0.0132112503051757,23912,81697,0.2163729060451566,3.416569086651054
84984,22.908946,1,0.0147352218627929,24770,60214,0.15947560087399854,2.4309245054501414
58685,29.371504,1,0.0188033580780029,3930,54755,0.14501754618287757,13.932569974554708
107524,30.883781,1,0.0155932903289794,5233,102291,0.2709157121101768,19.54729600611504
91250,12.406408,1,0.0204024314880371,0,91250,0.2416738396345097,0.0
353104,5.247862,1,0.0156598091125488,48538,304566,0.8066370919684831,6.2747950059747
101720,24.035925,1,0.0167932510375976,475,101245,0.2681454015758459,213.14736842105262
110176,28.369363,1,0.0169718265533447,2533,107643,0.28509037939482224,42.49624950651401
368537,0.577262,1,0.0194606781005859,50275,318262,0.8429106799973515,6.330422675285927
379487,7.553893,1,0.0231330394744873,300,379187,1.0042693504601734,1263.9566666666667
84445,13.424532,1,0.0157692432403564,44370,40075,0.10613785340660796,0.9032003606040118
55614,11.512474,1,0.0140047073364257,24891,30723,0.08136926438455935,1.2343015547788356
71856,31.702613,1,0.0142745971679687,18702,53154,0.14077732900748197,2.842155919153032
77893,37.006629,1,0.0142154693603515,21096,56797,0.15042574322982188,2.6923113386423965
102406,6.599356,2,0.0134346485137939,101827,579,0.0015334701714891082,0.005686114684710342
95690,19.50526,1,0.0185942649841308,632,95058,0.2517592531285175,150.40822784810126
368537,0.145301,1,0.0183169841766357,254,368283,0.9753903198040125,1449.9330708661416
353104,2.696671,1,0.0149228572845458,48561,304543,0.806576176918493,6.271349436790841
69319,32.609473,1,0.0134212970733642,4065,65254,0.17282394226312653,16.052644526445263
379487,5.992316,1,0.0175962448120117,466,379021,1.0038297027080711,813.3497854077253
78694,27.238189,1,0.0133130550384521,14392,64302,0.17030258888962457,4.467898832684825
71522,25.858012,1,0.0133430957794189,29899,41623,0.11023770111898298,1.3921201377972507
353104,5.443703,1,0.014510154724121,57742,295362,0.7822604780507184,5.115202105919435
353104,5.233663,1,0.0153007507324218,49168,303936,0.8049685492948421,6.181581516433453
71530,17.090451,1,0.0199751853942871,22083,49447,0.13095941203734357,2.239143232350677
69397,13.380826,1,0.0135807991027832,32059,37338,0.09888896245778984,1.1646651486322093
353104,5.284829,1,0.014937400817871,49945,303159,0.8029106799973516,6.06985684252678
408727,19.721262,2,0.0125172138214111,85803,322924,0.8552578957822949,3.7635513909770055
53570,4.843052,1,0.0130505561828613,99590,46020,0.12188306958882342,0.4620945878100211
58405,18.595315,1,0.0159554481506347,32465,25940,0.06870158246705953,0.7990143231172031
379487,5.121339,1,0.0208346843719482,132,379355,1.0047142951731445,2873.901515151515
368537,3.86991,1,0.0178823471069335,6822,361715,0.9579951003111965,53.02184110231604
99305,24.393132,1,0.0159878730773925,13770,85535,0.22653777395219493,6.211692084241104
90960,25.978554,1,0.0130231380462646,21791,69169,0.18319274316360987,3.174200357945941
117625,19.208216,1,0.0173842906951904,641,116984,0.30982983513209295,182.50234009360375
326722,0.118222,1,0.0134549140930175,58466,268256,0.7104707673972058,4.588239318578319
95377,28.343042,1,0.0137317180633544,7159,88218,0.2336436469575581,12.322670764073195
379487,7.737697,1,0.0194873809814453,5299,374188,0.9910295967688538,70.61483298735611
294870,18.492043,2,0.01228928565979,100820,194050,0.513937628285771,1.9247173179924617
