estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
353104,3.838025,1,0.0177807807922363,41253,311851,0.8259312719327286,7.559474462463336
353104,7.083367,1,0.0167112350463867,42715,310389,0.8220591935377077,7.266510593468337
353104,3.692655,1,0.0170133113861084,43731,309373,0.8193683374164074,7.074455191969084
58635,15.096624,1,0.0173029899597167,13983,44652,0.11825994835463154,3.193306157476936
353104,2.623978,1,0.0184466838836669,48739,304365,0.8061047474011785,6.244793697039332
70253,5.608627,1,0.0168712139129638,350,69903,0.18513672780242335,199.72285714285715
353104,6.334092,1,0.0192213058471679,49934,303170,0.8029398132821294,6.071414266832218
112448,19.268731,1,0.0190834999084472,39967,72481,0.1919645103621797,1.813521154952836
353104,5.418161,1,0.0182418823242187,49168,303936,0.8049685492948421,6.181581516433453
63335,16.707632,1,0.0170865058898925,39731,23604,0.06251473217241607,0.5940952908308373
71409,15.128723,1,0.0180015563964843,33378,38031,0.10072435939879494,1.1394031997123855
66150,15.286929,1,0.0191256999969482,61193,4957,0.013128517513076872,0.08100599741800532
353104,4.999277,1,0.0197594165802001,49945,303159,0.8029106799973516,6.06985684252678
353104,4.831576,1,0.0182151794433593,50414,302690,0.801668542673641,6.0040861665410405
70178,12.955307,1,0.0187709331512451,37095,33083,0.08761967820962722,0.8918452621647123
79002,21.011061,1,0.0179810523986816,64539,14463,0.03830497252201549,0.22409705759308327
58068,7.216113,1,0.0183262825012207,54214,3854,0.010207243593987949,0.07108864868853064
79571,15.507176,1,0.0176093578338623,40318,39253,0.10396080248957161,0.9735849992559155
353104,3.69763,1,0.0182855129241943,49425,303679,0.804287889823214,6.1442387455741025
353104,2.611838,1,0.0177757740020751,49642,303462,0.8037131695689598,6.113009145481649
353104,6.287179,1,0.0177919864654541,49934,303170,0.8029398132821294,6.071414266832218
353104,7.270503,1,0.0174496173858642,44147,308957,0.8182665695557174,6.998369085102046
64363,6.753837,1,0.0171384811401367,3713,60650,0.16063033834337548,16.334500403985995
