estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
67594,15.280599,1,0.0135819911956787,25771,41823,0.11076739720585314,1.622870668580963
75836,10.002448,1,0.0138654708862304,22542,53294,0.14114811626829107,2.3642090320291014
105685,15.933516,1,0.0141816139221191,27745,77940,0.20642256505330067,2.8091548026671473
71133,8.251934,1,0.0140769481658935,19445,51688,0.1368946566907237,2.658164052455644
58786,8.472439,1,0.0139870643615722,28096,30690,0.08128186453022579,1.0923263097949887
62417,4.541601,1,0.0156495571136474,30488,31929,0.08456333178838642,1.047264497507216
70059,21.860383,1,0.0148496627807617,24974,45085,0.11940674038270542,1.8052774885881318
63016,8.931824,1,0.0148019790649414,30886,32130,0.08509567635569092,1.0402771482224957
90486,18.787608,1,0.0146243572235107,28904,61582,0.16309872210819043,2.1305701632991974
65630,9.308901,1,0.0306916236877441,18193,47437,0.1256359663642985,2.6074314296707524
65803,26.061349,1,0.0152177810668945,12309,53494,0.14167781235516122,4.345925745389552
61715,8.6655,1,0.0147616863250732,29697,32018,0.08479904654704364,1.0781560426979155
77235,24.342261,1,0.0154838562011718,33371,43864,0.1161729457723631,1.314434688801654
94730,22.781386,1,0.0153231620788574,16843,77887,0.20628219559028008,4.624294959330285
64252,23.777327,1,0.0145599842071533,22679,41573,0.11010527709726545,1.8331055161162308
68705,11.482558,1,0.0149528980255126,25501,43204,0.11442494868569159,1.6942080702717541
58786,8.564621,1,0.0154223442077636,28703,30083,0.07967423690657485,1.0480785980559524
99335,19.440573,1,0.0154013633728027,21632,77703,0.20579487519035952,3.592039571005917
67594,11.658938,1,0.0140988826751708,25114,42480,0.11250744885122162,1.6914868201003423
67197,30.12291,1,0.0142831802368164,17826,49371,0.1307581275243329,2.7696061932009424
83749,19.781899,1,0.0143740177154541,20293,63456,0.1680619744421638,3.126989602325925
74714,20.371083,1,0.0145509243011474,24247,50467,0.1336608620803814,2.0813708912442777
69601,22.743502,1,0.0151200294494628,20547,49054,0.12991855922664372,2.387404487273081
