estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
74068,7.02432,1,0.0168900489807128,122525,48457,0.12833741640733629,0.3954866353805346
154064,7.848915,2,0.0137968063354492,124195,29869,0.07910746209362378,0.24050082531502878
136480,16.760463,1,0.0167582035064697,112425,24055,0.06370919684830828,0.21396486546586613
353104,2.786331,1,0.0164151191711425,124761,228343,0.6047619678209627,1.830243425429421
267007,34.29667,2,0.0145251750946044,120650,146357,0.38762365093027873,1.2130708661417322
154064,7.610503,2,0.0131831169128417,124195,29869,0.07910746209362378,0.24050082531502878
153402,7.996484,2,0.0134499073028564,124390,29012,0.07683771436138516,0.23323418281212316
250243,46.930506,2,0.0134682655334472,121180,129063,0.34182083029861615,1.065051988777026
104308,7.07163,2,0.0126731395721435,124010,19702,0.052180361517579286,0.15887428433190873
82625,4.664386,1,0.0151636600494384,121812,39187,0.10378600278090445,0.3217006534659968
101048,4.9401,1,0.015059471130371,122259,21211,0.056176918493014635,0.17349234003222666
301137,18.228522,2,0.0125701427459716,121417,179720,0.4759849036615242,1.4801881120436182
108037,5.889871,2,0.0132460594177246,122956,14919,0.03951267960007945,0.12133608770617131
257972,16.275804,2,0.0124034881591796,120966,137006,0.3628577103886645,1.1325992427624292
82917,6.549141,1,0.0147156715393066,122485,39568,0.10479507382639211,0.3230436379964894
121348,15.709774,1,0.0137133598327636,134698,13350,0.035357213798583066,0.0991106029785149
418544,25.265745,2,0.0124585628509521,121498,297046,0.7867205191021651,2.4448632899306983
79081,7.333491,1,0.0151128768920898,120350,41269,0.1093001390452228,0.3429081844619859
72972,9.273915,1,0.0144276618957519,122308,49336,0.13066543070913064,0.40337508584884063
125950,7.240251,2,0.0122003555297851,124209,1741,0.004611004436204728,0.014016697662810263
108116,5.716502,2,0.0124411582946777,124015,15899,0.04210819042574323,0.1282022336007741
116763,5.80049,2,0.0125377178192138,124436,7673,0.02032179037277362,0.061662219936352826
81211,2.937165,1,0.0125494003295898,123452,42241,0.11187446202741178,0.3421653760165894
293492,20.100331,2,0.0119340419769287,123075,170417,0.4513460901807588,1.384659760308755
90408,8.050383,1,0.0150172710418701,124650,34242,0.0906892670330398,0.274705174488568
86064,2.91212,1,0.0121223926544189,123613,37549,0.09944779182943786,0.3037625492464385
82812,4.958311,1,0.0148236751556396,122606,39794,0.10539363040455539,0.3245681288028318
176370,10.496089,2,0.0123751163482666,123429,52941,0.14021320267496523,0.4289186495880223
250410,32.894028,2,0.0136001110076904,124797,125613,0.33268357280010596,1.0065386187167962
152663,10.748457,1,0.0142242908477783,121222,31441,0.08327087333642323,0.2593671115804062
353104,2.555211,1,0.0159738063812255,125383,227721,0.6031146129907965,1.816203153537561
332762,20.453817,2,0.0129008293151855,122445,210317,0.5570204595113554,1.7176446567846788
139872,5.824698,2,0.0126500129699707,124426,15446,0.04090842878898232,0.12413804188835131
82812,4.870636,1,0.0145862102508544,122606,39794,0.10539363040455539,0.3245681288028318
67556,4.25678,1,0.0114543437957763,123212,55656,0.14740382705422764,0.4517092490991137
77405,7.103049,1,0.0144109725952148,122665,45260,0.11987022445871681,0.3689724045163657
127369,5.998761,2,0.0121724605560302,124018,3351,0.008875057935509502,0.027020271250947442
101815,5.774216,1,0.0153400897979736,124746,22931,0.06073230484009799,0.18382152533948984
82092,7.982721,1,0.0166177749633789,126056,43964,0.11643779381579819,0.3487656279748683
103199,5.775736,1,0.0162961483001709,124758,21559,0.057098589684168706,0.1728065534875519
489065,16.117748,2,0.0130767822265625,120919,368146,0.9750274779845064,3.044567024206287
134836,16.295275,1,0.0171012878417968,120069,14767,0.03911011057405813,0.12298761545444703
89114,13.848272,1,0.0139317512512207,120302,31188,0.08260080778653248,0.2592475603065618
103968,5.743996,2,0.0138535499572753,123532,19564,0.05181487121763888,0.15837191982644172
99791,11.536512,1,0.0141592025756835,122043,22252,0.05893398662517381,0.18232917905983956
82812,4.780365,1,0.0145137310028076,122606,39794,0.10539363040455539,0.3245681288028318
83849,8.105543,1,0.0146739482879638,124884,41035,0.10868039462358473,0.3285849268120816
126890,4.232657,2,0.0124659538269042,124124,2766,0.007325696881414288,0.02228416744545777
140439,4.171645,2,0.0119307041168212,121023,19416,0.05142289611335496,0.16043231451872786
136738,16.134377,1,0.0147864818572998,111969,24769,0.06560021187843475,0.2212130143164626
73509,2.962466,1,0.011925458908081,124484,50975,0.13500629014103158,0.409490376273256
127369,5.898641,2,0.0119073390960693,124018,3351,0.008875057935509502,0.027020271250947442
74690,8.249766,1,0.0144712924957275,120349,45659,0.12092696815202278,0.3793882790883181
383299,22.35804,2,0.0112624168395996,121452,261847,0.6934966562934516,2.1559710832262953
353104,1.450016,1,0.0148279666900634,135965,217139,0.5750883930344964,1.5970212922443277
101860,4.915577,1,0.0150611400604248,109083,7223,0.019129974177315764,0.06621563396679593
162680,11.175821,2,0.0123794078826904,122166,40514,0.10730053631728796,0.3316307319548811
75588,2.972061,1,0.0112876892089843,124584,48996,0.12976494736145136,0.3932768252745136
150194,7.394676,2,0.011009931564331,121874,28320,0.0750049659008144,0.23237113740420434
75588,2.90434,1,0.0113782882690429,124584,48996,0.12976494736145136,0.3932768252745136
82643,7.051705,1,0.015233039855957,125316,42673,0.11301860557505132,0.3405231574579463
73332,5.860938,1,0.0136277675628662,123723,50391,0.13345957756737073,0.40728886302465994
100003,5.789476,1,0.0132753849029541,141067,41064,0.10875720055618089,0.2910957204732503
153402,7.005167,2,0.0110909938812255,124390,29012,0.07683771436138516,0.23323418281212316
355244,16.386588,2,0.0111217498779296,121810,233434,0.6182453817122426,1.9163779656842623
75588,2.965396,1,0.010944128036499,124584,48996,0.12976494736145136,0.3932768252745136
82643,7.006976,1,0.0135543346405029,125316,42673,0.11301860557505132,0.3405231574579463
89418,4.624034,1,0.0134809017181396,121669,32251,0.08541614248824737,0.265071628763284
115273,5.575659,2,0.011552095413208,123358,8085,0.021412964311726148,0.06554094586488107
373576,13.936579,2,0.0116894245147705,123380,250196,0.6626392107528306,2.027848922029502
143179,7.236301,2,0.011183738708496,124562,18617,0.04930676024630868,0.1494597068126716
72598,9.540252,1,0.0146713256835937,120177,47579,0.1260120505859763,0.39590770280502924
141296,5.862273,2,0.013895034790039,123042,18254,0.04834536184863934,0.14835584597129436
75588,3.020021,1,0.0134344100952148,124584,48996,0.12976494736145136,0.3932768252745136
101815,5.573029,1,0.0143139362335205,124746,22931,0.06073230484009799,0.18382152533948984
83849,7.944329,1,0.0155708789825439,124884,41035,0.10868039462358473,0.3285849268120816
87866,17.535525,1,0.0142290592193603,121994,34128,0.0903873402635238,0.2797514631867141
99411,17.314364,1,0.0163390636444091,122618,23207,0.06146328543997881,0.18926258787453717
104846,5.498237,2,0.0126450061798095,123144,18298,0.048461894987750775,0.14859026830377445
477139,22.292895,2,0.0122396945953369,121184,355955,0.9427398530093359,2.9373102059677847
