estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
27002,29.329249,1,0.0328180789947509,620,26382,0.048683450542434246,42.55161290322581
147128,19.732708,1,0.0311717987060546,506,146622,0.27056572228916664,289.7667984189723
147128,11.164237,1,0.0326664447784423,176,146952,0.27117468061980887,834.9545454545455
147128,20.757179,1,0.033125877380371,196,146932,0.2711377740543154,749.6530612244898
157780,24.539183,1,0.0302822589874267,77,157703,0.29101380490082285,2048.090909090909
27762,29.521128,1,0.0332090854644775,54,27708,0.051130355834651205,513.1111111111111
147128,20.447237,1,0.0316908359527587,171,146957,0.27118390726118224,859.3976608187135
147128,16.116552,1,0.0326392650604248,476,146652,0.2706210821374068,308.0924369747899
127656,14.694365,1,0.0306341648101806,0,127656,0.2355672262317105,0.0
147128,15.416772,1,0.0317926406860351,128,147000,0.27126325637699317,1148.4375
147128,29.761474,1,0.0315141677856445,912,146216,0.2698165190096492,160.32456140350877
147128,15.695446,1,0.0298995971679687,541,146587,0.27050113579955304,270.95563770794826
147128,20.728314,1,0.0311846733093261,200,146928,0.2711303927412167,734.64
147128,11.717255,1,0.030210256576538,798,146330,0.27002688643296197,183.37092731829574
147128,15.248009,1,0.0302767753601074,46,147082,0.2714145732955164,3197.4347826086955
147128,10.300165,1,0.0307092666625976,345,146783,0.27086282014138907,425.4579710144927
157780,15.062014,1,0.0290486812591552,114,157666,0.2909455277546599,1383.0350877192982
157780,29.30149,1,0.0285592079162597,568,157212,0.2901077487179582,276.78169014084506
27144,28.382664,1,0.0306673049926757,6,27138,0.050078518718087356,4523.0
157780,15.306954,1,0.0284512042999267,17,157763,0.29112452459730326,9280.176470588236
157780,14.445226,1,0.0291206836700439,138,157642,0.29090123987606775,1142.3333333333333
147128,20.41019,1,0.0314724445343017,80,147048,0.2713518321341775,1838.1
147128,25.399494,1,0.0289044380187988,44,147084,0.27141826395206575,3342.818181818182
157780,29.339326,1,0.0296747684478759,54,157726,0.29105624745114034,2920.8518518518517
147128,25.715014,1,0.0311992168426513,667,146461,0.2702686244369442,219.58170914542728
26647,38.535733,1,0.0329179763793945,189,26458,0.048823695491309424,139.989417989418
157780,6.984431,1,0.0305461883544921,365,157415,0.2904823503577169,431.2739726027397
157780,11.017933,1,0.0300343036651611,113,157667,0.2909473730829346,1395.283185840708
147128,24.796203,1,0.0329656600952148,25,147103,0.27145332518928456,5884.12
147128,30.669474,1,0.0298712253570556,175,146953,0.27117652594808356,839.7314285714285
157780,24.474034,1,0.0297479629516601,43,157737,0.2910765460621617,3668.3023255813955
157780,29.619501,1,0.0296175479888916,54,157726,0.29105624745114034,2920.8518518518517
147128,15.574002,1,0.0316357612609863,934,146194,0.2697759217876064,156.52462526766595
147128,19.861379,1,0.0317490100860595,22,147106,0.27145886117410856,6686.636363636364
147128,24.486727,1,0.0322487354278564,123,147005,0.27127248301836654,1195.1626016260163
157780,8.641271,1,0.0311295986175537,2914,154866,0.28577860858557436,53.14550446122169
147128,15.424364,1,0.0310475826263427,346,146782,0.2708609748131144,424.22543352601156
147128,24.713842,1,0.031367540359497,65,147063,0.27137951205829763,2262.507692307692
157780,19.033262,1,0.0298836231231689,198,157582,0.29079052017958734,795.8686868686868
27498,30.556225,1,0.0317199230194091,265,27233,0.05025382490418133,102.76603773584905
28883,29.151515,1,0.0283024311065673,63,28820,0.053182360876088054,457.46031746031747
157780,10.376341,1,0.0306389331817626,0,157780,0.2911558951779727,0.0
26707,28.592344,1,0.0313267707824707,24,26683,0.04923889435311095,1111.7916666666667
147128,6.23658,1,0.0278680324554443,5,147123,0.271490231754778,29424.6
147128,21.263823,1,0.0305039882659912,258,146870,0.27102336370128566,569.2635658914729
28329,29.943379,1,0.0304827690124511,371,27958,0.05159168790331956,75.35849056603773
147128,11.116612,1,0.0312972068786621,549,146579,0.27048637317335567,266.9927140255009
157780,14.966562,1,0.0292191505432128,131,157649,0.29091415717399044,1203.4274809160306
147128,20.184205,1,0.0301034450531005,68,147060,0.2713739760734736,2162.6470588235293
27383,30.359177,1,0.0311062335968017,844,26539,0.048973167081557974,31.444312796208532
147128,15.66163,1,0.0304527282714843,321,146807,0.2709071080199812,457.34267912772583
26042,28.944844,1,0.0270915031433105,0,26042,0.04805603892904528,0.0
147128,14.822672,1,0.0294075012207031,0,147128,0.27149945839615136,0.0
147128,11.560567,1,0.0300250053405761,196,146932,0.2711377740543154,749.6530612244898
147128,20.367849,1,0.0354542732238769,1015,146113,0.26962645019735787,143.95369458128079
147128,20.28149,1,0.0387520790100097,288,146840,0.2709680038530454,509.8611111111111
157780,24.928654,1,0.0368719100952148,110,157670,0.2909529090677586,1433.3636363636363
27498,24.251135,1,0.0386562347412109,89,27409,0.05057860268052385,307.96629213483146
28524,29.409464,1,0.0390677452087402,94,28430,0.052462682848965415,302.4468085106383
147128,30.011084,1,0.0400426387786865,281,146847,0.27098092115096817,522.5871886120997
147128,15.683002,1,0.0408551692962646,2105,145023,0.26761504237796385,68.89453681710214
147128,14.307851,1,0.0446135997772216,1778,145350,0.268218464723782,81.74915635545557
147128,6.695515,1,0.0562951564788818,81,147047,0.27134998680590283,1815.3950617283951
147128,15.103401,1,0.0529870986938476,76,147052,0.2713592134472762,1934.8947368421052
147128,6.598461,1,0.0499839782714843,118,147010,0.2712817096597399,1245.8474576271187
