estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
49203,51.048234,1,0.0247750282287597,12367,36836,0.0679745123258702,2.978572006145387
27299,80.471726,1,0.0272243022918701,4511,22788,0.04205134072325797,5.051651518510308
28430,63.700195,1,0.0272777080535888,12823,15607,0.028800038382828113,1.2171098806831475
25855,46.010313,1,0.0285730361938476,10632,15223,0.028091432325353518,1.4318096313017306
25980,33.780345,1,0.0294523239135742,5521,20459,0.037753571171543564,3.7056692628147077
25849,71.260831,1,0.0286037921905517,12266,13583,0.025065093954889105,1.1073699657590086
27248,68.212429,1,0.0365808010101318,14214,13034,0.024052008732093396,0.9169832559448431
38406,72.906861,1,0.0281119346618652,15645,22761,0.042001516859841784,1.4548418024928091
25369,66.620911,1,0.0287783145904541,10946,14423,0.02661516970561478,1.317650283208478
24259,74.932121,1,0.0275650024414062,14097,10162,0.018752225927231324,0.7208625948783429
28653,70.186243,1,0.027740478515625,23633,5020,0.009263547938860583,0.21241484365082725
41953,56.120491,1,0.026475191116333,7344,34609,0.06386496625817249,4.712554466230936
26593,55.830361,1,0.0246341228485107,13950,12643,0.02333048537669609,0.9063082437275986
42054,30.020815,1,0.0255608558654785,12279,29775,0.05494464937840117,2.424871732225751
28866,41.097306,1,0.0237915515899658,12135,16731,0.03087418736356104,1.3787391841779975
39182,51.607239,1,0.0219085216522216,11414,27768,0.05124107553113161,2.432801822323462
41953,50.361944,1,0.0221614837646484,22215,19738,0.036423089485504025,0.8884987620976817
49203,36.54786,1,0.0228340625762939,4449,44754,0.08258582160473438,10.059339177343222
26961,54.617209,1,0.0211238861083984,16863,10098,0.018634124917652227,0.598825831702544
25240,65.334344,1,0.021155834197998,12179,13061,0.02410183259550958,1.072419738894819
39182,49.476942,1,0.0210428237915039,11571,27611,0.05095135899200788,2.3862241811425116
24732,34.431164,1,0.0219402313232421,11862,12870,0.023749374895046953,1.0849772382397571
24259,92.464545,1,0.0212657451629638,16346,7913,0.014602082637490797,0.4840939679432277
41953,43.666724,1,0.0203676223754882,24399,17554,0.03239289253361727,0.7194557153981721
29937,39.334978,1,0.0198903083801269,11717,18220,0.03362188116454977,1.5550055474950926
30454,51.888121,1,0.0214576721191406,12788,17666,0.032599569300380694,1.38145136065061
49203,55.999417,1,0.0211074352264404,13014,36189,0.06678058493215651,2.780774550484094
25117,37.099998,1,0.0203063488006591,20710,4407,0.008132361706485776,0.2127957508450024
41953,49.368995,1,0.0206890106201171,24115,17838,0.03291696576362452,0.7397055774414265
25907,55.070601,1,0.0203049182891845,19810,6097,0.011250966490683861,0.307773851590106
41953,58.093384,1,0.020099401473999,24504,17449,0.03219913306477656,0.7120878223963435
28470,70.065595,1,0.0195457935333251,10313,18157,0.033505625483245344,1.7605934257732958
25240,90.207149,1,0.0197587013244628,10957,14283,0.0263568237471605,1.3035502418545222
25240,78.293714,1,0.0196096897125244,5847,19393,0.035786451230741693,3.3167436292115613
39182,51.303336,1,0.0190398693084716,12243,26939,0.04971129839142734,2.2003593890386344
26316,36.582456,1,0.0192773342132568,5902,20414,0.037670531399183256,3.4588275160962385
