estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
153506,0.82392,1,0.0361168384552001,348,153158,0.2826267878924321,440.10919540229884
157780,12.36895,1,0.0401167869567871,2795,154985,0.2859982026502605,55.45080500894454
27701,55.446221,1,0.032865285873413,930,26771,0.04940128324128221,28.786021505376343
24360,44.85215,1,0.0236487388610839,33610,9250,0.017069286540729162,0.27521570961023506
43048,49.852034,1,0.0339810848236084,386,42662,0.07872539485411757,110.52331606217616
153506,6.340552,1,0.0333955287933349,75044,78462,0.14478814708742613,1.0455466126539097
54227,83.222703,2,0.0192401409149169,35601,18626,0.034371084444067175,0.5231875509114913
147128,43.052804,1,0.0324935913085937,782,146346,0.27005641168535677,187.14322250639387
110994,0.726004,1,0.0236837863922119,21104,89890,0.165876558610394,4.259382107657316
24815,93.900667,1,0.01857590675354,33202,8387,0.015476768239685999,0.25260526474308775
37741,72.171164,1,0.0187563896179199,28735,9006,0.01661902644170885,0.3134156951452932
153506,11.28579,1,0.0283498764038085,2531,150975,0.27859843626882,59.65033583563809
143143,44.228476,1,0.0304512977600097,1052,142091,0.26220453987662135,135.06749049429658
147483,4.604475,1,0.0235533714294433,79949,67534,0.12462239970179495,0.8447135048593478
25872,99.40337,1,0.028019905090332,682,25190,0.046483819239023526,36.935483870967744
41953,92.135188,1,0.0211801528930664,23527,18426,0.03400201878913249,0.7831852764908404
110994,0.471217,1,0.0228536128997802,7221,103773,0.19149525104768514,14.37100124636477
25042,70.561928,1,0.0182461738586425,30102,5060,0.00933736106984752,0.16809514317985516
30322,52.729808,1,0.032541275024414,6,30316,0.05594297197499949,5052.666666666667
143143,66.168147,1,0.0304667949676513,27495,115648,0.21340852430943202,4.206146572104019
119325,18.896008,1,0.0266873836517334,9635,109690,0.20241405844892776,11.384535547483134
153506,0.390478,1,0.040771484375,1087,152419,0.28126309029744845,140.2198712051518
110994,0.802988,1,0.0258505344390869,7651,103343,0.19070175988957555,13.507123251862502
27801,69.344089,1,0.0269989967346191,1493,26308,0.04854689625010841,17.620897521768253
143143,3.598121,1,0.0323402881622314,2503,140640,0.25952696855007024,56.18857371154615
41953,44.934035,1,0.0247845649719238,4037,37916,0.06996746686251751,9.39212286351251
27428,68.506334,1,0.0359971523284912,973,26455,0.04881815950648541,27.189105858170606
41953,73.670161,1,0.0262529850006103,47218,5265,0.009715653366155572,0.11150408742428734
110994,0.917824,1,0.0225942134857177,18620,92374,0.17046035404468277,4.961009667024705
27984,101.487316,1,0.0261976718902587,14233,13751,0.02537510910503424,0.9661350382912949
153506,1.033109,1,0.0372843742370605,8678,144828,0.2672552033644025,16.689098870707536
110994,0.813112,1,0.0243926048278808,21472,89522,0.16519747780531419,4.169243666169896
153506,18.158813,1,0.0290760993957519,5505,148001,0.2731104299799413,26.88483197093551
37741,40.472236,1,0.018317699432373,50361,12620,0.0232880428263786,0.25059073489406486
41953,92.352538,1,0.0196235179901123,7195,34758,0.06413992017109883,4.8308547602501735
157780,26.786488,1,0.0354385375976562,863,156917,0.2895633768769295,181.82734646581693
27148,61.150043,1,0.0256063938140869,1582,25566,0.047177662670300734,16.16055625790139
110994,0.563872,1,0.0213654041290283,11093,99901,0.18435013996814964,9.00576940412873
30704,58.416171,1,0.0311634540557861,1544,29160,0.05380977248947701,18.8860103626943
42081,48.837092,1,0.0193753242492675,11602,30479,0.05624376048377126,2.6270470608515772
28572,71.974822,1,0.0196611881256103,10783,17789,0.03282654467816552,1.6497264212185847
29174,48.445063,1,0.0184230804443359,33845,4671,0.008619528370999559,0.13801152312010637
27449,70.873526,1,0.0186388492584228,22602,4847,0.008944306147342082,0.21445004866825945
37741,73.238112,1,0.0178461074829101,29449,8292,0.015301462053592023,0.28157153044245986
24349,82.200289,1,0.0223186016082763,3128,21221,0.03915971131684471,6.78420716112532
27336,93.744837,1,0.0212182998657226,29436,2100,0.003875189376814188,0.07134121483897268
