estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
100692,23.642386,2,0.0185284614562988,88134,12558,0.023173632473348846,0.142487575736946
100692,21.704239,2,0.0183558464050292,88134,12558,0.023173632473348846,0.142487575736946
68243,50.616461,2,0.0194501876831054,86615,18372,0.03390237106230013,0.2121110662125498
195616,39.662718,2,0.0185184478759765,87942,107674,0.19869387664718616,1.224375156353051
81501,18.390379,2,0.0194199085235595,91201,9700,0.017899684264332204,0.10635848291137158
87368,13.025874,2,0.0247275829315185,88399,1031,0.001902533451188299,0.011663027862306134
99263,23.564886,2,0.0222272872924804,88922,10341,0.01908253968839787,0.11629293088324599
153506,4.03239,1,0.0349104404449462,141318,12188,0.022490861011719678,0.08624520584780425
95100,19.935652,2,0.0206587314605712,91290,3810,0.007030700726505742,0.04173512980611239
201862,38.722007,2,0.0202841758728027,88540,113322,0.20911629074254165,1.2798960921617348
77257,61.132451,2,0.0212562084197998,87403,10146,0.01872270067483655,0.11608297198036681
84383,39.537222,2,0.0216987133026123,86090,1707,0.003149975364867533,0.019828086885817168
40679,34.424528,1,0.0211005210876464,85511,44832,0.0827297572101589,0.5242834255242016
140578,35.529475,2,0.019932746887207,87533,53045,0.09788543833005173,0.6060000228485257
111773,24.082918,2,0.0196533203125,88582,23191,0.04279500801795135,0.2618026235578334
106588,29.814101,2,0.0193030834197998,88073,18515,0.03416625300557843,0.21022333745869903
106273,26.948937,2,0.018867015838623,90417,15856,0.029259525123221795,0.17536525210966963
111926,19.692124,2,0.0189733505249023,88152,23774,0.04387083440208596,0.2696932571013704
151218,26.607942,2,0.0191767215728759,88967,62251,0.11487353042669525,0.6997088808209786
64489,59.165156,2,0.020843505859375,89376,24887,0.04592468477179748,0.278452828499821
104625,19.780456,2,0.0181455612182617,91395,13230,0.024413693073929387,0.1447562776957164
30578,39.38533,1,0.0270056724548339,89307,58729,0.10837428424329545,0.6576080262465428
85568,18.347817,2,0.0184302330017089,88333,2765,0.0051023326794720145,0.031302004913226086
195616,38.312094,2,0.0191545486450195,87942,107674,0.19869387664718616,1.224375156353051
44368,36.103815,2,0.0197608470916748,86915,42547,0.07851318210253012,0.48952424782833803
258248,45.572634,2,0.0185587406158447,89267,168981,0.3118254171825897,1.8929839694399946
166184,25.012813,2,0.018303632736206,88656,77528,0.14306461047888114,0.8744811405883415
157853,38.009175,2,0.0181920528411865,89802,68051,0.1255764344198011,0.7577893588116078
102656,22.724761,2,0.019007921218872,87798,14858,0.02741788750509772,0.16922936741155836
87178,17.666197,2,0.0191349983215332,88956,1778,0.0032809936723693462,0.019987409505823103
77380,49.814268,2,0.0229773521423339,88110,10730,0.01980037238724583,0.12177959368970605
45140,40.422307,1,0.0218327045440673,87396,42256,0.07797619157460016,0.4835003890338231
173091,42.503724,2,0.0199120044708251,89999,83092,0.15333201699916407,0.9232547028300314
86048,7.858297,2,0.0203621387481689,88646,2598,0.004794162857601553,0.0293075829704668
168428,32.401098,2,0.0190937519073486,89511,78917,0.14562777145240252,0.8816458312386187
88271,8.011613,2,0.0188329219818115,90696,2425,0.004474921066083051,0.0267376731057599
138844,35.52515,2,0.0180990695953369,86905,51939,0.09584450525826292,0.5976526091709338
138841,25.778837,2,0.0184218883514404,90185,48656,0.08978629253251007,0.5395132228197593
141142,25.329713,2,0.0189368724822998,89168,51974,0.09590909174787648,0.5828772653866858
56259,69.964018,2,0.0206894874572753,86827,30568,0.05640799470021719,0.35205638798991096
36709,53.966868,1,0.0264854431152343,88025,51316,0.09469486574314137,0.5829707469468901
256632,45.124985,2,0.0173480510711669,90792,165840,0.3060292410718405,1.8265926513349193
103865,24.974094,2,0.0172877311706542,87717,16148,0.029798360979426435,0.18409202321100812
151218,26.1785,2,0.0188765525817871,88967,62251,0.11487353042669525,0.6997088808209786
67434,64.715468,2,0.0179312229156494,87858,20424,0.03768898468192999,0.23246602472171002
94111,19.175225,2,0.0170528888702392,89321,4790,0.008839122435685695,0.053626806685997695
37774,60.300778,1,0.0277292728424072,88252,50478,0.09314848064896505,0.5719757059330101
154736,28.107304,2,0.0177814960479736,87745,66991,0.12362038644864728,0.7634737022052539
128841,25.700626,2,0.018296480178833,88229,40612,0.07494247189103706,0.46030216822133313
117712,25.915955,2,0.0176038742065429,88789,28923,0.053372429688379415,0.3257498113505051
37066,66.938274,1,0.0189909934997558,85994,48928,0.09028822182322124,0.568969928134521
70520,52.554398,2,0.0183024406433105,87740,17220,0.031776552889876346,0.19626168224299065
234703,44.844943,2,0.0174677371978759,87600,147103,0.27145332518928456,1.67925799086758
47333,59.365856,1,0.0239698886871337,79648,32315,0.05963178319607167,0.40572267979108073
134544,25.24021,2,0.016385793685913,87202,47342,0.0873615311795892,0.5429003921928396
241076,45.147809,2,0.0168051719665527,89509,151567,0.2796908706074267,1.6933157559575014
90952,13.094899,2,0.0216593742370605,88278,2674,0.0049344078064767335,0.030290672647771813
61922,46.571628,2,0.0170614719390869,89842,27920,0.05152156542888197,0.310767792346564
140459,24.717942,2,0.0168128013610839,87450,53009,0.09781900651216348,0.6061635220125786
111129,24.988925,2,0.0182151794433593,88918,22211,0.040986586308771396,0.2497919431386221
122316,22.567675,2,0.0172944068908691,88340,33976,0.06269687346030423,0.3846049354765678
137526,12.270746,1,0.0241072177886962,84177,53349,0.09844641812555245,0.6337716953562137
106273,25.298545,2,0.0195889472961425,90417,15856,0.029259525123221795,0.17536525210966963
111904,20.3481,2,0.0189423561096191,87020,24884,0.04591914878697346,0.2859572512066192
156928,20.759213,2,0.0183498859405517,88414,68514,0.1264308214109749,0.7749225235822381
33646,40.046374,1,0.0222060680389404,82821,49175,0.09074401790706557,0.5937503773197619
78261,28.661283,2,0.0194175243377685,91668,13407,0.024740316178546582,0.1462560544573897
202700,32.72151,2,0.0193090438842773,88473,114227,0.2107863128311211,1.2910944581962858
158795,25.49197,2,0.0182504653930664,89473,69322,0.12792184665691103,0.7747812189152035
121873,30.674596,2,0.0184235572814941,89252,32621,0.060196453648121734,0.3654932102361852
64135,41.313191,2,0.0189051628112792,89837,25702,0.04742862731565632,0.2860959292941661
81917,28.085474,2,0.0209434032440185,93337,11420,0.02107364889677049,0.12235233615822236
88356,19.706003,2,0.0188961029052734,88121,235,0.0004336521445482544,0.0026667877123500642
249018,44.719963,2,0.0179991722106933,88558,160460,0.29610137495409744,1.811919871722487
35954,30.865822,1,0.0254590511322021,95940,59986,0.11069386188455996,0.6252449447571399
26952,43.403166,1,0.0207650661468505,85709,58757,0.10842595343498632,0.6855406083375142
117365,19.102437,2,0.018115758895874,90476,26889,0.04961903197769367,0.29719483619965514
104433,26.476226,2,0.0170400142669677,90409,14024,0.025878883724020085,0.15511730026877854
127778,24.324421,2,0.0176236629486084,89193,38585,0.07120199147827402,0.4326012130996827
137526,11.905813,1,0.0246260166168212,78315,59211,0.10926373247168805,0.7560620570771883
129167,26.067508,2,0.0188724994659423,90785,38382,0.07082738983851532,0.4227790934625764
