estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
925,3847.044223,1,0.0777394771575927,0,925,0.0015418362686562188,0.0
883,2712.666759,1,0.0788137912750244,0,883,0.0014718285678091256,0.0
960,3090.423581,1,0.0807619094848632,0,960,0.0016001760193621298,0.0
859,2995.322194,1,0.0890483856201171,0,859,0.0014318241673250724,0.0
1014,3396.862163,1,0.0852532386779785,0,1014,0.0016901859204512496,0.0
930,3646.129824,1,0.0848317146301269,0,930,0.0015501705187570634,0.0
991,3933.30231,1,0.0791313648223877,0,991,0.0016518483699873652,0.0
952,4918.644811,1,0.082484483718872,0,952,0.0015868412192007787,0.0
940,4643.449415,1,0.0804014205932617,0,940,0.001566839018958752,0.0
969,5338.746562,1,0.0817718505859375,0,969,0.0016151776695436499,0.0
890,3275.601791,1,0.0738780498504638,2,888,0.0014801628179099701,444.0
1008,3695.195971,1,0.0788300037384033,0,1008,0.0016801848203302364,0.0
989,3524.225697,1,0.0761094093322753,1,988,0.0016468478199268587,988.0
953,4220.013399,1,0.0804121494293212,0,953,0.0015885080692209477,0.0
5971,2151.834296,1,0.0821743011474609,0,5971,0.009952761470428414,0.0
948,4100.77924,1,0.0972628593444824,0,948,0.0015801738191201032,0.0
873,2948.766293,1,0.0770275592803955,0,873,0.0014551600676074368,0.0
928,3983.842692,1,0.0815672874450683,0,928,0.0015468368187167255,0.0
971,4843.696263,1,0.0807199478149414,0,971,0.0016185113695839875,0.0
949,3379.923155,1,0.0813338756561279,0,949,0.001581840669140272,0.0
989,3905.728909,1,0.0827057361602783,0,989,0.0016485146699470276,0.0
1047,3941.698712,1,0.0823733806610107,0,1047,0.001745191971116823,0.0
854,3361.323956,1,0.077543020248413,0,854,0.001423489917224228,0.0
1049,3533.710433,1,0.0768978595733642,0,1049,0.0017485256711571606,0.0
988,3838.68604,1,0.0789160728454589,0,988,0.0016468478199268587,0.0
987,3601.458485,1,0.0797722339630127,0,987,0.0016451809699066897,0.0
966,4053.976797,1,0.0774290561676025,0,966,0.0016101771194831432,0.0
958,3083.025648,1,0.0762832164764404,0,958,0.001596842319321792,0.0
975,3678.809014,1,0.0802478790283203,0,975,0.001625178769664663,0.0
894,4082.822253,1,0.0825147628784179,0,894,0.0014901639180309833,0.0
858,2790.847751,1,0.0879392623901367,0,858,0.0014301573173049035,0.0
866,3517.335049,1,0.0818555355072021,0,866,0.0014434921174662546,0.0
978,3712.686731,1,0.0790233612060546,0,978,0.0016301793197251698,0.0
888,2630.993398,1,0.0802474021911621,0,888,0.0014801628179099701,0.0
996,3113.523618,1,0.0795438289642334,0,996,0.0016601826200882098,0.0
991,3554.325858,1,0.080057144165039,0,991,0.0016518483699873652,0.0
931,4347.544746,1,0.0804300308227539,0,931,0.0015518373687772322,0.0
1029,4398.169827,1,0.0768797397613525,0,1029,0.001715188670753783,0.0
949,2941.346619,1,0.0785720348358154,0,949,0.001581840669140272,0.0
940,3392.096798,1,0.0772325992584228,0,940,0.001566839018958752,0.0
1037,3144.777723,1,0.0768487453460693,0,1037,0.001728523470915134,0.0
854,3674.114354,1,0.0820152759552002,0,854,0.001423489917224228,0.0
922,3920.890233,1,0.0823190212249755,0,922,0.0015368357185957123,0.0
917,4914.592061,1,0.0801241397857666,0,917,0.0015285014684948677,0.0
861,2892.754758,1,0.0785739421844482,0,861,0.0014351578673654102,0.0
988,4287.879915,1,0.0782361030578613,4,984,0.001640180419846183,246.0
918,2658.19432,1,0.0801081657409668,36,882,0.0014701617177889567,24.5
858,2836.8553,1,0.0788981914520263,0,858,0.0014301573173049035,0.0
980,4451.555784,1,0.0797052383422851,70,910,0.0015168335183536855,13.0
848,3602.4846,1,0.0747439861297607,0,848,0.0014134888171032146,0.0
970,3821.433467,1,0.0786395072937011,13,957,0.0015951754693016233,73.61538461538461
964,3812.387966,1,0.0794589519500732,0,964,0.0016068434194428053,0.0
976,3792.830424,1,0.0769460201263427,4,972,0.0016201782196041564,243.0
955,3540.722299,1,0.079935073852539,0,955,0.0015918417692612854,0.0
926,2775.862668,1,0.0803334712982177,0,926,0.0015435031186763878,0.0
945,2863.655416,1,0.0843157768249511,6,939,0.0015651721689385833,156.5
979,3560.065163,1,0.0847165584564209,3,976,0.001626845619684832,325.3333333333333
863,2637.38593,1,0.1006317138671875,3,860,0.0014334910173452414,286.6666666666667
970,4476.165071,1,0.0807664394378662,0,970,0.0016168445195638187,0.0
1022,3903.266955,1,0.0815725326538086,0,1022,0.0017035207206126007,0.0
844,4046.983161,1,0.0814635753631591,0,844,0.001406821417022539,0.0
920,3980.953552,1,0.0777232646942138,0,920,0.0015335020185553744,0.0
1026,3182.893151,1,0.0753726959228515,0,1026,0.0017101881206932762,0.0
1007,4305.673328,1,0.0735681056976318,0,1007,0.0016785179703100674,0.0
992,3694.10683,1,0.0781211853027343,0,992,0.0016535152200075343,0.0
1020,4196.232391,1,0.0795183181762695,0,1020,0.001700187020572263,0.0
961,4272.179747,1,0.0836074352264404,0,961,0.0016018428693822988,0.0
939,4386.537027,1,0.0789434909820556,0,939,0.0015651721689385833,0.0
991,4342.515831,1,0.0764753818511962,0,991,0.0016518483699873652,0.0
935,3856.063257,1,0.079925537109375,0,935,0.0015585047688579077,0.0
968,4534.764666,1,0.0785157680511474,0,968,0.0016135108195234808,0.0
1017,3813.762659,1,0.0801341533660888,0,1017,0.0016951864705117563,0.0
953,3656.758695,1,0.0795676708221435,0,953,0.0015885080692209477,0.0
939,3582.735403,1,0.0798788070678711,0,939,0.0015651721689385833,0.0
945,3636.588367,1,0.0760302543640136,0,945,0.0015751732690595965,0.0
831,3598.536443,1,0.0804641246795654,0,831,0.0013851523667603436,0.0
998,4038.576864,1,0.0768887996673584,0,998,0.0016635163201285475,0.0
907,2523.308511,1,0.0773568153381347,0,907,0.001511832968293179,0.0
994,3634.91317,1,0.0829458236694336,0,994,0.001656848920047872,0.0
979,4022.833653,1,0.084407091140747,0,979,0.0016318461697453386,0.0
839,2906.178464,1,0.0848948955535888,0,839,0.0013984871669216947,0.0
1011,4374.500847,1,0.0855393409729003,0,1011,0.0016851853703907429,0.0
968,2898.206576,1,0.0842523574829101,5,963,0.0016051765694226365,192.6
966,3476.032785,1,0.0824556350708007,0,966,0.0016101771194831432,0.0
909,2886.444997,1,0.0783495903015136,0,909,0.0015151666683335166,0.0
1023,4066.572947,1,0.0779986381530761,2,1021,0.0017018538705924318,510.5
986,3863.11021,1,0.0801622867584228,0,986,0.0016435141198865208,0.0
927,3965.459946,1,0.080463171005249,0,927,0.0015451699686965567,0.0
1061,3132.201128,1,0.0779943466186523,0,1061,0.0017685278713991872,0.0
979,3528.489869,1,0.0784533023834228,0,979,0.0016318461697453386,0.0
906,3145.004462,1,0.0984728336334228,0,906,0.00151016611827301,0.0
1025,3831.009404,1,0.079704999923706,1,1024,0.0017068544206529385,1024.0
887,2946.361093,1,0.0857915878295898,0,887,0.0014784959678898013,0.0
940,3192.948681,1,0.0834152698516845,0,940,0.001566839018958752,0.0
993,2350.915024,1,0.0830974578857421,0,993,0.001655182070027703,0.0
902,2809.137289,1,0.0786244869232177,0,902,0.0015034987181923344,0.0
956,3627.031312,1,0.0777065753936767,0,956,0.0015935086192814542,0.0
951,3312.667307,1,0.0792508125305175,0,951,0.0015851743691806099,0.0
866,2653.927278,1,0.0775401592254638,0,866,0.0014434921174662546,0.0
964,3747.648069,1,0.0812358856201171,0,964,0.0016068434194428053,0.0
1004,3202.559982,1,0.0823080539703369,0,1004,0.0016735174202495609,0.0
1027,2785.402772,1,0.0799925327301025,36,991,0.0016518483699873652,27.52777777777778
897,2836.782651,1,0.0804207324981689,0,897,0.00149516446809149,0.0
958,4029.754998,1,0.08140230178833,10,948,0.0015801738191201032,94.8
5971,2026.942856,1,0.079226016998291,0,5971,0.009952761470428414,0.0
852,2758.136003,1,0.1031267642974853,0,852,0.0014201562171838901,0.0
5971,1997.797468,1,0.0907642841339111,0,5971,0.009952761470428414,0.0
985,3841.455852,1,0.0862989425659179,0,985,0.001641847269866352,0.0
1002,4592.329343,1,0.0827572345733642,0,1002,0.001670183720209223,0.0
1037,3829.931559,1,0.0790026187896728,0,1037,0.001728523470915134,0.0
923,3889.295827,1,0.0775442123413086,0,923,0.0015385025686158811,0.0
858,2684.327138,1,0.0803730487823486,0,858,0.0014301573173049035,0.0
993,3752.786132,1,0.0760335922241211,0,993,0.001655182070027703,0.0
927,4113.004633,1,0.0817399024963378,0,927,0.0015451699686965567,0.0
944,3646.915291,1,0.084073781967163,20,924,0.00154016941863605,46.2
970,3272.940757,1,0.0834271907806396,0,970,0.0016168445195638187,0.0
986,5510.437804,1,0.0799260139465332,0,986,0.0016435141198865208,0.0
1044,3079.040928,1,0.0809459686279296,0,1044,0.0017401914210563162,0.0
