estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
42277,4665.128177,2,0.0274124145507812,27580,14697,0.024497694746422105,0.5328861493836113
36873,4326.784954,2,0.0277330875396728,30601,6272,0.010454483326499248,0.20496062220188882
53578,4990.236176,2,0.0249414443969726,35328,18250,0.030420012868082155,0.5165874094202898
41033,4028.14374,2,0.026548147201538,25899,15134,0.02522610820523591,0.5843468859801537
42405,4978.377793,2,0.0248386859893798,18035,24370,0.040621134991515734,1.351261436096479
31566,3916.240857,2,0.0257346630096435,22583,8983,0.014973313731177097,0.39777708896072267
43145,5093.149419,2,0.0253219604492187,18748,24397,0.040666139942060295,1.301312139961596
58497,5528.00418,2,0.0257759094238281,28883,29614,0.04936209649728137,1.0253090052972336
39166,5160.651132,2,0.0268020629882812,8541,30625,0.05104728186767211,3.58564570893338
23460,3753.376862,2,0.0276815891265869,25613,2153,0.00358872809342361,0.08405887635185258
46412,4908.789476,2,0.0287055969238281,35952,10460,0.017435251210966538,0.2909434801958166
32775,4678.383764,2,0.0299220085144042,4164,28611,0.047690245927051976,6.871037463976945
30212,3915.329342,2,0.027484655380249,19908,10304,0.017175222607820194,0.5175808720112518
35663,3422.487143,2,0.0261545181274414,33183,2480,0.004133788050018836,0.07473706415935871
43302,4524.058889,2,0.0263710021972656,27066,16236,0.02706297692746202,0.5998669917978275
44183,4886.495579,2,0.0263550281524658,27669,16514,0.02752636123306897,0.5968412302576891
49646,4840.374481,2,0.0277252197265625,14976,34670,0.05778969019925525,2.315037393162393
34856,4194.011403,2,0.0271351337432861,23119,11737,0.019563818686722207,0.507677667719192
57479,5267.628633,2,0.0272226333618164,10530,46949,0.07825694159690899,4.458594491927825
39833,4014.656232,2,0.0283691883087158,32552,7281,0.012136334996849654,0.22367289260260506
45307,5005.974981,2,0.0246295928955078,25479,19828,0.033050302199908656,0.7782095058675772
39427,4522.241677,2,0.0251610279083251,23067,16360,0.02726966632996296,0.7092383058048294
40125,3884.256095,2,0.0313625335693359,35211,4914,0.008190900999109902,0.1395586606458209
69113,5689.753623,2,0.0272042751312255,27602,41511,0.0691926111872306,1.5039127599449316
22778,3970.141553,2,0.0309772491455078,24245,1467,0.0024452689795877547,0.06050732109713343
34123,4462.795105,2,0.0270133018493652,19479,14644,0.024409351695353156,0.7517839724831871
40394,5085.024351,2,0.0259664058685302,18360,22034,0.03672737334440122,1.2001089324618737
18256,3243.02655,2,0.025853157043457,9843,8413,0.01402320921968083,0.8547190897084223
55409,4633.397718,2,0.0278608798980712,35163,20246,0.03374704550833925,0.57577567329295
32677,3829.958447,2,0.0271410942077636,12707,19970,0.03328699490277264,1.571574722593846
17429,3127.865875,2,0.0266921520233154,5705,11724,0.01954214963646001,2.0550394390885187
29899,4071.025149,2,0.025381326675415,19164,10735,0.017893634966512983,0.5601648925067836
40540,4325.929903,2,0.0292925834655761,24966,15574,0.025959522214110218,0.6238083793959786
42824,4532.797988,2,0.0282297134399414,26571,16253,0.02709131337780489,0.6116819088479921
38002,4713.895336,2,0.0259566307067871,8683,29319,0.048870375741331545,3.376597950017275
44137,4319.178232,2,0.0271751880645751,32167,11970,0.019952194741421556,0.37212049616066156
25428,3960.947093,2,0.0266170501708984,12582,12846,0.0214123553590895,1.0209823557463042
57319,4959.32451,2,0.0258295536041259,30709,26610,0.04435487903669404,0.8665212152789085
34421,4131.24839,2,0.0264441967010498,21381,13040,0.021735724263002264,0.6098872831018194
37825,3845.470795,2,0.0249550342559814,33199,4626,0.007710848193301263,0.13934154643212146
35789,4183.72763,2,0.026829719543457,28639,7150,0.011917977644207529,0.24965955515206537
41422,4182.631141,2,0.0264859199523925,35815,5607,0.00934602806308694,0.15655451626413514
26886,3963.171138,2,0.0264716148376464,14635,12251,0.020420579597089015,0.8371028356679193
40627,4241.495982,2,0.0261540412902832,21342,19285,0.032145202638956955,0.903617280479805
48555,4970.08058,2,0.0260658264160156,24304,24251,0.04042277983911564,0.997819289005925
33242,4503.480193,2,0.0263280868530273,30167,3075,0.005125563812019322,0.10193257533065933
46154,4966.273613,2,0.0261342525482177,29244,16910,0.02818643384105585,0.5782382710983449
23088,3737.712397,2,0.0267257690429687,14871,8217,0.01369650661572773,0.552551946741981
49309,4621.200003,2,0.0252981185913085,34542,14767,0.02461437424783393,0.42750854032771696
82580,6002.165267,2,0.0257565975189209,36246,46334,0.07723182883450513,1.2783203663852563
27446,3701.707126,2,0.0250875949859619,22049,5397,0.008995989558851473,0.24477300557848428
59258,5221.228222,2,0.0268497467041015,32616,26642,0.04440821823733944,0.8168383615403483
33264,4961.268664,2,0.0257022380828857,9073,24191,0.040322768837905504,2.6662625371982807
28846,3930.033342,2,0.0239691734313964,20045,8801,0.01466994702750636,0.43906211025193315
41818,3927.904101,2,0.0235483646392822,35472,6346,0.010577830227991745,0.17890166892196663
41037,4690.988108,2,0.0234975814819335,26781,14256,0.02376261388752763,0.5323176879130727
22674,4043.766373,2,0.0229554176330566,11952,10722,0.017871965916250787,0.8970883534136547
39465,3762.36108,2,0.025792121887207,36289,3176,0.00529391566405638,0.08751963404888534
38763,4593.89299,2,0.027602195739746,7558,31205,0.05201405487937007,4.128737761312516
44103,4153.682103,2,0.0264887809753417,35926,8177,0.013629832614920975,0.2276067472025831
33290,3714.006672,2,0.0254452228546142,27430,5860,0.009767741118189668,0.2136347065257018
32418,4113.562298,2,0.0253987312316894,20978,11440,0.019068764230732047,0.5453332062160359
31771,4507.98315,2,0.0246884822845459,9524,22247,0.03708241239869719,2.335888282234355
38325,3782.54289,2,0.0259606838226318,31201,7124,0.011874639543683138,0.22832601519182077
61005,4616.752372,2,0.0252416133880615,29846,31159,0.051937379778442296,1.0439924948066743
60864,4635.224211,2,0.0242600440979003,34251,26613,0.044359879586754546,0.7769992117018482
36255,3413.360756,2,0.0242366790771484,34310,1945,0.003242023289228482,0.05668901194986884
44435,4757.85707,2,0.0259392261505126,26933,17502,0.02917320905299583,0.6498347751828611
34213,4027.163203,2,0.0262773036956787,26145,8068,0.013448145962722566,0.3085867278638363
54560,4842.931842,2,0.0252566337585449,22761,31799,0.05300416379135038,1.397082729229823
47464,4091.356094,2,0.0257577896118164,34921,12543,0.020907299802978327,0.35918215400475356
49983,4354.562452,2,0.0283505916595459,23754,26229,0.043719809179009694,1.1041929780247537
33247,3764.011423,2,0.0255153179168701,23790,9457,0.015763400640737148,0.39751996637242537
41094,4199.390001,2,0.0270962715148925,25573,15521,0.02587117916304127,0.6069291831228248
45407,4459.763275,2,0.0257961750030517,32863,12544,0.020908966652998497,0.3817058698232054
32725,2917.297697,2,0.0259873867034912,35262,2537,0.0042287985011684615,0.07194713856275878
54297,4759.294477,2,0.0251739025115966,27939,26358,0.043934832831611474,0.943412434231719
22630,3494.03846,2,0.0247502326965332,18060,4570,0.007617504592171805,0.2530454042081949
65163,5199.861507,2,0.0234570503234863,28859,36304,0.06051332313221121,1.257978446931633
29177,3657.736436,2,0.0233144760131835,21730,7447,0.012413032100197688,0.3427059364933272
35598,3603.946652,2,0.0238995552062988,33749,1849,0.0030820056872922687,0.05478680849802957
27048,3214.852429,2,0.0235078334808349,31716,4668,0.007780855894148357,0.1471812334468407
36829,3839.824021,2,0.0232787132263183,30509,6320,0.010534492127467356,0.2071519879379855
25140,3970.442368,2,0.0242364406585693,8760,16380,0.02730300333036634,1.86986301369863
41772,4435.066485,2,0.0236625671386718,34286,7486,0.012478039250984275,0.21833984716794028
38864,4242.655314,2,0.0258889198303222,31306,7558,0.012598052452436434,0.24142336932217467
41303,4401.486638,2,0.0254397392272949,22375,18928,0.03155013718175666,0.8459441340782123
60744,5107.231348,2,0.0251543521881103,28611,32133,0.05356089169808679,1.1230995071825522
46648,4490.903383,2,0.0254733562469482,26481,20167,0.033615364356745905,0.7615648955855141
47374,4143.099913,2,0.026606798171997,33333,14041,0.02340424113319132,0.42123421234212344
54522,4973.746694,2,0.0266571044921875,33114,21408,0.03568392523177549,0.6464939300597934
33968,4360.825653,2,0.0262782573699951,17816,16152,0.026922961525767834,0.9066008082622362
61151,5880.178553,2,0.02488374710083,12555,48596,0.08100224358012714,3.8706491437674235
33260,4053.044086,2,0.0240955352783203,22455,10805,0.018010314467924806,0.4811845914050323
54242,5027.114535,2,0.0256953239440917,22673,31569,0.05262078828671154,1.3923609579676266
45786,4514.876112,2,0.0249779224395751,23888,21898,0.03650068174165825,0.9166945746818487
40947,4115.10916,2,0.0248963832855224,33368,7579,0.012633056302859982,0.2271337808678974
42558,3806.655743,2,0.0258595943450927,33313,9245,0.015410028436461344,0.2775192867649266
44400,4843.430877,2,0.0260677337646484,32708,11692,0.019488810435814605,0.3574660633484163
48685,5338.149603,2,0.0263872146606445,18189,30496,0.05083225821507033,1.6766177359942822
46456,4175.161254,2,0.0262427330017089,33756,12700,0.02116899525614484,0.37622941106766206
48417,4996.825654,2,0.0270040035247802,36410,12007,0.020013868192167807,0.32977204064817356
32141,3797.145919,2,0.0264143943786621,29576,2565,0.0042754703017331905,0.08672572355964295
28385,4252.956021,2,0.0291445255279541,19958,8427,0.014046545119963196,0.42223669706383404
33972,4395.379192,2,0.0284719467163085,17909,16063,0.026774611873972804,0.8969233346362164
19779,3075.693703,2,0.0265653133392334,16349,3430,0.0057172955691792765,0.2097987644504251
39558,4200.07209,2,0.0256850719451904,30214,9344,0.015575046588458064,0.3092606076653207
52932,4980.156739,2,0.0281400680541992,24969,27963,0.04661012711398254,1.1199086867715968
16944,3948.034107,2,0.0276451110839843,3533,13411,0.02235412562048492,3.7959241437871496
45284,4134.355182,2,0.0269081592559814,32765,12519,0.020867295402494275,0.38208454143140547
31703,3841.28559,2,0.0261106491088867,32863,1160,0.001933546023395907,0.035298055564008154
53988,4991.108544,2,0.0254087448120117,32211,21777,0.03629899288921781,0.6760733910775822
25205,3339.948072,2,0.0258183479309082,27782,2577,0.004295472501975217,0.09275790079907854
44081,5121.93646,2,0.0257232189178466,30287,13794,0.022992529178209604,0.4554429293096048
31780,3881.802227,2,0.0261981487274169,21255,10525,0.017543596462277516,0.4951776052693484
41390,4576.094841,2,0.0250244140625,27870,13520,0.02253581227268333,0.48510943667025475
53717,4450.904657,2,0.0240821838378906,35621,18096,0.030163317964976146,0.5080149350102467
38417,4138.899447,2,0.025663137435913,34294,4123,0.006872422633156314,0.12022511226453607
37857,4099.307275,2,0.0251295566558837,31738,6119,0.01019945527341341,0.19279727771126096
51065,4661.991359,2,0.0248243808746337,29680,21385,0.03564558768131161,0.7205188679245284
51588,4992.435641,2,0.0244250297546386,17980,33608,0.0560194954778359,1.8691879866518353
38390,4304.906936,2,0.0241129398345947,17990,20400,0.03400374041144526,1.1339633129516398
44734,4428.258185,2,0.023707628250122,28616,16118,0.026866288625082092,0.5632513279284317
27724,4102.32362,2,0.0249660015106201,25878,1846,0.0030770051372317623,0.07133472447638921
36570,3718.04227,2,0.0252382755279541,34608,1962,0.003270359739571353,0.05669209431345354
52621,4287.345112,2,0.0251588821411132,33501,19120,0.031870172385629086,0.570729231963225
28430,3310.364858,2,0.0244879722595214,30649,2219,0.0036987401947547564,0.07240040458089987
43557,4663.050238,2,0.0238401889801025,26677,16880,0.028136428340450784,0.632754807512089
35366,3824.394694,2,0.0246481895446777,18325,17041,0.028404791193697973,0.9299317871759891
58874,5130.851852,2,0.0239768028259277,12804,46070,0.07679178042918054,3.598094345517026
46639,4784.063385,2,0.0239136219024658,34770,11869,0.0197838428893845,0.34135749209088295
57981,5216.979035,2,0.0231664180755615,35918,22063,0.03677571199498612,0.6142602594799265
20665,4172.895478,2,0.0227985382080078,4523,16142,0.026906293025566144,3.5688702188812735
33553,3192.851412,2,0.0231328010559082,34943,1390,0.0023169215280347505,0.03977906876913831
37909,3554.284301,2,0.0234735012054443,32434,5475,0.009126003860424647,0.16880434112351236
19333,3010.313249,2,0.0245835781097412,16083,3250,0.005417262565548877,0.2020767269787975
37455,4875.484173,2,0.0241291522979736,4353,33102,0.05517606936763044,7.604410751206065
39298,4692.935871,2,0.0229902267456054,11469,27829,0.046386769211279905,2.4264539192606156
68386,4788.141468,2,0.0229949951171875,33514,34872,0.05812639390332937,1.0405203795428777
57659,4729.829222,2,0.0225322246551513,35937,21722,0.03620731613810853,0.604446670562373
43151,4933.417536,2,0.0228376388549804,12953,30198,0.050335536909059994,2.331351810391415
41651,4170.915592,2,0.0230047702789306,29612,12039,0.02006720739281321,0.4065581521004998
18871,3544.020271,2,0.0233843326568603,4718,14153,0.023590928335450234,2.999788045782111
26290,3763.249282,2,0.0232269763946533,15186,11104,0.018508702623955302,0.7311997892795996
21895,4144.820472,2,0.0243215560913085,11697,10198,0.016998536505682293,0.8718474822604086
27315,4669.840917,2,0.0247862339019775,4683,22632,0.03772414965646221,4.832799487508008
47505,4568.180937,2,0.0237283706665039,16263,31242,0.05207572833011631,1.921047777162885
17486,2896.190406,2,0.0242817401885986,13312,4174,0.006957431984184927,0.3135516826923077
47176,4594.915138,2,0.0237889289855957,35410,11766,0.019612157337307104,0.3322790172267721
41693,4275.477308,2,0.0244762897491455,31018,10675,0.01779362396530285,0.34415500677026245
45514,4938.711649,2,0.0244026184082031,17293,28221,0.047040174419186113,1.6319319956051581
30371,4184.4727,2,0.0242626667022705,15500,14871,0.024787726649931494,0.9594193548387097
33727,4400.279711,2,0.0234150886535644,18324,15403,0.02567449086066134,0.8405915738921633
46589,4169.901568,2,0.0234880447387695,35865,10724,0.017875299616291127,0.299010177052837
43451,4653.422972,2,0.0258667469024658,13383,30068,0.050118846406438045,2.246730927295823
42180,4388.490888,2,0.023958683013916,19554,22626,0.0377141485563412,1.1571034059527463
37369,4448.326695,2,0.0257360935211181,24216,13153,0.02192407831528135,0.5431532870829204
51629,5039.558554,2,0.0241453647613525,25390,26239,0.04373647767921138,1.0334383615596692
35494,4763.473499,2,0.025439977645874,18961,16533,0.02755803138345218,0.8719476820842783
31704,4536.898334,2,0.0250780582427978,13251,18453,0.03075838342217644,1.3925741453475209
43092,4275.824478,2,0.024219274520874,35251,7841,0.01306977100814423,0.22243340614450655
50071,4885.522672,2,0.0248432159423828,27293,22778,0.03796750975940687,0.8345729674275455
25878,3700.321939,2,0.0249598026275634,31629,5751,0.00958605446599126,0.18182680451484398
45860,4790.115081,2,0.0248594284057617,25123,20737,0.034565468868242175,0.8254189388210007
31007,3572.859398,2,0.0249183177947998,26002,5005,0.008342584350945271,0.19248519344665796
25047,4272.823827,2,0.0255939960479736,13533,11514,0.019192111132224545,0.8508091332298825
38558,3487.077109,2,0.0255472660064697,32740,5818,0.009697733417342574,0.17770311545510079
55211,4916.611914,2,0.0263993740081787,34427,20784,0.03464381081919011,0.6037122026316554
20105,3753.284774,2,0.0263912677764892,10768,9337,0.015563378638316881,0.8671062407132244
47689,4304.489232,2,0.0262699127197265,32450,15239,0.025401127457353644,0.46961479198767336
51850,5378.941663,2,0.0279664993286132,30040,21810,0.036353998939883385,0.7260319573901465
37309,4417.296859,2,0.0276248455047607,23611,13698,0.02283251157627339,0.580153318368557
88720,5757.405485,2,0.0275135040283203,36073,52647,0.0877546530118313,1.459457211765032
52414,4981.209715,2,0.0289626121520996,26916,25498,0.042501341814266236,0.9473175806211919
47468,4858.09619,2,0.0269467830657959,33183,14285,0.023810952538112527,0.4304915167404997
35024,3672.188374,2,0.0276906490325927,25763,9261,0.015436698036784047,0.35946900593874936
50369,4460.757261,2,0.0286540985107421,33910,16459,0.02743468448195968,0.48537304629902683
60074,4867.408378,2,0.0290925502777099,33939,26135,0.04356312527711382,0.7700580453165974
24382,3290.902641,2,0.0271027088165283,25443,1061,0.0017685278713991872,0.0417010572652596
30645,4104.427215,2,0.0266857147216796,16727,13918,0.023199218580710546,0.8320679141507742
38579,4305.627437,2,0.0258276462554931,26972,11607,0.01934712818410025,0.4303351623906273
37251,4164.974477,2,0.0276610851287841,26260,10991,0.018320348571676217,0.41854531607006856
52092,4626.726283,2,0.0280344486236572,27340,24752,0.041257871699220246,0.9053401609363569
40133,3868.782546,2,0.0294246673583984,32365,7768,0.0129480909566719,0.24001235902981616
40853,4917.76227,2,0.0285019874572753,29413,11440,0.019068764230732047,0.3889436643660966
38167,4796.642582,2,0.027491807937622,18826,19341,0.03223854624008641,1.0273557845532775
31545,3858.76802,2,0.0298810005187988,20158,11387,0.018980421179663098,0.5648873896219863
37336,4138.906488,2,0.029184341430664,20586,16750,0.027919737837828827,0.8136597687748955
42516,4113.734271,2,0.0282292366027832,36325,6191,0.010319468474865569,0.17043358568479008
43292,4422.209109,2,0.0284507274627685,33171,10121,0.01687018905412929,0.3051159145036327
40537,3890.645749,2,0.0266375541687011,30951,9586,0.015978424293338934,0.3097153565312914
48633,4527.286166,2,0.0266802310943603,35687,12946,0.02157904036110639,0.3627651525765685
