estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
12294,972.943229,2,0.0306174755096435,23970,11676,0.019462140835491904,0.48710888610763453
84614,799.148376,2,0.0316660404205322,48117,36497,0.06083502518610381,0.758505309973606
106288,2194.715528,2,0.0224506855010986,24005,82283,0.1371534202095564,3.4277442199541763
55146,1009.744327,2,0.0218927860260009,24042,31104,0.051845703027333004,1.2937359620663837
40304,961.398551,2,0.0219006538391113,24249,16055,0.026761277073811453,0.6620891583158068
20805,47.431938,2,0.0376811027526855,20923,118,0.00019668830237992845,0.005639726616641973
877,1014.493086,1,0.0495495796203613,23802,22925,0.038212536712371695,0.9631543567767414
52076,957.685214,2,0.0207996368408203,24257,27819,0.04637010071107822,1.1468442099187863
21440,57.130041,2,0.035947561264038,20962,478,0.0007967543096407271,0.02280316763667589
12815,1367.830609,2,0.0297415256500244,49111,36296,0.06049998833204986,0.7390604956119811
11269,1163.728846,2,0.0293929576873779,23987,12718,0.02119899855650788,0.5302038604243966
26990,715.92412,2,0.0224153995513916,24183,2807,0.004678848006614061,0.11607327461439855
844,1126.203834,1,0.0454874038696289,24071,23227,0.0387159254184627,0.9649370611939678
35439,883.824038,2,0.0209386348724365,24277,11162,0.018605379925125096,0.45977674341969765
26383,576.004067,2,0.0204317569732666,24124,2259,0.0037654141955615118,0.09364118719946941
16507,438.446641,2,0.0208737850189209,24181,7674,0.012791407054776025,0.31735660229105495
20805,42.940677,2,0.0366241931915283,20923,118,0.00019668830237992845,0.005639726616641973
21440,53.238932,2,0.0363678932189941,20962,478,0.0007967543096407271,0.02280316763667589
44957,864.125499,2,0.0211756229400634,24348,20609,0.03435211206566056,0.8464350254641039
15901,1427.050192,2,0.0282976627349853,23938,8037,0.01339647361209733,0.3357423343637731
20805,38.052383,2,0.0351743698120117,20923,118,0.00019668830237992845,0.005639726616641973
3673,995.260076,2,0.0376513004302978,19030,15357,0.02559781575973357,0.806988964792433
21361,555.992055,2,0.0204031467437744,24202,2841,0.004735520907299803,0.11738699281051153
8857,526.358849,2,0.0288150310516357,0,8857,0.014763290628635817,0.0
20805,36.802608,2,0.0354812145233154,20923,118,0.00019668830237992845,0.005639726616641973
21440,46.231555,2,0.0369081497192382,20962,478,0.0007967543096407271,0.02280316763667589
40485,624.064683,2,0.0204188823699951,24312,16173,0.02695796537619138,0.6652270483711747
57472,921.506342,2,0.0209920406341552,24192,33280,0.0554727686712205,1.3756613756613756
20805,37.195616,2,0.036466360092163,20923,118,0.00019668830237992845,0.005639726616641973
5524,65.218172,1,0.0460371971130371,551,4973,0.008289245150299867,9.02540834845735
42939,827.61439,2,0.0212564468383789,24247,18692,0.031156760576996803,0.770899492720749
52395,902.109603,2,0.0215437412261962,24205,28190,0.046988502068560874,1.1646354059078703
4343,767.447079,2,0.0301234722137451,2015,2328,0.003880426846953165,1.155334987593052
26059,604.767921,2,0.0221118927001953,24443,1616,0.0026936296325929185,0.06611299758622101
43108,833.238012,2,0.0224556922912597,24233,18875,0.03146179413068771,0.7788965460322701
12734,1171.415731,2,0.0311725139617919,24036,11302,0.01883873892794874,0.47021134964220335
21689,547.861676,2,0.0235676765441894,24227,2538,0.00423046535118863,0.10475915301110332
22118,401.390081,2,0.0244736671447753,24219,2101,0.003502051892374828,0.08675007225731864
59036,623.387425,2,0.0338473320007324,48814,10222,0.017038540906166345,0.20940713729667718
58683,1000.756187,2,0.0238990783691406,24273,34410,0.05735630919401134,1.417624521072797
34793,808.64833,2,0.0227534770965576,24157,10636,0.017728616814516263,0.44028645941135075
23908,2248.352105,2,0.0329258441925048,23901,7,1.1667950141182197e-05,0.00029287477511401197
115442,1865.546753,2,0.0233724117279052,24014,91428,0.15239676364400084,3.807279087199134
55962,811.540724,2,0.0329532623291015,0,55962,0.09328026082869116,0.0
13318,607.096109,2,0.0308656692504882,25554,12236,0.02039557684678648,0.47882914612193783
15609,434.963244,2,0.0218894481658935,24185,8576,0.01429490577296836,0.35459995865205707
70185,1153.737293,2,0.0227282047271728,24242,45943,0.0765800904766191,1.8951819156835246
50512,876.80495,2,0.0218029022216796,24220,26292,0.04382482073028033,1.085549132947977
20805,37.395611,2,0.0395045280456543,20923,118,0.00019668830237992845,0.005639726616641973
16663,1633.265545,2,0.0307834148406982,24127,7464,0.012441368550540559,0.30936295436647737
10841,663.986707,2,0.0304231643676757,23858,13017,0.021697386712538378,0.5456031519825635
5339,43.356736,1,0.0597100257873535,27065,21726,0.0362139835381892,0.8027341585072972
17570,1639.570542,2,0.0307381153106689,24023,6453,0.010756183180149816,0.2686175748241269
36211,716.454325,2,0.0221278667449951,24303,11908,0.019848850040171086,0.4899806608237666
63061,1036.699613,2,0.0214672088623046,24040,39021,0.06504215463701007,1.6231697171381032
14001,918.336536,2,0.0295677185058593,24115,10114,0.016858521103988104,0.41940700808625336
16151,1406.702204,2,0.0304844379425048,24062,7911,0.01318645050955605,0.3287756628709168
28300,557.192169,2,0.0211448669433593,24161,4139,0.006899092233479016,0.1713091345556889
4383,890.572855,2,0.0304758548736572,0,4383,0.007305803638400224,0.0
23366,441.441219,2,0.022240400314331,24417,1051,0.0017518593711974984,0.04304378097227342
