estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
50300,2978.622278,2,0.0788774490356445,80043,29743,0.04957712014988316,0.3715877715727796
59342,819.887289,2,0.0427777767181396,38619,20723,0.034542132967959806,0.5366011548719543
41540,2160.890904,2,0.0229365825653076,94973,53433,0.08906479712768404,0.5626125319827741
9884,3474.91016,2,0.0323741436004638,5464,4420,0.007367477089146473,0.8089311859443631
11700,1006.784976,2,0.0292341709136962,21726,10026,0.016711838302213244,0.4614747307373654
9157,2339.646502,2,0.0329244136810302,15435,6278,0.010464484426620261,0.4067379332685455
82150,3440.452032,2,0.0226013660430908,38063,44087,0.07348641683918565,1.158263930851483
3859,2400.797188,2,0.0308823585510253,13582,9723,0.016206782746102072,0.7158739508172581
60332,2293.714996,2,0.0214002132415771,133670,73338,0.12224344677914571,0.5486496596094861
101044,1452.732513,2,0.0212693214416503,150009,48965,0.08161731123756946,0.3264137485084228
156899,2085.300436,2,0.0214827060699462,151920,4979,0.00829924625042088,0.03277382833070037
5524,50.240836,1,0.0746107101440429,3927,1597,0.00266195948220971,0.40667175961293606
26431,1990.613213,2,0.0232684612274169,39466,13035,0.02172739001290142,0.3302842953428267
72311,1047.156279,2,0.0225496292114257,150659,78348,0.1305943653801918,0.520035311531339
62142,2422.150907,2,0.022364854812622,124912,62770,0.10462817576600093,0.5025137696938645
9410,3264.653749,2,0.0338678359985351,15848,6438,0.010731180429847283,0.4062342251388188
50980,2503.1404,2,0.0228347778320312,90899,39919,0.06653898595512173,0.4391577465098626
53848,2504.518469,2,0.0242993831634521,54601,753,0.0012551380651871706,0.013790956209593232
14376,498.667481,2,0.0393416881561279,11231,3145,0.0052422433134311445,0.2800284925652213
20764,1619.320722,2,0.0317661762237548,21667,903,0.0015051655682125035,0.04167628190335533
28790,4066.315768,2,0.0241851806640625,17412,11378,0.018965419529481577,0.6534573857110039
49064,2037.013153,2,0.0225396156311035,119638,70574,0.1176362733233989,0.5898961868302713
45508,2490.332332,2,0.0223786830902099,89002,43494,0.0724979747772255,0.48868564751353905
7758,2419.128672,2,0.0320498943328857,11432,3674,0.006124006974100485,0.3213785864240728
61762,2745.809938,2,0.0225110054016113,78142,16380,0.02730300333036634,0.2096183870389803
73808,3092.637671,2,0.022313117980957,38678,35130,0.05855644120853294,0.9082682661978385
43299,53.879136,2,0.0398685932159423,43397,98,0.00016335130197655075,0.0022582206143281795
56129,2662.42845,2,0.0228991508483886,38578,17551,0.029254884703984105,0.45494841619575926
14727,1198.159873,2,0.0303027629852294,21459,6732,0.011221234335776936,0.313714525373969
32671,4274.945949,2,0.0242114067077636,34073,1402,0.0023369237282767773,0.041146949197311655
92626,1452.58712,2,0.0215756893157959,151288,58662,0.09778075588314715,0.387750515572947
109844,1420.935182,2,0.0212657451629638,151325,41481,0.06914260568662553,0.27411861886667765
19856,2768.308032,2,0.025597333908081,19105,751,0.0012518043651468327,0.03930908139230568
42319,2331.222327,2,0.0228784084320068,65807,23488,0.039150973273726776,0.35692251584177975
13241,1641.835277,2,0.0311286449432373,41816,28575,0.047630239326325895,0.6833508704801989
11552,3021.322857,2,0.033947467803955,25308,13756,0.022929188877443184,0.5435435435435435
35585,5015.738764,2,0.0249264240264892,14637,20948,0.03491717422249781,1.4311675889868143
90656,725.74418,2,0.0224828720092773,156211,65555,0.10927035307217127,0.41965674632388245
71111,3627.133673,2,0.0234255790710449,95160,24049,0.04008607613504152,0.2527217318200925
36155,1970.222421,2,0.023045539855957,86194,50039,0.08340750815923084,0.5805392486716012
41135,2525.305119,2,0.0232696533203125,39576,1559,0.002598619181443292,0.03939256114817061
25825,4822.015454,2,0.0241341590881347,12997,12828,0.02138235205872646,0.9869969993075325
41865,569.461738,2,0.0298829078674316,38586,3279,0.0054656012161337746,0.08497900793033743
31536,2210.164717,2,0.0224301815032959,39056,7520,0.012534712151670017,0.1925440393281442
17631,1514.498581,2,0.039006233215332,21558,3927,0.006545720029203212,0.1821597550793209
63434,3271.891048,2,0.0224659442901611,38358,25076,0.041797931105754964,0.6537358569268471
107003,1252.989065,2,0.0214738845825195,150317,43314,0.07219794177359509,0.28815104080044174
50219,2116.458577,2,0.0229964256286621,126254,76035,0.12673894128354118,0.6022383449237252
58354,2673.928556,2,0.0232963562011718,95333,36979,0.061638446895825205,0.3878929646607156
36710,4357.861901,2,0.0237512588500976,25915,10795,0.017993645967723116,0.41655411923596375
799,1525.515688,1,0.0498790740966796,16997,16198,0.026999636626695602,0.9529917044184267
46077,2434.583115,2,0.0235135555267334,90678,44601,0.07434317774955244,0.49186131145371537
22837,1570.308355,2,0.0218236446380615,39443,16606,0.02767971143492451,0.42101260046142536
53243,2899.751176,2,0.0228402614593505,37405,15838,0.026399570619434806,0.4234193289667157
92058,1106.209848,2,0.0203595161437988,150079,58021,0.0967123050202189,0.38660305572398534
52032,2233.272188,2,0.0212454795837402,110574,58542,0.09758073388072688,0.5294372999077541
45447,2633.825624,2,0.0227007865905761,37040,8407,0.014013208119559818,0.2269708423326134
39813,4352.767933,2,0.022979736328125,22977,16836,0.02806308693956335,0.7327327327327328
110400,928.791553,2,0.0283687114715576,77234,33166,0.055282747768921246,0.42942227516378795
837,1115.357016,1,0.0560736656188964,1851,1014,0.0016901859204512496,0.5478119935170178
65253,3111.589838,2,0.0219538211822509,38540,26713,0.04452656458877143,0.6931240269849507
8335,2422.643226,2,0.0418434143066406,13753,5418,0.00903099340927502,0.3939504108194576
14696,509.814151,2,0.03108811378479,22383,7687,0.01281307610503822,0.3434302819103784
73044,2905.877582,2,0.0224072933197021,38353,34691,0.0578246940496788,0.9045185513519151
9311,1274.798765,2,0.0301830768585205,21220,11909,0.019850516890191253,0.5612158341187559
78185,1121.906973,2,0.0219979286193847,150544,72359,0.12061160060940036,0.48065017536401317
860,755.478596,1,0.0495133399963378,13842,12982,0.02163904696183247,0.937870249963878
12934,575.121679,2,0.0333280563354492,22217,9283,0.015473368737227761,0.41783319079983794
55967,42.180639,2,0.0311319828033447,85856,29889,0.04982048025282781,0.3481294260156541
31037,1560.581524,2,0.0233347415924072,39242,8205,0.013676504415485704,0.20908720248713114
22766,1652.290958,2,0.0228474140167236,39601,16835,0.028061420089543182,0.4251155273856721
161711,2405.412009,2,0.0215976238250732,151936,9775,0.016293458947150855,0.064336299494524
1514,804.323754,2,0.0399048328399658,5233,3719,0.006199015225008085,0.7106822090579018
862,1067.130159,1,0.0384769439697265,3155,2293,0.0038220870962472537,0.7267828843106181
164419,2393.490746,2,0.0207810401916503,151966,12453,0.020757283301163127,0.08194596159667294
4607,2328.611354,2,0.0313234329223632,11395,6788,0.011314577936906394,0.5956998683633172
49688,1902.416195,2,0.0230240821838378,134038,84350,0.14059879920124546,0.6292991539712619
84378,1130.216553,2,0.0211071968078613,150030,65652,0.10943203752412765,0.4375924815036993
55731,55.567651,2,0.0272362232208251,85608,29877,0.049800478052585785,0.3489977572189515
104627,1304.352849,2,0.0206680297851562,151351,46724,0.077881900342371,0.3087128595119953
