estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
1760,25.844473,-1,1,1,1026,193,193,193,94,39,35,25,0,0.0020160675048828,1748,12,0.0002654221317820884,0.006864988558352402
9550,0.634391,-1,1,1,10,10,10,10,5,2,2,1,0,0.0013272762298583,9549,1,2.2118510981840703e-05,0.00010472300764477956
2384,8.879822,-1,1,1,1341,505,505,505,144,247,98,16,0,0.0014386177062988,2329,55,0.0012165181040012386,0.0236152855302705
43,4.241998,-1,1,1,1026,264,264,30,7,4,7,12,0,0.0024466514587402,41,2,4.4237021963681406e-05,0.04878048780487805
10905,0.299003,-1,1,1,4,4,4,4,2,1,1,0,0,0.0020301342010498,10905,0,0.0,0.0
141,114.79196,3,1,1,60,46,46,46,0,0,0,46,0,0.0023002624511718,106,35,0.0007741478843644246,0.330188679245283
1617,1.140872,-1,1,1,104,81,81,81,9,20,52,0,0,0.0016908645629882,1614,3,6.63555329455221e-05,0.0018587360594795538
2400,35.042858,-1,288,274,299,235,64390,1498,174,529,506,289,0,0.0044403076171875,2294,106,0.0023445621640751143,0.046207497820401046
3997,5.435195,-1,1,1,1553,801,801,801,631,144,26,0,0,0.0015134811401367,3896,101,0.002233969609165911,0.025924024640657083
101,0.288457,-1,6,6,1,1,6,6,0,0,0,0,6,0.0038237571716308,101,0,0.0,0.0
1923,6.01953,-1,1,1,4148,234,234,234,78,89,62,5,0,0.0019731521606445,1906,17,0.0003760146866912919,0.008919202518363064
2208,0.238276,-1,1,1,4,4,4,4,2,1,1,0,0,0.0028812885284423,2207,1,2.2118510981840703e-05,0.00045310376076121433
2380,3.608064,-1,1,1,1697,328,328,328,27,240,56,5,0,0.0018715858459472,2350,30,0.000663555329455221,0.01276595744680851
1278,0.188893,-1,1,1,5,5,5,5,1,0,1,1,2,0.0025844573974609,1278,0,0.0,0.0
63,125.649129,3,1,1,50,32,32,32,0,0,0,32,0,0.0017125606536865,58,5,0.00011059255490920351,0.08620689655172414
3775,5.761795,-1,1,1,1716,472,472,472,48,344,76,4,0,0.0014841556549072,3728,47,0.001039570016146513,0.012607296137339056
7495,0.23988,-1,1,1,5,5,5,5,1,0,1,1,2,0.0013158321380615,7494,1,2.2118510981840703e-05,0.00013344008540165466
6483,0.266985,-1,1,1,10,10,10,10,1,3,6,0,0,0.0018842220306396,6483,0,0.0,0.0
8966,0.333155,-1,1,1,19,19,19,19,4,5,6,4,0,0.0018336772918701,8965,1,2.2118510981840703e-05,0.00011154489682097045
3896,1.369864,-1,1,1,250,124,124,123,33,59,26,5,0,0.0019416809082031,3880,16,0.00035389617570945125,0.004123711340206186
8008,0.124108,-1,1,1,1,1,1,1,0,0,0,1,0,0.0018143653869628,8008,0,0.0,0.0
5878,1.257459,-1,12,12,19,19,228,176,15,47,66,48,0,0.0028920173645019,5870,8,0.00017694808785472562,0.001362862010221465
104,89.357539,3,1,1,50,37,37,37,0,0,0,37,0,0.001636266708374,107,3,6.63555329455221e-05,0.028037383177570093
6851,0.445228,-1,48,47,1,1,47,47,0,0,0,0,47,0.0015246868133544,6851,0,0.0,0.0
8,2.173917,-1,1,1,1305,334,334,6,0,3,0,3,0,0.0022721290588378,7,1,2.2118510981840703e-05,0.14285714285714285
