estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
36959,0.023349,-1,1,1,1,1,1,1,0,0,0,0,1,0.00211763381958,36959,0,0.0,0.0
36959,0.007583,-1,1,1,1,1,1,1,0,0,0,0,1,0.0017662048339843,36959,0,0.0,0.0
9458,0.036339,-1,4,4,1,1,4,4,0,0,0,0,4,0.0017046928405761,9458,0,0.0,0.0
5171,0.018935,-1,4,4,1,1,4,4,0,0,0,0,4,0.0016181468963623,5171,0,0.0,0.0
36959,0.006864,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018057823181152,36959,0,0.0,0.0
1511,0.008287,-1,1,1,1,1,1,1,0,0,0,0,1,0.0016319751739501,1511,0,0.0,0.0
36959,0.00748,-1,1,1,1,1,1,1,0,0,0,0,1,0.0017764568328857,36959,0,0.0,0.0
4901,0.008132,-1,1,1,1,1,1,1,0,0,0,0,1,0.0017557144165039,4901,0,0.0,0.0
36959,0.006466,-1,1,1,1,1,1,1,0,0,0,0,1,0.0017740726470947,36959,0,0.0,0.0
1840,0.008235,-1,1,1,1,1,1,1,0,0,0,0,1,0.0016248226165771,1840,0,0.0,0.0
36959,0.006381,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018625259399414,36959,0,0.0,0.0
23202,0.151317,-1,48,48,1,1,48,48,0,0,0,0,48,0.0019655227661132,23202,0,0.0,0.0
7597,0.024487,-1,4,4,1,1,4,4,0,0,0,0,4,0.0017895698547363,7597,0,0.0,0.0
36959,0.006921,-1,1,1,1,1,1,1,0,0,0,0,1,0.0017852783203125,36959,0,0.0,0.0
36959,0.006578,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018529891967773,36959,0,0.0,0.0
36959,0.006472,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018520355224609,36959,0,0.0,0.0
23202,0.089228,-1,48,48,1,1,48,48,0,0,0,0,48,0.0019886493682861,23202,0,0.0,0.0
36959,0.007087,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018231868743896,36959,0,0.0,0.0
36959,0.006482,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018525123596191,36959,0,0.0,0.0
23202,0.087414,-1,48,48,1,1,48,48,0,0,0,0,48,0.0019197463989257,23202,0,0.0,0.0
1511,0.006915,-1,1,1,1,1,1,1,0,0,0,0,1,0.0017499923706054,1511,0,0.0,0.0
36959,0.006473,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018393993377685,36959,0,0.0,0.0
4901,0.00661,-1,1,1,1,1,1,1,0,0,0,0,1,0.0017180442810058,4901,0,0.0,0.0
5171,0.012864,-1,4,4,1,1,4,4,0,0,0,0,4,0.0017609596252441,5171,0,0.0,0.0
4901,0.006547,-1,1,1,1,1,1,1,0,0,0,0,1,0.0017521381378173,4901,0,0.0,0.0
1579,0.029304,-1,4,4,1,1,4,4,0,0,0,0,4,0.0016512870788574,1579,0,0.0,0.0
9732,0.017784,-1,4,4,1,1,4,4,0,0,0,0,4,0.0017263889312744,9732,0,0.0,0.0
36959,0.007274,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018048286437988,36959,0,0.0,0.0
4901,0.006174,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018572807312011,4901,0,0.0,0.0
36959,0.005956,-1,1,1,1,1,1,1,0,0,0,0,1,0.0017163753509521,36959,0,0.0,0.0
36959,0.006205,-1,1,1,1,1,1,1,0,0,0,0,1,0.0016601085662841,36959,0,0.0,0.0
36959,0.006065,-1,1,1,1,1,1,1,0,0,0,0,1,0.0016555786132812,36959,0,0.0,0.0
36959,0.006873,-1,1,1,1,1,1,1,0,0,0,0,1,0.001631736755371,36959,0,0.0,0.0
23202,0.082752,-1,48,48,1,1,48,48,0,0,0,0,48,0.0018129348754882,23202,0,0.0,0.0
7597,0.012615,-1,4,4,1,1,4,4,0,0,0,0,4,0.0019595623016357,7597,0,0.0,0.0
36959,0.006142,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018901824951171,36959,0,0.0,0.0
4901,0.006206,-1,1,1,1,1,1,1,0,0,0,0,1,0.0017738342285156,4901,0,0.0,0.0
36959,0.006038,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018281936645507,36959,0,0.0,0.0
36959,0.007067,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018196105957031,36959,0,0.0,0.0
23202,0.080495,-1,48,48,1,1,48,48,0,0,0,0,48,0.0019834041595458,23202,0,0.0,0.0
36959,0.006257,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018787384033203,36959,0,0.0,0.0
4901,0.006792,-1,1,1,1,1,1,1,0,0,0,0,1,0.0017488002777099,4901,0,0.0,0.0
23202,0.080532,-1,48,48,1,1,48,48,0,0,0,0,48,0.0021102428436279,23202,0,0.0,0.0
36959,0.006223,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018885135650634,36959,0,0.0,0.0
9732,0.012545,-1,4,4,1,1,4,4,0,0,0,0,4,0.0018990039825439,9732,0,0.0,0.0
36959,0.006049,-1,1,1,1,1,1,1,0,0,0,0,1,0.0019948482513427,36959,0,0.0,0.0
9732,0.011635,-1,4,4,1,1,4,4,0,0,0,0,4,0.001955509185791,9732,0,0.0,0.0
9458,0.013753,-1,4,4,1,1,4,4,0,0,0,0,4,0.0019075870513916,9458,0,0.0,0.0
7597,0.011579,-1,4,4,1,1,4,4,0,0,0,0,4,0.0018754005432128,7597,0,0.0,0.0
36959,0.006056,-1,1,1,1,1,1,1,0,0,0,0,1,0.0019972324371337,36959,0,0.0,0.0
5171,0.011368,-1,4,4,1,1,4,4,0,0,0,0,4,0.0018672943115234,5171,0,0.0,0.0
23202,0.082362,-1,48,48,1,1,48,48,0,0,0,0,48,0.0020530223846435,23202,0,0.0,0.0
36959,0.006444,-1,1,1,1,1,1,1,0,0,0,0,1,0.0019536018371582,36959,0,0.0,0.0
36959,0.007256,-1,1,1,1,1,1,1,0,0,0,0,1,0.0019183158874511,36959,0,0.0,0.0
36959,0.006059,-1,1,1,1,1,1,1,0,0,0,0,1,0.0018794536590576,36959,0,0.0,0.0
36959,0.006043,-1,1,1,1,1,1,1,0,0,0,0,1,0.0020277500152587,36959,0,0.0,0.0
36959,0.005938,-1,1,1,1,1,1,1,0,0,0,0,1,0.0020391941070556,36959,0,0.0,0.0
1840,0.006656,-1,1,1,1,1,1,1,0,0,0,0,1,0.0017571449279785,1840,0,0.0,0.0
