estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
7,21.319327,-1,72,65,40831,164,10660,6,4,2,0,0,0,0.0042386054992675,6,1,2.2118510981840703e-05,0.16666666666666666
7,17.879299,-1,1,1,40831,84,84,7,3,4,0,0,0,0.00404953956604,7,0,0.0,0.0
3,2.880398,-1,4,4,5926,35,140,2,0,0,2,0,0,0.0041587352752685,3,0,0.0,0.0
18,17.907646,-1,4,4,40831,165,660,16,11,5,0,0,0,0.0037398338317871,16,2,4.4237021963681406e-05,0.125
0,17.46446,-1,1,1,40831,47,47,0,0,0,0,0,0,0.0041022300720214,0,0,0.0,0.0
0,17.645327,-1,1,1,40831,77,77,0,0,0,0,0,0,0.0038833618164062,0,0,0.0,0.0
2,16.900922,-1,1,1,40324,36,36,2,0,2,0,0,0,0.0038743019104003,2,0,0.0,0.0
9,18.594668,-1,24,24,40831,47,1128,8,4,4,0,0,0,0.0037717819213867,8,1,2.2118510981840703e-05,0.125
23,3.152243,-1,12,12,5926,52,624,22,3,9,10,0,0,0.0040445327758789,22,1,2.2118510981840703e-05,0.045454545454545456
11,3.481257,-1,1,1,6862,115,115,11,2,9,0,0,0,0.0038838386535644,11,0,0.0,0.0
14,2.566782,-1,1,1,5458,65,65,12,2,1,9,0,0,0.0035228729248046,13,1,2.2118510981840703e-05,0.07692307692307693
2,2.787228,-1,4,4,5848,30,120,2,0,0,2,0,0,0.0036938190460205,2,0,0.0,0.0
0,17.494917,-1,1,1,40831,39,39,0,0,0,0,0,0,0.0034794807434082,0,0,0.0,0.0
8,17.684639,-1,4,4,40831,67,268,5,4,1,0,0,0,0.0036931037902832,5,3,6.63555329455221e-05,0.6
32,19.76423,-1,24,24,40831,168,4032,30,15,15,0,0,0,0.0037035942077636,29,3,6.63555329455221e-05,0.10344827586206896
0,3.88828,-1,24,23,6862,67,1541,0,0,0,0,0,0,0.0039138793945312,0,0,0.0,0.0
13,17.034243,-1,1,1,40324,91,91,10,5,5,0,0,0,0.0038309097290039,10,3,6.63555329455221e-05,0.3
5,17.799557,-1,4,4,40831,29,116,4,0,4,0,0,0,0.0038089752197265,4,1,2.2118510981840703e-05,0.25
13,3.375676,-1,1,1,6862,162,162,11,3,8,0,0,0,0.0039911270141601,12,1,2.2118510981840703e-05,0.08333333333333333
0,17.569626,-1,1,1,40831,122,122,0,0,0,0,0,0,0.0037133693695068,0,0,0.0,0.0
0,17.3181,-1,1,1,40831,39,39,0,0,0,0,0,0,0.0035793781280517,0,0,0.0,0.0
3,17.151966,-1,4,4,40324,50,200,3,1,2,0,0,0,0.0037505626678466,3,0,0.0,0.0
0,17.4535,-1,1,1,40831,26,26,0,0,0,0,0,0,0.0035719871520996,0,0,0.0,0.0
0,17.439132,-1,1,1,40831,68,68,0,0,0,0,0,0,0.0035734176635742,0,0,0.0,0.0
0,3.227437,-1,1,1,6862,77,77,0,0,0,0,0,0,0.0036821365356445,0,0,0.0,0.0
0,2.566602,-1,1,1,5458,55,55,0,0,0,0,0,0,0.0038545131683349,0,0,0.0,0.0
0,2.424581,-1,1,1,5341,59,59,0,0,0,0,0,0,0.0035109519958496,0,0,0.0,0.0
