estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
3428,0.130368,-1,1,1,4,4,4,4,1,1,1,0,1,0.0015573501586914,3428,0,0.0,0.0
7123,0.052184,-1,1,1,7,7,7,7,3,1,3,0,0,0.0013835430145263,7123,0,0.0,0.0
2652,0.099941,-1,1,1,16,16,16,16,5,7,2,2,0,0.0016906261444091,2651,1,2.2118510981840703e-05,0.0003772161448509996
4615,0.014323,-1,1,1,1,1,1,1,0,0,1,0,0,0.0014169216156005,4615,0,0.0,0.0
2836,0.042482,-1,1,1,5,5,5,5,1,1,1,2,0,0.0012958049774169,2836,0,0.0,0.0
4229,0.035112,-1,1,1,5,5,5,5,1,1,1,2,0,0.0012609958648681,4228,1,2.2118510981840703e-05,0.00023651844843897824
6710,0.031227,-1,1,1,4,4,4,4,1,1,1,0,1,0.0012793540954589,6710,0,0.0,0.0
8793,0.033641,-1,1,1,5,5,5,5,1,1,1,2,0,0.0011911392211914,8792,1,2.2118510981840703e-05,0.00011373976342129209
4713,0.059317,-1,1,1,10,10,10,10,3,5,2,0,0,0.0015718936920166,4712,1,2.2118510981840703e-05,0.00021222410865874363
2718,0.102371,-1,1,1,20,20,20,20,5,7,7,1,0,0.0013279914855957,2716,2,4.4237021963681406e-05,0.0007363770250368188
7327,0.017512,-1,1,1,2,2,2,2,0,2,0,0,0,0.0013420581817626,7326,1,2.2118510981840703e-05,0.0001365001365001365
10451,0.030056,-1,1,1,5,5,5,5,1,1,1,2,0,0.0012662410736083,10451,0,0.0,0.0
5757,0.058304,-1,1,1,10,10,10,10,3,5,2,0,0,0.0012702941894531,5756,1,2.2118510981840703e-05,0.00017373175816539263
9315,0.086703,-1,1,1,16,16,16,16,5,2,8,1,0,0.0012547969818115,9315,0,0.0,0.0
6004,0.022303,-1,1,1,3,3,3,3,2,1,0,0,0,0.0013370513916015,6004,0,0.0,0.0
4476,0.023471,-1,1,1,3,3,3,3,2,1,0,0,0,0.0013511180877685,4476,0,0.0,0.0
6865,0.021574,-1,1,1,3,3,3,3,2,1,0,0,0,0.0013055801391601,6862,3,6.63555329455221e-05,0.0004371903235208394
7277,0.039119,-1,1,1,7,7,7,7,3,1,3,0,0,0.0012755393981933,7277,0,0.0,0.0
4510,0.030701,-1,1,1,5,5,5,5,1,1,1,2,0,0.0012404918670654,4510,0,0.0,0.0
7327,0.014255,-1,1,1,2,2,2,2,0,2,0,0,0,0.0012824535369873,7326,1,2.2118510981840703e-05,0.0001365001365001365
4031,0.038348,-1,1,1,7,7,7,7,3,1,3,0,0,0.0013294219970703,4030,1,2.2118510981840703e-05,0.00024813895781637717
5138,0.053547,-1,1,1,10,10,10,10,3,5,2,0,0,0.001387596130371,5137,1,2.2118510981840703e-05,0.00019466614755693986
3350,0.031167,-1,1,1,5,5,5,5,1,1,1,2,0,0.0013303756713867,3350,0,0.0,0.0
5119,0.03399,-1,1,1,5,5,5,5,1,1,1,2,0,0.0014269351959228,5119,0,0.0,0.0
3670,0.037066,-1,1,1,7,7,7,7,3,1,3,0,0,0.0015740394592285,3670,0,0.0,0.0
7519,0.04982,-1,1,1,10,10,10,10,3,5,2,0,0,0.0014214515686035,7517,2,4.4237021963681406e-05,0.0002660635891978183
4816,0.028924,-1,1,1,4,4,4,4,1,1,1,0,1,0.0012874603271484,4816,0,0.0,0.0
3148,0.027584,-1,1,1,4,4,4,4,1,1,1,0,1,0.0013196468353271,3147,1,2.2118510981840703e-05,0.00031776294884016526
5049,0.0133,-1,1,1,1,1,1,1,0,0,1,0,0,0.0013628005981445,5049,0,0.0,0.0
4689,0.022902,-1,1,1,3,3,3,3,2,1,0,0,0,0.0012905597686767,4688,1,2.2118510981840703e-05,0.00021331058020477816
3418,0.050502,-1,1,1,4,4,4,4,1,1,1,0,1,0.0012862682342529,3418,0,0.0,0.0
4093,0.039451,-1,1,1,7,7,7,7,3,1,3,0,0,0.0013508796691894,4092,1,2.2118510981840703e-05,0.00024437927663734115
3865,0.049013,-1,1,1,10,10,10,10,3,5,2,0,0,0.0014288425445556,3863,2,4.4237021963681406e-05,0.0005177323323841574
5000,0.033864,-1,1,1,5,5,5,5,1,1,1,2,0,0.0013811588287353,5000,0,0.0,0.0
5038,0.087177,-1,1,1,16,16,16,16,5,2,8,1,0,0.0014426708221435,5038,0,0.0,0.0
7957,0.038896,-1,1,1,7,7,7,7,3,1,3,0,0,0.0014665126800537,7955,2,4.4237021963681406e-05,0.000251414204902577
3590,0.037379,-1,1,1,7,7,7,7,3,1,3,0,0,0.0014355182647705,3590,0,0.0,0.0
2875,0.025581,-1,1,1,4,4,4,4,1,1,1,0,1,0.0014691352844238,2874,1,2.2118510981840703e-05,0.0003479471120389701
4136,0.112441,-1,1,1,20,20,20,20,5,7,7,1,0,0.0014314651489257,4135,1,2.2118510981840703e-05,0.0002418379685610641
5110,0.045781,-1,1,1,10,10,10,10,3,5,2,0,0,0.0014925003051757,5109,1,2.2118510981840703e-05,0.00019573302016050108
5072,0.027841,-1,1,1,5,5,5,5,1,1,1,2,0,0.0014796257019042,5072,0,0.0,0.0
2826,0.088956,-1,1,1,16,16,16,16,5,7,2,2,0,0.0013854503631591,2824,2,4.4237021963681406e-05,0.000708215297450425
6087,0.055367,-1,1,1,10,10,10,10,3,5,2,0,0,0.0014107227325439,6085,2,4.4237021963681406e-05,0.0003286770747740345
4689,0.031237,-1,1,1,3,3,3,3,2,1,0,0,0,0.001471996307373,4688,1,2.2118510981840703e-05,0.00021331058020477816
6293,0.047845,-1,1,1,10,10,10,10,3,5,2,0,0,0.001450777053833,6292,1,2.2118510981840703e-05,0.0001589319771137953
5299,0.061505,-1,1,1,12,12,12,12,5,2,3,2,0,0.0014481544494628,5299,0,0.0,0.0
5599,0.017444,-1,1,1,2,2,2,2,0,2,0,0,0,0.0013954639434814,5599,0,0.0,0.0
4830,0.023577,-1,1,1,3,3,3,3,2,1,0,0,0,0.0014145374298095,4830,0,0.0,0.0
6087,0.041891,-1,1,1,10,10,10,10,3,5,2,0,0,0.0014021396636962,6085,2,4.4237021963681406e-05,0.0003286770747740345
4689,0.029422,-1,1,1,3,3,3,3,2,1,0,0,0,0.0014693737030029,4688,1,2.2118510981840703e-05,0.00021331058020477816
2963,0.067148,-1,1,1,12,12,12,12,5,2,3,2,0,0.001455545425415,2962,1,2.2118510981840703e-05,0.00033760972316002703
7643,0.028941,-1,1,1,4,4,4,4,1,1,1,0,1,0.0015058517456054,7643,0,0.0,0.0
7671,0.031785,-1,1,1,5,5,5,5,1,1,1,2,0,0.0015268325805664,7671,0,0.0,0.0
5562,0.028202,-1,1,1,4,4,4,4,1,1,1,0,1,0.0014281272888183,5562,0,0.0,0.0
6558,0.034906,-1,1,1,7,7,7,7,3,1,3,0,0,0.0014922618865966,6558,0,0.0,0.0
3260,0.027213,-1,1,1,4,4,4,4,1,1,1,0,1,0.0014305114746093,3259,1,2.2118510981840703e-05,0.0003068425897514575
8389,0.039503,-1,1,1,7,7,7,7,3,1,3,0,0,0.0014517307281494,8389,0,0.0,0.0
4974,0.093884,-1,1,1,20,20,20,20,5,7,7,1,0,0.0014646053314208,4970,4,8.847404392736281e-05,0.0008048289738430583
4398,0.039827,-1,1,1,7,7,7,7,3,1,3,0,0,0.0014712810516357,4398,0,0.0,0.0
5328,0.037074,-1,1,1,7,7,7,7,3,1,3,0,0,0.0014801025390625,5328,0,0.0,0.0
4689,0.018474,-1,1,1,3,3,3,3,2,1,0,0,0,0.0020127296447753,4688,1,2.2118510981840703e-05,0.00021331058020477816
5072,0.029341,-1,1,1,5,5,5,5,1,1,1,2,0,0.0018315315246582,5072,0,0.0,0.0
4854,0.058762,-1,1,1,12,12,12,12,5,2,3,2,0,0.0014543533325195,4853,1,2.2118510981840703e-05,0.000206058108386565
5440,0.035689,-1,1,1,7,7,7,7,3,1,3,0,0,0.0013787746429443,5440,0,0.0,0.0
6304,0.042322,-1,1,1,10,10,10,10,3,5,2,0,0,0.00132417678833,6303,1,2.2118510981840703e-05,0.00015865460891638903
4713,0.047332,-1,1,1,10,10,10,10,3,5,2,0,0,0.0012590885162353,4713,0,0.0,0.0
6894,0.026056,-1,1,1,4,4,4,4,1,1,1,0,1,0.0012915134429931,6894,0,0.0,0.0
4119,0.026476,-1,1,1,4,4,4,4,1,1,1,0,1,0.0012414455413818,4119,0,0.0,0.0
4830,0.018638,-1,1,1,3,3,3,3,2,1,0,0,0,0.0013468265533447,4830,0,0.0,0.0
5328,0.036926,-1,1,1,8,8,8,8,0,3,3,2,0,0.0012891292572021,5328,0,0.0,0.0
3919,0.031265,-1,1,1,5,5,5,5,1,1,1,2,0,0.0012862682342529,3919,0,0.0,0.0
7291,0.035493,-1,1,1,7,7,7,7,3,1,3,0,0,0.001401662826538,7290,1,2.2118510981840703e-05,0.00013717421124828533
2751,0.063418,-1,1,1,12,12,12,12,5,2,3,2,0,0.0013914108276367,2749,2,4.4237021963681406e-05,0.0007275372862859222
3048,0.026715,-1,1,1,4,4,4,4,1,1,1,0,1,0.0014393329620361,3048,0,0.0,0.0
3418,0.024742,-1,1,1,4,4,4,4,1,1,1,0,1,0.0013892650604248,3418,0,0.0,0.0
5229,0.047763,-1,1,1,10,10,10,10,3,5,2,0,0,0.0012879371643066,5228,1,2.2118510981840703e-05,0.00019127773527161438
3636,0.023332,-1,1,1,4,4,4,4,1,1,1,0,1,0.001272439956665,3636,0,0.0,0.0
4256,0.055201,-1,1,1,10,10,10,10,3,5,2,0,0,0.0013141632080078,4255,1,2.2118510981840703e-05,0.00023501762632197415
3184,0.083962,-1,1,1,16,16,16,16,5,7,2,2,0,0.0012624263763427,3181,3,6.63555329455221e-05,0.0009430996541967935
5215,0.04093,-1,1,1,10,10,10,10,3,5,2,0,0,0.0014655590057373,5214,1,2.2118510981840703e-05,0.00019179133103183735
6153,0.027157,-1,1,1,4,4,4,4,1,1,1,0,1,0.001359224319458,6153,0,0.0,0.0
7245,0.063463,-1,1,1,12,12,12,12,5,2,3,2,0,0.0013084411621093,7244,1,2.2118510981840703e-05,0.0001380452788514633
3840,0.024972,-1,1,1,4,4,4,4,1,1,1,0,1,0.0013618469238281,3840,0,0.0,0.0
2836,0.030075,-1,1,1,5,5,5,5,1,1,1,2,0,0.0013034343719482,2836,0,0.0,0.0
6210,0.024008,-1,1,1,4,4,4,4,1,1,1,0,1,0.0013399124145507,6210,0,0.0,0.0
9832,0.085836,-1,1,1,16,16,16,16,5,7,2,2,0,0.0013449192047119,9829,3,6.63555329455221e-05,0.00030521924916064705
5119,0.030715,-1,1,1,5,5,5,5,1,1,1,2,0,0.0014271736145019,5119,0,0.0,0.0
6408,0.02983,-1,1,1,5,5,5,5,1,1,1,2,0,0.0013375282287597,6407,1,2.2118510981840703e-05,0.00015607928827844546
4936,0.034977,-1,1,1,7,7,7,7,3,1,3,0,0,0.0013186931610107,4935,1,2.2118510981840703e-05,0.00020263424518743666
4510,0.027918,-1,1,1,5,5,5,5,1,1,1,2,0,0.0012855529785156,4510,0,0.0,0.0
3627,0.083177,-1,1,1,16,16,16,16,5,7,2,2,0,0.0013415813446044,3626,1,2.2118510981840703e-05,0.0002757859900717044
7643,0.022638,-1,1,1,4,4,4,4,1,1,1,0,1,0.0013248920440673,7643,0,0.0,0.0
5049,0.012626,-1,1,1,1,1,1,1,0,0,1,0,0,0.0013127326965332,5049,0,0.0,0.0
