estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
28693,0.110149,-1,1,1,18,18,18,18,6,2,5,3,2,0.0021541118621826,28692,1,2.2118510981840703e-05,3.4852920674752545e-05
28948,0.101662,-1,1,1,17,17,17,17,5,3,4,4,1,0.0019187927246093,28946,2,4.4237021963681406e-05,6.909417536101706e-05
29027,0.060106,-1,1,1,14,14,14,14,3,3,6,2,0,0.0013318061828613,29026,1,2.2118510981840703e-05,3.4451870736580995e-05
28952,0.051639,-1,1,1,12,12,12,12,2,5,2,3,0,0.0012543201446533,28951,1,2.2118510981840703e-05,3.454112120479431e-05
28969,0.085423,-1,1,1,20,20,20,20,5,4,4,3,4,0.001237154006958,28966,3,6.63555329455221e-05,0.00010356970240972175
28822,0.075978,-1,1,1,16,16,16,16,4,6,0,6,0,0.0017855167388916,28822,0,0.0,0.0
29020,0.047586,-1,1,1,14,14,14,14,3,3,6,2,0,0.0013611316680908,29019,1,2.2118510981840703e-05,3.4460181260553434e-05
28512,0.175436,-1,1,1,33,33,33,33,3,2,7,5,16,0.0021033287048339,28511,1,2.2118510981840703e-05,3.507418189470731e-05
29028,0.055413,-1,1,1,12,12,12,12,4,3,2,3,0,0.0013878345489501,29026,2,4.4237021963681406e-05,6.890374147316199e-05
29005,0.092903,-1,1,1,13,13,13,13,3,2,4,4,0,0.0020451545715332,29005,0,0.0,0.0
28954,0.088723,-1,1,1,20,20,20,20,4,3,2,7,4,0.0017704963684082,28954,0,0.0,0.0
28949,0.070645,-1,1,1,14,14,14,14,2,3,3,5,1,0.0015580654144287,28948,1,2.2118510981840703e-05,3.45447008428907e-05
29200,0.030645,-1,1,1,5,5,5,5,1,1,1,2,0,0.0014631748199462,29200,0,0.0,0.0
28987,0.097129,-1,1,1,23,23,23,23,8,1,5,7,2,0.0013999938964843,28986,1,2.2118510981840703e-05,3.449941350997033e-05
41441,186.003197,7,1,1,152490,3699,3699,3698,0,0,0,0,3698,0.0015678405761718,29175,12266,0.27130565570325804,0.4204284490145673
28973,0.24123,-1,1,1,13,13,13,13,3,5,2,3,0,0.001387596130371,28971,2,4.4237021963681406e-05,6.903455179317248e-05
28953,0.22598,-1,1,1,22,22,22,22,3,5,3,5,6,0.0014369487762451,28952,1,2.2118510981840703e-05,3.453992815694943e-05
28987,0.108671,-1,1,1,12,12,12,12,3,2,2,5,0,0.0014152526855468,28987,0,0.0,0.0
29150,0.217012,-1,1,1,22,22,22,22,4,6,7,2,3,0.0021986961364746,29146,4,8.847404392736281e-05,0.00013724010155767515
29077,17.691842,-1,1,1,9984,1978,1978,1870,601,523,710,10,26,0.0023021697998046,28924,153,0.0033841321802216273,0.005289724796017148
30595,10.687198,-1,1,1,4212,1536,1536,1380,718,345,157,113,47,0.0023984909057617,30451,144,0.003185065581385061,0.004728908738629274
28961,0.127791,-1,1,1,18,18,18,18,4,3,0,5,6,0.0015308856964111,28959,2,4.4237021963681406e-05,6.906315825822715e-05
29030,0.116791,-1,1,1,16,16,16,16,4,4,3,2,3,0.0013859272003173,29028,2,4.4237021963681406e-05,6.889899407468652e-05
28963,0.159852,-1,1,1,27,27,27,27,5,6,4,8,4,0.0012860298156738,28962,1,2.2118510981840703e-05,3.452800220979214e-05
28805,0.081527,-1,1,1,10,10,10,10,4,1,1,3,1,0.0018520355224609,28804,1,2.2118510981840703e-05,3.471740036106096e-05
28987,0.089626,-1,1,1,15,15,15,15,3,4,3,5,0,0.0016243457794189,28987,0,0.0,0.0
28943,0.115431,-1,1,1,15,15,15,15,6,3,2,2,2,0.0017118453979492,28941,2,4.4237021963681406e-05,6.910611243564493e-05
28733,0.098312,-1,1,1,14,14,14,14,2,0,6,5,1,0.0022413730621337,28733,0,0.0,0.0
29009,0.072022,-1,1,1,11,11,11,11,3,3,2,3,0,0.0018794536590576,29009,0,0.0,0.0
29210,0.079968,-1,1,1,12,12,12,12,2,2,1,1,6,0.0015506744384765,29209,1,2.2118510981840703e-05,3.4236023143551646e-05
29083,0.06804,-1,1,1,12,12,12,12,2,1,6,3,0,0.0015280246734619,29082,1,2.2118510981840703e-05,3.4385530568736674e-05
29029,6.234525,-1,1,1,2108,1015,1015,1015,469,524,10,8,4,0.0014464855194091,28913,116,0.0025657472738935213,0.004012036108324975
28996,0.074438,-1,1,1,10,10,10,10,1,3,3,3,0,0.0012624263763427,28996,0,0.0,0.0
28857,0.09067,-1,1,1,13,13,13,13,2,4,1,6,0,0.0018959045410156,28856,1,2.2118510981840703e-05,3.4654837815359025e-05
29016,0.084716,-1,1,1,17,17,17,17,3,6,3,5,0,0.0012269020080566,29015,1,2.2118510981840703e-05,3.446493193175944e-05
29041,0.053512,-1,1,1,12,12,12,12,2,5,2,3,0,0.0012869834899902,29040,1,2.2118510981840703e-05,3.443526170798898e-05
29371,0.041275,-1,1,1,5,5,5,5,1,1,1,2,0,0.0013215541839599,29371,0,0.0,0.0
29075,0.070965,-1,1,1,13,13,13,13,3,4,2,4,0,0.0013248920440673,29075,0,0.0,0.0
28954,0.125257,-1,1,1,19,19,19,19,8,2,4,4,1,0.001392126083374,28954,0,0.0,0.0
29051,0.054387,-1,1,1,12,12,12,12,1,3,5,3,0,0.0013689994812011,29051,0,0.0,0.0
28670,0.089929,-1,1,1,16,16,16,16,1,4,4,5,2,0.0021135807037353,28670,0,0.0,0.0
29041,0.089765,-1,1,1,14,14,14,14,4,3,4,3,0,0.0014691352844238,29041,0,0.0,0.0
28913,15.295025,-1,1152,802,13,13,10426,3367,112,104,1151,2000,0,0.0020406246185302,28840,73,0.0016146513016743712,0.0025312066574202496
29031,0.089072,-1,1,1,12,12,12,12,4,3,2,3,0,0.0014150142669677,29029,2,4.4237021963681406e-05,6.889662062075855e-05
28970,0.074528,-1,1,1,15,15,15,15,4,5,3,3,0,0.0014359951019287,28969,1,2.2118510981840703e-05,3.451965894576962e-05
29016,0.049032,-1,1,1,11,11,11,11,3,1,2,5,0,0.0014185905456542,29016,0,0.0,0.0
28941,0.081073,-1,1,1,14,14,14,14,3,0,5,5,1,0.0015108585357666,28940,1,2.2118510981840703e-05,3.4554250172771254e-05
28950,0.041683,-1,1,1,11,11,11,11,3,3,2,3,0,0.0014033317565917,28949,1,2.2118510981840703e-05,3.45435075477564e-05
29412,0.102243,-1,1,1,18,18,18,18,1,2,1,2,12,0.0021033287048339,29411,1,2.2118510981840703e-05,3.4000884022984596e-05
28976,0.151828,-1,1,1,28,28,28,28,7,5,6,8,2,0.0013720989227294,28975,1,2.2118510981840703e-05,3.451251078515962e-05
29058,0.062779,-1,1,1,12,12,12,12,4,3,2,3,0,0.0014224052429199,29057,1,2.2118510981840703e-05,3.441511511856007e-05
28958,0.083615,-1,1,1,20,20,20,20,4,1,6,7,2,0.0014126300811767,28957,1,2.2118510981840703e-05,3.453396415374521e-05
28957,0.062492,-1,1,1,12,12,12,12,2,4,0,5,1,0.0014290809631347,28957,0,0.0,0.0
28809,0.092227,-1,1,1,16,16,16,16,6,2,4,3,1,0.0020754337310791,28807,2,4.4237021963681406e-05,6.942756968792307e-05
29093,0.048626,-1,1,1,8,8,8,8,4,0,0,4,0,0.001394510269165,29093,0,0.0,0.0
29036,0.047994,-1,1,1,9,9,9,9,2,1,2,3,1,0.0013947486877441,29035,1,2.2118510981840703e-05,3.4441191665231616e-05
29012,0.063036,-1,1,1,13,13,13,13,2,4,3,4,0,0.0014641284942626,29012,0,0.0,0.0
29091,6.362552,-1,1,1,3271,1332,1332,1332,1009,301,11,6,5,0.001558780670166,28912,179,0.0039592134657494855,0.0061912008854454895
29007,0.100071,-1,1,1,12,12,12,12,2,3,2,5,0,0.0020229816436767,29006,1,2.2118510981840703e-05,3.4475625732607044e-05
29094,0.047763,-1,1,1,9,9,9,9,1,1,3,3,1,0.0014209747314453,29093,1,2.2118510981840703e-05,3.437252947444403e-05
29025,0.051973,-1,1,1,11,11,11,11,1,5,2,3,0,0.0014607906341552,29025,0,0.0,0.0
28795,0.077347,-1,1,1,15,15,15,15,6,1,3,4,1,0.0021147727966308,28793,2,4.4237021963681406e-05,6.946132740596672e-05
29150,5.685576,-1,1,1,2341,1326,1326,1326,974,248,76,28,0,0.001697301864624,28971,179,0.0039592134657494855,0.006178592385488937
28760,7.037936,-1,288,274,26,26,7124,2003,8,26,103,340,1526,0.0028197765350341,28753,7,0.00015482957687288493,0.0002434528570931729
28975,0.131042,-1,1,1,23,23,23,23,6,2,7,6,2,0.0014936923980712,28973,2,4.4237021963681406e-05,6.902978635281124e-05
30556,0.066365,-1,1,1,13,13,13,13,1,0,2,1,9,0.0021553039550781,30556,0,0.0,0.0
28757,0.070079,-1,1,1,14,14,14,14,4,0,4,5,1,0.0021207332611083,28755,2,4.4237021963681406e-05,6.955312119631369e-05
29013,0.071161,-1,1,1,14,14,14,14,4,4,1,4,1,0.0015313625335693,29011,2,4.4237021963681406e-05,6.893936782599704e-05
29058,0.042492,-1,1,1,9,9,9,9,3,0,1,2,3,0.0014410018920898,29058,0,0.0,0.0
28947,0.106936,-1,1,1,20,20,20,20,7,5,3,4,1,0.0014300346374511,28946,1,2.2118510981840703e-05,3.454708768050853e-05
29017,0.069812,-1,1,1,16,16,16,16,5,3,5,3,0,0.0015115737915039,29015,2,4.4237021963681406e-05,6.892986386351888e-05
29036,0.07633,-1,1,1,18,18,18,18,6,5,3,3,1,0.0014095306396484,29035,1,2.2118510981840703e-05,3.4441191665231616e-05
29063,2.636863,-1,1,1,1232,861,861,861,449,375,24,12,1,0.0016133785247802,28973,90,0.001990665988365663,0.0031063403858765056
28955,0.076959,-1,1,1,12,12,12,12,2,4,3,2,1,0.001544713973999,28955,0,0.0,0.0
28927,13.372799,-1,1,1,21969,851,851,798,178,4,485,119,12,0.0022954940795898,28892,35,0.0007741478843644246,0.001211408002215146
28969,10.485074,-1,1,1,12195,1584,1584,1584,1163,4,320,72,25,0.0015947818756103,28799,170,0.0037601468669129193,0.005902982742456335
28494,0.140035,-1,1,1,27,27,27,27,1,2,5,5,14,0.0020263195037841,28494,0,0.0,0.0
28725,5.813737,-1,288,274,21,21,5754,1869,115,27,438,847,442,0.0028746128082275,28688,37,0.000818384906328106,0.0012897378694924706
28765,0.100563,-1,1,1,17,17,17,17,2,2,5,4,4,0.0019407272338867,28765,0,0.0,0.0
28673,0.064943,-1,1,1,15,15,15,15,3,3,3,4,2,0.0018281936645507,28673,0,0.0,0.0
28800,0.063272,-1,1,1,14,14,14,14,3,1,5,4,1,0.0017929077148437,28798,2,4.4237021963681406e-05,6.944926731022988e-05
29011,0.056628,-1,1,1,12,12,12,12,3,2,3,3,1,0.0013248920440673,29011,0,0.0,0.0
28940,0.09407,-1,1,1,19,19,19,19,8,2,4,4,1,0.0014607906341552,28939,1,2.2118510981840703e-05,3.4555444210235324e-05
29085,0.039761,-1,1,1,9,9,9,9,2,3,1,2,1,0.00148606300354,29085,0,0.0,0.0
29106,11.762738,-1,1,1,12589,2114,2114,2113,1723,18,344,9,19,0.001518964767456,28849,257,0.005684457322333061,0.008908454365835905
29129,0.094504,-1,1,1,14,14,14,14,3,3,4,4,0,0.0013911724090576,29129,0,0.0,0.0
28860,2.186579,-1,1,1,1172,539,539,539,8,0,286,121,124,0.0015797615051269,28850,10,0.00022118510981840702,0.0003466204506065858
