estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
115931,0.043059,-1,1,1,1,1,1,1,0,0,0,0,1,0.015627384185791,115928,3,7.945441303052374e-06,2.587813125388172e-05
12115,0.597569,-1,225,154,1,1,154,154,0,0,0,0,154,0.0153930187225341,11937,178,0.00047142951731444084,0.01491161933484125
9320,0.011488,-1,1,1,1,1,1,1,0,0,0,0,1,0.0151765346527099,9316,4,1.0593921737403165e-05,0.00042936882782310007
80630,0.745803,-1,225,201,1,1,201,201,0,0,0,0,201,0.0168712139129638,80374,256,0.0006780109911938025,0.003185109612561276
9307,0.00892,-1,1,1,1,1,1,1,0,0,0,0,1,0.0151975154876708,9306,1,2.648480434350791e-06,0.0001074575542660649
3271,0.012468,-1,2,2,1,1,2,2,0,0,0,0,2,0.0156183242797851,3270,1,2.648480434350791e-06,0.0003058103975535168
25444,0.037507,-1,9,9,1,1,9,9,0,0,0,0,9,0.015596866607666,25435,9,2.3836323909157122e-05,0.0003538431295459013
25444,0.014308,-1,9,9,1,1,9,9,0,0,0,0,9,0.0141131877899169,25435,9,2.3836323909157122e-05,0.0003538431295459013
115931,0.005526,-1,1,1,1,1,1,1,0,0,0,0,1,0.0218074321746826,115928,3,7.945441303052374e-06,2.587813125388172e-05
9307,0.00462,-1,1,1,1,1,1,1,0,0,0,0,1,0.0166223049163818,9306,1,2.648480434350791e-06,0.0001074575542660649
115931,0.00463,-1,1,1,1,1,1,1,0,0,0,0,1,0.0155904293060302,115928,3,7.945441303052374e-06,2.587813125388172e-05
115931,0.004473,-1,1,1,1,1,1,1,0,0,0,0,1,0.0154469013214111,115928,3,7.945441303052374e-06,2.587813125388172e-05
114257,0.007246,-1,1,1,1,1,1,1,0,0,0,0,1,0.0153820514678955,114257,0,0.0,0.0
9220,0.007056,-1,1,1,1,1,1,1,0,0,0,0,1,0.0160939693450927,9217,3,7.945441303052374e-06,0.00032548551589454267
115931,0.004433,-1,1,1,1,1,1,1,0,0,0,0,1,0.016108751296997,115928,3,7.945441303052374e-06,2.587813125388172e-05
23213,0.00691,-1,1,1,1,1,1,1,0,0,0,0,1,0.0152404308319091,23213,0,0.0,0.0
115931,0.020341,-1,1,1,1,1,1,1,0,0,0,0,1,0.0155596733093261,115928,3,7.945441303052374e-06,2.587813125388172e-05
