estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
26065,0.68764,-1,1,1,43,29,29,27,0,4,9,13,1,0.0181834697723388,26001,64,0.00016950274779845064,0.0024614437906234376
3240,28.561617,-1,9,9,50753,824,7416,482,110,129,21,222,0,0.0174438953399658,1677,1563,0.004139574918890287,0.9320214669051878
191122,0.031204,-1,1,1,1,1,1,1,0,0,0,0,1,0.0132946968078613,191121,1,2.648480434350791e-06,5.232287399082257e-06
10029,0.19771,-1,9,9,3,3,27,22,0,6,0,0,16,0.0169301033020019,9992,37,9.799377607097927e-05,0.0037029623698959166
50861,0.042591,-1,1,1,5,5,5,5,2,1,0,2,0,0.014545202255249,50846,15,3.972720651526187e-05,0.00029500845690909805
97635,0.084779,-1,1,1,6,6,6,6,2,1,2,1,0,0.0117013454437255,97618,17,4.502416738396345e-05,0.00017414821037103814
489,0.141247,-1,1,1,34,27,27,19,0,1,4,13,1,0.017521858215332,446,43,0.00011388465867708402,0.09641255605381166
20936,2.795531,-1,1,1,3062,412,412,412,0,272,67,72,1,0.012298583984375,19449,1487,0.0039382904058796265,0.07645637307830737
22688,4.379621,-1,1,1,3480,841,841,841,0,300,510,29,2,0.0117182731628417,19803,2885,0.007640866053102033,0.14568499722264303
50268,0.044724,-1,1,1,4,4,4,4,0,2,0,2,0,0.01442551612854,50253,15,3.972720651526187e-05,0.0002984896424094084
8426,49.178164,-1,1,1,111656,1226,1226,1226,0,704,384,138,0,0.0130054950714111,4197,4229,0.011200423756869497,1.0076244936859662
35415,27.060582,-1,1,1,53602,1311,1311,1311,422,575,283,29,2,0.0126326084136962,30313,5102,0.013512547176057738,0.16831062580411044
27374,23.565786,-1,1,1,50734,735,735,735,393,280,35,26,1,0.0126464366912841,24391,2983,0.00790041713566841,0.12229920872452954
23232,4.84419,-1,1,1,3480,844,844,844,0,302,511,29,2,0.0124516487121582,20314,2918,0.007728265907435609,0.143644777001083
7699,0.059858,-1,1,1,4,4,4,4,0,1,0,2,1,0.0161216259002685,7691,8,2.118784347480633e-05,0.0010401768300611104
10837,75.224904,4,1,1,12,12,12,12,0,0,0,0,12,0.0131289958953857,5333,5504,0.014577236310666755,1.032064504031502
21524,23.714933,-1,2,2,48624,601,1202,771,526,14,123,104,4,0.0145535469055175,18461,3063,0.008112295570416473,0.1659173392557283
5320,67.583027,4,1,1,8,8,8,8,0,0,0,0,8,0.0126798152923583,4523,797,0.0021108389061775808,0.17621047977006413
6736,0.309432,-1,25,25,3,3,75,67,0,44,0,0,23,0.0184471607208251,6531,205,0.0005429384890419122,0.03138876129229827
42,2.318837,-1,2,2,3043,285,570,13,0,1,1,7,4,0.0159523487091064,22,20,5.2969608687015823e-05,0.9090909090909091
6660,0.120307,-1,9,9,3,3,27,23,0,7,0,0,16,0.0166833400726318,6614,46,0.0001218300999801364,0.006954944058058663
