estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
0,65.548477,4,1,0,4,4,0,0,0,0,0,0,0,0.0371809005737304,0,0,0.0,0.0
0,72.965674,4,1,0,4,4,0,0,0,0,0,0,0,0.0382246971130371,0,0,0.0,0.0
0,43.981298,-1,1,0,109862,1357,0,0,0,0,0,0,0,0.0407471656799316,0,0,0.0,0.0
0,65.034376,4,1,0,4,4,0,0,0,0,0,0,0,0.0362815856933593,0,0,0.0,0.0
0,66.632285,4,1,0,12,12,0,0,0,0,0,0,0,0.0382566452026367,0,0,0.0,0.0
0,66.350094,4,1,0,4,4,0,0,0,0,0,0,0,0.0356135368347168,0,0,0.0,0.0
0,66.490419,4,1,0,6,6,0,0,0,0,0,0,0,0.0352740287780761,0,0,0.0,0.0
0,67.569333,4,1,0,6,6,0,0,0,0,0,0,0,0.0359859466552734,0,0,0.0,0.0
0,66.761367,4,1,0,6,6,0,0,0,0,0,0,0,0.0369861125946044,0,0,0.0,0.0
0,371.597531,-1,1,0,972620,1584,0,0,0,0,0,0,0,0.0364489555358886,0,0,0.0,0.0
0,65.131625,4,1,0,4,4,0,0,0,0,0,0,0,0.0376663208007812,0,0,0.0,0.0
0,66.588183,4,1,1,12,12,12,0,0,0,0,0,0,0.0362055301666259,0,0,0.0,0.0
0,66.086604,4,1,0,6,6,0,0,0,0,0,0,0,0.0353014469146728,0,0,0.0,0.0
0,67.041603,4,1,0,6,6,0,0,0,0,0,0,0,0.0357446670532226,0,0,0.0,0.0
0,47.08306,-1,1,0,114347,1812,0,0,0,0,0,0,0,0.0374491214752197,0,0,0.0,0.0
0,16.121493,-1,1,0,37088,1282,0,0,0,0,0,0,0,0.0408763885498046,0,0,0.0,0.0
0,66.394553,4,1,1,4,4,4,0,0,0,0,0,0,0.0369095802307128,0,0,0.0,0.0
0,67.076035,4,1,0,6,6,0,0,0,0,0,0,0,0.0358889102935791,0,0,0.0,0.0
0,66.390742,4,1,1,8,8,8,0,0,0,0,0,0,0.0360617637634277,0,0,0.0,0.0
4,377.428522,-1,1,1,972698,1428,1428,1,0,0,0,1,0,0.0363950729370117,1,3,7.945441303052374e-06,3.0
0,66.27057,4,1,0,6,6,0,0,0,0,0,0,0,0.0374674797058105,0,0,0.0,0.0
0,15.876252,-1,1,1,35294,748,748,0,0,0,0,0,0,0.0383477210998535,0,0,0.0,0.0
0,46.597805,-1,1,1,113450,1758,1758,0,0,0,0,0,0,0.0370140075683593,0,0,0.0,0.0
0,65.067711,4,1,0,8,8,0,0,0,0,0,0,0,0.0355911254882812,0,0,0.0,0.0
0,67.484568,4,1,1,4,4,4,0,0,0,0,0,0,0.0358009338378906,0,0,0.0,0.0
0,73.908298,4,1,0,4,4,0,0,0,0,0,0,0,0.0350487232208251,0,0,0.0,0.0
0,368.477527,-1,1,0,966458,1355,0,0,0,0,0,0,0,0.0360116958618164,0,0,0.0,0.0
3,66.596639,4,1,1,8,8,8,1,0,0,0,0,1,0.035651683807373,1,2,5.296960868701582e-06,2.0
0,45.146542,-1,1,0,111617,1291,0,0,0,0,0,0,0,0.0324718952178955,0,0,0.0,0.0
0,14.581494,-1,1,0,35216,878,0,0,0,0,0,0,0,0.032841682434082,0,0,0.0,0.0
0,64.704984,4,1,0,8,8,0,0,0,0,0,0,0,0.0345857143402099,0,0,0.0,0.0
0,63.235611,4,1,0,4,4,0,0,0,0,0,0,0,0.0352606773376464,0,0,0.0,0.0
0,66.05944,4,1,0,8,8,0,0,0,0,0,0,0,0.0425395965576171,0,0,0.0,0.0
0,49.823763,-1,1,1,114347,2108,2108,0,0,0,0,0,0,0.0386137962341308,0,0,0.0,0.0
0,67.556908,4,1,0,4,4,0,0,0,0,0,0,0,0.03696870803833,0,0,0.0,0.0
0,75.336799,4,1,0,12,12,0,0,0,0,0,0,0,0.0372838973999023,0,0,0.0,0.0
0,66.351388,4,1,0,12,12,0,0,0,0,0,0,0,0.0370712280273437,0,0,0.0,0.0
0,46.384149,-1,1,0,113450,2177,0,0,0,0,0,0,0,0.0391433238983154,0,0,0.0,0.0
0,66.709352,4,1,0,4,4,0,0,0,0,0,0,0,0.0350697040557861,0,0,0.0,0.0
0,64.969269,4,1,0,4,4,0,0,0,0,0,0,0,0.0355234146118164,0,0,0.0,0.0
0,72.874768,4,1,0,12,12,0,0,0,0,0,0,0,0.0377242565155029,0,0,0.0,0.0
0,66.553636,4,1,0,4,4,0,0,0,0,0,0,0,0.0369923114776611,0,0,0.0,0.0
0,65.175665,4,1,0,6,6,0,0,0,0,0,0,0,0.0357279777526855,0,0,0.0,0.0
0,65.337278,4,1,1,4,4,4,0,0,0,0,0,0,0.0392191410064697,0,0,0.0,0.0
0,66.673982,4,1,0,12,12,0,0,0,0,0,0,0,0.0366668701171875,0,0,0.0,0.0
0,369.175198,-1,1,0,964586,1360,0,0,0,0,0,0,0,0.0374228954315185,0,0,0.0,0.0
0,63.146338,4,1,0,6,6,0,0,0,0,0,0,0,0.0367729663848876,0,0,0.0,0.0
0,66.415676,4,1,0,6,6,0,0,0,0,0,0,0,0.0334804058074951,0,0,0.0,0.0
0,65.13208,4,1,0,12,12,0,0,0,0,0,0,0,0.0340082645416259,0,0,0.0,0.0
0,16.71271,-1,1,0,37088,1106,0,0,0,0,0,0,0,0.0368828773498535,0,0,0.0,0.0
0,368.526318,-1,1,0,970904,1010,0,0,0,0,0,0,0,0.0349078178405761,0,0,0.0,0.0
0,64.924223,4,1,0,8,8,0,0,0,0,0,0,0,0.0360126495361328,0,0,0.0,0.0
0,66.186028,4,1,0,6,6,0,0,0,0,0,0,0,0.0351674556732177,0,0,0.0,0.0
0,41.105635,-1,1,0,103076,1277,0,0,0,0,0,0,0,0.0352838039398193,0,0,0.0,0.0
0,73.323209,4,1,0,4,4,0,0,0,0,0,0,0,0.0354998111724853,0,0,0.0,0.0
0,64.988772,4,1,0,4,4,0,0,0,0,0,0,0,0.0330893993377685,0,0,0.0,0.0
0,66.119793,4,1,0,4,4,0,0,0,0,0,0,0,0.0359914302825927,0,0,0.0,0.0
0,66.650102,4,1,0,6,6,0,0,0,0,0,0,0,0.0357351303100585,0,0,0.0,0.0
0,16.982494,-1,1,0,37088,1363,0,0,0,0,0,0,0,0.0390291213989257,0,0,0.0,0.0
0,65.448071,4,1,0,4,4,0,0,0,0,0,0,0,0.0398235321044921,0,0,0.0,0.0
0,73.747817,4,1,1,4,4,4,0,0,0,0,0,0,0.0381915569305419,0,0,0.0,0.0
0,63.283643,4,1,0,6,6,0,0,0,0,0,0,0,0.0384829044342041,0,0,0.0,0.0
0,62.908258,4,1,0,4,4,0,0,0,0,0,0,0,0.0348279476165771,0,0,0.0,0.0
0,66.761882,4,1,0,6,6,0,0,0,0,0,0,0,0.0358669757843017,0,0,0.0,0.0
0,45.871696,-1,1,0,113450,1989,0,0,0,0,0,0,0,0.0327823162078857,0,0,0.0,0.0
0,65.546392,4,1,0,12,12,0,0,0,0,0,0,0,0.0332918167114257,0,0,0.0,0.0
0,44.174759,-1,1,0,109862,1702,0,0,0,0,0,0,0,0.0341858863830566,0,0,0.0,0.0
0,375.706277,-1,1,0,964820,1372,0,0,0,0,0,0,0,0.0343101024627685,0,0,0.0,0.0
0,74.193315,4,1,0,6,6,0,0,0,0,0,0,0,0.0360238552093505,0,0,0.0,0.0
0,70.301057,4,1,0,18,18,0,0,0,0,0,0,0,0.0450773239135742,0,0,0.0,0.0
0,66.189546,4,1,0,8,8,0,0,0,0,0,0,0,0.036588430404663,0,0,0.0,0.0
0,67.621597,4,1,0,4,4,0,0,0,0,0,0,0,0.0359025001525878,0,0,0.0,0.0
0,66.794171,4,1,1,4,4,4,0,0,0,0,0,0,0.03837251663208,0,0,0.0,0.0
0,75.856708,4,1,0,6,6,0,0,0,0,0,0,0,0.0362491607666015,0,0,0.0,0.0
0,15.329833,-1,1,0,35294,1147,0,0,0,0,0,0,0,0.0352866649627685,0,0,0.0,0.0
0,20.254683,-1,1,0,30419,1441,0,0,0,0,0,0,0,0.0351204872131347,0,0,0.0,0.0
0,80.771677,4,1,0,4,4,0,0,0,0,0,0,0,0.0375471115112304,0,0,0.0,0.0
0,43.457599,-1,1,1,103232,1773,1773,0,0,0,0,0,0,0.0365900993347168,0,0,0.0,0.0
0,66.518217,4,1,0,6,6,0,0,0,0,0,0,0,0.0346248149871826,0,0,0.0,0.0
0,65.704826,4,1,0,8,8,0,0,0,0,0,0,0,0.0359337329864501,0,0,0.0,0.0
0,66.332393,4,1,0,6,6,0,0,0,0,0,0,0,0.0359034538269043,0,0,0.0,0.0
0,47.476506,-1,1,0,114347,1949,0,0,0,0,0,0,0,0.0338716506958007,0,0,0.0,0.0
0,65.189249,4,1,0,6,6,0,0,0,0,0,0,0,0.0359771251678466,0,0,0.0,0.0
0,17.250632,-1,1,0,37088,1875,0,0,0,0,0,0,0,0.0385739803314209,0,0,0.0,0.0
0,68.58685,4,1,1,6,6,6,0,0,0,0,0,0,0.0377488136291503,0,0,0.0,0.0
0,67.369156,4,1,0,4,4,0,0,0,0,0,0,0,0.0354743003845214,0,0,0.0,0.0
0,69.547713,4,1,0,6,6,0,0,0,0,0,0,0,0.0346543788909912,0,0,0.0,0.0
0,372.876133,-1,1,0,972659,1525,0,0,0,0,0,0,0,0.0336890220642089,0,0,0.0,0.0
0,65.364272,4,1,0,12,12,0,0,0,0,0,0,0,0.0342562198638916,0,0,0.0,0.0
0,16.726373,-1,1,0,37088,1271,0,0,0,0,0,0,0,0.0336086750030517,0,0,0.0,0.0
1,64.791674,4,1,1,8,8,8,1,0,0,0,0,1,0.0415027141571044,1,0,0.0,0.0
0,68.104513,4,1,0,4,4,0,0,0,0,0,0,0,0.0368826389312744,0,0,0.0,0.0
0,374.251831,-1,1,0,972698,1628,0,0,0,0,0,0,0,0.0366139411926269,0,0,0.0,0.0
0,65.791059,4,1,0,4,4,0,0,0,0,0,0,0,0.0349752902984619,0,0,0.0,0.0
0,47.296716,-1,1,0,114347,2180,0,0,0,0,0,0,0,0.0352823734283447,0,0,0.0,0.0
0,42.612978,-1,1,0,109862,1499,0,0,0,0,0,0,0,0.0371887683868408,0,0,0.0,0.0
0,65.793337,4,1,0,12,12,0,0,0,0,0,0,0,0.0363948345184326,0,0,0.0,0.0
0,67.347366,4,1,0,4,4,0,0,0,0,0,0,0,0.0373015403747558,0,0,0.0,0.0
0,46.605366,-1,1,0,113450,2316,0,0,0,0,0,0,0,0.0385558605194091,0,0,0.0,0.0
0,374.689771,-1,1,0,970748,815,0,0,0,0,0,0,0,0.0357329845428466,0,0,0.0,0.0
0,66.020399,4,1,0,4,4,0,0,0,0,0,0,0,0.038034439086914,0,0,0.0,0.0
0,16.924045,-1,1,0,37088,1499,0,0,0,0,0,0,0,0.0361649990081787,0,0,0.0,0.0
0,64.677302,4,1,0,4,4,0,0,0,0,0,0,0,0.0400953292846679,0,0,0.0,0.0
11,66.563079,4,1,1,6,6,6,2,0,0,0,0,2,0.0387344360351562,1,10,2.6484804343507912e-05,10.0
0,15.445524,-1,1,0,35138,924,0,0,0,0,0,0,0,0.0360920429229736,0,0,0.0,0.0
0,66.66625,4,1,0,6,6,0,0,0,0,0,0,0,0.0361528396606445,0,0,0.0,0.0
0,65.660054,4,1,0,12,12,0,0,0,0,0,0,0,0.0340931415557861,0,0,0.0,0.0
0,67.135303,4,1,0,6,6,0,0,0,0,0,0,0,0.0352458953857421,0,0,0.0,0.0
0,73.455062,4,1,0,4,4,0,0,0,0,0,0,0,0.0357921123504638,0,0,0.0,0.0
0,73.775045,4,1,0,6,6,0,0,0,0,0,0,0,0.0343372821807861,0,0,0.0,0.0
0,65.80825,4,1,0,6,6,0,0,0,0,0,0,0,0.0342895984649658,0,0,0.0,0.0
0,69.307871,4,1,0,4,4,0,0,0,0,0,0,0,0.0341527462005615,0,0,0.0,0.0
0,66.263531,4,1,0,4,4,0,0,0,0,0,0,0,0.032966136932373,0,0,0.0,0.0
0,75.758526,4,1,0,6,6,0,0,0,0,0,0,0,0.033520221710205,0,0,0.0,0.0
0,15.796213,-1,1,0,35294,934,0,0,0,0,0,0,0,0.0369985103607177,0,0,0.0,0.0
0,70.447623,4,1,0,4,4,0,0,0,0,0,0,0,0.0366103649139404,0,0,0.0,0.0
0,398.540308,-1,1,0,970865,920,0,0,0,0,0,0,0,0.0343589782714843,0,0,0.0,0.0
0,64.783482,4,1,0,4,4,0,0,0,0,0,0,0,0.0363831520080566,0,0,0.0,0.0
0,64.838995,4,1,1,4,4,4,0,0,0,0,0,0,0.0367045402526855,0,0,0.0,0.0
0,66.620439,4,1,0,6,6,0,0,0,0,0,0,0,0.0352416038513183,0,0,0.0,0.0
0,66.667804,4,1,0,6,6,0,0,0,0,0,0,0,0.0360474586486816,0,0,0.0,0.0
0,64.901901,4,1,0,8,8,0,0,0,0,0,0,0,0.0340104103088378,0,0,0.0,0.0
0,64.816267,4,1,0,4,4,0,0,0,0,0,0,0,0.0374853610992431,0,0,0.0,0.0
4,66.782646,4,1,1,4,4,4,1,0,0,0,0,1,0.0393192768096923,5,1,2.648480434350791e-06,0.2
0,74.319058,4,1,0,4,4,0,0,0,0,0,0,0,0.0346429347991943,0,0,0.0,0.0
0,66.401195,4,1,0,12,12,0,0,0,0,0,0,0,0.038766860961914,0,0,0.0,0.0
0,67.210749,4,1,0,4,4,0,0,0,0,0,0,0,0.0391998291015625,0,0,0.0,0.0
0,65.339913,4,1,0,8,8,0,0,0,0,0,0,0,0.033848762512207,0,0,0.0,0.0
0,66.289667,4,1,0,12,12,0,0,0,0,0,0,0,0.0374889373779296,0,0,0.0,0.0
0,65.462042,4,1,0,6,6,0,0,0,0,0,0,0,0.0346930027008056,0,0,0.0,0.0
0,73.257196,4,1,0,8,8,0,0,0,0,0,0,0,0.0326180458068847,0,0,0.0,0.0
0,64.917746,4,1,0,8,8,0,0,0,0,0,0,0,0.0345466136932373,0,0,0.0,0.0
0,66.679055,4,1,0,6,6,0,0,0,0,0,0,0,0.035872459411621,0,0,0.0,0.0
0,64.565862,4,1,0,4,4,0,0,0,0,0,0,0,0.034550666809082,0,0,0.0,0.0
0,67.630517,4,1,0,8,8,0,0,0,0,0,0,0,0.0344469547271728,0,0,0.0,0.0
0,63.308981,4,1,0,4,4,0,0,0,0,0,0,0,0.037541389465332,0,0,0.0,0.0
0,66.122018,4,1,0,6,6,0,0,0,0,0,0,0,0.0368540287017822,0,0,0.0,0.0
0,45.607221,-1,1,0,111617,1671,0,0,0,0,0,0,0,0.0322144031524658,0,0,0.0,0.0
0,65.601883,4,1,0,12,12,0,0,0,0,0,0,0,0.0350167751312255,0,0,0.0,0.0
0,62.924906,4,1,0,4,4,0,0,0,0,0,0,0,0.0367426872253418,0,0,0.0,0.0
0,64.385912,4,1,0,4,4,0,0,0,0,0,0,0,0.0359487533569335,0,0,0.0,0.0
0,64.900447,4,1,0,8,8,0,0,0,0,0,0,0,0.0346174240112304,0,0,0.0,0.0
0,15.607105,-1,1,0,35294,779,0,0,0,0,0,0,0,0.0344209671020507,0,0,0.0,0.0
0,65.506231,4,1,0,8,8,0,0,0,0,0,0,0,0.032482624053955,0,0,0.0,0.0
0,67.406695,4,1,0,4,4,0,0,0,0,0,0,0,0.0351130962371826,0,0,0.0,0.0
0,67.611591,4,1,0,4,4,0,0,0,0,0,0,0,0.032499074935913,0,0,0.0,0.0
0,64.794284,4,1,0,4,4,0,0,0,0,0,0,0,0.035029649734497,0,0,0.0,0.0
0,66.567653,4,1,0,4,4,0,0,0,0,0,0,0,0.0461618900299072,0,0,0.0,0.0
0,66.843232,4,1,0,6,6,0,0,0,0,0,0,0,0.0364210605621337,0,0,0.0,0.0
0,65.915008,4,1,0,6,6,0,0,0,0,0,0,0,0.0389597415924072,0,0,0.0,0.0
0,66.013415,4,1,0,4,4,0,0,0,0,0,0,0,0.0384697914123535,0,0,0.0,0.0
