estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
6078,89.258072,4,1,1,6,6,6,6,0,0,0,0,6,0.0146782398223876,6087,9,2.3836323909157122e-05,0.0014785608674223755
3961,89.882739,4,1,1,4,4,4,4,0,0,0,0,4,0.013376235961914,6013,2052,0.0054346818512878235,0.3412606020289373
4159,92.071042,4,1,1,4,4,4,4,0,0,0,0,4,0.0134212970733642,6302,2143,0.005675693570813746,0.34005077753094254
13677,65.903155,-1,1,1,109862,1459,1459,1459,1,1149,125,184,0,0.0123624801635742,8373,5304,0.014047540223796597,0.6334647079899678
5875,75.793474,4,1,1,8,8,8,8,0,0,0,0,8,0.0128357410430908,6365,490,0.0012977554128318876,0.0769835035349568
6078,79.614313,4,1,1,6,6,6,6,0,0,0,0,6,0.0133960247039794,6665,587,0.0015546580149639144,0.08807201800450112
14303,102.135976,4,1,1,12,12,12,12,0,0,0,0,12,0.0130949020385742,6389,7914,0.02096007415745216,1.2386915010173736
4159,68.615746,4,1,1,4,4,4,4,0,0,0,0,4,0.013193130493164,6138,1979,0.005241342779580216,0.3224177256435321
2601,67.681644,4,1,1,4,4,4,4,0,0,0,0,4,0.0135672092437744,4378,1777,0.004706349731841356,0.40589310187300137
3175,70.804379,4,1,1,4,4,4,4,0,0,0,0,4,0.0136678218841552,6165,2990,0.007918956498708865,0.48499594484995945
6078,70.939558,4,1,1,6,6,6,6,0,0,0,0,6,0.0134317874908447,5795,283,0.0007495199629212739,0.04883520276100086
10085,50.964512,-1,1,1,111656,1283,1283,1283,0,715,430,138,0,0.0130605697631835,5658,4427,0.011724822882870953,0.7824319547543301
10958,67.0642,4,1,1,18,18,18,18,0,0,0,0,18,0.0130941867828369,3698,7260,0.019227967953386743,1.96322336398053
11526,19.435843,-1,1,1,30419,1581,1581,1581,0,338,1144,98,1,0.0121045112609863,6385,5141,0.013615837912997418,0.8051683633516054
8970,69.953715,4,1,1,6,6,6,6,0,0,0,0,6,0.0133299827575683,7408,1562,0.004136926438455936,0.21085313174946005
2350,66.551866,4,1,1,4,4,4,4,0,0,0,0,4,0.0128645896911621,5171,2821,0.007471363305303582,0.5455424482691936
8839,20.181282,-1,1,1,37010,1113,1113,1113,0,247,806,58,2,0.0133841037750244,5301,3538,0.0093703237767331,0.6674212412752311
14940,49.769618,-1,1,1,105026,2040,2040,2040,1,1266,635,138,0,0.0133342742919921,7768,7172,0.018994901675163874,0.923274974253347
7539,17.66976,-1,1,1,35216,814,814,814,0,280,428,104,2,0.0126547813415527,4918,2621,0.006941667218433424,0.532940219601464
3961,64.394531,4,1,1,4,4,4,4,0,0,0,0,4,0.0131494998931884,6423,2462,0.006520558829371648,0.3833099797602367
13260,51.746605,-1,1,1,111656,1896,1896,1896,7,1139,612,138,0,0.0130276679992675,6588,6672,0.017670661457988478,1.0127504553734061
8970,68.883828,4,1,1,6,6,6,6,0,0,0,0,6,0.0118408203125,7764,1206,0.0031940674038270543,0.1553323029366306
8197,67.505928,4,1,1,12,12,12,12,0,0,0,0,12,0.0123276710510253,5390,2807,0.007434284579222671,0.5207792207792208
4159,67.099288,4,1,1,4,4,4,4,0,0,0,0,4,0.0131580829620361,7203,3044,0.008061974442163809,0.42260169373872
2962,68.796634,4,1,1,4,4,4,4,0,0,0,0,4,0.0128531455993652,5073,2111,0.00559094219691452,0.4161245811157106
9436,15.129558,-1,1,1,28508,837,837,837,0,291,518,24,4,0.0131728649139404,6677,2759,0.007307157518373833,0.4132095252358844
8982,48.056214,-1,1,1,109823,1165,1165,1165,0,972,48,144,1,0.0127451419830322,4664,4318,0.011436138515526717,0.9258147512864494
5792,67.288611,4,1,1,8,8,8,8,0,0,0,0,8,0.0123505592346191,5146,646,0.001710918360590611,0.12553439564710456
10821,382.434926,-1,1,1,970748,1057,1057,1057,389,4,636,24,4,0.0147416591644287,7070,3751,0.009934450109249818,0.5305516265912306
18986,73.520312,4,1,1,12,12,12,12,0,0,0,0,12,0.014514684677124,7203,11783,0.031207044957955375,1.6358461752047757
4199,77.734696,4,1,1,6,6,6,6,0,0,0,0,6,0.0141301155090332,4497,298,0.0007892471694365357,0.06626639982210362
10926,50.375967,-1,1,1,111656,1624,1624,1624,0,979,507,138,0,0.0149548053741455,5201,5725,0.01516255048665828,1.1007498557969622
11034,49.011456,-1,1,1,111617,1572,1572,1572,0,994,479,98,1,0.0141322612762451,5528,5506,0.014582533271535457,0.9960202604920405
3155,68.845196,4,1,1,4,4,4,4,0,0,0,0,4,0.0128321647644042,6356,3201,0.008477785870356882,0.5036186280679673
2350,63.205098,4,1,1,4,4,4,4,0,0,0,0,4,0.0130469799041748,4301,1951,0.005167185327418394,0.4536154382701697
4159,66.660121,4,1,1,4,4,4,4,0,0,0,0,4,0.0137155055999755,6428,2269,0.0060094021055419455,0.3529869321717486
3175,63.0837,4,1,1,4,4,4,4,0,0,0,0,4,0.0133039951324462,5275,2100,0.005561808912136662,0.3981042654028436
10308,66.499918,4,1,1,12,12,12,12,0,0,0,0,12,0.0129787921905517,6979,3329,0.008816791365953784,0.47700243587906577
4199,64.154086,4,1,1,6,6,6,6,0,0,0,0,6,0.0157568454742431,4092,107,0.00028338740647553467,0.026148582600195504
2962,64.399446,4,1,1,4,4,4,4,0,0,0,0,4,0.0140111446380615,4445,1483,0.003927696484142223,0.33363329583802026
10224,47.732149,-1,1,1,109784,1325,1325,1325,0,1150,69,104,2,0.0137515068054199,5335,4889,0.012948420843541019,0.9164011246485473
14303,65.641049,4,1,1,12,12,12,12,0,0,0,0,12,0.0132551193237304,5754,8549,0.022641859233264915,1.4857490441432046
10630,17.854048,-1,1,1,35294,860,860,860,0,253,423,184,0,0.0122253894805908,7812,2818,0.00746341786400053,0.36072708653353813
6589,67.683763,4,1,1,8,8,8,8,0,0,0,0,8,0.0119087696075439,5475,1114,0.0029504072038667815,0.2034703196347032
6495,67.712174,4,1,1,6,6,6,6,0,0,0,0,6,0.0120894908905029,4585,1910,0.0050585976296100114,0.41657579062159217
11877,66.468314,4,1,1,9,9,9,9,0,0,0,0,9,0.0121216773986816,6034,5843,0.015475071177911673,0.9683460391117004
10958,66.208046,4,1,1,18,18,18,18,0,0,0,0,18,0.0125865936279296,3853,7105,0.018817453486062372,1.8440176485855178
9551,394.741605,-1,1,1,972698,1172,1172,1172,291,43,700,138,0,0.0128805637359619,5593,3958,0.010482685559160432,0.7076703021634185
5792,79.243503,4,1,1,8,8,8,8,0,0,0,0,8,0.0145018100738525,5081,711,0.0018830695888234126,0.13993308403857507
12925,52.578578,-1,1,1,113450,1981,1981,1981,0,1058,831,92,0,0.0135684013366699,5957,6968,0.018454611666556313,1.1697163001510829
4562,66.362916,4,1,1,6,6,6,6,0,0,0,0,6,0.0134263038635253,4457,105,0.0002780904456068331,0.02355844738613417
12673,49.611989,-1,1,1,106820,1880,1880,1880,0,986,802,92,0,0.0133123397827148,6027,6646,0.01760180096669536,1.1027044964327195
7635,75.949971,4,1,1,8,8,8,8,0,0,0,0,8,0.0133473873138427,7753,118,0.0003125206912533934,0.015219914871662582
4159,68.449243,4,1,1,4,4,4,4,0,0,0,0,4,0.0131072998046875,5666,1507,0.003991260014566642,0.2659724673490999
