estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
62711,0.057253,-1,1,1,5,5,5,5,1,0,2,2,0,0.0148789882659912,62696,15,3.972720651526187e-05,0.00023924971290034452
61133,0.076988,-1,18,18,1,1,18,18,0,0,0,0,18,0.015326976776123,61113,20,5.2969608687015823e-05,0.00032726261188290544
61675,2.677856,-1,1,1,678,676,676,676,388,196,92,0,0,0.0135364532470703,58951,2724,0.0072144607031715555,0.04620786755101695
58473,0.021727,-1,2,2,1,1,2,2,0,0,0,0,2,0.0144755840301513,58466,7,1.853936304045554e-05,0.00011972770499093491
61157,0.060518,-1,1,1,10,10,10,10,1,0,0,8,1,0.0131549835205078,61135,22,5.826656955571741e-05,0.00035985932771734683
62250,0.025864,-1,1,1,4,4,4,4,2,1,0,0,1,0.0124428272247314,62236,14,3.707872608091108e-05,0.00022495018960087408
58473,0.006918,-1,2,2,1,1,2,2,0,0,0,0,2,0.0133910179138183,58466,7,1.853936304045554e-05,0.00011972770499093491
60945,0.024401,-1,1,1,4,4,4,4,0,2,1,1,0,0.0121891498565673,60930,15,3.972720651526187e-05,0.0002461841457410143
42711,0.458491,-1,2,2,73,73,146,146,146,0,0,0,0,0.0153186321258544,42101,610,0.0016155730649539827,0.014488967007909552
65525,0.022235,-1,1,1,3,3,3,3,0,1,0,1,1,0.0143148899078369,65514,11,2.9133284777858705e-05,0.00016790304362426353
58473,0.00699,-1,2,2,1,1,2,2,0,0,0,0,2,0.0130913257598876,58466,7,1.853936304045554e-05,0.00011972770499093491
62126,0.076312,-1,1,1,15,15,15,15,1,0,0,8,6,0.0118112564086914,62099,27,7.150897172747136e-05,0.00043478961013864955
60122,3.034056,-1,1,1,6102,185,185,185,137,0,30,18,0,0.0123486518859863,59357,765,0.0020260875322783553,0.012888117660932999
62862,0.046424,-1,1,1,6,6,6,6,2,1,1,1,1,0.0117428302764892,62843,19,5.0321128252665034e-05,0.0003023407539423643
61133,0.056991,-1,18,18,1,1,18,18,0,0,0,0,18,0.0131306648254394,61113,20,5.2969608687015823e-05,0.00032726261188290544
75037,109.179794,-1,1,1,250845,2923,2923,2923,237,1365,1321,0,0,0.0124540328979492,64576,10461,0.02770575382374363,0.16199516848364717
65292,0.075985,-1,1,1,4,4,4,4,2,0,0,1,1,0.0142943859100341,65282,10,2.6484804343507912e-05,0.00015318158144664686
60695,0.049534,-1,1,1,5,5,5,5,1,2,1,1,0,0.0120167732238769,60677,18,4.7672647818314245e-05,0.00029665276793513194
63088,0.038467,-1,1,1,6,6,6,6,1,2,1,2,0,0.0141849517822265,63072,16,4.237568694961266e-05,0.0002536783358701167
87329,285.070209,-1,225,176,333442,2313,407088,15118,1350,4,0,3584,10180,0.0171954631805419,60889,26440,0.07002582268423492,0.43423278424674405
61133,0.092431,-1,18,18,1,1,18,18,0,0,0,0,18,0.0127453804016113,61113,20,5.2969608687015823e-05,0.00032726261188290544
58473,0.010245,-1,2,2,1,1,2,2,0,0,0,0,2,0.0116968154907226,58466,7,1.853936304045554e-05,0.00011972770499093491
62511,0.053007,-1,1,1,5,5,5,5,1,0,1,0,3,0.0109689235687255,62499,12,3.1781765212209494e-05,0.00019200307204915277
63430,0.022403,-1,1,1,3,3,3,3,0,1,1,1,0,0.0115604400634765,63422,8,2.118784347480633e-05,0.00012613919460124248
61273,0.065081,-1,1,1,14,14,14,14,1,1,2,1,9,0.0118467807769775,61241,32,8.475137389922532e-05,0.0005225257588870201
58473,0.007402,-1,2,2,1,1,2,2,0,0,0,0,2,0.0115694999694824,58466,7,1.853936304045554e-05,0.00011972770499093491
61017,0.050329,-1,1,1,10,10,10,10,1,0,0,7,2,0.0108711719512939,61000,17,4.502416738396345e-05,0.0002786885245901639
61098,0.079446,-1,1,1,17,17,17,17,1,0,8,7,1,0.0114402770996093,61048,50,0.00013242402171753957,0.0008190276503734766
62566,0.030875,-1,1,1,10,10,10,10,1,0,0,7,2,0.0101628303527832,62551,15,3.972720651526187e-05,0.0002398043196751451
63169,0.019283,-1,1,1,3,3,3,3,1,0,1,1,0,0.0113093852996826,63158,11,2.9133284777858705e-05,0.00017416637638937267
61434,0.038337,-1,1,1,6,6,6,6,1,2,1,2,0,0.0137121677398681,61414,20,5.2969608687015823e-05,0.00032565864460872116
62922,0.027692,-1,1,1,5,5,5,5,1,2,2,0,0,0.0104153156280517,62896,26,6.886049129312057e-05,0.0004133808191299924
58473,0.006963,-1,2,2,1,1,2,2,0,0,0,0,2,0.0118649005889892,58466,7,1.853936304045554e-05,0.00011972770499093491
58473,0.005682,-1,2,2,1,1,2,2,0,0,0,0,2,0.0118575096130371,58466,7,1.853936304045554e-05,0.00011972770499093491
65292,0.022916,-1,1,1,4,4,4,4,2,0,0,1,1,0.0133962631225585,65282,10,2.6484804343507912e-05,0.00015318158144664686
64403,18.129583,-1,1,1,42995,446,446,446,58,0,354,18,16,0.0117123126983642,62981,1422,0.003766139177646825,0.02257823788126578
61059,0.093755,-1,1,1,16,16,16,16,1,0,9,5,1,0.0111804008483886,61011,48,0.00012712706084883798,0.0007867433741456459
63501,0.015879,-1,1,1,2,2,2,2,0,0,0,1,1,0.0117449760437011,63498,3,7.945441303052374e-06,4.72455825380327e-05
62380,0.056401,-1,1,1,12,12,12,12,1,0,0,8,3,0.0111403465270996,62355,25,6.621201085876978e-05,0.00040093015796648226
63998,0.02739,-1,1,1,3,3,3,3,0,1,0,1,1,0.0140392780303955,63988,10,2.6484804343507912e-05,0.00015627930236919422
61249,0.049973,-1,1,1,11,11,11,11,1,0,0,8,2,0.0110418796539306,61229,20,5.2969608687015823e-05,0.00032664260399483904
61902,0.014127,-1,1,1,2,2,2,2,0,0,1,1,0,0.0109386444091796,61899,3,7.945441303052374e-06,4.846604953230262e-05
58473,0.011978,-1,2,2,1,1,2,2,0,0,0,0,2,0.0117874145507812,58466,7,1.853936304045554e-05,0.00011972770499093491
62667,0.024989,-1,1,1,8,8,8,8,1,0,0,6,1,0.0106391906738281,62643,24,6.356353042441899e-05,0.00038312341362961545
61780,0.028625,-1,1,1,5,5,5,5,1,1,0,0,3,0.0134358406066894,61767,13,3.4430245646560284e-05,0.0002104683730794761
58473,0.006232,-1,2,2,1,1,2,2,0,0,0,0,2,0.0114212036132812,58466,7,1.853936304045554e-05,0.00011972770499093491
60903,0.048657,-1,1,1,10,10,10,10,2,1,2,2,3,0.0131568908691406,60866,37,9.799377607097927e-05,0.0006078927480038116
58473,0.006372,-1,2,2,1,1,2,2,0,0,0,0,2,0.0118799209594726,58466,7,1.853936304045554e-05,0.00011972770499093491
58473,0.005845,-1,2,2,1,1,2,2,0,0,0,0,2,0.0118370056152343,58466,7,1.853936304045554e-05,0.00011972770499093491
61133,0.060074,-1,18,18,1,1,18,18,0,0,0,0,18,0.0123951435089111,61113,20,5.2969608687015823e-05,0.00032726261188290544
62001,0.025903,-1,1,1,5,5,5,5,1,0,1,2,1,0.0114498138427734,61993,8,2.118784347480633e-05,0.00012904682786766248
35935,3.994933,-1,1,1,5093,793,793,613,44,520,0,45,4,0.0139820575714111,33630,2305,0.006104747401178574,0.06853999405292893
52842,9.359742,-1,1,1,19026,685,685,531,165,138,151,73,4,0.0144555568695068,50976,1866,0.004942064490498576,0.03660546139359699
61242,0.069497,-1,1,1,11,11,11,11,2,1,2,1,5,0.0146777629852294,61214,28,7.415745216182216e-05,0.00045741170320514913
61234,0.425108,-1,1,1,119,119,119,119,89,0,21,9,0,0.0116856098175048,60712,522,0.0013825067867311131,0.008597970747134009
58473,0.013808,-1,2,2,1,1,2,2,0,0,0,0,2,0.0122983455657958,58466,7,1.853936304045554e-05,0.00011972770499093491
58473,0.00575,-1,2,2,1,1,2,2,0,0,0,0,2,0.0134055614471435,58466,7,1.853936304045554e-05,0.00011972770499093491
61122,0.084622,-1,1,1,18,18,18,18,1,0,0,13,4,0.0126299858093261,61086,36,9.534529563662849e-05,0.0005893330714075238
62882,0.017868,-1,1,1,3,3,3,3,1,0,1,1,0,0.0133192539215087,62872,10,2.6484804343507912e-05,0.00015905331467107775
59341,0.023073,-1,1,1,4,4,4,4,0,0,1,2,1,0.0164406299591064,59336,5,1.3242402171753956e-05,8.426587569098019e-05
62049,0.017807,-1,1,1,3,3,3,3,1,0,1,1,0,0.0140919685363769,62036,13,3.4430245646560284e-05,0.00020955574182732607
58473,0.006995,-1,2,2,1,1,2,2,0,0,0,0,2,0.014186143875122,58466,7,1.853936304045554e-05,0.00011972770499093491
58473,0.005292,-1,2,2,1,1,2,2,0,0,0,0,2,0.0137195587158203,58466,7,1.853936304045554e-05,0.00011972770499093491
64123,0.026375,-1,1,1,5,5,5,5,2,0,2,0,1,0.0146675109863281,64104,19,5.0321128252665034e-05,0.00029639336078871834
60076,0.032779,-1,1,1,7,7,7,7,2,1,1,0,3,0.0153708457946777,60054,22,5.826656955571741e-05,0.00036633696339960704
60609,0.11903,-1,1,1,27,27,27,27,1,0,16,9,1,0.0123870372772216,60531,78,0.00020658147387936173,0.0012885959260544185
63870,0.026587,-1,1,1,5,5,5,5,0,1,2,2,0,0.0147678852081298,63853,17,4.502416738396345e-05,0.0002662365119884735
66124,0.027114,-1,1,1,5,5,5,5,2,0,2,0,1,0.0148322582244873,66106,18,4.7672647818314245e-05,0.00027228995855141743
60734,0.021047,-1,1,1,4,4,4,4,1,0,1,0,2,0.0148768424987792,60725,9,2.3836323909157122e-05,0.00014820913956360642
