estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
18792,0.013776,-1,1,1,1,1,1,1,0,0,0,0,1,0.0272595882415771,18792,0,0.0,0.0
525,0.004913,-1,1,1,1,1,1,1,0,0,0,0,1,0.0279889106750488,525,0,0.0,0.0
19468,0.004714,-1,1,1,1,1,1,1,0,0,0,0,1,0.0300033092498779,19468,0,0.0,0.0
10109,0.004518,-1,1,1,1,1,1,1,0,0,0,0,1,0.0301282405853271,10109,0,0.0,0.0
7553,0.004292,-1,1,1,1,1,1,1,0,0,0,0,1,0.0304601192474365,7553,0,0.0,0.0
22403,0.004228,-1,1,1,1,1,1,1,0,0,0,0,1,0.0309398174285888,22403,0,0.0,0.0
7553,0.004048,-1,1,1,1,1,1,1,0,0,0,0,1,0.0305800437927246,7553,0,0.0,0.0
11594,0.004263,-1,1,1,1,1,1,1,0,0,0,0,1,0.0299561023712158,11594,0,0.0,0.0
88,0.005654,-1,1,1,1,1,1,1,0,0,0,0,1,0.030226707458496,88,0,0.0,0.0
12914,0.046117,-1,38,25,1,1,25,25,0,0,0,0,25,0.0260210037231445,12914,0,0.0,0.0
22403,0.004285,-1,1,1,1,1,1,1,0,0,0,0,1,0.0280683040618896,22403,0,0.0,0.0
0,0.003706,-1,1,0,1,1,0,0,0,0,0,0,0,0.0268585681915283,0,0,0.0,0.0
17486,0.047654,-1,38,28,1,1,28,28,0,0,0,0,28,0.0271964073181152,17486,0,0.0,0.0
22513,0.004454,-1,1,1,1,1,1,1,0,0,0,0,1,0.0276448726654052,22513,0,0.0,0.0
23802,0.004398,-1,1,1,1,1,1,1,0,0,0,0,1,0.0300378799438476,23802,0,0.0,0.0
18792,0.003801,-1,1,1,1,1,1,1,0,0,0,0,1,0.0306777954101562,18792,0,0.0,0.0
19945,0.004449,-1,1,1,1,1,1,1,0,0,0,0,1,0.0296597480773925,19945,0,0.0,0.0
3796,0.004545,-1,1,1,1,1,1,1,0,0,0,0,1,0.0286903381347656,3796,0,0.0,0.0
23516,0.004253,-1,1,1,1,1,1,1,0,0,0,0,1,0.030083417892456,23516,0,0.0,0.0
19468,0.003748,-1,1,1,1,1,1,1,0,0,0,0,1,0.0300407409667968,19468,0,0.0,0.0
19945,0.003897,-1,1,1,1,1,1,1,0,0,0,0,1,0.030024766921997,19945,0,0.0,0.0
4145,0.031189,-1,38,16,1,1,16,16,0,0,0,0,16,0.0281264781951904,4145,0,0.0,0.0
7611,0.004506,-1,1,1,1,1,1,1,0,0,0,0,1,0.0293464660644531,7611,0,0.0,0.0
13182,0.004359,-1,1,1,1,1,1,1,0,0,0,0,1,0.0295054912567138,13182,0,0.0,0.0
774,0.004247,-1,1,1,1,1,1,1,0,0,0,0,1,0.0305638313293457,774,0,0.0,0.0
18269,0.004179,-1,1,1,1,1,1,1,0,0,0,0,1,0.041144847869873,18269,0,0.0,0.0
25861,0.004049,-1,1,1,1,1,1,1,0,0,0,0,1,0.049443244934082,25861,0,0.0,0.0
6984,0.004098,-1,1,1,1,1,1,1,0,0,0,0,1,0.0405898094177246,6984,0,0.0,0.0
227,0.019056,-1,1,1,1,1,1,1,0,0,0,0,1,0.0364072322845459,227,0,0.0,0.0
3540,0.004391,-1,1,1,1,1,1,1,0,0,0,0,1,0.036571979522705,3540,0,0.0,0.0
21361,0.004391,-1,1,1,1,1,1,1,0,0,0,0,1,0.0332889556884765,21361,0,0.0,0.0
464,0.017488,-1,38,3,1,1,3,3,0,0,0,0,3,0.0282003879547119,464,0,0.0,0.0
