estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
23,0.32659,-1,1,1,198,113,113,7,4,3,0,0,0,0.0411527156829834,10,13,2.39892675707545e-05,1.3
43,0.252992,-1,1,1,198,100,100,10,5,5,0,0,0,0.0438718795776367,18,25,4.613320686683558e-05,1.3888888888888888
40,0.431196,-1,1,1,333,166,166,12,10,2,0,0,0,0.041222333908081,19,21,3.875189376814188e-05,1.105263157894737
11,0.409095,-1,1,1,333,171,171,3,2,1,0,0,0,0.0372345447540283,4,7,1.2917297922713961e-05,1.75
14,0.267136,-1,1,1,198,117,117,3,1,2,0,0,0,0.0383327007293701,5,9,1.6607954472060808e-05,1.8
35,0.250312,-1,1,1,198,106,106,10,5,5,0,0,0,0.0380425453186035,13,22,4.0597222042815305e-05,1.6923076923076923
53,0.279738,-1,1,1,198,126,126,13,4,9,0,0,0,0.0395300388336181,20,33,6.089583306422296e-05,1.65
7,0.362062,-1,1,1,333,152,152,2,1,1,0,0,0,0.0388321876525878,5,2,3.690656549346846e-06,0.4
0,0.219737,-1,1,1,198,112,112,0,0,0,0,0,0,0.0382711887359619,0,0,0.0,0.0
54,0.387224,-1,1,1,333,174,174,17,12,5,0,0,0,0.0355350971221923,23,31,5.720517651487611e-05,1.3478260869565217
133,0.499686,-1,1,1,333,231,231,29,26,3,0,0,0,0.0736691951751709,64,69,0.0001273276509524662,1.078125
27,0.216925,-1,1,1,198,85,85,7,4,3,0,0,0,0.0695540904998779,9,18,3.3215908944121615e-05,2.0
7,0.38333,-1,1,1,333,163,163,2,2,0,0,0,0,0.0467836856842041,2,5,9.226641373367115e-06,2.5
56,0.480993,-1,1,1,333,229,229,15,7,8,0,0,0,0.0440890789031982,26,30,5.535984824020269e-05,1.1538461538461537
20,0.263284,-1,1,1,198,141,141,6,1,5,0,0,0,0.0441930294036865,7,13,2.39892675707545e-05,1.8571428571428572
0,0.22166,-1,1,1,198,120,120,0,0,0,0,0,0,0.043351411819458,0,0,0.0,0.0
42,0.36219,-1,1,1,333,127,127,14,9,5,0,0,0,0.0441639423370361,15,27,4.982386341618242e-05,1.8
326,0.462175,-1,1,1,333,217,217,53,44,9,0,0,0,0.0399012565612793,196,130,0.000239892675707545,0.6632653061224489
47,0.242534,-1,1,1,198,102,102,12,4,8,0,0,0,0.0382163524627685,21,26,4.7978535141509e-05,1.2380952380952381
256,0.527581,-1,1,1,333,226,226,60,57,3,0,0,0,0.0399181842803955,88,168,0.00031001515014513506,1.9090909090909092
0,0.236061,-1,1,1,198,126,126,0,0,0,0,0,0,0.0337834358215332,0,0,0.0,0.0
14,0.365853,-1,1,1,333,160,160,5,5,0,0,0,0,0.039874792098999,5,9,1.6607954472060808e-05,1.8
19,0.412265,-1,1,1,333,211,211,5,1,4,0,0,0,0.0368530750274658,5,14,2.5834595845427923e-05,2.8
20,0.212806,-1,1,1,198,106,106,7,1,6,0,0,0,0.0446574687957763,8,12,2.2143939296081075e-05,1.5
169,0.245397,-1,1,1,198,109,109,25,10,15,0,0,0,0.0492358207702636,118,51,9.411174200834457e-05,0.4322033898305085
25,0.251581,-1,1,1,198,116,116,8,2,6,0,0,0,0.0468156337738037,11,14,2.5834595845427923e-05,1.2727272727272727
5,0.267579,-1,1,1,198,176,176,2,2,0,0,0,0,0.04079270362854,2,3,5.535984824020269e-06,1.5
29,0.368252,-1,1,1,333,137,137,8,8,0,0,0,0,0.0439531803131103,11,18,3.3215908944121615e-05,1.6363636363636365
0,0.246472,-1,1,1,198,122,122,0,0,0,0,0,0,0.0414505004882812,0,0,0.0,0.0
180,0.445013,-1,1,1,333,198,198,35,27,8,0,0,0,0.0408215522766113,107,73,0.00013470896405115988,0.6822429906542056
40,0.337487,-1,1,1,333,149,149,6,5,1,0,0,0,0.0402619838714599,13,27,4.982386341618242e-05,2.076923076923077
15,0.229589,-1,1,1,198,121,121,7,4,3,0,0,0,0.0409362316131591,8,7,1.2917297922713961e-05,0.875
68,0.408945,-1,1,1,333,196,196,19,15,4,0,0,0,0.0419096946716308,35,33,6.089583306422296e-05,0.9428571428571428
31,0.358081,-1,1,1,333,156,156,11,7,4,0,0,0,0.0396671295166015,18,13,2.39892675707545e-05,0.7222222222222222
37,0.373561,-1,1,1,333,184,184,8,5,3,0,0,0,0.0465559959411621,13,24,4.428787859216215e-05,1.8461538461538463
3,0.333342,-1,1,1,333,149,149,1,1,0,0,0,0,0.0414714813232421,1,2,3.690656549346846e-06,2.0
8,0.272734,-1,1,1,198,156,156,2,1,1,0,0,0,0.0386531352996826,3,5,9.226641373367115e-06,1.6666666666666667
35,0.368001,-1,1,1,333,124,124,11,9,2,0,0,0,0.0408933162689209,16,19,3.506123721879504e-05,1.1875
4,0.217869,-1,1,1,198,128,128,1,1,0,0,0,0,0.0412933826446533,1,3,5.535984824020269e-06,3.0
56,0.341573,-1,1,1,333,161,161,16,11,5,0,0,0,0.0420215129852294,16,40,7.381313098693692e-05,2.5
14,0.232591,-1,1,1,198,109,109,5,2,3,0,0,0,0.0399069786071777,6,8,1.4762626197387384e-05,1.3333333333333333
7,0.248177,-1,1,1,198,137,137,4,0,4,0,0,0,0.0379624366760253,5,2,3.690656549346846e-06,0.4
248,0.484403,-1,1,1,333,231,231,52,43,9,0,0,0,0.0390272140502929,115,133,0.00024542866053156527,1.1565217391304348
0,0.180521,-1,1,0,198,109,0,0,0,0,0,0,0,0.0395886898040771,0,0,0.0,0.0
0,0.205398,-1,1,1,198,129,129,0,0,0,0,0,0,0.0379323959350585,0,0,0.0,0.0
44,0.394251,-1,1,1,333,204,204,9,6,3,0,0,0,0.03814697265625,9,35,6.45864896135698e-05,3.888888888888889
0,0.164504,-1,1,0,198,94,0,0,0,0,0,0,0,0.0378656387329101,0,0,0.0,0.0
22,0.271811,-1,1,1,198,177,177,6,3,3,0,0,0,0.038841962814331,6,16,2.9525252394774767e-05,2.6666666666666665
9,0.337155,-1,1,1,333,184,184,2,2,0,0,0,0,0.0428245067596435,2,7,1.2917297922713961e-05,3.5
15,0.344703,-1,1,1,333,143,143,7,4,3,0,0,0,0.037912368774414,10,5,9.226641373367115e-06,0.5
54,0.232944,-1,1,1,198,112,112,13,6,7,0,0,0,0.039684772491455,18,36,6.643181788824323e-05,2.0
15,0.385553,-1,1,1,333,181,181,4,1,3,0,0,0,0.03924560546875,5,10,1.845328274673423e-05,2.0
4,0.349045,-1,1,1,333,129,129,2,1,1,0,0,0,0.0397660732269287,2,2,3.690656549346846e-06,1.0
119,0.479472,-1,1,1,333,234,234,28,24,4,0,0,0,0.0407547950744628,54,65,0.0001199463378537725,1.2037037037037037
0,0.185198,-1,1,1,198,82,82,0,0,0,0,0,0,0.0371441841125488,0,0,0.0,0.0
16,0.322107,-1,1,1,333,145,145,5,1,4,0,0,0,0.0375316143035888,5,11,2.0298611021407652e-05,2.2
28,0.219315,-1,1,1,198,113,113,7,4,3,0,0,0,0.0398433208465576,10,18,3.3215908944121615e-05,1.8
0,0.253515,-1,1,1,198,152,152,0,0,0,0,0,0,0.0357179641723632,0,0,0.0,0.0
