estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
33501,0.40441,-1,1,1,92,92,92,92,48,40,4,0,0,0.0179557800292968,33350,151,0.00027864456947568686,0.004527736131934033
29954,0.720478,-1,1,1,197,197,197,197,168,25,4,0,0,0.0191514492034912,29402,552,0.0010186212076197295,0.018774233045371062
46970,0.794998,-1,1,1,225,225,225,225,192,30,3,0,0,0.0186645984649658,46360,610,0.001125650247550788,0.013157894736842105
46967,0.563335,-1,1,1,197,197,197,197,168,25,4,0,0,0.0181357860565185,46413,554,0.0010223118641690763,0.011936310947363886
48857,0.37225,-1,1,1,197,197,197,197,168,25,4,0,0,0.0185184478759765,48295,562,0.0010370744903664638,0.011636815405321462
31354,0.210097,-1,1,1,64,64,64,64,16,44,4,0,0,0.0182225704193115,31254,100,0.00018453282746734231,0.00319959045242209
62044,0.087925,-1,1,1,22,22,22,22,16,6,0,0,0,0.0174071788787841,61990,54,9.964772683236485e-05,0.0008711082432650428
62177,0.059016,-1,1,1,22,22,22,22,16,6,0,0,0,0.0176408290863037,62118,59,0.00010887436820573196,0.0009498052094400979
48842,0.040837,-1,1,1,16,16,16,16,8,8,0,0,0,0.0180714130401611,48818,24,4.428787859216215e-05,0.0004916219427260436
59173,0.393977,-1,1,1,124,111,111,111,73,38,0,0,0,0.0192954540252685,58893,280,0.0005166919169085584,0.004754385071230876
30645,0.32473,-1,1,1,99,99,99,99,48,48,3,0,0,0.0180442333221435,30442,203,0.00037460163975870485,0.006668418632152947
23803,0.315292,-1,1,1,96,91,91,91,81,6,4,0,0,0.0184905529022216,23542,261,0.0004816306796897634,0.011086568685753122
58004,0.313792,-1,1,1,96,90,90,90,80,6,4,0,0,0.0196850299835205,57765,239,0.0004410334576469481,0.004137453475287804
53179,0.05359,-1,1,1,16,16,16,16,8,8,0,0,0,0.0189199447631835,53157,22,4.0597222042815305e-05,0.00041386835223959216
50412,0.070141,-1,1,1,19,19,19,19,16,2,1,0,0,0.0190992355346679,50361,51,9.411174200834457e-05,0.0010126883898254602
55679,0.285235,-1,1,1,96,88,88,88,78,6,4,0,0,0.0190939903259277,55458,221,0.0004078175487028265,0.0039849976558837315
29140,0.562253,-1,1,1,197,197,197,197,168,25,4,0,0,0.0202631950378417,28572,568,0.0010481464600145044,0.019879602407951842
53440,0.047853,-1,1,1,16,16,16,16,8,8,0,0,0,0.0195193290710449,53414,26,4.7978535141509e-05,0.00048676376979818025
58917,0.36361,-1,1,1,124,114,114,114,76,38,0,0,0,0.0199787616729736,58610,307,0.0005665157803247409,0.005238013990786555
62613,0.057147,-1,1,1,19,19,19,19,16,2,1,0,0,0.0168225765228271,62560,53,9.780239855769142e-05,0.0008471867007672634
51776,0.023965,-1,1,1,10,10,10,10,8,0,2,0,0,0.0178990364074707,51752,24,4.428787859216215e-05,0.0004637501932292472
31201,0.163842,-1,1,1,64,64,64,64,16,44,4,0,0,0.0171821117401123,31094,107,0.00019745012539005628,0.003441178362385026
34874,0.200107,-1,1,1,64,64,64,64,16,44,4,0,0,0.0169422626495361,34790,84,0.00015500757507256753,0.002414486921529175
44556,0.048683,-1,1,1,16,16,16,16,8,8,0,0,0,0.0186390876770019,44522,34,6.274116133889639e-05,0.0007636674003863259
23608,0.300784,-1,1,1,110,106,106,106,98,4,4,0,0,0.019327163696289,23367,241,0.00044472411419629496,0.01031369024692943
31628,0.25765,-1,1,1,92,92,92,92,48,40,4,0,0,0.0186059474945068,31429,199,0.0003672203266600112,0.006331731840020363
56981,0.200886,-1,1,1,96,86,86,86,76,6,4,0,0,0.0175173282623291,56759,222,0.00040966287697749993,0.003911273982980672
58565,0.349538,-1,1,1,138,126,126,126,90,36,0,0,0,0.0195322036743164,58237,328,0.0006052676740928828,0.0056321582499098514
53440,0.042802,-1,1,1,16,16,16,16,8,8,0,0,0,0.0189995765686035,53414,26,4.7978535141509e-05,0.00048676376979818025
94283,0.065921,-1,1,1,22,22,22,22,16,6,0,0,0,0.0190286636352539,94227,56,0.00010333838338171169,0.0005943094866651809
34801,0.580763,-1,1,1,197,197,197,197,168,25,4,0,0,0.0183441638946533,34305,496,0.0009152828242380178,0.014458533741437109
57675,0.302945,-1,1,1,138,126,126,126,90,36,0,0,0,0.0174193382263183,57331,344,0.0006347929264876576,0.006000244195984721
23803,0.200228,-1,1,1,96,91,91,91,81,6,4,0,0,0.0174436569213867,23542,261,0.0004816306796897634,0.011086568685753122
55841,0.24463,-1,1,1,110,101,101,101,93,4,4,0,0,0.0181694030761718,55584,257,0.0004742493665910697,0.004623632700057571
48740,0.517807,-1,1,1,197,197,197,197,168,25,4,0,0,0.0180006027221679,48222,518,0.0009558800462808331,0.010741984986105927
29887,0.488166,-1,1,1,218,218,218,218,192,22,4,0,0,0.0176413059234619,29269,618,0.0011404128737481755,0.021114489733164783
56925,0.303746,-1,1,1,124,112,112,112,74,38,0,0,0,0.0185804367065429,56664,261,0.0004816306796897634,0.004606099110546378
21937,0.234374,-1,1,1,96,93,93,93,83,6,4,0,0,0.0185687541961669,21692,245,0.0004521054272949886,0.011294486446616264
21723,0.066468,-1,1,1,19,19,19,19,16,2,1,0,0,0.0183701515197753,21676,47,8.673042890965088e-05,0.0021682967337147076
53898,0.278875,-1,1,1,124,111,111,111,73,38,0,0,0,0.0181121826171875,53600,298,0.0005499078258526801,0.005559701492537313
81055,0.035279,-1,1,1,10,10,10,10,8,0,2,0,0,0.0193896293640136,81017,38,7.012247443759008e-05,0.000469037362528852
57174,0.268897,-1,1,1,138,125,125,125,89,36,0,0,0,0.018848180770874,56825,349,0.0006440195678610246,0.006141663000439947
56541,0.255473,-1,1,1,110,104,104,104,96,4,4,0,0,0.0192387104034423,56260,281,0.0005185372451832319,0.004994667614646285
35621,0.453817,-1,1,1,197,197,197,197,168,25,4,0,0,0.0201752185821533,35102,519,0.0009577253745555066,0.01478548230870036
22480,0.030835,-1,1,1,10,10,10,10,8,0,2,0,0,0.020815372467041,22462,18,3.3215908944121615e-05,0.00080135339684801
59677,0.265689,-1,1,1,117,113,113,113,98,12,3,0,0,0.0186142921447753,59419,258,0.00047609469486574316,0.004342045473670038
57180,0.227456,-1,1,1,124,109,109,109,71,38,0,0,0,0.0196826457977294,56905,275,0.0005074652755351914,0.004832615763113962
55880,0.223949,-1,1,1,96,83,83,83,73,6,4,0,0,0.0212492942810058,55646,234,0.000431806816273581,0.004205154009272904
56197,0.245948,-1,1,1,124,112,112,112,74,38,0,0,0,0.0194983482360839,55924,273,0.0005037746189858445,0.004881625062584937
28932,0.412888,-1,1,1,197,197,197,197,168,25,4,0,0,0.0198056697845459,28373,559,0.0010315385055424434,0.019701829203820534
19971,0.039791,-1,1,1,13,13,13,13,8,4,1,0,0,0.0210747718811035,19944,27,4.982386341618242e-05,0.0013537906137184115
49797,0.05128,-1,1,1,19,19,19,19,16,2,1,0,0,0.0216691493988037,49745,52,9.5957070283018e-05,0.0010453311890642276
