estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
348,0.080167,-1,1,1,1,1,1,1,0,0,0,0,1,0.0361168384552001,348,0,0.0,0.0
2799,0.071729,-1,1,1,2,2,2,2,1,0,1,0,0,0.0401167869567871,2795,4,7.381313098693692e-06,0.0014311270125223613
943,0.181871,-1,38,25,9,9,225,49,2,11,36,0,0,0.032865285873413,930,13,2.39892675707545e-05,0.013978494623655914
33652,0.139043,-1,1,1,36,36,36,36,16,12,8,0,0,0.0236487388610839,33610,42,7.750378753628376e-05,0.0012496280868789051
456,0.257945,-1,38,28,22,22,616,32,14,18,0,0,0,0.0339810848236084,386,70,0.0001291729792271396,0.18134715025906736
75044,0.261174,-1,125,124,1,1,124,115,0,0,0,115,0,0.0333955287933349,75044,0,0.0,0.0
36093,0.686084,-1,1,1,197,197,197,197,168,25,4,0,0,0.0192401409149169,35601,492,0.0009079015111393241,0.013819836521446027
851,0.229122,-1,1,1,64,64,64,62,14,44,4,0,0,0.0324935913085937,782,69,0.0001273276509524662,0.08823529411764706
21104,0.006103,-1,1,1,1,1,1,1,0,0,0,0,1,0.0236837863922119,21104,0,0.0,0.0
33660,0.62286,-1,1,1,197,196,196,196,167,25,4,0,0,0.01857590675354,33202,458,0.0008451603498004277,0.013794349737967592
29302,0.61161,-1,1,1,197,197,197,197,168,25,4,0,0,0.0187563896179199,28735,567,0.0010463011317398308,0.019732034104750305
2532,0.066368,-1,38,20,2,2,40,15,1,0,14,0,0,0.0283498764038085,2531,1,1.845328274673423e-06,0.0003951007506914263
1059,0.043981,-1,1,1,9,9,9,9,2,3,4,0,0,0.0304512977600097,1052,7,1.2917297922713961e-05,0.006653992395437262
79960,2.713022,-1,4750,1233,1,1,1233,873,0,0,0,873,0,0.0235533714294433,79949,11,2.0298611021407652e-05,0.00013758771216650616
1094,1.388477,-1,1,1,960,564,564,202,85,117,0,0,0,0.028019905090332,682,412,0.0007602752491654502,0.6041055718475073
25805,2.939145,-1,1,1,1410,863,863,863,749,114,0,0,0,0.0211801528930664,23527,2278,0.004203657809706058,0.09682492455476686
7221,0.008913,-1,1,1,1,1,1,1,0,0,0,0,1,0.0228536128997802,7221,0,0.0,0.0
30198,0.226021,-1,1,1,64,64,64,64,16,44,4,0,0,0.0182461738586425,30102,96,0.0001771515143686486,0.0031891568666533787
8,0.228686,-1,1,1,124,115,115,4,1,3,0,0,0,0.032541275024414,6,2,3.690656549346846e-06,0.3333333333333333
37872,12.468813,-1,125,125,197,196,24500,4480,2920,1257,303,0,0,0.0304667949676513,27495,10377,0.01914897150628611,0.3774140752864157
9642,0.024214,-1,1,1,3,3,3,3,1,2,0,0,0,0.0266873836517334,9635,7,1.2917297922713961e-05,0.0007265179034769071
1087,0.007224,-1,1,1,1,1,1,1,0,0,0,0,1,0.040771484375,1087,0,0.0,0.0
7651,0.004384,-1,1,1,1,1,1,1,0,0,0,0,1,0.0258505344390869,7651,0,0.0,0.0
