estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
350672,0.039155,-1,1,1,7,7,7,7,4,0,0,3,0,0.0165972709655761,350661,11,2.0298611021407652e-05,3.136932821157756e-05
350672,0.017645,-1,1,1,7,7,7,7,4,0,0,3,0,0.0173473358154296,350661,11,2.0298611021407652e-05,3.136932821157756e-05
348229,1.316009,-1,1,1,474,426,426,426,300,96,27,3,0,0.0185565948486328,347211,1018,0.0018785441836175446,0.0029319347601314476
348288,0.051859,-1,1,1,13,13,13,13,5,3,3,2,0,0.0168449878692626,348256,32,5.9050504789549535e-05,9.188642837452908e-05
350111,2.514625,-1,125,125,13,13,1625,1376,84,596,456,240,0,0.0247552394866943,349061,1050,0.001937594688407094,0.0030080702226831413
350216,0.054015,-1,1,1,13,13,13,13,2,6,3,2,0,0.0166616439819335,350202,14,2.5834595845427923e-05,3.997692760178411e-05
348631,0.027577,-1,1,1,10,10,10,10,2,2,4,2,0,0.0173547267913818,348623,8,1.4762626197387384e-05,2.29474245818549e-05
348753,0.041866,-1,1,1,12,12,12,12,4,3,3,2,0,0.0166015625,348732,21,3.875189376814188e-05,6.021816179759816e-05
362978,23.720744,-1,125,125,437,323,40375,9695,2817,4453,1751,674,0,0.0250391960144042,348754,14224,0.02624794937895477,0.04078519529525109
347364,0.045174,-1,1,1,10,10,10,10,3,1,4,2,0,0.017031192779541,347354,10,1.845328274673423e-05,2.878907397064666e-05
348916,0.017538,-1,1,1,5,5,5,5,1,1,0,3,0,0.0176122188568115,348912,4,7.381313098693692e-06,1.1464208740312743e-05
406910,61.327662,-1,125,125,846,840,105000,25219,12982,9500,2410,327,0,0.0255999565124511,356205,50705,0.09356737016731591,0.1423478053368145
350672,0.045095,-1,1,1,7,7,7,7,4,0,0,3,0,0.0179097652435302,350661,11,2.0298611021407652e-05,3.136932821157756e-05
