estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
0,0.038832,-1,9,0,1,1,0,0,0,0,0,0,0,0.0796883106231689,0,0,0.0,0.0
4754,0.045371,-1,11,11,1,1,11,11,0,0,0,0,11,0.0757350921630859,4754,0,0.0,0.0
3868,0.025505,-1,9,9,1,1,9,9,0,0,0,0,9,0.0796236991882324,3868,0,0.0,0.0
4017,0.025909,-1,9,9,1,1,9,9,0,0,0,0,9,0.0784175395965576,4017,0,0.0,0.0
0,0.008777,-1,9,0,1,1,0,0,0,0,0,0,0,0.0768883228302002,0,0,0.0,0.0
45,0.03315,-1,9,9,1,1,9,9,0,0,0,0,9,0.0785162448883056,45,0,0.0,0.0
207,0.01067,-1,2,1,1,1,1,1,0,0,0,0,1,0.1059100627899169,207,0,0.0,0.0
2004,0.029422,-1,9,9,1,1,9,9,0,0,0,0,9,0.0891907215118408,2004,0,0.0,0.0
58,0.044831,-1,11,11,1,1,11,11,0,0,0,0,11,0.0828528404235839,58,0,0.0,0.0
46,0.029151,-1,9,9,1,1,9,9,0,0,0,0,9,0.0817577838897705,46,0,0.0,0.0
1892,0.024322,-1,9,9,1,1,9,9,0,0,0,0,9,0.0851585865020752,1892,0,0.0,0.0
57,0.041804,-1,11,11,1,1,11,11,0,0,0,0,11,0.0770392417907714,57,0,0.0,0.0
4732,0.030921,-1,11,11,1,1,11,11,0,0,0,0,11,0.0810308456420898,4732,0,0.0,0.0
1871,0.030306,-1,9,9,1,1,9,9,0,0,0,0,9,0.0816226005554199,1871,0,0.0,0.0
0,0.008719,-1,9,0,1,1,0,0,0,0,0,0,0,0.08363938331604,0,0,0.0,0.0
1938,0.029708,-1,9,9,1,1,9,9,0,0,0,0,9,0.0850312709808349,1938,0,0.0,0.0
