estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
0,61.094345,3,1,0,32,0,0,0,0,0,0,0,0,0.0520765781402587,0,0,0.0,0.0
0,67.072648,3,22,22,54,45,990,0,0,0,0,0,0,0.0674855709075927,0,0,0.0,0.0
0,66.395038,3,1,0,81,63,0,0,0,0,0,0,0,0.0532906055450439,0,0,0.0,0.0
0,66.374153,3,27,27,36,0,0,0,0,0,0,0,0,0.06941819190979,0,0,0.0,0.0
0,67.574516,3,1,1,81,9,9,0,0,0,0,0,0,0.0490353107452392,0,0,0.0,0.0
0,68.551616,3,27,27,32,0,0,0,0,0,0,0,0,0.0699477195739746,0,0,0.0,0.0
86,66.221182,3,18,18,48,40,720,52,0,0,0,52,0,0.0677473545074462,64,22,3.667070044371547e-05,0.34375
0,65.139627,3,1,1,54,0,0,0,0,0,0,0,0,0.0495164394378662,0,0,0.0,0.0
0,63.04519,3,18,9,36,9,81,0,0,0,0,0,0,0.068336009979248,0,0,0.0,0.0
0,62.512614,3,18,18,36,9,162,0,0,0,0,0,0,0.0678708553314209,0,0,0.0,0.0
5,65.033753,3,18,9,32,8,72,4,0,0,0,4,0,0.0690381526947021,6,1,1.6668500201688853e-06,0.16666666666666666
0,62.139802,3,1,1,32,8,8,0,0,0,0,0,0,0.0505592823028564,0,0,0.0,0.0
0,63.416614,3,1,0,36,27,0,0,0,0,0,0,0,0.051283836364746,0,0,0.0,0.0
0,62.027919,3,1,1,32,8,8,0,0,0,0,0,0,0.0500898361206054,0,0,0.0,0.0
0,66.070874,3,1,1,54,0,0,0,0,0,0,0,0,0.0513291358947753,0,0,0.0,0.0
0,66.004206,3,1,1,36,36,36,0,0,0,0,0,0,0.0507590770721435,0,0,0.0,0.0
0,64.516245,3,1,1,36,9,9,0,0,0,0,0,0,0.0501914024353027,0,0,0.0,0.0
30,62.457898,3,1,1,54,27,27,9,0,0,0,9,0,0.0502166748046875,2,28,4.667180056472879e-05,14.0
0,60.308156,3,18,18,54,0,0,0,0,0,0,0,0,0.0693433284759521,0,0,0.0,0.0
0,66.059595,3,1,1,48,0,0,0,0,0,0,0,0,0.057896614074707,0,0,0.0,0.0
42,66.293086,3,1,1,54,9,9,9,0,0,0,9,0,0.0532951354980468,9,33,5.500605066557321e-05,3.6666666666666665
0,66.742285,3,1,1,54,45,45,0,0,0,0,0,0,0.0529427528381347,0,0,0.0,0.0
0,67.04555,3,18,9,72,56,504,0,0,0,0,0,0,0.0726089477539062,0,0,0.0,0.0
7,65.744008,3,18,9,36,9,81,6,0,0,0,6,0,0.0771243572235107,8,1,1.6668500201688853e-06,0.125
359,80.168375,3,1,1,81,27,27,27,0,0,0,27,0,0.0538685321807861,164,195,0.0003250357539329326,1.1890243902439024
67,74.25265,3,18,18,54,27,486,43,0,0,0,43,0,0.0679743289947509,44,23,3.833755046388436e-05,0.5227272727272727
0,69.251993,3,1,0,54,0,0,0,0,0,0,0,0,0.0515711307525634,0,0,0.0,0.0
0,63.736711,3,1,1,36,0,0,0,0,0,0,0,0,0.0530555248260498,0,0,0.0,0.0
0,66.137967,3,1,1,36,0,0,0,0,0,0,0,0,0.0499083995819091,0,0,0.0,0.0
0,65.804573,3,1,1,36,9,9,0,0,0,0,0,0,0.0513880252838134,0,0,0.0,0.0
0,64.37419,3,27,9,36,27,243,0,0,0,0,0,0,0.0687205791473388,0,0,0.0,0.0
0,66.255103,3,1,0,36,27,0,0,0,0,0,0,0,0.0526270866394043,0,0,0.0,0.0
