estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
38387,47.121755,3,1,1,25000,1178,1178,1178,0,0,0,1178,0,0.0279967784881591,31518,6869,0.011449592788540073,0.21793895551748207
28567,95.769424,3,1,1,17850,748,748,748,0,0,0,748,0,0.0267434120178222,21660,6907,0.01151293308930649,0.3188827331486611
5608,94.394381,3,1,1,18000,230,230,230,0,0,0,230,0,0.0279967784881591,4392,1216,0.0020268896245253646,0.2768670309653916
10362,86.46099,3,1,1,16000,412,412,412,0,0,0,412,0,0.0281503200531005,11821,1459,0.0024319341794264036,0.12342441417815751
13627,84.532217,3,1,1,7560,342,342,342,0,0,0,342,0,0.0275549888610839,20573,6946,0.011577940240093077,0.3376269868273951
15351,85.918298,3,1,1,12500,488,488,488,0,0,0,488,0,0.0283071994781494,26973,11622,0.019372130934402786,0.4308753197642087
22060,91.99271,3,1,1,16000,931,931,931,0,0,0,931,0,0.0276246070861816,23654,1594,0.002656958932149203,0.06738817958907585
1799,79.230061,3,1,1,8925,94,94,94,0,0,0,94,0,0.0258190631866455,2433,634,0.0010567829127870732,0.260583641594739
36704,99.53812,3,1,1,14875,1300,1300,1300,0,0,0,1300,0,0.0262174606323242,34679,2025,0.0033753712908419927,0.05839268721704778
5876,78.587454,3,1,1,8500,201,201,201,0,0,0,201,0,0.0254666805267334,9454,3578,0.005963989372164271,0.3784641421620478
8721,90.138913,3,1,1,8925,311,311,311,0,0,0,311,0,0.0276274681091308,12419,3698,0.0061640113745845375,0.29776954666237215
8363,95.359172,3,1,1,12600,347,347,347,0,0,0,347,0,0.0275962352752685,12356,3993,0.006655732130534359,0.32316283586921335
13079,81.91548,3,1,1,7560,342,342,342,0,0,0,342,0,0.0269362926483154,22133,9054,0.015091660082609088,0.409072425789545
