estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
384161,0.112705,-1,1,1,19,19,19,19,3,3,6,6,1,0.0240936279296875,384096,65,0.00010834525131097754,0.00016922852620178288
384464,0.09453,-1,1,1,17,17,17,17,6,2,6,1,2,0.0326442718505859,384361,103,0.00017168555207739517,0.00026797724014663297
384353,0.083642,-1,1,1,19,19,19,19,8,2,1,7,1,0.0263028144836425,384242,111,0.00018502035223874627,0.00028888044513613817
384251,0.122377,-1,1,1,24,24,24,24,5,7,5,6,1,0.024890661239624,384128,123,0.00020502255248077287,0.00032020576474508497
384312,0.080503,-1,1,1,20,20,20,20,4,3,6,6,1,0.0241246223449707,384223,89,0.00014834965179503078,0.0002316363153689394
384150,0.20101,-1,1,1,37,37,37,37,9,5,6,14,3,0.0249850749969482,383976,174,0.000290031903509386,0.0004531533220826302
384284,0.076096,-1,1,1,20,20,20,20,5,2,6,6,1,0.0250971317291259,384200,84,0.00014001540169418636,0.00021863612701717857
384437,0.160242,-1,1,1,24,24,24,24,4,8,5,6,1,0.0244247913360595,384320,117,0.00019502145235975957,0.0003044338051623647
384293,0.112052,-1,1,1,22,22,22,22,3,7,5,6,1,0.02476167678833,384174,119,0.00019835515240009734,0.00030975547538355017
384467,0.125153,-1,1,1,21,21,21,21,5,3,6,6,1,0.0248510837554931,384341,126,0.00021002310254127955,0.00032783387668762894
384152,0.096956,-1,1,1,21,21,21,21,7,1,6,6,1,0.0244944095611572,384030,122,0.000203355702460604,0.00031768351430877794
384190,0.092934,-1,1,1,14,14,14,14,2,3,6,1,2,0.0266420841217041,384121,69,0.00011501265139165308,0.00017963089755571813
384265,0.085084,-1,1,1,15,15,15,15,4,2,6,1,2,0.026369571685791,384160,105,0.00017501925211773294,0.00027332361516034986
371501,2.987883,5,1,1,2000,157,157,157,0,0,0,0,157,0.0270338058471679,384100,12599,0.021000643404107785,0.03280135381411091
384357,0.110917,-1,1,1,22,22,22,22,3,7,5,6,1,0.0250215530395507,384244,113,0.00018835405227908404,0.00029408396747899774
384297,0.058043,-1,1,1,11,11,11,11,3,3,1,2,2,0.0247552394866943,384244,53,8.834305106895091e-05,0.00013793318828660955
384194,0.110848,-1,1,1,24,24,24,24,4,8,5,6,1,0.0253815650939941,384073,121,0.0002016888524404351,0.0003150442754372216
384370,0.117225,-1,1,1,22,22,22,22,3,7,5,6,1,0.0243692398071289,384244,126,0.00021002310254127955,0.00032791663630401516
384538,0.111636,-1,1,1,24,24,24,24,5,7,5,6,1,0.0246596336364746,384413,125,0.00020835625252111067,0.00032517110503546966
384135,0.099577,-1,1,1,22,22,22,22,3,7,5,6,1,0.0242311954498291,384026,109,0.0001816866521984085,0.0002838349486753501
