estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
84564,7.959888,-1,1,1,14107,431,431,431,390,36,5,0,0,80043,4521,0.00753582894118353,0.056482140849293504
39088,0.261747,-1,7,7,25,25,175,70,21,28,21,0,0,38619,469,0.0007817526594592072,0.012144281312307414
99156,7.777956,-1,1,1,14107,386,386,386,359,20,7,0,0,94973,4183,0.006972433634366447,0.04404409674328493
12668,96.854561,-1,1,1,194909,6531,6531,1739,98,777,864,0,0,5464,7204,0.01200798754529665,1.3184480234260616
21914,0.161722,-1,1,1,25,25,25,25,11,9,5,0,0,21726,188,0.00031336780379175044,0.008653226548835496
136594,135.85765,-1,1,1,198094,23817,23817,10974,10974,0,0,0,0,15435,121159,0.20195388159364197,7.849627470035633
75903,106.33784,-1,1,1,198180,6374,6374,6374,697,4802,875,0,0,38063,37840,0.06307360476319061,0.9941412920684128
14583,5.049093,-1,7,7,8266,209,1463,175,0,168,7,0,0,13582,1001,0.0016685168701890542,0.07370048593726991
148243,10.886809,-1,1,1,14107,1415,1415,1415,1246,153,16,0,0,133670,14573,0.024291005343921163,0.10902221889728436
150203,0.132204,-1,1,1,25,25,25,25,11,9,5,0,0,150009,194,0.00032336890391276374,0.001293255737989054
152148,0.187273,-1,1,1,41,41,41,41,15,4,15,6,1,151920,228,0.00038004180459850584,0.0015007898894154818
3927,0.08387,-1,27,9,1,1,9,9,0,0,0,0,9,3927,0,0.0,0.0
125405,25.602443,-1,1,1,7813,7765,7765,7765,7765,0,0,0,0,39466,85939,0.14324742388329384,2.1775452288045405
150819,0.136534,-1,1,1,25,25,25,25,11,9,5,0,0,150659,160,0.00026669600322702165,0.0010620009425258365
126893,4.620547,-1,1,1,8266,201,201,201,150,44,7,0,0,124912,1981,0.0033020298899545616,0.015859164852055848
38597,120.879767,-1,7,7,204615,6311,44177,7224,231,1603,5390,0,0,15848,22749,0.037919171108821974,1.4354492680464412
93741,7.657129,-1,1,1,14107,273,273,273,240,28,5,0,0,90899,2842,0.004737187757319972,0.03126547046722186
203052,129.325404,-1,1,1,209573,13383,13383,13383,13383,0,0,0,0,54601,148451,0.24744555234409119,2.7188329884068057
11380,0.129624,-1,3,1,13,13,13,13,13,0,0,0,0,11231,149,0.0002483606530051639,0.013266850681150388
21814,0.165102,-1,1,1,32,32,32,28,11,4,5,7,1,21667,147,0.0002450269529648261,0.0067845110075229614
21174,75.490532,2,1,1,6300,1567,1567,1567,0,0,1567,0,0,17412,3762,0.006270689775875346,0.2160578911095796
131502,7.767153,-1,1,1,8266,1136,1136,1136,1009,111,16,0,0,119638,11864,0.019775508639283654,0.09916581688092412
165468,45.30187,-1,1,1,50271,7743,7743,7743,6003,1740,0,0,0,89002,76466,0.12745735364223398,0.8591492326015145
16260,6.717634,-1,1,1,8266,1446,1446,528,324,198,6,0,0,11432,4828,0.008047551897375377,0.42232330300909726
86370,6.004473,-1,1,1,7771,838,838,838,640,188,10,0,0,78142,8228,0.013714841965949588,0.10529548770187608
78493,101.831236,-1,1,1,189904,6633,6633,6633,776,4982,875,0,0,38678,39815,0.06636563355302416,1.0293965561818088
43397,0.039774,-1,1,1,1,1,1,1,0,0,0,0,1,43397,0,0.0,0.0
73141,34.843485,-1,1,1,38060,6378,6378,6378,63,5440,875,0,0,38578,34563,0.05761133724709718,0.8959251386800767
21653,0.158042,-1,1,1,25,25,25,25,11,9,5,0,0,21459,194,0.00032336890391276374,0.00904049582925579
41573,78.8157,2,1,1,6336,2805,2805,2805,0,0,2805,0,0,34073,7500,0.01250137515126664,0.22011563407976992
151468,0.161587,-1,1,1,25,25,25,25,11,9,5,0,0,151288,180,0.0003000330036303993,0.001189783723758659
151511,0.124313,-1,1,1,25,25,25,25,11,9,5,0,0,151325,186,0.0003100341037514127,0.0012291425739302825
23311,75.836183,2,1,1,6300,1580,1580,1580,0,0,1580,0,0,19105,4206,0.0070107711848303314,0.2201517927244177
74692,7.136123,-1,1,1,8266,847,847,847,753,84,10,0,0,65807,8885,0.014809962429200546,0.13501603172914736
42685,0.478391,-1,7,7,25,25,175,126,42,56,28,0,0,41816,869,0.0014484926675267613,0.02078151903577578
285406,223.445028,-1,21,21,211562,13010,273210,23506,23506,0,0,0,0,25308,260098,0.4335443565458867,10.277303619408883
16041,74.690774,2,1,1,6336,1063,1063,1063,0,0,1063,0,0,14637,1404,0.002340257428317115,0.09592129534740726
156363,0.096759,-1,1,1,13,13,13,13,13,0,0,0,0,156211,152,0.0002533612030656706,0.0009730428715007265
108354,7.878868,-1,1,1,7771,1258,1258,1258,1116,133,9,0,0,95160,13194,0.021992419166108272,0.13865069356872636
94861,6.707586,-1,1,1,8266,817,817,817,762,41,14,0,0,86194,8667,0.014446589124803729,0.10055224261549528
126177,26.525219,-1,1,1,7813,7772,7772,7772,7772,0,0,0,0,39576,86601,0.14435087859664564,2.1882201334141906
13898,73.852284,2,1,1,6300,1037,1037,1037,0,0,1037,0,0,12997,901,0.0015018318681721656,0.0693236900823267
39597,0.29742,-1,7,7,13,13,91,91,91,0,0,0,0,38586,1011,0.0016851853703907429,0.02620121287513606
125347,26.984912,-1,1,1,7813,7758,7758,7758,7758,0,0,0,0,39056,86291,0.14383415509039327,2.2094172470299056
21635,0.104705,-1,1,1,16,16,16,16,1,10,5,0,0,21558,77,0.00012834745155300417,0.003571759903516096
77582,104.75349,-1,1,1,192383,6546,6546,6546,738,4938,870,0,0,38358,39224,0.06538052519110435,1.0225767766828302
150502,0.154543,-1,1,1,25,25,25,25,11,9,5,0,0,150317,185,0.0003083672537312438,0.0012307323855585196
128813,7.465708,-1,1,1,14107,261,261,261,210,44,7,0,0,126254,2559,0.0042654692016121775,0.020268664755176073
117454,12.653203,-1,1,1,14107,2064,2064,2064,1883,171,10,0,0,95333,22121,0.03687238929615591,0.23203927286459045
29098,77.123886,2,1,1,6336,2096,2096,2096,0,0,2096,0,0,25915,3183,0.005305583614197562,0.12282461894655605
24441,5.121505,-1,462,308,16,16,4928,1688,24,971,693,0,0,16997,7444,0.012408031550137182,0.43795963993645937
114728,13.939892,-1,1,1,14107,2241,2241,2241,2102,129,10,0,0,90678,24050,0.04008774298506169,0.26522419991618695
125414,25.843575,-1,1,1,7813,7754,7754,7754,7754,0,0,0,0,39443,85971,0.14330076308393924,2.1796262961742263
74635,108.616772,-1,1,1,204153,6249,6249,6249,714,4660,875,0,0,37405,37230,0.0620568262508876,0.9953214810854164
150253,0.161337,-1,1,1,25,25,25,25,11,9,5,0,0,150079,174,0.000290031903509386,0.0011593893882555187
116602,8.349424,-1,1,1,14107,560,560,560,509,44,7,0,0,110574,6028,0.01004777192157804,0.054515528062654875
44219,6.571321,-1,1,1,8266,769,769,769,506,262,1,0,0,37040,7179,0.011966316294792428,0.19381749460043196
23262,74.941531,2,1,1,6300,1577,1577,1577,0,0,1577,0,0,22977,285,0.0004750522557481323,0.012403708055881969
77849,0.354496,-1,7,7,25,25,175,91,35,35,21,0,0,77234,615,0.0010251127624038643,0.007962814304580883
2785,0.778295,-1,54,36,25,25,900,203,22,91,90,0,0,1851,934,0.001556837918837739,0.504592112371691
77855,109.046924,-1,1,1,200080,6550,6550,6550,753,4927,870,0,0,38540,39315,0.06553220854293973,1.0201089776855214
19409,10.37877,-1,1,1,14107,1984,1984,574,437,128,9,0,0,13753,5656,0.009427703714075215,0.4112557260234131
22418,0.043564,-1,1,1,4,4,4,4,3,1,0,0,0,22383,35,5.833975070591099e-05,0.0015636867265335298
76036,102.228833,-1,1,1,191950,6341,6341,6341,712,4754,875,0,0,38353,37683,0.0628119093100241,0.9825307016400282
21595,0.277124,-1,7,7,25,25,175,56,21,14,21,0,0,21220,375,0.0006250687575633319,0.01767200754005655
150753,0.115698,-1,1,1,25,25,25,25,11,9,5,0,0,150544,209,0.000348371654215297,0.0013882984376660645
22831,5.284507,-1,378,252,25,25,6300,1798,216,889,693,0,0,13842,8989,0.01498331483129811,0.649400375668256
