estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,true_counts,absolute_error,normalized_error,relative_error
83048,52.230898,-1,1,1,8641,304,304,304,240,28,36,80043,3005,0.0050088843106075006,0.037542321002461174
39366,1.947682,-1,7,7,33,33,231,126,21,21,84,38619,747,0.0012451369650661572,0.019342810533675134
97565,21.447622,-1,1,1,8641,261,261,261,209,7,45,94973,2592,0.004320475252277751,0.027291967190675243
19810,157.724374,-1,1,1,111201,5884,5884,3144,53,196,2895,5464,14346,0.023912630389342826,2.625549048316252
21933,1.36306,-1,1,1,33,33,33,33,6,4,23,21726,207,0.00034503795417495923,0.009527754763877383
33814,25.217685,-1,1,1,19190,3263,3263,2371,438,1583,350,15435,18379,0.03063503652068394,1.19073534175575
68497,131.356995,-1,1,1,111855,5625,5625,5625,374,1226,4025,38063,30434,0.050728913513819855,0.799569135380816
14633,4.439997,-1,7,7,2353,74,518,182,0,98,84,13582,1051,0.0017518593711974984,0.0773818288911795
142015,10.312413,-1,1,1,5785,918,918,918,580,142,196,133670,8345,0.013909863418309347,0.062429864591905436
150197,0.462065,-1,1,1,33,33,33,33,6,4,23,150009,188,0.00031336780379175044,0.0012532581378450626
152871,1.207188,-1,1,1,194,194,194,194,15,4,175,151920,951,0.0015851743691806099,0.006259873617693523
3962,0.247364,-1,27,9,1,1,9,9,0,0,9,3927,35,5.833975070591099e-05,0.008912655971479501
48791,5.04605,-1,1,1,973,968,968,968,668,254,46,39466,9325,0.015543376438074855,0.2362793290427203
150801,0.418186,-1,1,1,29,29,29,29,1,5,23,150659,142,0.00023669270286398171,0.0009425258364916799
125303,3.558493,-1,1,1,2353,78,78,78,0,21,57,124912,391,0.0006517383578860341,0.0031302036633790186
66844,170.338774,-1,7,7,118010,5673,39711,11960,86,181,11693,15848,50996,0.08500268362853247,3.217819283190308
92320,10.09257,-1,1,1,5785,164,164,164,90,35,39,90899,1421,0.002368593878659986,0.01563273523361093
89033,37.50316,-1,1,1,20061,3636,3636,3636,2133,1293,210,54601,34432,0.057392979894455055,0.6306111609677478
11271,0.291362,-1,3,1,5,5,5,5,1,2,2,11231,40,6.667400080675541e-05,0.003561570652657822
22513,1.174311,-1,1,1,194,194,194,190,11,4,175,21667,846,0.001410155117062877,0.039045553145336226
49605,261.699947,3,1,1,112500,8193,8193,8192,0,0,8192,17412,32193,0.05366090269929692,1.8488973121984837
124947,10.371199,-1,1,1,5233,610,610,610,385,41,184,119638,5309,0.008849306757076611,0.04437553285745332
113514,32.171507,-1,1,1,16836,2539,2539,2539,2003,48,488,89002,24512,0.04085782769437971,0.27540954135862117
14404,6.73341,-1,1,1,5785,840,840,364,159,99,106,11432,2972,0.004953878259941927,0.25997200839748075
79840,4.605673,-1,1,1,2353,270,270,270,0,156,114,78142,1698,0.0028303113342467673,0.021729671623454735
70316,138.735348,-1,1,1,107614,5769,5769,5769,409,1336,4024,38678,31638,0.05273580093810319,0.8179843838874813
43399,0.170637,-1,1,1,1,1,1,1,0,0,1,43397,2,3.3337000403377706e-06,4.608613498628938e-05
57950,27.761341,-1,1,1,24185,4361,4361,4361,63,99,4199,38578,19372,0.03229021859071164,0.502151485302504
21563,0.357379,-1,1,1,25,25,25,25,1,0,24,21459,104,0.00017335240209756406,0.0048464513723845476
117080,212.55635,3,1,1,106250,19291,19291,19291,0,0,19291,34073,83007,0.13836021962415865,2.4361517917412616
151445,0.549956,-1,1,1,29,29,29,29,1,5,23,151288,157,0.000261695453166515,0.001037755803500608
151486,0.199446,-1,1,1,29,29,29,29,1,5,23,151325,161,0.00026836285324719053,0.0010639352387245993
